id,remote_uid,legacy_id,code,chapter,description,is_service,tax_percentage,is_pre_gst,legacy_metadata,created_at,updated_at,is_active
24235,12094,,280300,2803,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED),FALSE,0,FALSE,,,,TRUE
24236,12209,,281700,2817,ZINC OXIDE; ZINC PEROXIDE,FALSE,0,FALSE,,,,TRUE
24237,12228,,282200,2822,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,FALSE,0,FALSE,,,,TRUE
24238,12233,,282300,2823,TITANIUM OXIDES,FALSE,0,FALSE,,,,TRUE
24239,12534,,285000,2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED, OTHER THAN COMPOUNDS WHICH ARE AL",FALSE,0,FALSE,,,,TRUE
24240,12909,,29130,2913,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PRODUCTS OF HEADING 2912",FALSE,0,FALSE,,,,TRUE
24241,13432,,29280,2928,ORGANIC DERIVATIVES OF HYDRAZINE OR OF HYDROXYLAMINE,FALSE,0,FALSE,,,,TRUE
24242,13476,,29310,2931,OTHER ORGANO-INORGANIC COMPOUNDS,FALSE,0,FALSE,,,,TRUE
24243,13611,,29350,2935,SULPHONAMIDES,FALSE,0,FALSE,,,,TRUE
24244,13756,,29420,2942,OTHER ORGANIC COMPOUNDS,FALSE,0,FALSE,,,,TRUE
24245,14091,,31010,3101,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXIN",FALSE,0,FALSE,,,,TRUE
24246,14147,,32030,3203,"COLOURING MATTER OF VEGETABLE OR ANIMAL ORIGIN (INCLUDING DYEING EXTRACTS BUT EXCLUDING ANIMAL BLACK), WHETHER OR NOT C",FALSE,0,FALSE,,,,TRUE
24247,14465,,32100,3210,"OTHER PAINTS AND VARNISHES (INCLUDING ENAMELS, LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FIN",FALSE,0,FALSE,,,,TRUE
24248,14605,,33030,3303,PERFUMES AND TOILET WATERS,FALSE,0,FALSE,,,,TRUE
24249,14729,,34060,3406,"CANDLES, TAPERS AND THE LIKE",FALSE,0,FALSE,,,,TRUE
24250,14733,,34070,3407,"MODELLING PASTES, INCLUDING THOSE PUT UP FOR CHILDREN'S AMUSEMENT; PREPARATIONS KNOWN AS DENTAL WAX OR AS DENTAL IMPRES",FALSE,0,FALSE,,,,TRUE
24251,14745,,35030,3503,"GELATIN [INCLUDING GELATIN IN RECTANGULAR (INCLUDING SQUARE) SHEETS, WHETHER OR NOT SURFACE-WORKED OR COLOURED] AND GEL",FALSE,0,FALSE,,,,TRUE
24252,14751,,35040,3504,"PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; HI",FALSE,0,FALSE,,,,TRUE
24253,14786,,36010,3601,PROPELLANT POWDERS,FALSE,0,FALSE,,,,TRUE
24254,14791,,36020,3602,"PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS",FALSE,0,FALSE,,,,TRUE
24255,14795,,36030,3603,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS,FALSE,0,FALSE,,,,TRUE
24256,14811,,36050,3605,"MATCHES, OTHER THAN PYROTECHNIC ARTICLES OF HEADING 3604",FALSE,0,FALSE,,,,TRUE
24257,14902,,37040,3704,"PHOTOGRAPHIC PLATES, FILM, PAPER, PAPER BOARD AND TEXTILES, EXPOSED BUT NOT DEVELOPED",FALSE,0,FALSE,,,,TRUE
24258,14977,,38040,3804,"RESIDUAL LYES FROM THE MANUFACTURE OF WOOD PULP, WHETHER OR NOT CONCENTRATED, DESUGARED OR CHEMICALLY TREATED, INCLUDIN",FALSE,0,FALSE,,,,TRUE
24259,15002,,38070,3807,WOOD TAR; WOOD TAR OILS; WOOD CREOSOTE; WOOD NAPHTHA; VEGETABLE PITCH; BREWERS PITCH AND SIMILAR PREPARATIONS BASED ON,FALSE,0,FALSE,,,,TRUE
24260,15136,,38140,3814,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NOT ELSEWHERE SPECIFIED OR INCLUDED; PREPARED PAINT OR VARNISH REMOVERS",FALSE,0,FALSE,,,,TRUE
24261,15149,,38170,3817,"MIXED ALKYLBENZENES AND MIXED ALKYLNAPHTHALENES, OTHER THAN THOSE OF HEADING 2707 OR 2902",FALSE,0,FALSE,,,,TRUE
24262,15154,,38180,3818,"CHEMICAL ELEMENTS DOPED FOR USE IN ELECTRONICS, IN THE FORM OF DISCS, WAFERS OR SIMILAR FORMS; CHEMICAL COMPOUNDS DOPED",FALSE,0,FALSE,,,,TRUE
24263,15163,,38220,3822,"DIAGNOSTIC OR LABORATORY REAGENTS ON A BACKING, PREPARED DIAGNOSTIC OR LABORATORY REAGENTS WHETHER OR NOT ON A BACKING,",FALSE,0,FALSE,,,,TRUE
24264,15255,,38260,3826,BIODIESEL AND MINTRUES THEREOF,FALSE,0,FALSE,,,,TRUE
24265,15417,,39100,3910,SILICONES IN PRIMARY FORMS,FALSE,0,FALSE,,,,TRUE
24266,15468,,39140,3914,"ION EXCHANGERS BASED ON POLYMERS OF HEADINGS 3901 TO 3913, IN PRIMARY FORMS",FALSE,0,FALSE,,,,TRUE
24267,15861,,40070,4007,VULCANISED RUBBER THREAD AND CORD,FALSE,0,FALSE,,,,TRUE
24268,16027,,40170,4017,"HARD RUBBER (FOR EXAMPLE, EBONITE) IN ALL FORMS, INCLUDING WASTE AND SCRAP; ARTICLES OF HARD RUBBER",FALSE,0,FALSE,,,,TRUE
24269,16199,,42050,4205,OTHER ARTICLES OF LEATHER OR OF COMPOSITION LEATHER,FALSE,0,FALSE,,,,TRUE
24270,16238,,43040,4304,ARTIFICIAL FUR AND ARTICLES THEREOF,FALSE,0,FALSE,,,,TRUE
24271,16584,,44160,4416,"CASKS, BARRELS, VATS, TUBS AND OTHER COOPER'S PRODUCTS AND PARTS THEREOF, OF WOOD, INCLUDING STAVES",FALSE,0,FALSE,,,,TRUE
24272,16611,,44190,4419,"TABLEWARE AND KITCHENWARE, OF WOOD",FALSE,0,FALSE,,,,TRUE
24273,16739,,48010,4801,"NEWSPRINT, IN ROLLS OR SHEETS",FALSE,0,FALSE,,,,TRUE
24274,16816,,48030,4803,"TOILET OR FACIAL TISSUE STOCK, TOWEL OR NAPKIN STOCK AND SIMILAR PAPER OF A KIND USED FOR HOUSEHOLD OR SANITARY PURPOSE",FALSE,0,FALSE,,,,TRUE
24275,16852,,48070,4807,"COMPOSITE PAPER AND PAPERBOARD (MADE BY STICKING FLAT LAYERS OF PAPER OR PAPERBOARD TOGETHER WITH AN ADHESIVE), NOT SUR",FALSE,0,FALSE,,,,TRUE
24276,17033,,49030,4903,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS",FALSE,0,FALSE,,,,TRUE
24277,17047,,49070,4907,"UNUSED POSTAGE, REVENUE OR SIMILAR STAMPS OF CURRENT OR NEW ISSUE IN THE COUNTRY IN WHICH THEY HAVE, OR WILL HAVE, A RE",FALSE,0,FALSE,,,,TRUE
24278,17056,,49090,4909,"PRINTED OR ILLUSTRATED POSTCARDS; PRINTED CARDS BEARING PERSONAL GREETINGS, MESSAGES OR ANNOUNCEMENTS, WHETHER OR NOT I",FALSE,0,FALSE,,,,TRUE
24279,17060,,49100,4910,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",FALSE,0,FALSE,,,,TRUE
24280,17077,,50020,5002,RAW SILK (NOT THROWN),FALSE,0,FALSE,,,,TRUE
24281,17082,,50030,5003,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETED STOCK)",FALSE,0,FALSE,,,,TRUE
24282,17097,,50040,5004,SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE,FALSE,0,FALSE,,,,TRUE
24283,17101,,50050,5005,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE",FALSE,0,FALSE,,,,TRUE
24284,17107,,50060,5006,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK WORM GUT",FALSE,0,FALSE,,,,TRUE
24285,17176,,51040,5104,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR,FALSE,0,FALSE,,,,TRUE
24286,17220,,51100,5110,"YARN OF COARSE ANIMAL HAIR OR OF HORSEHAIR (INCLUDING GIMPED HORSEHAIR YARN), WHETHER OR NOT PUT UP FOR RETAIL SALE",FALSE,0,FALSE,,,,TRUE
24287,17287,,51130,5113,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSE HAIR,FALSE,0,FALSE,,,,TRUE
24288,17297,,52010,5201,"COTTON, NOT CARDED OR COMBED",FALSE,0,FALSE,,,,TRUE
24289,17871,,53050,5305,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILS NEC), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR",FALSE,0,FALSE,,,,TRUE
24290,17942,,53110,5311,WOVEN FABRICS OF OTHER VEGETABLE TEXTILE FIBRES; WOVEN FABRICS OF PAPER YARN,FALSE,0,FALSE,,,,TRUE
24291,18052,,54060,5406,"MAN-MADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT FOR RETAIL SALE",FALSE,0,FALSE,,,,TRUE
24292,18259,,55020,5502,ARTIFICIAL FILAMENT TOW,FALSE,0,FALSE,,,,TRUE
24293,18305,,55070,5507,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",FALSE,0,FALSE,,,,TRUE
24294,18569,,56050,5605,"METALLISED YARN, WHETHER OR NOT GIMPED, BEING TEXTILE YARN, OR STRIP OR THE LIKE OF HEADING 5404 OR 5405, COMBINED WITH",FALSE,0,FALSE,,,,TRUE
24295,18574,,56060,5606,"GIMPED YARN, AND STRIP AND THE LIKE OF HEADING 5404 OR 5405, GIMPED (OTHER THAN THOSE OF HEADING 5605 AND GIMPED HORSEH",FALSE,0,FALSE,,,,TRUE
24296,18608,,56090,5609,"ARTICLES OF YARN, STRIP OR THE LIKE OF HEADING 5404 OR 5405, TWINE, CORDAGE, ROPE OR CABLES, NOT ELSEWHERE SPECIFIED OR",FALSE,0,FALSE,,,,TRUE
24297,18721,,57050,5705,OTHER CARPETS AND OTHER TEXTILE FLOOR COVERINGS WHETHER OR NOT MADE-UP,FALSE,0,FALSE,,,,TRUE
24298,18774,,58030,5803,"GAUZE, OTHER THAN NARROW FABRICS OF HEADING 5806",FALSE,0,FALSE,,,,TRUE
24299,18805,,58050,5805,"HAND-WOVEN TAPESTRIES OF THE TYPE GOBELINS, FLANDERS, AUBUSSON, BEAUVAIS AND THE LIKE, AND NEEDLE-WORKED TAPESTRIES (FO",FALSE,0,FALSE,,,,TRUE
24300,18844,,58090,5809,"WOVEN FABRICS OF METAL THREAD AND WOVEN FABRICS OF METALLISED YARN OF HEADING 5605, OF A KIND USED IN APPAREL, AS FURNI",FALSE,0,FALSE,,,,TRUE
24301,18855,,58110,5811,"QUILTED TEXTILE PRODUCTS IN THE PIECE, COMPOSED OF ONE OR MORE LAYERS OF TEXTILE MATERIALS ASSEMBLED WITH PADDING BY ST",FALSE,0,FALSE,,,,TRUE
24302,18897,,59050,5905,TEXTILE WALL COVERINGS,FALSE,0,FALSE,,,,TRUE
24303,18912,,59070,5907,"TEXTILE FABRICS OTHERWISE IMPREGNATED, COATED OR COVERED; PAINTED CANVAS BEING THEATRICAL SCENERY, STUDIO BACK-CLOTHS O",FALSE,0,FALSE,,,,TRUE
24304,18921,,59080,5908,"TEXTILE WICKS, WOVEN, PLAITED OR KNITTED, FOR",FALSE,0,FALSE,,,,TRUE
24305,18926,,59090,5909,"TEXTILE HOSE PIPING AND SIMILAR TEXTILE TUBING, WITH OR WITHOUT LINING, ARMOUR OR ACCESSORIES OF OTHER MATERIALS",FALSE,0,FALSE,,,,TRUE
24306,18931,,59100,5910,"TRANSMISSION OR CONVEYOR BELTS OR BELTING, OF TEXTILE MATERIAL, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATE",FALSE,0,FALSE,,,,TRUE
24307,19631,,62160,6216,"GLOVES, MITTENS AND MITTS",FALSE,0,FALSE,,,,TRUE
24308,19895,,65010,6501,"HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING",FALSE,0,FALSE,,,,TRUE
24309,19900,,65020,6502,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LI",FALSE,0,FALSE,,,,TRUE
24310,19908,,65040,6504,HATS AND OTHER HEAD GEAR,FALSE,0,FALSE,,,,TRUE
24311,19911,,65050,6505,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NO",FALSE,0,FALSE,,,,TRUE
24312,19937,,67010,6701,"SKINS AND OTHER PARTS OF BIRDS WITH THEIR FEATHERS OR DOWN, FEATHERS, PARTS OF FEATHERS, DOWN AND ARTICLES THEREOF (OTH",FALSE,0,FALSE,,,,TRUE
24313,19948,,67030,6703,"HUMAN HAIR, DRESSED, THINNED, BLEACHED OR OTHERWISE WORKED; WOOL OR OTHER ANIMAL HAIR OR OTHER TEXTILE MATERIALS, PREPA",FALSE,0,FALSE,,,,TRUE
24314,20107,,69010,6901,"BRICKS, BLOCKS, TILES AND OTHER CERAMIC GOODS OF SILICEOUS FOSSIL MEALS (FOR EXAMPLE, KIESELGUHR, TRIPOLITE OR DIATOMIT",FALSE,0,FALSE,,,,TRUE
24315,20195,,69120,6912,"CERAMIC TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD ARTICLES AND TOILET ARTICLES, OTHER THAN OF PORCELAIN OR CHINA",FALSE,0,FALSE,,,,TRUE
24316,20208,,70010,7001,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS,FALSE,0,FALSE,,,,TRUE
24317,20267,,70080,7008,MULTIPLE-WALLED INSULATING UNITS OF GLASS,FALSE,0,FALSE,,,,TRUE
24318,20313,,70140,7014,"SIGNALLING GLASSWARE AND OPTICAL ELEMENTS OF GLASS (OTHER THAN THOSE OF HEADING 7012.5), NOT OPTICALLY WORKED",FALSE,0,FALSE,,,,TRUE
24319,20361,,70200,7020,OTHER ARTICLES OF GLASS,FALSE,0,FALSE,,,,TRUE
24320,21023,,72210,7221,"BARS AND RODS, HOT-ROLLED, IN IRREGULARLY WOUND COILS, OF STAINLESS STEEL",FALSE,0,FALSE,,,,TRUE
24321,21061,,72230,7223,WIRE OF STAINLESS STEEL,FALSE,0,FALSE,,,,TRUE
24322,21222,,73030,7303,"TUBES, PIPES AND HOLLOW PROFILES, OF CAST IRON",FALSE,0,FALSE,,,,TRUE
24323,21371,,73090,7309,"RESERVOIRS, TANKS, VATS AND SIMILAR CONTAINERS FOR ANY MATERIAL (OTHER THAN COMPRESSED OR LIQUEFIED GAS), OF IRON OR ST",FALSE,0,FALSE,,,,TRUE
24324,21386,,73110,7311,"CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS, OF IRON OR STEEL",FALSE,0,FALSE,,,,TRUE
24325,21398,,73130,7313,"BARBED WIRE OF IRON OR STEEL; TWISTED HOOP OR SINGLE FLAT WIRE, BARBED OR NOT, AND LOOSELY TWISTED DOUBLE WIRE, OF A KI",FALSE,0,FALSE,,,,TRUE
24326,21436,,73160,7316,"ANCHORS, GRAPNELS AND PARTS THEREOF, OF IRON OR STEEL",FALSE,0,FALSE,,,,TRUE
24327,21440,,73170,7317,"NAILS, TACKS, DRAWING PINS, CORRUGATED NAILS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF IRON",FALSE,0,FALSE,,,,TRUE
24328,21562,,74010,7401,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER),FALSE,0,FALSE,,,,TRUE
24329,21568,,74020,7402,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,FALSE,0,FALSE,,,,TRUE
24330,21584,,74040,7404,COPPER WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24331,21730,,75030,7503,NICKEL WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24332,21772,,76020,7602,ALUMINIUM WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24333,21853,,76130,7613,ALUMINIUM CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS,FALSE,0,FALSE,,,,TRUE
24334,21901,,78020,7802,LEAD WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24335,21922,,78060,7806,OTHER ARTICLES OF LEAD,FALSE,0,FALSE,,,,TRUE
24336,21934,,79020,7902,ZINC WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24337,21941,,79040,7904,"ZINC BARS, RODS, PROFILES AND WIRE",FALSE,0,FALSE,,,,TRUE
24338,21950,,79050,7905,"ZINC PLATES, SHEETS, STRIP AND FOIL",FALSE,0,FALSE,,,,TRUE
24339,21959,,79070,7907,OTHER ARTICLES OF ZINC,FALSE,0,FALSE,,,,TRUE
24340,21968,,80020,8002,TIN WASTE AND SCRAP,FALSE,0,FALSE,,,,TRUE
24341,21972,,80030,8003,"TIN BARS, RODS, PROFILES AND WIRE",FALSE,0,FALSE,,,,TRUE
24342,21986,,80070,8007,OTHER ARTICLES OF TIN,FALSE,0,FALSE,,,,TRUE
24343,22054,,81060,8106,"BISMUTH AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",FALSE,0,FALSE,,,,TRUE
24344,22081,,81110,8111,"MANGANESE AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",FALSE,0,FALSE,,,,TRUE
24345,22107,,81130,8113,"CERMETS AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",FALSE,0,FALSE,,,,TRUE
24346,22169,,82060,8206,"TOOLS OF TWO OR MORE OF THE HEADINGS 8202 TO 8205, PUT UP IN SETS FOR RETAIL SALE",FALSE,0,FALSE,,,,TRUE
24347,22200,,82090,8209,"PLATES, STICKS, TIPS AND THE LIKE FOR TOOLS, UNMOUNTED, OF CERMETS",FALSE,0,FALSE,,,,TRUE
24348,22305,,83100,8310,"SIGN-PLATES, NAME-PLATES, ADDRESS-PLATES AND SIMILAR PLATES, NUMBERS, LETTERS AND OTHER SYMBOLS, OF BASE METAL, EXCLUDI",FALSE,0,FALSE,,,,TRUE
