legacy_id,created_at,overseer_legacy_id,company_contact_lagacy,subject,purpose,comment,actionrequired,activity,refno,inquiry_number,activitystatus
16,"2017-09-04 09:27:28",100,3615,"Office Supplies & Gifting","First Meeting/Intro Meeting","Customer office in Delhi & Mumbai
Required product on regular basis
The Supplies are purchased on rate contract 
The agreement will come up for renewal in December","Adhoc requirement will be shared
Need to contact him again after 10th Sept
Reference for AZB Lower parel
","Phone call",1504517248#10010,11060,"Pending Approval"
17,"2017-09-04 09:28:16",101,3616,MRO,"First Meeting/Intro Meeting","Discuss about MRO requirement for Pune location. He will discuss with user and will get back to us in next 3-4 days.","Need to follow up in next week.",Meeting,1504517296#1013,11061,Approved
18,"2017-09-04 09:46:15",52,3618,"BTX ANALYSER","Follow up","They need qtn.","Offer awaited from AAI","Phone call",1504518375#525,11064,"Pending Approval"
19,"2017-09-04 09:56:28",26,NULL,,"Follow up",Testing,Testing,"Phone call",1504518988#268,11057,"Pending Approval"
20,"2017-09-04 10:02:10",105,3619,"Customer visit ","First Meeting/Intro Meeting","Bulk MRO product portfolio pitch.
Their factory different Location. 
Requirement of our products.","To mail him the details of our product and meet end users in Factory at boisar.",Meeting,1504519330#10510,11067,"Pending Approval"
21,"2017-09-04 10:08:57",105,3620,"Customer visit ","First Meeting/Intro Meeting","Pitching Our product portfolio,
requirement of our product for their factory. ","To mail him the details and to be in touch with him regularly for requirements.",Meeting,1504519737#1059,11068,"Pending Approval"
22,"2017-09-04 10:32:08",52,3621,"SAMPLING SYSTEM","Follow up","Budgetory offer to be submitted","Offer under preparation","Phone call",1504521128#525,11069,"Pending Approval"
23,"2017-09-04 13:44:40",43,NULL,,"Follow up","Met with Mr Bhatia for PO","Keep following up ",Meeting,1504532680#435,12345,"Pending Approval"
24,"2017-09-04 14:43:05",63,NULL,,"Internal Meeting","Meeting with Mr Devang regarding Multitex and Eil/Nrl job.","To meet Nrl/Eil personnel regarding assignment clause. ",Meeting,1504536185#6310,0,"Pending Approval"
25,"2017-09-04 14:55:23",63,NULL,,"Internal Meeting","Meeting with Mr Devang regarding Multitex and Eil/Nrl job.","To meet Nrl/Eil personnel regarding assignment clause. ",Meeting,1504536923#637,0,"Pending Approval"
26,"2017-09-04 14:56:54",102,3629,"Visit to Vansatdada Shetkari Sahkari Sakhar Karkhana Ltd. Sangli","First Meeting/Intro Meeting","Introduced the BulkMRO.
Diwali Promotional products
","Client shown interest in lubricants and after sending the company profile client will send the inquiry for the lubricants 

Need to follow up - to remind ",Meeting,1504537014#1023,11084,"Pending Approval"
27,"2017-09-04 15:02:58",102,3630,"Visit to Crazy Icecream Pvt. Ltd.","First Meeting/Intro Meeting","Introduced BulkMRO
Explained the products may required for their factory
Client suggested to visit another person Mr. Asif","Need to contact Mr. Asif for inquiries tomorrow.",Meeting,1504537378#1026,11085,"Pending Approval"
28,"2017-09-04 15:06:41",102,3631,"Supplier Visit","First Meeting/Intro Meeting","Introduced BulkMRO
Inquired about the Pressure relief device 
","Need to send RFQ for the requirement ",Meeting,1504537601#1023,11086,"Pending Approval"
31,"2017-09-05 04:30:26",20,NULL,,"Follow up","1) For 10860-It is related to Cera inquiry..Had word with Rajesh Panchal Purchase requision in approval Stage..It is about 75k Order..It will be Closed in this week..
2) For 10929 -Discussed with Bharat Devra related to Canteen Coupan he will raise PR and PO will be got in this week","No action Required.Final No regret Quote already sent",Email,1504585826#203,10860,"Pending Approval"
32,"2017-09-05 04:30:26",20,NULL,,"Follow up","1) For 10860-It is related to Cera inquiry..Had word with Rajesh Panchal Purchase requision in approval Stage..It is about 75k Order..It will be Closed in this week..
2) For 10929 -Discussed with Bharat Devra related to Canteen Coupan he will raise PR and PO will be got in this week","No action Required.Final No regret Quote already sent",Email,1504585826#203,10929,"Pending Approval"
33,"2017-09-05 05:55:45",52,NULL,,"Follow up","Supply Installation and commissioning","Send offer","Quote/Tender Prep",1504590945#523,11069,"Pending Approval"
34,"2017-09-05 05:56:49",105,3633,"Bulk MRO product portfolio mail","Sending Introduction mail from office","He wanted our product portfolio to show to factory. ","Taking follow up from him and meeting factory person again. ",Email,1504591009#1057,11091,"Pending Approval"
35,"2017-09-05 06:15:42",105,3634," sending Bulk MRO Product portfolio via Mail ","Sending Introduction mail from office","Mrs. Shreya Singh said to mail our product portfolio to Mr.Anand Soshte. ","To take Follow up from Mr. Anand Soshte and meet him again.",Email,1504592142#10510,11093,"Pending Approval"
36,"2017-09-05 06:19:21",105,NULL,,"Sending our product portfolio via Mail ","Mr. Harshal Garse told to mail details to him. He will forward to purchase Department. They will contact us for requirement.","Taking follow up from Mr. Harshal and planning to meet purchase Department. ",Email,1504592361#1059,11068,"Pending Approval"
37,"2017-09-05 06:24:08",105,NULL,,"Sending our product portfolio via Mail ","1)Mr. Somanath Pawar told to mail product portfolio.
2) He told to meet factory person. ","To visit their factory and meet end users.",Email,1504592648#1059,11067,"Pending Approval"
38,"2017-09-05 06:34:05",100,3635,"DANAHER CORPORATION MRO PROCUREMENT FOR 25 GROUP COMPANIES","First Meeting/Intro Meeting","Priority partner for all 25 group companies for MRO Supplies
Bulk MRO profile to be discussed and shared with all group procurement team members ","To Meet Dev in person and present company profile.
Dev to start sharing MRO requirements and also initiate on boarding .",Email,1504593245#10010,11095,"Pending Approval"
39,"2017-09-05 06:46:21",97,NULL,,"Follow up","Price on quote","Quote to be sent","Phone call",1504593981#979,10848,"Pending Approval"
40,"2017-09-05 06:49:47",97,NULL,,Closure,"Delivary and payment status","Technical specs suaitability and collection of payment","Phone call",1504594187#977,10731,"Pending Approval"
41,"2017-09-05 06:50:06",105,3636,"Requirement of names of safety brands","Safety items brands","Mr. Katkar wanted the brands of safety given to henkel. 
2)He told he will inform me when required. 

","Taking follow up from him and meeting him to explain in detail.",Email,1504594206#1053,11098,"Pending Approval"
42,"2017-09-05 06:51:24",100,NULL,,"Follow up","Rates submission
Bid Process
Syska & Wipro Alignment as additional brands
","We will receive bidding details
Need to ensure brands are directly aligned for best rates.
Meeting with brands representative  ","Phone call",1504594284#1004,11030,Approved
43,"2017-09-05 07:16:23",105,3637,"Sending  product portfolio via email ","Sending Introduction mail from office","1)Mr. Ketan wanted our product portfolio. 
2) They are upcoming a warehouse project in 3-4 months,  they will have requirement. ","1) to be in touch with Mr Ketan for requirement and Regular follow-up. ",Email,1504595783#1058,11100,"Pending Approval"
44,"2017-09-05 07:24:07",106,3638,"Weigh Bridge for HPCL Vizag","First Meeting/Intro Meeting","received tender ","Find Vendor",Email,1504596247#1066,11101,"Pending Approval"
45,"2017-09-05 07:25:37",106,3638,"Passenger Lift for HPCL Vizag","First Meeting/Intro Meeting","received tender","find vendor",Email,1504596337#10610,11102,"Pending Approval"
46,"2017-09-05 07:35:55",9,NULL,,"Follow up","PPES REQUIREMENT FOLLOWING UP AND SOME PRODUCTS TO BE ADDED IN MODULES ,COLLECT SAMPLES OF PPES  ","SOURCE COLLECTED SAMPLES AND TRY TO GET THIS ORDER",Meeting,1504596955#93,10897,"Pending Approval"
47,"2017-09-05 07:53:55",100,NULL,,Closure,"To get on boarded in DHL Business Services
All document submitted
Additional Non catalog opportunities","To receive PO ","Phone call",1504598035#1004,10847,Approved
48,"2017-09-05 08:02:38",52,NULL,,"Follow up","Sanction of budget. Competitors info.

Tender will be out in a months time.

Tender delayed because of GST implications.","Be in touch with the client.
Get more market intelligence.","Phone call",1504598558#529,7094,"Pending Approval"
49,"2017-09-05 08:05:02",52,NULL,,"Follow up","Authority letter  with MGL.","Awaited from Peter",Email,1504598702#529,10151,"Pending Approval"
50,"2017-09-05 08:39:04",110,0,"Inquiry for AC and stabilizers","Follow up","About Air conditioner specification and model","quotation required","Phone call",1504600744#1109,11106,Approved
51,"2017-09-05 08:42:21",105,NULL,,"Discussion on quotation with Nisha","1)There are points which are not clear in enquiry, so fixed an appointment with customer.","Meeting the customer on 6th sept to discuss doubts on enquiry. ","Phone call",1504600941#1053,11046,"Pending Approval"
52,"2017-09-05 08:45:52",97,NULL,,"Follow up","Needs techincal specs","After getting technical details ,quote to be sent","Phone call",1504601152#976,10817,"Pending Approval"
54,"2017-09-05 08:47:17",97,NULL,,Negotiation,"Quote sent","Negotiaation and require best quote","Phone call",1504601237#978,10920,"Pending Approval"
55,"2017-09-05 08:54:39",97,0,"Steper motor","Follow up","Steeper Enquiry","Needs Technical details and Quote to be sent","Phone call",1504601679#975,11108,"Pending Approval"
56,"2017-09-05 09:10:25",52,NULL,,"Follow up","ONGC called  for the Cameron documentation.

Cameron to send documentation for the material sent.","Mail sent to Cameron and do followup with them.","Phone call",1504602625#5210,8562,"Pending Approval"
58,"2017-09-05 09:22:32",26,NULL,,"Sourcing BNC connector","Met supplier and collected sample and price","Hand over to Akbar soon and get it quoted to client ",Meeting,1504603352#264,10970,"Pending Approval"
59,"2017-09-05 09:33:38",105,3640,"Sending authorisation certificate to customer ","Email ","1) Mr Sagar wanted certificates of authorized brands we have.","1) Taking follow up from customer for the requirement. 
2) meeting customer again for requirement. ",Email,1504604018#1057,11110,"Pending Approval"
60,"2017-09-05 09:45:59",12,NULL,,"Sourcing for BNC connector","Met Supplier and collected details of Price, Quality, Avaiibilty.","Price handover to Akbar ask him to send quote ASAP",Meeting,1504604759#125,10970,"Pending Approval"
61,"2017-09-05 09:46:02",12,NULL,,"Sourcing for BNC connector","Met Supplier and collected details of Price, Quality, Avaiibilty.","Price handover to Akbar ask him to send quote ASAP",Meeting,1504604762#1210,10970,"Pending Approval"
62,"2017-09-05 10:34:40",12,NULL,,"Sourcing Duracell beam Torch","AVAILIBITY, if not any alternate brand with same Specification.","asked/option customer for any other brand with same specification. as duracell torch it is imported item.

Same information shared with Shiba.

","Phone call",1504607680#129,10973,"Pending Approval"
63,"2017-09-05 10:42:06",100,3641,"MRO Supplies","First Meeting/Intro Meeting","Bulk MRO introduction
Requested for meeting
MRO supplies with central contract
Share list of requirement","Meeting date to be confirmed
To meet other Bayer entities as well like Bayer Pharma and others",Email,1504608126#10010,11115,"Pending Approval"
64,"2017-09-05 10:43:57",12,NULL,,"Follow up","oppoinment  with Ganest Tawte in 1St Half
 @ kurla Locaton for tommarrow","Joint meeting with VED Sir,","Phone call",1504608237#129,10871,"Pending Approval"
65,"2017-09-05 10:57:53",12,NULL,,"Sourcing for Ropes and Ladder","Quotation and availibility","Mail Send","Phone call",1504609073#129,10836,Approved
66,"2017-09-05 11:15:40",101,NULL,,Negotiation,"Target prices of product","Need to share revised proposal.","Phone call",1504610140#1018,10816,Approved
67,"2017-09-05 11:18:20",20,NULL,,"Follow up","It is related with fly killer machine and Air freshners PO got for both inquiries","Follow up for PO",Meeting,1504610300#206,10304,"Pending Approval"
68,"2017-09-05 11:18:20",20,NULL,,"Follow up","It is related with fly killer machine and Air freshners PO got for both inquiries","Follow up for PO",Meeting,1504610300#206,10328,"Pending Approval"
69,"2017-09-05 11:19:13",101,NULL,,Negotiation,"Discussion on target price to closure. Client shared target price.","Revised proposal need to Sent.","Phone call",1504610353#10110,10472,Approved
70,"2017-09-05 11:29:24",20,NULL,,"Material follow up Ahmedabad Local","Need to follow up with Supplier for Material update
For 9149 Material is in ready stock Payment is in process 
For 10289 Material is in production as it is customized item..
For 10611 It is in printing process",NA,"Phone call",1504610964#203,10289,"Pending Approval"
71,"2017-09-05 11:29:24",20,NULL,,"Material follow up Ahmedabad Local","Need to follow up with Supplier for Material update
For 9149 Material is in ready stock Payment is in process 
For 10289 Material is in production as it is customized item..
For 10611 It is in printing process",NA,"Phone call",1504610964#203,9149,"Pending Approval"
72,"2017-09-05 11:29:24",20,NULL,,"Material follow up Ahmedabad Local","Need to follow up with Supplier for Material update
For 9149 Material is in ready stock Payment is in process 
For 10289 Material is in production as it is customized item..
For 10611 It is in printing process",NA,"Phone call",1504610964#203,10611,"Pending Approval"
73,"2017-09-05 11:45:20",102,NULL,,"Follow up","RFQ for Enquiry#10877 sent
and called for follow up","Remind again to get quote",Email,1504611920#10210,11086,"Pending Approval"
74,"2017-09-05 11:48:17",102,NULL,,"First Meeting/Intro Meeting","As per yesterday meeting with crazy icecream production manager, called Mr. Asif Engineering Head and introduced the BulkMRO and profile mail sent ","Need to schedule face to face meeting","Phone call",1504612097#1025,11085,"Pending Approval"
75,"2017-09-05 11:52:47",102,NULL,,"Follow up","As per the yesterday meeting client shown interest in Lubricant products hence discussed with Manager and mail sent","Need to call and schedule meeting for more detailed discussion",Email,1504612367#1023,11084,"Pending Approval"
76,"2017-09-05 12:04:28",103,NULL,,"Follow up","Hdmi to Vga convertor , model finalisation and order request","Customer said PO will be released but need to call him back tommorow again as he didnt....","Phone call",1504613068#1035,10650,"Pending Approval"
77,"2017-09-05 12:06:25",103,NULL,,"Follow up","Hand pallet trucks target price is reached, but order is not ye received","Need to do follow up tommorow again as customer failed to release PO ","Phone call",1504613185#1037,10629,"Pending Approval"
78,"2017-09-05 12:08:32",103,NULL,,Closure,"Customer abruptly closed the order with some other vendor without even letting us know. ","Inquiry has to be updated as lost... inside sales team is being informed... (Apeksha)","Phone call",1504613312#1035,10787,"Pending Approval"
79,"2017-09-05 12:12:46",103,NULL,,"Regeneration of inquiry","PVDF scoops were not available ... so we regretted the inquiry... later customer again raised the same requirement but in PP material...","Material is cheap, have sent him the quotation today... if he only confirms then only i am planning to regenerate the inquiry, otherwise theres no use of wasting time and energy","Quote/Tender Prep",1504613566#10310,10548,"Pending Approval"
80,"2017-09-05 12:14:07",102,NULL,,Closure,"Requirement has been accomplished by another supplier","Need to follow up next time for another requirements","Phone call",1504613647#1029,10739,"Pending Approval"
81,"2017-09-05 12:15:24",106,3643,"follow up from customer after visit ","Follow up","1)I asked him about the enquiry, which he told me he will send me this week.","1)To call him next week for the same, since He is on leave this week.","Phone call",1504613724#1067,11116,"Pending Approval"
82,"2017-09-05 12:15:43",101,NULL,,"Approval for sample","Discuss about submitted sample and possibility of customisation. Awaiting go ahead approval","Need to follow up via email and phone call. So that delivery can be arranged.","Phone call",1504613743#1017,9932,Approved
83,"2017-09-05 12:18:35",103,NULL,,"Re-Sourcing ","Customer needs this bottle of GL 55 standard against what we quoted him earlier in GL45 standard","This is a standard which is not easily available locally as it is German or Australian standard... even known company like Borosil is not able to provide it as requirement is only 20 Bottles which cant be taken in production...
Need to search a vendor who has this standard bottle...","Quote/Tender Prep",1504613915#1037,10919,"Pending Approval"
84,"2017-09-05 12:18:56",101,3644,"Stationery RFQ","Follow up","RFQ for stationery products, client will share the same by next week. Also discussed for MRO requirement. Client will start it in next phase","Need to follow up for stationery RFQ.","Phone call",1504613936#1018,11117,Approved
85,"2017-09-05 12:35:42",110,3645,"Meeting fixed ","First Meeting/Intro Meeting","Company intro given , first meeting fixed for tomorrow. ","Need to meet tomorrow.","Phone call",1504614942#11010,11118,Approved
86,"2017-09-05 12:40:45",110,3646,"Meeting fixed ","First Meeting/Intro Meeting","Company intro given by mail. Meting fixed for tomorrow","Going to meet them Tomorrow.",Meeting,1504615245#1109,11119,Approved
87,"2017-09-05 12:44:45",63,3647,NRL-2,"Technical clarification","How the probe will be heated.","Technical clarification regarding HAG PROBE is to be sent to EIl, but we are awaiting  LOI from NRL.","Quote/Tender Prep",1504615485#633,11120,"Pending Approval"
88,"2017-09-05 12:45:28",105,3643,"Follow up from customer ","Follow up","I asked for the enquiry he told he will send this week.","He told me to call next week as he is on leave today. ","Phone call",1504615528#1058,11121,"Pending Approval"
89,"2017-09-05 12:47:53",110,3648,"Meeting fixed ","Follow up","Company profile sent by mail. This is a second meeting fixed for tomorrow.","Going to meet Mr. Jogender. Need to meet again for RFQ",Meeting,1504615673#1105,11122,Approved
90,"2017-09-05 12:49:08",64,0,LMm,"To make visit plan for LMm","The advantages of LMm.","We have to contact C&P for further follow up.","Phone call",1504615748#643,11123,"Pending Approval"
91,"2017-09-05 12:49:46",109,NULL,,"Follow up","Client not gives full information like IBR  and CS Information ","Required all products Information emailed and call for that","Phone call",1504615786#1094,10936,"Pending Approval"
92,"2017-09-05 12:50:42",63,3649,"Two stream H2s Analyzer","Follow up","BQC Clarification.","To meet IOCL Guwahati personnel next week. ","Quote/Tender Prep",1504615842#635,11124,"Pending Approval"
93,"2017-09-05 12:53:53",109,NULL,,"Follow up","Discuss about brand name price and quantity ","Needed to meet with clients ",Meeting,1504616033#1094,10779,"Pending Approval"
94,"2017-09-05 12:54:07",105,NULL,,"Follow up","I took Follow up for the quotation sent for pumps.","He told me He will inform me this week. ","Phone call",1504616047#1059,10855,"Pending Approval"
95,"2017-09-05 12:59:46",64,3650,"LMm ","Permote LMm","Advantages of LMm. ","To visit them. They are using LMm supplied by Crocown as per Mr. Talukdar","Phone call",1504616386#647,11125,"Pending Approval"
96,"2017-09-05 13:01:02",52,NULL,,"Send RFQ","Lift requirement of one no.","RFQ sent to OTIS Elevators ",Email,1504616462#523,11102,"Pending Approval"
97,"2017-09-05 13:13:32",52,NULL,,"Follow up","The application form to be filled.","Sent mail to Scientific.","Phone call",1504617212#527,11064,"Pending Approval"
98,"2017-09-05 14:17:36",59,NULL,,"Follow up","I Met Mr. Vineet Dhole Regarding of Same Technical Points and He Said This Quotation Will be Inpocess.","Customer Required Technical Details. ",Meeting,1504621056#595,10637,Approved
99,"2017-09-05 14:23:49",59,NULL,," Customer Required Break Type Motor.","I Met Mr.-Mahesh Jaswal Regarding of Bonfiglioli Motor and he Required Break Type Motor.","Send Technical Specification of Break Type Motor.",Meeting,1504621429#594,10839,Approved
100,"2017-09-05 14:28:25",59,NULL,,Negotiation,"I Talk to Mr.-Nawzar Rahman Regatarding of Price and he said our Price are 25 % High of Other Quto.","But We have already Quto 13% Margine.","Phone call",1504621705#596,10388,Approved
117,"2017-09-05 14:39:02",59,NULL,,Closure,"I Met Mr. Dilip Regarding of Same Technical Point and also send Product Discripation Send By Sheeba and he talk it is ok.","send Quotation Required Product.. ",Meeting,1504622342#5910,10689,Approved
118,"2017-09-05 16:14:38",109,3651,"Given Introduction ","First Meeting/Intro Meeting","Electrical equipments and other products ","Analysis the product ","Phone call",1504628078#10910,11126,Rejected
119,"2017-09-06 04:19:24",105,NULL,,"Follow up","I had sent him quotation for scrolled compressor,  so took Follow up for it.He said he will check and call me back.","To wait for his call or call him again after 2 days again.","Phone call",1504671564#1054,10827,"Pending Approval"
120,"2017-09-06 05:19:45",52,NULL,,"Follow up","Budgetory offer","Budgetory price sent to Scientific.","Quote/Tender Prep",1504675185#525,11064,"Pending Approval"
121,"2017-09-06 06:03:43",105,NULL,,"Meeting with team and supplier ","Mr. Shridhar of Henkel wanted sample of nitrile gloves and its technical Specifications, so discussed with the team and supplier for availability of samples and technical Specifications. ","As per availability, it is decided to mail technical Specifications today to Shridhar Sir and will show samples on Monday.",Meeting,1504677823#1056,10158,"Pending Approval"
122,"2017-09-06 06:17:34",105,NULL,,"Follow up","I took Follow up for the quotation sent for angle grinder.","Mr. Lalit said our prices are on the higher side when compared with other quotation. He said that he will inform me for other requirement as it comes.
","Phone call",1504678654#1056,10942,"Pending Approval"
123,"2017-09-06 07:11:36",106,3655,"SOX-NOX Analyser, SPM Meter ","First Meeting/Intro Meeting","tech specs required from Nocil","to submit quote after we get tech specs","Phone call",1504681896#1068,11135,"Pending Approval"
124,"2017-09-06 07:21:26",103,3656,"Diwali Gifting","First Meeting/Intro Meeting","This company has diwali gifting requirements for around 1000 employees.","Need to send Introduction Mail and Gifting Catalogue first, after which she might give appointment for a discussion.","Phone call",1504682486#10310,11136,"Pending Approval"
125,"2017-09-06 07:37:08",103,NULL,,Sourcing,"Requested for quotation from many vendors through mail","Have to find specific Asco make pneumatic valves suppliers as it is a rare product.",Email,1504683428#1033,11000,"Pending Approval"
126,"2017-09-06 07:47:51",101,3658,Meeting,"Follow up","Discussed for pan India MRO requirement. Some changes are going on with in GSK internal system. Will take some time to get registered.","Need to follow up regularly.",Meeting,1504684071#1015,11137,Approved
127,"2017-09-06 08:03:11",103,NULL,,Sourcing,"Requested for quotation from vendora online and also asked mr. Virender to check if this material is available with the supplier whom he was supposed to meet today","Require a sample anyhow to check with dimensions of machine with which these bottles are to be used.",Email,1504684991#1036,10919,"Pending Approval"
128,"2017-09-06 08:11:31",109,3659,"Given Introduction ","First Meeting/Intro Meeting","Mechanical equipment compressor ","Ready for business ",Meeting,1504685491#10910,11138,"Pending Approval"
129,"2017-09-06 08:14:52",109,3660,"Given Introduction ","First Meeting/Intro Meeting","Lifting materials ","Ready for business ",Meeting,1504685692#1096,11139,"Pending Approval"
130,"2017-09-06 08:18:45",109,3661,"Given Introduction ","First Meeting/Intro Meeting","Electrical equipment ","He will next time, after analyzing products ",Meeting,1504685925#1096,11141,"Pending Approval"
131,"2017-09-06 09:50:09",105,NULL,,"Meeting with customer for clearing doubts","Today meeting was scheduled with Mr. Ashish for discussing doubts in the enquiry but he didnt come to office today. ","To meet him again tommorow for same discussion. ",Meeting,1504691409#1053,11046,"Pending Approval"
133,"2017-09-06 10:02:04",64,NULL,,Negotiation,"Quoted price of Diaphragm of regulators is very high as per the client and he wanted discount on this. We sent a revised price of 114 Euro in place of 150 Euro.
He wants our service engineer on urgent basis. 
Regarding payment of spares parts and service he said that he will make the payment as soon he gets the visi information of our engineers.","We have to get the visa of our engineers at the earliest and forward the same to him to get the payment.
Also negotiation on extra diaphragm will be required.","Phone call",1504692124#648,10794,"Pending Approval"
134,"2017-09-06 10:12:47",64,3664,"Bell 206 Jetranger Helicopter Service for Pipeline survey with ALMA","Tender of Gail is out for helicopter service.","I called him as I had visited his office three to four times in past, so i knew him and discussed Regarding the tender and the scope of our supply","The tender closing is 11 Sep 2017. We have to be in touch with him and see if he will be quoting or not.",Email,1504692767#648,11151,"Pending Approval"
135,"2017-09-06 10:17:43",95,2795,"Exhaust fan 2500 cfm","Follow up","New requirement of Low noise exhaust fan 2500 cfm
10 mm static pressure.
Qty 2 nos","Need to send catalog with specification of product available in market.
Almonard is reputed only noise is concern for almonard
Need to send details of Almonard or equivalent brand
For low noise range.",Meeting,1504693063#958,11152,"Pending Approval"
136,"2017-09-06 10:38:34",101,NULL,,Closure,"Sampling done. Customer needs some certificate like food grade etc. Client will share list of certificate.","Need to discuss with supplier for required certificate..",Meeting,1504694314#1019,10566,Approved
137,"2017-09-06 10:41:53",64,NULL,,"Follow up","Called Mr. Selvam and he told me that he requires some clarification on the certification GPT will be giving to them. He will send a mail on the clarification.","We need to reply those query mail which we will be receiving form him.","Phone call",1504694513#649,10613,"Pending Approval"
138,"2017-09-06 10:46:18",105,NULL,,"Follow up","I informed Mr. Katkar about the safety product brands which we sell to henkel. He wanted this information. ","Taking follow up and meeting him again to get enquiries. ","Phone call",1504694778#1056,11098,"Pending Approval"
139,"2017-09-06 10:49:20",109,3665,"Given Introduction ","First Meeting/Intro Meeting","Hydraulic components and electrical components ","Forward details for Generate Inquiry no",Meeting,1504694960#1098,11155,"Pending Approval"
140,"2017-09-06 11:16:30",64,3666,"Purchase Order For 3 Pen Chart Recorder","Follow up","There were some discrepancies found in the PO. We had sent them mail to rectify the same. Mr. Sidharth said that he may send it tomorrow.","We have to follow again to get the PO at the earliest.","Phone call",1504696590#647,11157,"Pending Approval"
141,"2017-09-06 11:23:42",100,NULL,,"Follow up","Virendra is working on this inquiry
Requirement was discussed in detail
Bulk MRO introduction
2 more inquiries are generated
customer import lot of item and they would like to work with BulK MRO","quote for products available in India
Road map if can import various kind of batteries for them.
Need to target all group companies",Meeting,1504697022#1008,10871,Approved
142,"2017-09-06 11:35:07",100,NULL,,"First Meeting/Intro Meeting","Met new VP- Procurement, Akash Tavare.
Bulk MRO introduction
How and which product to start the relationship.
VRF form will shared to start the engagement.
","Vendor registration.
Category discount need to re-looked.
identify category / products to start the relationship
BULK MRO profiled to be shared in Central of Excellence group, to all group companies.
Wooden Rolls for cable to be checked.
",Meeting,1504697707#1008,9550,Approved
143,"2017-09-06 11:44:16",102,NULL,,"Follow up","Technical details explained of the Pressure Relief device.","Follow up for the best price",Meeting,1504698256#10210,11086,Approved
144,"2017-09-06 11:52:18",102,NULL,,"Follow up","Discussed about company profile shared and explained different product we can offer for your industry.
They will share the enquiry in future ","Follow up","Phone call",1504698738#1023,11085,Approved
145,"2017-09-06 11:56:39",105,3668,"Pitching our products ","First Meeting/Intro Meeting","Introduction to bulk MRO products.
He wanted to know about online portal where he can buy.
He will inform for requirement. ","I will have to give him online portal link. 
I will have have to take Follow up for the requirement.",Meeting,1504698999#1053,11158,"Pending Approval"
146,"2017-09-06 12:09:57",97,0,"Disc spring",Negotiation,"Have to quote for disc spring","Send quote and close the deal","Quote/Tender Prep",1504699797#976,11160,"Pending Approval"
147,"2017-09-06 12:12:43",97,3496,"Welding m/c 400 amps",Negotiation,"Welding m/c 400 amps price","Quote and close",Meeting,1504699962#977,11161,"Pending Approval"
148,"2017-09-06 12:14:07",109,3669,"Given Introduction ","First Meeting/Intro Meeting","All kind of industrial products ","Ready for the business ",Meeting,1504700047#1095,11162,"Pending Approval"
149,"2017-09-06 12:19:39",103,NULL,,"Follow up","Presented hard copy of formal quotation of kuku automotive e-kart vehicle... also discussed terms on Rto registration and insurance charges","Need to confirm exact charges of RTO and Insurance and mail official final quotation to the customer",Meeting,1504700379#10310,11112,"Pending Approval"
150,"2017-09-06 12:25:14",97,NULL,,"Follow up","Moq for year required","Just wanted to know quantity of material used by them so we can quote accordingly","Quote/Tender Prep",1504700714#977,11053,"Pending Approval"
