Sr,SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
157,BM0Z1R4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 27.5mm 50062622","ADDISON HSS Taper Shank Twist Drill, Dia 27.5 mm - 50062622",ADDISON,50062622,
159,BM0Z1N0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 28mm 50062578","ADDISON HSS Taper Shank Twist Drill, Dia 28 mm - 50062578",ADDISON,50062578,
160,BM0Z1R5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 28.5mm 50062623","ADDISON HSS Taper Shank Twist Drill, Dia 28.5 mm - 50062623",ADDISON,50062623,
162,BM0Z1N1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 29mm 50062579","ADDISON HSS Taper Shank Twist Drill, Dia 29 mm - 50062579",ADDISON,50062579,
163,BM0Z1R6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 29.5mm 50062624","ADDISON HSS Taper Shank Twist Drill, Dia 29.5 mm - 50062624",ADDISON,50062624,
165,BM0Z1N2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 30mm 50062580","ADDISON HSS Taper Shank Twist Drill, Dia 30 mm - 50062580",ADDISON,50062580,
166,BM0Z1R7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 30.5mm 50062625","ADDISON HSS Taper Shank Twist Drill, Dia 30.5 mm - 50062625",ADDISON,50062625,
168,BM0Z1N3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 31mm 50062581","ADDISON HSS Taper Shank Twist Drill, Dia 31 mm - 50062581",ADDISON,50062581,
169,BM0Z1R8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 31.5mm 50062626","ADDISON HSS Taper Shank Twist Drill, Dia 31.5 mm - 50062626",ADDISON,50062626,
171,BM0Z1N4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 32mm 50062582","ADDISON HSS Taper Shank Twist Drill, Dia 32 mm - 50062582",ADDISON,50062582,
172,BM0Z1R9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 32.5mm 50062627","ADDISON HSS Taper Shank Twist Drill, Dia 32.5 mm - 50062627",ADDISON,50062627,
174,BM0Z1N5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 33mm 50062583","ADDISON HSS Taper Shank Twist Drill, Dia 33 mm - 50062583",ADDISON,50062583,
176,BM0Z1S0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 33.5mm 50062628","ADDISON HSS Taper Shank Twist Drill, Dia 33.5 mm - 50062628",ADDISON,50062628,
178,BM0Z1N6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 34mm 50062584","ADDISON HSS Taper Shank Twist Drill, Dia 34 mm - 50062584",ADDISON,50062584,
180,BM0Z1S1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 34.5mm 50062629","ADDISON HSS Taper Shank Twist Drill, Dia 34.5 mm - 50062629",ADDISON,50062629,
182,BM0Z1N7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 35mm 50062585","ADDISON HSS Taper Shank Twist Drill, Dia 35 mm - 50062585",ADDISON,50062585,
184,BM0Z1S2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 35.5mm 50062630","ADDISON HSS Taper Shank Twist Drill, Dia 35.5 mm - 50062630",ADDISON,50062630,
186,BM0Z1N8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 36mm 50062586","ADDISON HSS Taper Shank Twist Drill, Dia 36 mm - 50062586",ADDISON,50062586,
188,BM0Z1S3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 36.5mm 50062631","ADDISON HSS Taper Shank Twist Drill, Dia 36.5 mm - 50062631",ADDISON,50062631,
190,BM0Z1N9,"ADDISON HSS Taper Shank Twist Drills, Daimeter 37mm 50062587","ADDISON HSS Taper Shank Twist Drill, Dia 37 mm - 50062587",ADDISON,50062587,
192,BM0Z1S4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 37.5mm 50062632","ADDISON HSS Taper Shank Twist Drill, Dia 37.5 mm - 50062632",ADDISON,50062632,
194,BM0Z1O0,"ADDISON HSS Taper Shank Twist Drills, Daimeter 38mm 50062588","ADDISON HSS Taper Shank Twist Drill, Dia 38 mm - 50062588",ADDISON,50062588,
196,BM0Z1S5,"ADDISON HSS Taper Shank Twist Drills, Daimeter 38.5mm 50062633","ADDISON HSS Taper Shank Twist Drill, Dia 38.5 mm - 50062633",ADDISON,50062633,
198,BM0Z1O1,"ADDISON HSS Taper Shank Twist Drills, Daimeter 39mm 50062589","ADDISON HSS Taper Shank Twist Drill, Dia 39 mm - 50062589",ADDISON,50062589,
200,BM0Z1S6,"ADDISON HSS Taper Shank Twist Drills, Daimeter 39.5mm 50062634","ADDISON HSS Taper Shank Twist Drill, Dia 39.5 mm - 50062634",ADDISON,50062634,
202,BM0Z1O2,"ADDISON HSS Taper Shank Twist Drills, Daimeter 40mm 50062590","ADDISON HSS Taper Shank Twist Drill, Dia 40 mm - 50062590",ADDISON,50062590,
204,BM0Z1S7,"ADDISON HSS Taper Shank Twist Drills, Daimeter 40.5mm 50062635","ADDISON HSS Taper Shank Twist Drill, Dia 40.5 mm - 50062635",ADDISON,50062635,
206,BM0Z1O3,"ADDISON HSS Taper Shank Twist Drills, Daimeter 41mm 50062591","ADDISON HSS Taper Shank Twist Drill, Dia 41 mm - 50062591",ADDISON,50062591,
208,BM0Z1S8,"ADDISON HSS Taper Shank Twist Drills, Daimeter 41.5mm 50062636","ADDISON HSS Taper Shank Twist Drill, Dia 41.5 mm - 50062636",ADDISON,50062636,
210,BM0Z1O4,"ADDISON HSS Taper Shank Twist Drills, Daimeter 42mm 50062592","ADDISON HSS Taper Shank Twist Drill, Dia 42 mm - 50062592",ADDISON,50062592,
