cmp_id,cmp_name,gst_num,gst_file,address,city,state,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,sap_row_num,gst_type,tan_num
46,"Bombay Safety Care",24AFAPC9730J1ZN,NULL,"Outside Prem Darwaja Near Century Market",Ahmedabad,496,Gujarat,IN,380002,09825336766,24570404915,NULL,24570404915,NULL,NULL,NULL,"0,1",NULL,NULL
47,"3M India Ltd.",27AAACB5724H1ZU,NULL,"301-306, Makhija Chambers 196, Turner Road, Bandra West","Mumbai ",505,Maharashtra,IN,400050,"022-30696500 / 09930639316",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
53,"S.P. Engineers",27AAQCS6598G1ZH,NULL,"Gala No. 7  M. K. Industrial Estate Sonawwala,Cross X Road No. 2",Mumbai,505,Maharashtra,IN," 400063","91 22 - 26852541, 26852243",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
55,"Techsys Automation",07BOIPG2407N1ZV,NULL,"B-26, 3rd Floor, Patel Garden, Near Gopal Ji Dairy, Dwarka Mor, New Delhi","New Delhi",869,"New Delhi",IN,110078,91-971081512.,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
56,"Ringfeder Power Transmission",33AADCR8118C1ZQ,NULL,"Plot No 4, Door No 220 Mount Poonamallee Road, Kattupakkam",Chennai,515,"Tamil Nadu",IN,600056,044-26791411,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
57,"Choudhary Enterprise",29APCPV7563C1ZJ,NULL,"#111/1, Ground Floor, Arora Business Center, Dickenson Road,",Bangalore,501,Karnataka,IN,560042,"Land-line : 0804153 0583
Mobile: +91 9742550044/ 7829440044,
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
58,"Godrej and Boyce Mfg Co. Ltd.","No GST Number",NULL,"Lal Bahadur Shastri Marg Pirojshanagarr, Vikhroli West",Mumbai,505,Maharashtra,IN,400079,022-67961700,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
62,"Archtech Automation",24ABBFA0126B1ZI,NULL,"II-77, Parishikhar Industrial Estate,  Near Toll Plaza, Ramol, S. P. Ring Road,",Ahmedabad,496,Gujarat,IN,382449,"+91-7574861444 / 441",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
64,"Mihir Enterprises",27AGBPM7866RIZF,NULL,"Shop No 5/6, Nilesh Co-Operative Housing Society, Senapati Bapat Marg, Matunga West,",Mumbai,505,Maharashtra,IN,400016,"Tel: 024376202, 9821033442
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
67,"Watson-Marlow India Pvt. Ltd.",27AABCW1005B1Z2,NULL,"Survey 81/7 Pune-Mumbai Bypass Road, Opp. JSPM College, Tathawade",Pune,505,Maharashtra,IN,411033,9867358187,27850878737C,NULL,27850878737V,NULL,NULL,NULL,"0,1",NULL,NULL
68,"Belimo Actuators India Pvt. Ltd. ",27AACCB7729E1ZP,NULL,"Plot No. 23/ABCD  Govt Industrial Estate, Charkop, Kandivali West ",Mumbai,505,Maharashtra,IN,"400 067 ",+91-22-40254800,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
69,"Arihant Enterprise","No GST Number",NULL,"93/95 Narayan Dhuru Street Ground Floor, Shreenathji Building",Mumbai,505,Maharashtra,IN,400003,"022 2344 1072",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
70,"Popatlal and Co",27ABXPS0448J1ZX,NULL,"224,Dakshingangotri Shukrawar Peth, Shinde Ali, Near, Milan Mangal Karyalaya",Pune,505,Maharashtra,IN,411002,"020- 2447 2036,020-24497126",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL
71,"Hridya Enterprises",27ABCPN7678J1Z1,NULL,"Shop No.3, Nav Kalpataru CHS, Plot No. C-4,  Sector-9,  Airoli,Navi-Mumbai",Mumbai,505,Maharashtra,IN,"400 708",9819465655,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
72,"Krishna Enterprises","No GST Number",NULL,"Krishna Kripa, Cosmos Road, Pyary Junction Thoppumpady",Kochi,502,Kerala,IN,682005,9495046597,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
74,"Komal Scientific Co.",27ABFPB4829A1Z6,NULL,"633,laxmi Plaza Laxmi Industrial Estate, New Link Road,Andheri (W), ","MUMBAI ",505,Maharashtra,IN,400053,022-26335560,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL
75,"Al Technologies",27AFHPS7345N1ZN,NULL,"Ratnadeep, Ground Floor, Opp. Dena Bank S.V. Road, Santacruz West",Mumbai,505,Maharashtra,IN,400054,"02226491010, 9819957596, 9820057596",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
76,"Samruddhi Industries",24ALFPP1516Q1ZU,NULL,"4/A,Shayona Centre Naoda Road,Near Memco Char Rasta",Ahmedabad,496,Gujarat,IN,380025,"9726842424, 9712981209, 9898121203, 079-22200574, 9228022092",24572602270,NULL,24072602270,NULL,N.A,NULL,"0,1",1,NULL
78,"Manlon Polymers",24AAPPM7995P1ZH,NULL," 3, Raniwala Estate,  B/H Chepi Rog Hospital,Behrampura",Ahmedabad,496,Gujarat,IN,380022,"93 27 000 706,98 25 77 33 62 
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
79,"Sundheshwari Steel Corporation",24ATCPM3133B1ZE,NULL,"Amrut Bhuvan BuildingMadhupura Cross RoadsMadhupura",Ahmedabad,496,Gujarat,IN,380004,"9409570000 / 9429922311",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
81,"Safex Systems",27AAAFS4750K1Z0,NULL,"3034, BHANDUP INDL. ESTATE LBS MARG, BHANDUP (WEST)",Mumbai,505,Maharashtra,IN,400078,"022-25961788-90 /3289,",27490018739C,NULL,27490018739V,NULL,NULL,NULL,"0,1",NULL,NULL
82,"Varay Image Runners","No GST Number",NULL,"D-4, Ambika Darshan Building,  Chittabhai Patel, Kandivali (East)",Mumbai,505,Maharashtra,IN,400101,"022-33486004, 09820200450",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
83,"Nandini Steel","No GST Number",NULL,"25, Dreamland Bldg., 601, 6th Floor,  Mama Parmanand Marg, Opera House, Charni Road,  Maharashtra",Mumbai,505,Maharashtra,IN,400004,"09953352620, 09773613771",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
84,"Innovative Technologies",27AAAFP8293A1ZD,NULL,"Khatau Building, 1st Floor, 44 N. G. N. Vaidya Marg Shahid Bhagat Singh Road",Mumbai,505,Maharashtra,IN,400001,"07506389827 / 28",27120003956C,NULL,27120003956V,NULL,NULL,NULL,"0,1",NULL,NULL
85,"Modern Traders",27AAAFM3750H1ZF,NULL,"153, NARAYAN DHURU STREET",MUMBAI,505,Maharashtra,IN,400003,"022-23423029/23441346 +91-08600996147 +91-9820010364",NULL,NULL,27020011771,NULL,NULL,NULL,"0,1",NULL,NULL
86,J.K.Knitwear,27AACFJ0949H1ZD,NULL,"68, J.P.Nagar,  Road No 3, Goregaon (East), MUMBAI",Mumbai,505,Maharashtra,IN,"400 063","022-022-25842165 / 25842166 +91-9820216065",27600007475C,NULL,27600007475V,NULL,NA,NULL,"0,1",NULL,NULL
87,"Rx Marine International","No GST Number",NULL,"Rd to palmbeach Road's Bridge Sector 30A, Vashi ","Navi Mumbai",505,Maharashtra,IN,400705,"91-22-27815540/65115555/65113333/65119999
09969106432 9821214367/(91)-9594",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
88,"Safelink Agencies LLP",24ACUFS2340F2Z2,NULL,"504, Milestone, Outside Near Drive-in Cinema, Drive-in Road,  Gujarat",Ahmedabad,496,Gujarat,IN,380054,"079-40056201, 27486201 ",24573603096C,NULL,24573603096V,NULL,ACUFS2340FEI002,NULL,"0,1",NULL,NULL
89,"Akshat Enterprises",27ABDPK1485H1ZN,NULL,"204, United Business Park, Behind Old Pass Port office, Road No.: 11, Wagle Industrial Estate",Thane,505,Maharashtra,IN,400602,"022-25801270/71/72/73 9029022930.",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
90,"Unique Industrials",36BNPPB8781G1ZK,NULL,"5-1-570, Hill Street, Near City Lite Hotel Ranigunj,",Secunderabad,870,Telangana,IN,500003,"09810870907, 09652423984",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
91,"Uptech Engineering",27ANLPS2142M1ZJ,NULL,"Gat No. 274, Nanekar Wadi, Chakan Tal.: Khed,",Pune,505,Maharashtra,IN,410501,"02135-325004, 09881075004, 09689002963",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
92,"Deluxe Electrical Corporation",27AAHPM5670M1Z5,NULL,"Plot No.-158, A- Wing, 2nd Floor, Kanji Gokuldas Building Lohar Chawl, ",Mumbai,505,Maharashtra,IN,400002,"022-22057088, 09323040806",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
93,"Impex Tools",27AEVPM8926J1ZK,NULL,"Survey No.447/5,CTS 2141,Mayur-Sumit Complex, 1st Floor,Office No.3, Near Om Sweets, Above Hotel Akash, Kasarwadi,",Pune,505,Maharashtra,IN,411034,"020 27147281 / +91 9405476211
 9860147989 / +91  9371066611",NULL,NULL,27100133947V,NULL,NULL,NULL,"0,1",NULL,NULL
94,"Powerflex Industries",27AAAFP0309B1ZZ,NULL,"POWERFLEX HOUSE,PLOT NO. 500,SONAWALA  CROSS ROAD NO.2,GOREGOAN (E).",Mumbai,505,Maharashtra,IN,400063,"(022) 67047722,65702629,26850724",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
95,"Core Safety Group",27AAAFS3113Q1Z1,NULL,"A-303, Raj Cresent, Royal Complex, Eksar Road, Borivali West, Maharashtra",Mumbai,505,Maharashtra,IN,400091," 022-2615225 / +91-9619720330",27490101092C,NULL,27490101092V,NULL,NULL,NULL,"0,1",NULL,NULL
96,"Deluxe Industrial Gases",27AAFFD5258G1ZE,NULL,"Shrey Building, S. No. 143 Dhayari, Opposite Lakmat, Sinhagad Road Maharashtra",Pune,505,Maharashtra,IN,411041," (079) 2216 3368 / 91-8446000975",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
97,"Super Hydro Pneumatic",27AACPS6050N1ZA,NULL,"39, Om Arcade, Ground Floor Plot No.1, Sector - 20, Opp. Turbhe Station (W) Maharashtra","Navi Mumbai",505,Maharashtra,IN,400705,"022-27846963, 61103900
09004686977, 09223306963",NULL,NULL,27710090204V,NULL,NULL,NULL,"0,1",NULL,NULL
98,"International Tools Syndicate",27AABFI0510Q1ZF,NULL,"124 Narayan Dhuru street 1st floor, Nagdevi area",Mumbai,505,Maharashtra,IN,400003,"09930311683 - himanshu",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
99,"Kale Enterprises",27AYKPK0145Q1ZZ,NULL,"08, Sai Niwas Darshan Laxmi Baug, Rajaram Bane Road, Ghatkopar (East) ",Mumbai,505,Maharashtra,IN,400075,9822297149,27510834789C,NULL,27510834789V,NULL,NULL,NULL,"0,1",NULL,NULL
100,Novabond,27AAGFN3265L1ZX,NULL,"Karim House  Dr.C.H.Steet, Dhobitalow. Maharashtra",Mumbai,505,Maharashtra,IN,400002,"22-66347633, 22-66314273  / 91-81081-12073","27610616290 C",NULL,"27610616290 V",NULL,NULL,NULL,"0,1",NULL,NULL
101,"Rose Cleanwell",27AROPG3447Q1Z2,NULL,"200, Narshi Natha Street,  Bhat Bazar , Masjid  ",Mumbai,505,Maharashtra,IN,400009,"9833734584,",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
102,"Jacks Enterprise",24AADFJ2773N1Z3,NULL,"1, Kailashpati Chambers, Opposite Railway Station,  Near Hotel Sunrise, Reid Rd, Revdi Bazar, Kalupur,",Ahmedabad,496,Gujarat,IN,380002,"9825948422
/8469280420",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
103,"Kanti Electric and Hardware",27AACPK0434A1ZH,NULL,"Rambaugh,opp.technopo park, Mahakali Caves Rd, Andheri East,  Maharashtra",Mumbai,505,Maharashtra,IN,400093,"022 - 26872016",NULL,NULL,27450069686V,NULL,NULL,NULL,"0,1",NULL,NULL
104,"Swastik Auto Accessories Pvt. Ltd. ",27AAJCS9825R1Z9,NULL,"Jaffarbhai Compound Opp. Paper Mill LBS Marg Vikhroli (W) Maharashtra",Mumbai,505,Maharashtra,IN,400083,"022-43404600, 23638519, 66595740",27210550065C,NULL,27210550065V,NULL,NA,NULL,"0,1",NULL,NULL
105,"Max Corporation","No GST Number",NULL,"95, Dulya Maruti Chowk Laxmi Rd, Ganesh Peth",Pune,505,Maharashtra,IN,411002,"020 - 26344945",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
106,"Tej Engineering",27ACEPG8546R1ZV,NULL,"B/1006, Bsel Tech Park, Sector 30A, Plot No. 39/5, Vashi","Navi Mumbai",505,Maharashtra,IN,400705,"022-27814886/87, 08108198201",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
107,"Novus Industrial Corporation",27ACDPY2589H1Z0,NULL,"Plot No.13, Mathura Society,  Chandan Nagar,  Maharashtra",Pune,505,Maharashtra,IN,411014," (91-22) 2342 4274 / (91-22) 2612 0146 / 91-9820094119",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
108,"Gokul Plast",24AKTPP8939L1Z3,NULL,"50/1, GHANSHYAM ESTATE,E,MARGHFARM ROAD OPP,MAMTA NAGAR, VIRAT NAGAR CROSS ROAD, BHAPUNAGAR",Ahmedabad,496,Gujarat,IN,380024,"(79) - 22775030 / 9426937558 / 9712937558",24575104013,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
109,"Khemanand Enterprises",27AADFK8310L1Z7,NULL,"3, 280, Nagdevi St, Lohar Chawl, Kalbadevi,",Mumbai,505,Maharashtra,IN,400003,"098208 14007",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
110,"Smith Engineering Co.",24AABFS2833A1ZU,NULL,"C 48 Aust Vinayak Complex, , Opp Dariapur Gate Bardolpura",Ahmedabad,496,Gujarat,IN,380004,080-25456229,24070204804C,NULL,24070204804V,NULL,NULL,NULL,"0,1",NULL,NULL
111,"Kothari Engineering Corporation",24AIDPK7050P1ZO,NULL,"2304, Nani Makeriwad, Kadia Kui,  Opp. Hotel Swagat, Relief Road,  Gujarat",Ahmedabad,496,Gujarat,IN,380001,"079 2213 8162",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
112,Synthoex,"No GST Number",NULL,"Unit No.3, 'A', Bharath Indl Estate, Off Lake Road, Opp. Hind Rectifier, Bhandup (W)",Mumbai,505,Maharashtra,IN,400078,"09869434826
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
113,"Ramson Health Care","No GST Number",NULL,"No. 2, N. M. Lane, Ward No. 29, Cottonpet Police Station Cross  ",Bengaluru,501,Karnataka,IN,560053,"(080) 41573008 / 41476610",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
114,"Hitech Electronics",27AAEPS2889K1ZZ,NULL,"PURSHOTTAM BLDG, 'B' WING, 25 - B, 3RD FLOOR, TRIBHUVAN ROAD, OFF LAMINGTON ROAD,  Maharashtra",Mumbai,505,Maharashtra,IN,400004," 22-32100302 / 9820371882, viren seth - ",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
115,"Genesis Industrial Solutions",27AAFCA1825R1ZB,NULL,"Plot no.: X-279/C, Behind Tripathi Hospital, Waluj MIDC,",Aurangabad,505,Maharashtra,IN,431136,"0240-2552666 
9604348598
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
117,"Vardhman Distributors",24AAGFV5325H1Z7,NULL,"C-16 Supath 2 complex, Opp old vadaj bus stop, Ashram road, Usmanpura,",Ahmedabad,496,Gujarat,IN,380059,"079-27557576 / 98253 85847",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
118,NULL,24AHXPP0575F1ZZ,NULL,"1492/2 Mahadev No Khancho, Mamunayak Ni Pole, Gandhi Road, Gujarat",Ahmedabad,496,Gujarat,IN,380001," 91-22-28269433 / 919833224898",NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL
120,"Shree Laxmi Trading",24AHKPP8338B1ZB,NULL,"D F 6, Krishna Complex, Sanand Raod, Opposite IBP Petrol Pump, Behind S G Road, ","Sarkhej, Ahmedabad",496,Gujarat,IN,382210,09687689088,24574201575,NULL,24074201575,NULL,N.A,NULL,"0,1",NULL,NULL
121,"Krishna Trading Co.","No GST Number",NULL,"Opposite Raipur Mill,  Near Ramdev Masala, Saraspur  ",Ahmedabad,496,Gujarat,IN,380018,"9740956051-56 / +91-9825463798",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
122,"Madhuraj Industrial Gases Pvt. Ltd. ",24AAECM2039E1ZX,NULL,"641/8, Eranda Hall, Kapasia Bazaar, Kalupur,",Ahmedabad,496,Gujarat,IN,380002,"079-22167118 / 22131553",24570403798,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
123,"Shree Parshwa Enterprise",24ALSPS7478M1ZX,NULL,"No. 2, First Floor, Vinod Chambers, O/s. Dariapur Darwaja,Dariapur,  Gujarat ",Ahmedabad,496,Gujarat,IN,380001,"098253 93993,079-22134051",24570601460,NULL,24070601460,NULL,NULL,NULL,"0,1",NULL,NULL
124,"OKI Bering Middle East FZE","No GST Number",NULL,"FZS1-BM02, Jebel Ali Free Zone Dubai",UAE,702,Dubai,AE,NULL,"9371100524
",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
125,"Penguin Engineers",33AEEPK4027M1ZK,NULL,"3/184, Kondayampalayam Village, Vaiyampalayam Post,",Coimbatore,515,"Tamil Nadu",IN,641110,"422 - 6505007, 2915244, 2654194",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
126,"Yusuf Enterprises",27AAAFY8093M1ZE,NULL,"154 Ground Floor, Narayan Dhuru St,  Chippi Chawl, Kalbadevi,",Mumbai,505,Maharashtra,IN,400003,"022 2342 0452",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
127,"Devang Steels",24AABFD3918M1ZG,NULL,"B/205, Nirman Complex, 2nd Floor, Opp. Havmore  Restaurant, Navrangpura,",Ahmedabad,496,Gujarat,IN,380009,"+(91)-79- 66300003  +(91)-9227402073, 9825095789, 9227402075",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
128,"Zylok Valves and Engineering Industries",24CFZPS7301N1ZL,NULL,"D-409, Shivalik Corporate Park, Behind IOC Pump, 132 Feet Ring Road, Satellite,  Gujarat",Ahmedabad,496,Gujarat,IN,380015,"98240 38086",24573804009,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
129,"Samrat Enterprise","No GST Number",NULL,"NO-25 GOPAL PARK, MAYA CINEMA ROAD, NEW G-WARD, KUBER NAGAR Gujarat",Ahmedabad,496,Gujarat,IN,382340,"9426700877, +919408365069, +919913700877, +917227980877, +919099500877, +91",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
131,"Central Electricals and Electronics Pvt. Ltd. ",27AAACC4149D1Z0,NULL,"4th Floor, Office No. 47,  Tardeo AC Market, Maharashtra",Mumbai,505,Maharashtra,IN,400034,"022 2351 6625",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
133,"Boon Distribution Pvt. Ltd. ","No GST Number",NULL,"Level 3, White Flint Nest, Behind Ganga Cascade, Near FIAT Showroom, Koregaon Park,",Pune,505,Maharashtra,IN,411001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
134,"Hem Controls",27AABHN5682G1Z0,NULL,"Astavinayak Industries Area, Shed No.3,  Parvati Nagar, Narhegaon,Taluka Haveli,",Pune,505,Maharashtra,IN,411041,9930311683,27980025987C,NULL,27980025987V,NULL,NULL,NULL,"0,1",NULL,NULL
135,"Stanley Black and Decker India Pvt. Ltd.",27AAACB4681R1Z3,NULL,"803, FILIX Opp - Asian Paints, LBS Marg, Bhandup (West) ",Mumbai,505,Maharashtra,IN,400078,"020-66203871, 09920739364",NULL,NULL,NULL,NULL,NULL,NULL,"2,3",NULL,NULL
136,"A Kumar and Co.",27ADUPS8278F1ZL,NULL,"140/142, Princess Street,   Govind Building, 3Rd Floor,",Mumbai,505,Maharashtra,IN,400002,"022 2205 6443",27090384552C,NULL,27090384552V,NULL,NULL,NULL,"0,1",NULL,NULL
138,"Badami Industrial Corporation",27AAEPB8709M1ZH,NULL,"1-8, Kawarana CHS Ltd. 26 P. D. Mello Road Maharashtra",Mumbai,505,Maharashtra,IN,400009,"09322221610  23707608",27410383406C,NULL,27410383406V,NULL,NULL,NULL,"0,1",NULL,NULL
139,"Nexus Alloys And Steels Pvt. Ltd.",27AACCNI394HLZE,NULL,"R.K.BLDG NO. 3 , 8th KHETWADI , SHOP NO. 8",Mumbai,505,Maharashtra,IN,400004,"(22)-6117 2222 / 6651 8629   , (22) 6117 2224",276704043L2C,NULL,276704043L2V,NULL,NULL,NULL,"0,1",NULL,NULL
140,"New Era Engineering",27AABPA1949D1Z8,NULL,"521, Cutch Castle, S.V.P Road,  Opera House,  Maharashtra",Mumbai,505,Maharashtra,IN,400004,022-28843054,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
142,"Survival One Ltd.","No GST Number",NULL,"Unit 2-5, Balmoor Industrial Estate Peterhead "," Aberdeenshire",555,Aberdeenshire,GB,"AB42 1QG"," 91-22-21027867 ",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
143,"Huckfinn Adventure Gear","No GST Number",NULL,"Forest Road, Industrial Area Dhalwala,",Rishikesh,518,Uttarakhand,IN,249201,"+(91)-1334-2435710, +(91)-9897684867 ",NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL
