Warehouse Code,Warehouse Name,GST,Internal Key,Group Code,Inventory Account,Cost of Goods Sold Account,Allocation Account,Locked,Data Source,User Signature,Tax Group,Street,Block,Zip Code,City,County,Country,State,Location,Drop-Ship,Exempt Revenue Account,Allow Use Tax,Nettable,Object Type - History,Log Instance - History,Creation Date - History,Updating User - History,Date of Update - History,Business Place ID,Owner Code,Negative Inventory Adjustment Acct,Stock In Transit Account,Address Type,Street No.,Purchase Balance Account,Excisable [Yes/No],Incoming CENVAT Account (WH),Outgoing CENVAT Account (WH),Ship-to Name (WH),WIP Offset P&L Account,Inventory Offset P&L Account,Storekeeper,Shipper,Bin Activated [Y/N],Bin Separator,Default Bin Internal Number,Default Bin Enforced [Y/N],Auto. Issue Method,Drop-Ship Manage SnB,Receiving Bin Locations Method,Enable Receiving Bin Locations,Global Location Number,Restrict Receipts to Empty Bin,Inactive,Recv. up to Max. Qty,Auto. Receipt Method,Recv. up to Max. Weight,Receive up to,Free of Charge Sales Account,Free of Charge Purchase Account,Tax Office,Address Name 2,Address Name 3,External,Bank,Address,Account Name,NEFT/RTGS Code,Account Number
14,Amazon Online Sales,,,,,,,N,I,1,,"2nd Floor, A Wing, Todi Estate, Sun Mill Compound, Lower Parel West",,400013,Mumbai,,IN,MH,1,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
11,Delhi - Janakpuri,07AAGCB7343G1ZP,,,,,,N,I,1,,"C-6B, 156 Janakpuri","C-6B, 156",110058,New Delhi,,IN,DL,7,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,8,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
4,Naroda,24AAGCB7343G1ZT,,,,,,N,I,1,,"Off - I - 46/6, Phase - 3, Naroda - GIDC, Opp Mazda Limited, Near Nana Chiloda Chokdi, Ahmedabad 382330, Gujarat",,382330,Ahmedabad,,IN,GJ,4,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
5,Banglore,,,,,,,N,I,1,,"No. 10/1 Shree Balaji Abode,Flat No. 102,1st Floor,1st Main Road,A.K Colony S.G. Paliya,DRC Post,Bangalore 560029,Karnataka",,560029,Bangalore,,IN,KA,9,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,9,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
8,BulkMRO Services (ST 15%),27AAGCB7343G1ZN,,,,,,N,I,1,,"2nd Floor, A Wing, Todi Estate, Sun Mill Compound, Lower Parel West, Mumbai 400013, Maharashtra",,400013,Mumbai,,IN,MH,1,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
9,GE warehouse,27AAGCB7343G1ZN,,,,,,N,I,1,,"C/O Expeditors International (India) Pvt. Ltd.Shree Sai Corporation,Building No.C1 Mumbai Nashik Highway,Next to Sangrila Resort, Opp. R.K. Petrol Pump,Borivli (Kuksha) Village Bhiwandi,Thane 421302,Maharashtra",,421302,Thane,,IN,MH,3,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
10,Alstom - Addison Open Order,24AAGCB7343G1ZT,,,,,,N,I,1,,"Off - I - 46/6, Phase - 3, Naroda - GIDC Opp Mazda Limited,Near Nana Chiloda Chokdi Ahmedabad 382330 India ",,382330,Ahmedabad,,IN,GJ,,N,,N,Y,64,,30-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
12,Bulk MRO Industrial Supply Inc (USA),,,,,,,N,I,1,,"Bulk MRO Industrial Supply Inc.14825 Botany Way,North Potomac,MD, 20878-4205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ahmedabad,24AAGCB7343G1ZT,,,,,,N,I,1,,"Plot No. 9999,Near Chamunda Temple At. Visalpur, Sarkhej Dhoka Highway,Taluka - Daskroi,Ahmedabad 382210,Gujarat",,382210,Ahmedabad,,IN,GJ,6,N,,N,Y,64,,30-Nov-2017,,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
16,BulkMRO Inc - Bhiwandi,,,,,,,N,I,1,,"C/O Expeditors International (India) Pvt. Ltd. Shree Sai Corporation,Building No.C1 Mumbai Nashik Highway,Next to Sangrila Resort Opp. R.K. Petrol Pump,Borivli (Kuksha) Village Bhiwandi,Thane 421302, Maharashtra",,421302,Thane,,IN,MH,3,N,,N,Y,64,,30-Nov-2017,,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
17,Sarkhej,,,,,,,N,I,1,,"Plot No. 9999, Near Chamunda Temple At. Visalpur,Sarkhej Dhoka Highway,Taluka - Daskroi,Ahmedabad 382210,Gujarat",,382210,Ahmedabad,,IN,GJ,5,N,,N,Y,64,,30-Nov-2017,,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
29,Drop Ship - Chennai,,,,,,,N,I,1,,"Sai Krupa Apartments, Kilbann Nagar, Madhavaram,Chennai",,600060,Chennai,,IN,TN,,N,,N,Y,64,,30-Nov-2017,,31-May-2018,1,1,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
30,Hyderabad - SCB,,,,,,,N,I,1,,"SY No. 80, SCB Nagar, Subhash Chandra Bose Nagar, Hafeezpet, Hyderabad 500049, Telangana",,500049,Hyderabad,,IN,TL,14,N,,N,Y,64,,30-Nov-2017,,31-May-2018,1,1,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
