SKU,SKU Description,Last Buying Price,Image Link
BM9R9V9,BOYA Collar Microphone for Camera and Mobile,1186.44,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjQq5T4iqffAhVBf30KHfqHAiYQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FBOYA-Microphone-Windscreen-Windshield-Smartphones%2Fdp%2FB01M2VC8GF&psig=AOvVaw2PgkVEJgINFqW5JygqZPk-&ust=1545143690076697
BM9J0H2,"RODE Compact Directional On-Camera Microphone, Grey and Black - VMPRPLUS",20338.98,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiUosWEi6ffAhUIdysKHReSCHoQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.in%2FRode-VMPRPLUS-Compact-Directional-Microphone%2Fdp%2FB0749GV5L3&psig=AOvVaw00LebyZV5zPsbJ2NQIc8Th&ust=1545143715331668
BM9C6N6,"SANDISK Ultra Micro SDXC Memory Card, Class 10, Memory Storage Capacity 128 GB",3389.83,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjF7N6Ni6ffAhXaZCsKHcIQA9wQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.in%2FSanDisk-Ultra-MicroSDXC-Memory-Adapter%2Fdp%2FB010Q57S62&psig=AOvVaw0DRVLFsPQmj2FicllSyflH&ust=1545143732280189
BM9S7O3,"PANASONIC Battery, Height 2 Width 2 DMW-BLF19""",2957.63,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjZib6Vi6ffAhWPWysKHc5rDAMQjRx6BAgBEAU&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F902115-REG%2FPanasonic_DMW_BLF19_Battery_Pack_For.html&psig=AOvVaw3kDpvL1LRwSH6D6GQOYy9R&ust=1545143751788399
BM9Y7Z1,VILTROX Micro Four Third to Canon EFS Adaptor,8898.31,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiWqaqhi6ffAhXPV30KHZA8Aq4QjRx6BAgBEAU&url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FViltrox-EF-M1-Lens-Adapter-Ring-Mount-AF-Auto-Focus-for-Canon-EF-EF-S-Lens%2F32869928032.html&psig=AOvVaw2Evki5o6K2BKYyb4PYgdqb&ust=1545143767904385
BM9Q2X4,CANON EF70-300mm f/4-5.6L IS USM Lens,74576.27,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjsjIKpi6ffAhVEOSsKHVOXDIEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.the-digital-picture.com%2FReviews%2FCanon-EF-70-300mm-f-4-5.6-IS-L-USM-Lens-Review.aspx&psig=AOvVaw1E6WG1ywv_pan4vjas2ZIB&ust=1545143792963425
BM9S7V4,PANASONIC 20.3 Mega Pixel Panasonic LUMIX GH5 4K Mirrorless Camera with Lecia Vario-Elmarit 12-60 mm F2.8-4.0 Lens - DC-GH5K,128515.6,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjIsYyzi6ffAhWDfysKHafhALsQjRx6BAgBEAU&url=https%3A%2F%2Fshop.panasonic.com%2Fcameras-and-camcorders%2Fcameras%2Flumix-interchangeable-lens-ilc-cameras%2FDC-GH5KBODY.html&psig=AOvVaw2ZvouhhYLmjvJ62UVhQefT&ust=1545143808548949
BM9L8S2,software,104500,
BM9U8W0,"TITMUS Vision Screener Occupational Model, Operate Control Panel - V4",441750,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwio6_7Di6ffAhUHWX0KHZt2AgwQjRx6BAgBEAU&url=https%3A%2F%2Fwww.honeywellsafety.com%2FProducts%2FEye_and_Face_Protection%2FTitmus_V4_Vision_Screener.aspx%3Fsite%3D%2Fusa&psig=AOvVaw0NpRUKduhgKYjEGmleHkjr&ust=1545143849173543
BM9X4D9,LED Garden UP Lighter 34 Watts1) Repairing2) Base should make stainless steel3) Two years warrenty,3800,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwju2p3Ri6ffAhUMcCsKHVhTDycQjRx6BAgBEAU&url=https%3A%2F%2Fwww.homedepot.com%2Fp%2FGama-Sonic-Baytown-Solar-Black-Outdoor-Post-Wall-Light-with-Bright-Warm-White-LEDs-GS-106FPW-B%2F205665107&psig=AOvVaw0iRR1UGssFh7RS1KHKxTP_&ust=1545143876247875
BM9V6E7,LED Garden Uplighter 34 watts (NEW)1) Aluminum Housing2) Stainless steel base3) Cree LED4) Fullham Driver5) Two years warrenty,7200,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjN_-Dli6ffAhXBXCsKHYx1CLIQjRx6BAgBEAQ&url=http%3A%2F%2Fwww.cree-europe.com%2Fwp-content%2Fuploads%2F2016%2F10%2F40_1_en-1.pdf&psig=AOvVaw2etIEtfO2EYkedCf-RJlAT&ust=1545143909672716
BM9T1Y7,LED garden uplighter 24 Watts1) Repairing 2) Base should make Stainless steel3) Two years warranty,3400,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwilxvXvi6ffAhUWXSsKHe2KBmcQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FBrightech-Tree-Spotlight-Floor-Lamp%2Fdp%2FB073DKKM64&psig=AOvVaw2GetVrNYTC2qbkkgpbneN2&ust=1545143938303933
BM9Y4A9,LED Garden uplighter 24 Watts( NEW)1) Aluminum housing 2) Stainless steel Base3) Cree led 4) Fullham driver5) Two years warranty,6700,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwilxvXvi6ffAhUWXSsKHe2KBmcQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FBrightech-Tree-Spotlight-Floor-Lamp%2Fdp%2FB073DKKM64&psig=AOvVaw2GetVrNYTC2qbkkgpbneN2&ust=1545143938303933
BM9S4E9,LED under water Fountain light15 watts with RGB IP 68SS Finish Two years warranty,8900,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjXquL-i6ffAhVDJHIKHfvsDmQQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FLOFTEK-LED-RGB-Cube-Lights%2Fdp%2FB00GOJDB7A&psig=AOvVaw0yD9UR5ikXk1eH9GLTq5pa&ust=1545143963441260
BM9S6D9,"BULK MRO APPROVED LED Under Water Fountain Light, Power 15W, Colour Red/Green/Blue, Warranty 2 Year",5600,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjOyemLjKffAhUFXysKHbLHD98QjRx6BAgBEAU&url=https%3A%2F%2Fwww.dhgate.com%2Fproduct%2Fretail-sample-3w-led-landscape-spot-lights%2F235798068.html&psig=AOvVaw02ALGh0MHb_eIplrhoj2-7&ust=1545143990998564
BM9X1X1,"WELCH ALLYN Integrated Aneroid Sphygmomanometer, Width 7.62 cm, Height 15.24 cm, Depth 5.08 cm - DS44",3300,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiqlo-UjKffAhUNOSsKHZ-2B7IQjRx6BAgBEAU&url=https%3A%2F%2Fwww.welchallyn.com%2Fcontent%2Fwelchallyn%2Flatam%2Fbr%2Fproducts%2Fcategories%2Fblood-pressure-measurement%2Fsphygmomanometers%2Fdurashock-bronze-series-sphygmomanometers%2Fbronze_series_ds44_integrated_aneroids.html&psig=AOvVaw3q7rTifQxp-w9mDMGfoey2&ust=1545144015909569
BM9Q9Z2,"LUKER Neon LED Flexible Strip Outdoor Light, Voltage 220V, Colour White/Warm White/Blue - LSO2835",270.4,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiFq8mdjKffAhUHXCsKHeR5CBsQjRx6BAgBEAU&url=http%3A%2F%2Fwww.lukerindia.com%2Fled-strip-lights.html&psig=AOvVaw27SM2IijGmCxWG8etPEc7F&ust=1545144036794507
BM9I1Z4,"BULK MRO APPROVED 2” Electrically Actuated PVC Solenoid Valve, Voltage 230V",3500,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwib9NqojKffAhUWFHIKHS-IBRgQjRx6BAgBEAU&url=http%3A%2F%2Fstore.rainbird.com%2F100hvmb-1-in-hv-series-inline-sprinkler-valve-male-x-barb.html&psig=AOvVaw0tdQF5OV3pfKIHsWaIfFCO&ust=1545144052967000
BM9Z4K8,"BULK MRO APPROVED 1.1/4\"" Revolving Castor Wheel, Material Fiber, Width 4 X 32 mm",410,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjWqpnHjKffAhUIbisKHdWKCiAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fwheel-castor-2706457548.html&psig=AOvVaw1ZF7wEq_Ybv9S6aDOeay9f&ust=1545144125267981
BM9Z6B2,"MS FLANGES, D TABLE, 2.5\""-OD-181.5MM, ID-62.6MM, PCD-143.9MM, THIKNESS-20MM",495,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi8gJfUjKffAhVSdCsKHWObASkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Ftable-d-ms-flange-11815360473.html&psig=AOvVaw1IsFI8mBTZkz_eW2Da-9mi&ust=1545144152527735
BM9V1K4,"MS FLANGES, D TABLE, 3\""- OD-200MM, ID-75MM,PCD-165MM, THIKNESS-20MM",500,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjR0KenjKffAhUYA3IKHf9kAC4QjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Ftable-d-ms-flange-11815360473.html&psig=AOvVaw3P_ArP9IwtmU5tKNp4aP66&ust=1545144058459610
BM9B1V3,500 ml spray bottle heavy duty cleaner,600,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjK9tCXjKffAhXYfn0KHTBiAYkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.co.uk%2FEmpty-Amber-Brown-Glass-Bottle%2Fdp%2FB073XZB5RZ&psig=AOvVaw1KWpN6NxlGGaiPmC_IX1Zw&ust=1545144020080593
BM0K9T2,Caustic soda Flackes - 50kg bag,44,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiUoZyNjKffAhXUV30KHWYiD_wQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2F50-kg-caustic-soda-flakes-18942321791.html&psig=AOvVaw3EQTHAdw5iXs9lOF775C45&ust=1545144001899984
BM9Q2E6,Crompton Greaves fans High Flo Wave - White,1504.237,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwi1obaEjKffAhXIZSsKHc4BBA0QjRx6BAgBEAU&url=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fcrompton-greaves-16-hiflow-pedestal%2F659253846756&psig=AOvVaw1zp-qoU4Km4jyc6nwpBxXA&ust=1545143982763121
BM9E2O1,"PHILIPS Greenline Smart LED Street Light, Voltage 240V, Wattage 25W - BRP020",2223.21,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiOtLD-i6ffAhXPbisKHYFDDBYQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fgreenline-smart-led-16503913333.html&psig=AOvVaw28tJcW32xl7DUgesYHYjXp&ust=1545143968835638
BM9E2I5,"BULK MRO APPROVED LED Garden UP Lighter, Power 34W, Base Material Stainless Steel, Warrenty Two Years",7200,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiq0M7Ui6ffAhVSU30KHUHlCwEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2F100-warranty-304-stainless-steel-24V-18W-Underwater-LED-Light-RGB-Pool-Light-White-Swimming-Pool%2F32707673857.html&psig=AOvVaw2QsK3GfO06QxTn7tPWLoe3&ust=1545143868522933
BM9S9C7,"BULK MRO APPROVED LED Garden Up Lighter, Power 24W, Base Material Stainless Steel, Warranty Two Years",6700,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiq0M7Ui6ffAhVSU30KHUHlCwEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2F100-warranty-304-stainless-steel-24V-18W-Underwater-LED-Light-RGB-Pool-Light-White-Swimming-Pool%2F32707673857.html&psig=AOvVaw2QsK3GfO06QxTn7tPWLoe3&ust=1545143868522933
BM9I6D4W,"NIKON ACULON, Magnification 16x, Objective Dia 50 mm - A211",7339,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjU45DDi6ffAhWZfn0KHc3rDPcQjRx6BAgBEAU&url=https%3A%2F%2Fwww.bhphotovideo.com%2Fc%2Fproduct%2F910783-REG%2Fnikon_8250_16x50_aculon_a211.html&psig=AOvVaw2BVmgeYzLJ_9g4nJ6VSY2s&ust=1545143841709779
BM1D1J5,GROZ Continuous Duty Electric Diesel Pump - CDP/220/EU,9738.18,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjHytG4i6ffAhVLTn0KHTJ2ARgQjRx6BAgBEAU&url=http%3A%2F%2Fwww.groz-tools.com%2Findex.cfm%3Fmd%3DContent%26sd%3DProduct%26ProductID%3D547&psig=AOvVaw1ntfr9hKwisWyLdJSI_--R&ust=1545143811080797
BM9P6Y3,"5 HP MONOBLOCK PUMP,PIPE SIZE-80*65MM",18200,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjArLysi6ffAhVBFHIKHYUtDakQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttps%253A%252F%252Fwww.indiamart.com%252Fproddetail%252F5-hp-monoblock-pump-9279811348.html%26psig%3DAOvVaw3byYD9lYdBgjZb224ZkKcG%26ust%3D1545143784317363&psig=AOvVaw3byYD9lYdBgjZb224ZkKcG&ust=1545143784317363
BM9T2G7,"ASMIRA Syn Enamel Paint, Colour Red",228.81,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwib_fqBi6ffAhUWAXIKHcgmA04QjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Fenamel-paints.html&psig=AOvVaw1U-BtlNvKSD7RFfmb3Afb8&ust=1545143708388110
BM9U4M5,"ASMIRA Syn Enamel Paint, Colour Orange",196.92,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwib_fqBi6ffAhUWAXIKHcgmA04QjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Fenamel-paints.html&psig=AOvVaw1U-BtlNvKSD7RFfmb3Afb8&ust=1545143708388110
BM9U1B1,"ASMIRA Syn Enamel Paint, Colour Light Green",207.46,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwib_fqBi6ffAhUWAXIKHcgmA04QjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Fenamel-paints.html&psig=AOvVaw1U-BtlNvKSD7RFfmb3Afb8&ust=1545143708388110
BM9V9V1,"ASMIRA Syn Enamel Paint, Colour Dark Green",177.67,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwib_fqBi6ffAhUWAXIKHcgmA04QjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Fenamel-paints.html&psig=AOvVaw1U-BtlNvKSD7RFfmb3Afb8&ust=1545143708388110
BM9W9M3,"ASMIRA Epoxy Paint, Colour Grey",207.63,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjNhb77iqffAhWQWX0KHbuyAzUQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fchloro-red-lead-primer-8970332933.html&psig=AOvVaw2FLorliHYKqBvS0-VJqAo4&ust=1545143686093562
BM9U9S8,"ASMIRA Aluminum Paint, Colour",224.9,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi6q5DniqffAhXKAnIKHU0tDTgQjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Faluminium-paints.html&psig=AOvVaw2fFsJXcNDI7wcY8Hkixnj2&ust=1545143652813504
BM9U3J8,ASMIRA G.P Thinner,84.75,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjn8tXfiqffAhUaVysKHft2AR4QjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fgp-thinner-2963864255.html&psig=AOvVaw2l9G0AMGa_MBOvXpeQTtZx&ust=1545143636541444
BM9V3V6,"ASMIRA Syn Enamel Paint, Colour Grey",201.27,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjIsJzTiqffAhVUfysKHUI6Ak0QjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttps%253A%252F%252Fdir.indiamart.com%252Fmumbai%252Fenamel-paints.html%26psig%3DAOvVaw2ErH9LS4DELrCqLsXxUUXp%26ust%3D1545143588282060&psig=AOvVaw2ErH9LS4DELrCqLsXxUUXp&ust=1545143588282060
BM9U9M6,"ASMIRA Syn Enamel Paint, Colour Black",177.67,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiPk6fCiqffAhULOisKHXG4C3kQjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fmumbai%2Fsynthetic-enamel-paint.html&psig=AOvVaw1a8wQglAxYkU0VVsWYkeB-&ust=1545143576818531
BM9Y6A8,ms wire mesh 2mm hole 50 mm dia,428.26,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjb66axiqffAhXOdH0KHc_nDSUQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttps%253A%252F%252Fdir.indiamart.com%252Fimpcat%252Fwelded-wire-mesh.html%26psig%3DAOvVaw1rWd3GVMVPIR424tq8Y9Y0%26ust%3D1545143533470063&psig=AOvVaw1rWd3GVMVPIR424tq8Y9Y0&ust=1545143533470063
BM9Z6G7,"WELDING ELECTRODE HOLDER,600A (Medium)",697.5,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwicseamiqffAhVPFHIKHceGAgkQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttps%253A%252F%252Fwww.tolexo.com%252Fesab-esab-electrode-holder-confort-600-t017008645.html%26psig%3DAOvVaw2zJLkxrpGm4eX2reepHhfR%26ust%3D1545143492710390&psig=AOvVaw2zJLkxrpGm4eX2reepHhfR&ust=1545143492710390
BM9Q6P8,"WELDING CABLE, 32A, 25SQ.MM",123,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwimhoyKiqffAhXFbisKHdULDusQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Findustricals%2Felectrical-cables.html&psig=AOvVaw0_ZY6no9feIYNKDHrTGsU_&ust=1545143456479065
BM9Y5M1,"MS CHEQURED PLATE, 5MM THIK",66,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjVrJyBiqffAhUEEnIKHVfoCMUQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fms-chequered-plate-8142428155.html&psig=AOvVaw2zNTi4aRDwVEwwleNMmRTQ&ust=1545143440359474
BM9Z4L5,"MS ROD,12MM",64,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjAzPT5iaffAhXXZCsKHaU_DP4QjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3D%252Furl%253Fsa%253Di%2526source%253Dimages%2526cd%253D%2526ved%253D%2526url%253Dhttps%25253A%25252F%25252Fdir.indiamart.com%25252Ffaridabad%25252Fmild-steel-round-bar.html%2526psig%253DAOvVaw36piTnj5rgOwvQ2pY4SMaO%2526ust%253D1545143375622259%26psig%3DAOvVaw36piTnj5rgOwvQ2pY4SMaO%26ust%3D1545143375622259&psig=AOvVaw36piTnj5rgOwvQ2pY4SMaO&ust=1545143375622259
BM9R5P1,"MS ANGLE, 40 X 5MM",50,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjX7OraiaffAhVCFHIKHRRGD28QjRx6BAgBEAU&url=https%3A%2F%2Fdir.indiamart.com%2Fimpcat%2Fmild-steel-angle.html&psig=AOvVaw0Qa2qOj-6eG8uC0tQjwm6N&ust=1545143358914076
BM9V2W4,Flat 5mmx 25mm,55,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwi-yqHPiaffAhVNXCsKHQauC_UQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3D%252Furl%253Fsa%253Di%2526source%253Dimages%2526cd%253D%2526ved%253D%2526url%253Dhttps%25253A%25252F%25252Fwww.ebay.co.uk%25252Fitm%25252FStainless-steel-flat-strip-25mm-x-5mm-x-1500mm-%25252F110478758387%2526psig%253DAOvVaw2jlE7FvakiTGOzstwjH5qX%2526ust%253D1545143318857237%26psig%3DAOvVaw2jlE7FvakiTGOzstwjH5qX%26ust%3D1545143318857237&psig=AOvVaw2jlE7FvakiTGOzstwjH5qX&ust=1545143318857237
BM9W9B9,MS ERW PIPE 50 MM dia and 2mm thk. Each 6 mtr,236,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiQ-OOqiaffAhVMfSsKHV07AgAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.steeltubes.co.in%2Fmild-steel-pipes-ms-tubes-supplier-manufacturer-india%2F&psig=AOvVaw3iiSqhzKmD0Rlb7Zl_aWQB&ust=1545143257232887
BM9P9U1,"BULK MRO APPROVED Light Glow Acrylic, Color Milky White, Thikness 3 mm",1225,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjj9O-fiaffAhUEU30KHVeMDYMQjRx6BAgBEAU&url=https%3A%2F%2Fwww.alibaba.com%2Fshowroom%2Fmilky-white-thick-acrylic.html&psig=AOvVaw0ZxRvT0YEuSzPLyxog-HB1&ust=1545143234423875
BM9P3G1,"DELLTRON Platform Scale, Capacity 200 KG, Size 20 X 20\"" - DELLP-200K",3500,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiv5IfiiKffAhVPfysKHR1wDXgQjRx6BAgBEAU&url=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2F500x500-mm-platform-scale-14018473688.html&psig=AOvVaw396s9SeKsV2gtwyt_Dazzo&ust=1545143104378530
