idcompany_gstinfo,cmp_id,cmp_name,gst_num,gst_file,address,city,state_code,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,shippingfirstname,shippinglastname,sap_row_num,gst_type,tan_num,sap_row_num
1170,480,"Midland Credit Management India Pvt. Ltd.",06AAECM3260F1ZS,NULL,"28-P Sector - 44","Gurgaon ",497,Haryana,IN,122002,0124-4530300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1173,571,"Mumbai Port Trust","No GST Number",NULL,"Bhandar Bhavan, Muzawar Pakhadi Road, Mazagaon",Mumbai,505,Maharashtra,IN,400010,022-66565656,NULL,NULL,NULL,NULL,NULL,NULL,Subramanian,R.V,"0,1",NULL,NULL,"0,1"
1174,573,"Tech Engineers",27ADIPS2853A1ZM,NULL,"106, Orchid Plaza, Outside New Platform No. 1, Borivali West","Mumbai ",505,Maharashtra,IN,400092,9975682857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1175,574,"Victora Tool Engineers Pvt. Ltd.",06AACCV2097H1Z8,NULL," Sector-58, plot no-290",Faridabad,497,Haryana,IN,121004,7290035520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1176,552,"Rico Auto Industries Ltd.","No GST Number",NULL,"38 Km Jaipur Highway",Gurugram,497,Haryana,IN,122001,09718523213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1177,376,"Bulk MRO Industrial Supply Pvt. Ltd.",27AAGCB7343G1ZN,NULL,"205, Kewal Industrial Estate,S. B. Marg, Lower Parel",Mumbai,505,Maharashtra,IN,400013,022-4924921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1178,87,"Cummins Technologies India Pvt. Ltd.",27AABCT2018B1ZY,NULL,"Cummins India Office Campus, Tower A, 2nd, 4th & 8th Floor, Survey No.  21, Balewadi",Pune,505,Maharashtra,IN,411045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL,"0,1"
1179,575,"Jyoti Trading Corporation",24AABFJ2259H1ZL,NULL," 2375/c/2, Merrium Terrace, Near Zakaria Masjid,  Relief Road",Ahmedabad,496,Gujarat,IN,380001,9925006655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1185,500,"DHR Holding India Pvt. Ltd.","No GST Number",NULL,"(Kavo Kerr), Art Guild House, Survey No 5 A, New CTS 124 A of Village Kurla-Kirol, LBS Marg, Kurla","Mumbai ",505,Maharashtra,IN,400070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1186,576,"Panchal Manufacturing Co. Pvt. Ltd.",06AABCP6528J1ZA,NULL,"36 A, Industrial Area N.I.T.",Faridabad,497,Haryana,IN,121001,"9266625082 ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1187,485,"Mavani Engineering and Die Maker","No GST Number",NULL,"Shree Vallabh Estate Shed No 22, , Nr Uday Paper Mill, Shapar Veraval","Rajkot ",496,Gujarat,IN,360002,9427268730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1190,577,"Aim Filtertech Pvt. Ltd.","No GST Number",NULL,"Gat No. 1264, Grampanchayat Property No. 921, Vadhu Bk, Pabal Road, Near Koregaon Bhima, Tal: Shirur","Pune ",505,Maharashtra,IN,412216,9766649423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1198,38,"Applied Analytics, Inc. (UK)","No GST Number",NULL,"32 Wigmore Street, 1st Floor",London,605,England,GB,W1V2RP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1199,21,"Aastral Industries",24AANFA1015A1ZC,NULL,"388/27, Changodar Industrial Estate,Sarkhej Bavla Road, Changodar, Sanand, Changoda",Ahmedabad,496,Gujarat,IN,382213,NULL,24600000000,NULL,24600000000,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1200,22,"ABB Global Industries and Services Pvt. Ltd.","No GST Number",NULL,"Bhoruka Tech Park, 1St Floor, Block I, Whitefield Road, Mahadeva Pura",Bangalore,501,Karnataka,IN,560048,NULL,29900000000,NULL,29900000000,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1201,450,"ACC India Pvt. Ltd.",27AAKCA9219Q1ZW,NULL,"101, Akanksha Apartments, Plot No - 417, D.K Sandu Marg, Chembur",Mumbai,505,Maharashtra,IN,400071,NULL,27501035051V,NULL,27501035051V,NULL,NULL,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1202,23,"Accuramech Industrial Engineering Pvt. Ltd.",27AAHCA4142K1ZN,NULL,"2347/B, Wagholi Warehousing, Nagar Road, Wagholi",Pune,505,Maharashtra,IN,412207,020-40774444,27110695232C,NULL,27110695232V,NULL,AAHCA4142KXM001,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1203,24,"ACE Technologies and Packaging Systems Pvt. Ltd.","No GST Number",NULL,"223, Blue Rose Indl. Premises, Western Express Highway, Opp. Magathane Bus Depot, Borivali (E)",Mumbai,505,Maharashtra,IN,400066,NULL,27710025408C,NULL,27710025408v,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1204,25,"ACG Inspection Systems Pvt. Ltd.","No GST Number",NULL,"Scitech Centre Plot 62 C/D, Kandivali Co-Op. Industrial Estate, Charkop, Bhabrekar Nagar",Mumbai,505,Maharashtra,IN,400067,NULL,27840722718V,NULL,27840722718V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1205,439,"Achintyo Engineering LLP","No GST Number",NULL,"No 2331/B, First Floor, Rohan Plaza, 17Th Cross, 1St Sector, HSR Layout",Bangalore,501,Karnataka,IN,560102,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1206,366,"Acme Pharmaceuticals Pvt. Ltd.","No GST Number",NULL,"Plot No. Pf 61/62, GIDC Sanand - II,
 Tal: Sanand",Ahmedabad,496,Gujarat,IN,382110,NULL,24600000000,NULL,24600000000,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1207,447,"Adani Gas Ltd.",24AAFCA3788D1ZS,NULL,"Heritage Building, 8Th Floor, Ashram Road, Usmanpura",Ahmedabad,496,Gujarat,IN,380013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL,"0,1"
1208,91,"D. Haridas and Co.","No GST Number",NULL,"37 / 297, Maharshinagar, Opp Zambre Palace,
 Ranka Hospital Lane, Near Karnataka Bank Atm",Pune,505,Maharashtra,IN,411037,NULL,27020818035V,NULL,27020818035V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1209,26,"Aequs Pvt.Ltd.","No GST Number",NULL,"Aequs Special Economic Zone,No 437/A, Hattargi Village, Hukkeri",Belgaum,501,Karnataka,IN,591243,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1210,27,"Aeromarine Pvt. Ltd.","No GST Number",NULL,"42-43, Lakdi Bunder Road, Darukhana, Mazgaon",Mumbai,505,Maharashtra,IN,400010,NULL,27790616288V,NULL,27790616288V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1211,28,"Aesseal India Pvt. Ltd.","No GST Number",NULL,"Gat N0. 85, At Post Varve, Tal. Bhor",Pune,505,Maharashtra,IN,412205,NULL,27790616288V,NULL,27790616288V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1212,29,"Afcons Infrastructure Ltd.","No GST Number",NULL,"Afcons House, 16, Shah Industrial Estate, Veera Desai Road, Azadnagar, Andheri (West)",Mumbai,505,Maharashtra,IN,400053,NULL,27270000333V,NULL,27270000333V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1214,30,"Alfa Tech Corporation","No GST Number",NULL,"Ul-5, Sashwat Complex, Dahej By Pass Road, Nandelav",Bharuch,496,Gujarat,IN,392001,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1215,31,"Allegion India Pvt. Ltd.",29AALCA9380M1ZT,NULL,"10Th Floor, Tower C, IBC Knowledge Park, 4/1 Bannerghatta Main Road",Bangalore,501,Karnataka,IN,560029,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1216,32,"Allison Transmission India Pvt. Ltd.","No GST Number",NULL,"Plot No.A-21, Sipcot Industrial Growth Center/Park, Oragadam Sriperumpudur, Tal: Kanchipuram District",Chennai,515,"Tamil Nadu",IN,602105,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1218,33,"Alpha Engineering Co.",07AARFA9489Q1Z5,NULL,"302, 1/18,Dream Land Building, Asaf Ali Road",Delhi,494,Delhi,IN,110002,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1219,13,"Alstom Bharat Forge Power Pvt. Ltd.",24AAICA1334J1ZY,NULL,"Plot No.SM-37, Sanand-II, Industrial Estate, Sanand",Ahmedabad,496,Gujarat,IN,382110,02717615174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL,"0,1"
1220,13,"Alstom Bharat Forge Power Pvt. Ltd.","No GST Number",NULL,"302, 3Rd Floor Embassy Classic No.11, Vittal Mallaya Road",Bangalore,501,Karnataka,IN,560001,NULL,,NULL,,NULL,,NULL,NULL,NULL,"2,3",NULL,NULL,"2,3"
1221,13,"Alstom Bharat Forge Power Pvt. Ltd.","No GST Number",NULL,"Village - Shahabad Works, Mundel - Chitapur",Gulbarga,501,Karnataka,IN,585229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,5",NULL,NULL,"4,5"
1222,13,"Alstom Bharat Forge Power Pvt. Ltd.","No GST Number",NULL,"A7, Sector 65",Noida,494,Delhi,IN,201301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6,7",NULL,NULL,"6,7"
1223,13,"Alstom Bharat Forge Power Pvt. Ltd.",24AAICA1334J1ZY,NULL,Maneja,Vadodara,496,Gujarat,IN,390011,NULL,,NULL,,NULL,,NULL,NULL,NULL,"8,9",NULL,NULL,"8,9"
1224,4,"Applied Materials India Pvt. Ltd.",29AAECA2635C1Z1,NULL,"Level 2, Explorer Building, International Tech Park, White Field Road",Bangalore,501,Karnataka,IN,560066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL,"0,1"
1225,4,"Applied Materials India Pvt. Ltd.",29AAECA2635C1Z1,NULL,"Unit 5, 3rd Floor, Explorer Building, International Technology Park, Whitefield Road",Bangalore,501,Karnataka,IN,560066,8867577719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2,3",NULL,NULL,"2,3"
1226,4,"Applied Materials India Pvt. Ltd.",29AAECA2635C1Z1,NULL,"Unit# 4and5, Inventor,GF ITPL, Whitefield Road",Bangalore,501,Karnataka,IN,560066,8867577719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,5",NULL,NULL,"4,5"
1227,4,"Applied Materials India Pvt. Ltd.",33AAECA2635C1ZC,NULL,"Unit 4, 6th Floor, Pinnacle Building, International Tech Park, Taramani",Chennai,515,"Tamil Nadu",IN,600113,NULL,,NULL,,NULL,,NULL,NULL,NULL,"6,7",NULL,NULL,"6,7"
1228,4,"Applied Materials India Pvt. Ltd.",27AAECA2635C1Z5,NULL,"Dept. Of Chemistry, IIT Bombay, Powai",Mumbai,505,Maharashtra,IN,400076,NULL,,NULL,,NULL,,NULL,NULL,NULL,"8,9",NULL,NULL,"8,9"
1229,4,"Applied Materials India Pvt. Ltd.",27AAECA2635C1Z5,NULL,"India Institute Of Technology-Bombay, Near Power House, Hill Side, Powai",Mumbai,505,Maharashtra,IN,400076,7710052741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10,11",NULL,NULL,"10,11"
1230,4,"Applied Materials India Pvt. Ltd.",27AAECA2635C1Z5,NULL,"Exploration Centre, Indian Institute of Technology Bombay, Powai",Mumbai,505,Maharashtra,IN,400076,8867577719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12,13",1,NULL,"12,13"
1231,4,"Applied Materials India Pvt. Ltd.",27AAECA2635C1Z5,NULL,"Sanjay Institute Of Technology-Bombay, Near Power House, Hill Side, Powai",Mumbai,505,Maharashtra,IN,400076,NULL,,NULL,,NULL,,NULL,NULL,NULL,"14,15",NULL,NULL,"14,15"
1232,4,"Applied Materials India Pvt. Ltd.","No GST Number",NULL,"The Fern Residency Mundra, Plot No 1, 2 and 10 Rs No. 199/P, Singapore City#Nana Kapaya Mundra",Mundra,496,Gujarat,IN,370421,NULL,,NULL,,NULL,,NULL,NULL,NULL,"16,17",NULL,NULL,"16,17"
1233,4,"Applied Materials India Pvt. Ltd.",09AAECA2635C1Z3,NULL,"No.672 and 682, 5th Floor, Regus Central Point Business Centre, S B Tower",Noida,517,"Uttar Pradesh",IN,201301,NULL,,NULL,,NULL,,NULL,NULL,NULL,"18,19",NULL,NULL,"18,19"
1234,34,"Amazon Seller Services Pvt. Ltd.","No GST Number",NULL,"Plot No H, Prathmesh Complex, Saravali Village, Kalyan Bypass, Near Vatika Restaurant",Bhiwandi,505,Maharashtra,IN,421302,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1309,35,"Amwaj International","No GST Number",NULL,"Office No 3, 1St Floor, White House Building No 3, Buddh Colony, S.G.Barve Marg, Kurla West",Mumbai,505,Maharashtra,IN,400070,NULL,27770770820V,NULL,27770770820V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1310,36,"Anchor Offshore Services Ltd.","No GST Number",NULL,"Hico House Gr Floor,771, Pt, Satavalekar Marg (Moghul Lane), Mahim",Mumbai,505,Maharashtra,IN,400016,NULL,27730263823V,NULL,27730263823V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1311,37,"APM Terminals India Pvt. Ltd.","No GST Number",NULL,"Gateway Terminals India Pvt. Ltd. Gti House, JNPT, Nava Sheva, Taluka - Uran, District Raigad",Mumbai,505,Maharashtra,IN,400707,NULL,27480007056V,NULL,27480007056V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1312,37,"APM Terminals India Pvt. Ltd.",27AAACM8741P1ZV,NULL,"APM Terminals Inland Services, Block 5-18, Sector 6, Dronagiri Warehousing Complex","Navi Mumbai",505,Maharashtra,IN,400707,9870003391,27480007056V,NULL,27480007056V,NULL,NULL,NULL,NULL,NULL,"2,3",1,NULL,"2,3"
1313,37,"APM Terminals India Pvt. Ltd.","No GST Number",NULL,"LCD Division, MIDC, Plot No D 223,1,2, Bhamboli Village, Taluka: Khed",Pune,505,Maharashtra,IN,410501,NULL,27480007056V,NULL,27480007056V,NULL,,NULL,NULL,NULL,"4,5",NULL,NULL,"4,5"
1314,39,"Arabian Ocean Drilling Supplies and Services Pvt. Ltd.","No GST Number",NULL,"A/4, Church Hill Compound Holy Cross Road, I.C. Colony, Borivali (West)",Mumbai,505,Maharashtra,IN,400103,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1316,372,"Armament Research and Development Establishment","No GST Number",NULL,"Dr Homi Bhabha Road, Armament Post, Pashan",Pune,505,Maharashtra,IN,411021,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1317,373,"Armstrong World Industries","No GST Number",NULL,"Gat No.417/1, Village Takave Budruk, Taluka-Maval",Pune,505,Maharashtra,IN,412106,NULL,27250000247V,NULL,27250000247V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1318,41,"Arya Electronics and Controls Pvt. Ltd.","No GST Number",NULL,"S.No.15, House No. 148/1, Ganeshnagar, Dhayari, Lane No 26, Sinhgad Road",Pune,505,Maharashtra,IN,411041,NULL,27150608298V,NULL,27150608298V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1319,473,"Asahi India Glass Ltd.","No GST Number",NULL,"Plot No. T-7, MIDC Taloja, District Raigad",Taloja,505,Maharashtra,IN,410208,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1320,42,"ATA Enterprises","No GST Number",NULL,"A62 /63 Flat No - 116 Mansaram Park Uttam Nagar","New Delhi",494,Delhi,IN,110059,NULL,7360000000,NULL,7360000000,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1321,44,Atma,"No GST Number",NULL,"Guru Vidya, Office No: 501-505, Hill Road, Bandra (West)",Mumbai,505,Maharashtra,IN,400050,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1322,45,"Atomberg Technologies Pvt. Ltd.","No GST Number",NULL,"1St Floor, El-111, Ttc Industrial Area, Electronic Zone, MIDC Mahape","Navi Mumbai",505,Maharashtra,IN,400710,NULL,27715263893V,NULL,27715263893V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1323,46,"Bairavi Industries","No GST Number",NULL,"No V-45, Peenya Industrial Estate, II Stage 8th Main, 9th Ridge Road, Peenya Industrial Estate",Bangalore,501,Karnataka,IN,560058,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1324,47,"Bakshi Chempharma Equipments Pvt. Ltd.","No GST Number",NULL,"A-45, Road No. 10, Wagle Industrial Estate",Thane,505,Maharashtra,IN,400604,NULL,27600299348V,NULL,27600299348V,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1325,48,"Balaji Enterprises","No GST Number",NULL,"At Bol Shop No.2, 3, Ford Motor Company",Ahmedabad,496,Gujarat,IN,382170,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1326,49,"Bandekar and Sons","No GST Number",NULL,"Plot No 15, Shree Sonai Indl. Estate, Opp. P.S. Enterprises, Lavale Phata, Pirangut",Pune,505,Maharashtra,IN,412115,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1327,50,"Bartec India Pvt. Ltd.",09AADCB6106C1Z5,NULL,"B-44, Sector-59",Noida,517,"Uttar Pradesh",IN,201301,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1328,51,"Bayer India Ltd.","No GST Number",NULL,"Bayer: Science For A Better Life Crop Science Division Bayer Vapi Private Limited Bvpl-Mfg-HSE, HSE 306/3, Phase II, GIDC",Vapi,496,Gujarat,IN,396195,NULL,,NULL,,NULL,,NULL,NULL,NULL,"0,1",NULL,NULL,"0,1"
1329,52,"BDI India Pvt. Ltd.",29AADCB0998E1ZJ,NULL,"Shreeshyla, Doddakallasandra, Kanakapura Road",Bangalore,501,Karnataka,IN,560062,9632511911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0,1",1,NULL,"0,1"
1330,52,"BDI India Pvt. Ltd.","No GST Number",NULL,"Plot No. 1/1, P-2, TTC Industrial Area, Thane Belapur Road, Po Box No. 12, Koparkhairne",Mumbai,505,Maharashtra,IN,400709,NULL,,NULL,,NULL,,NULL,NULL,NULL,"2,3",NULL,NULL,"2,3"
