Sr,Existing Material Name /Description,Make,SKU,New Description,Brand,Category 1,Category 2,Category 3,Cost,HSN,GST,MOQ,UOM,Service,MPN
30,SKF-Bearing-31309 J2/QCLN,SKF,BM0A4Q4,"SKF Tapered Roller Bearing, Bore Dia 45 mm - 31309 J2/QCLN",SKF,Other Bearings,,,850.08,8482,18%,,Each,,31309 J2/QCLN
31,30308 J2/Q-Bearing-30308 J2/Q,SKF,BM0A4Q0,"SKF Tapered Roller Bearing, Bore Dia 40 mm - 30308 J2/Q",SKF,Other Bearings,,,575.52,8482,18%,,Each,,30308 J2/Q
32,SKF-Bearing-30208 J2/Q,SKF,BM0A4P2,"SKF Tapered Roller Bearing, Bore Dia 40 mm - 30208 J2/Q",SKF,Other Bearings,,,555.72,8482,18%,,Each,,30208 J2/Q
33,SKF-Bearing-30207 J2/Q,SKF,BM0A4P1,"SKF Tapered Roller Bearing, Bore Dia 35 mm - 30207 J2/Q",SKF,Other Bearings,,,357.06,8482,18%,,Each,,30207 J2/Q
34,SKF-Bearing-30205 J23/Q,SKF,BM0A4O9,"SKF Tapered Roller Bearing, Inside Dia 25 mm, Outside Dia 52 mm - 30205 J2/Q",SKF,Other Bearings,,,247.5,8482,18%,,Each,,30205 J2/Q
35,SKF-Bearing-30204 J2/Q,SKF,BM0A4O8,"SKF Tapered Roller Bearing, Bore Dia 20 mm - 30204 J2/Q",SKF,Other Bearings,,,232.32,8482,18%,,Each,,30204 J2/Q
36,SKF-Bearing-30203 J2/Q,SKF,BM0A4O7,"SKF Tapered Roller Bearing, Bore Dia 17 mm - 30203 J2/Q",SKF,Other Bearings,,,208.56,8482,18%,,Each,,30203 J2/Q
37,SKF-Bearing-6306 2Z,SKF,BM0A4M2,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6306-2Z",SKF,Other Bearings,,,314.16,8482,18%,,Each,,6306-2Z
38,SKF-Bearing-6305 2Z,SKF,BM0A4L0,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6305-2Z",SKF,Other Bearings,,,232.32,8482,18%,,Each,,6305-2Z
39,SKF-Bearing-6304 2Z,SKF,BM0A4J9,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6304-2Z",SKF,Other Bearings,,,161.04,8482,18%,,Each,,6304-2Z
40,SKF-Bearing-6303 2Z,SKF,BM0A4I6,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6303-2Z",SKF,Other Bearings,,,182.82,8482,18%,,Each,,6303-2Z
41,SKF-Bearing-6203 2Z,SKF,BM0A4H3,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6203-2Z",SKF,Other Bearings,,,114.18,8482,18%,,Each,,6203-2Z
42,SKF-Bearing-6202-2Z,SKF,BM0A4G1,"SKF Deep Groove Ball Bearing, Bore Dia 15 mm - 6202-2Z",SKF,Other Bearings,,,91.74,8482,18%,,Each,,6202-2Z
43,SKF-Bearing-6201 2Z,SKF,BM0A4E9,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6201-2Z",SKF,Other Bearings,,,83.16,8482,18%,,Each,,6201-2Z
44,SKF-Bearing-6200 2Z,SKF,BM0A4D8,"SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6200-2Z",SKF,Other Bearings,,,100.98,8482,18%,,Each,,6200-2Z
45,SKF-Bearing-6301 2Z,SKF,BM0A4A3,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6301-2Z",SKF,Other Bearings,,,83.82,8482,18%,,Each,,6301-2Z
46,SKF-Bearing-628 ZZ,SKF,BM0A3Y1,"SKF Deep Groove Ball Bearing, Bore Dia 8 mm - 628-2Z",SKF,Other Bearings,,,89.1,8482,18%,,Each,,628-2Z
47,SKF-Bearing-6212 ZZ,SKF,BM0A3X4,"SKF Deep Groove Ball Bearing, Bore Dia 60 mm - 6212-2Z",SKF,Other Bearings,,,704.88,8482,18%,,Each,,6212-2Z
48,SKF-Bearing-6007 2Z,SKF,BM0A3V8,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6007-2Z",SKF,Other Bearings,,,244.2,8482,18%,,Each,,6007-2Z
49,SKF-Bearing-6006 2Z,SKF,BM0A3V0,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6006-2Z",SKF,Other Bearings,,,210.54,8482,18%,,Each,,6006-2Z
50,SKF-Bearing-6005 2Z,SKF,BM0A3U3,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6005-2Z",SKF,Other Bearings,,,162.36,8482,18%,,Each,,6005-2Z
51,SKF-Bearing-6004 2Z,SKF,BM0A3T3,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6004-2Z",SKF,Other Bearings,,,146.52,8482,18%,,Each,,6004-2Z
52,SKF-Bearing-580/572/Q,SKF,BM0A3Q7,"SKF Tapered Roller Bearing, Bore Dia 82.55 mm - 580/572/Q",SKF,Other Bearings,,,1098.24,8482,18%,,Each,,580/572/Q
53,SKF-Bearing-6211-2Z,SKF,BM0A3Q1,"SKF Deep Groove Ball Bearing, Bore Dia 55 mm - 6211-2Z",SKF,Other Bearings,,,595.98,8482,18%,,Each,,6211-2Z
54,SKF-Bearing-6210 2Z,SKF,BM0A3P4,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm - 6210-2Z",SKF,Other Bearings,,,467.28,8482,18%,,Each,,6210-2Z
55,SKF-Bearing-6209 2Z,SKF,BM0A3O4,"SKF Deep Groove Ball Bearing, Bore Dia 45 mm - 6209-2Z",SKF,Other Bearings,,,442.2,8482,18%,,Each,,6209-2Z
56,SKF-Bearing-6208 2Z,SKF,BM0A3N6,"SKF Deep Groove Ball Bearing, Bore Dia 40 mm - 6208-2Z",SKF,Other Bearings,,,368.94,8482,18%,,Each,,6208-2Z
57,SKF-Bearing-6207 2Z,SKF,BM0A3M3,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6207-2Z",SKF,Other Bearings,,,308.22,8482,18%,,Each,,6207-2Z
58,SKF-Bearing-6003 2Z,SKF,BM0A3L6,"SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6003-2Z",SKF,Other Bearings,,,132.66,8482,18%,,Each,,6003-2Z
59,6002-2Z-Bearing-6002-2Z,SKF,BM0A3K7,"SKF Deep Groove Ball Bearing, Bore Dia 15 mm - 6002-2Z",SKF,Other Bearings,,,118.14,8482,18%,,Each,,6002-2Z
60,SKF-Bearing-6001-2Z,SKF,BM0A3J9,"SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6001-2Z",SKF,Other Bearings,,,98.34,8482,18%,,Each,,6001-2Z
61,SKF-Bearing-6000,SKF,BM0A3I3,"SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6000",SKF,Other Bearings,,,88.44,8482,18%,,Each,,6000
62,SKF-Bearing-6310 N,SKF,BM0A3G9,"SKF Deep Groove Ball Bearing, Bore Dia 50 mm - 6310 N",SKF,Other Bearings,,,819.06,8482,18%,,Each,,6310 N
63,SKF-Bearing-6309 2Z,SKF,BM0A3G5,"SKF Deep Groove Ball Bearing, Bore Dia 45 mm - 6309-2Z",SKF,Other Bearings,,,862.84,8482,18%,,Each,,6309-2Z
64,SKF-Bearing-6308 2Z,SKF,BM0A3F0,"SKF Deep Groove Ball Bearing, Bore Dia 40 mm - 6308-2Z",SKF,Other Bearings,,,539.88,8482,18%,,Each,,6308-2Z
65,SKF-Bearing-6307 2Z,SKF,BM0A3D7,"SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6307-2Z",SKF,Other Bearings,,,363,8482,18%,,Each,,6307-2Z
66,SKF-Bearing-6206 2Z,SKF,BM0A3B9,"SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6206-2Z",SKF,Other Bearings,,,314.16,8482,18%,,Each,,6206-2Z
67,SKF-Bearing-6205 2Z,SKF,BM0A3A5,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6205-2Z",SKF,Other Bearings,,,211.86,8482,18%,,Each,,6205-2Z
68,SKF-Bearing-6205-2RS1,SKF,BM0A2Z9,"SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6205-2RS1",SKF,Other Bearings,,,230.34,8482,18%,,Each,,6205-2RS1
69,SKF-Bearing-6204 2Z,SKF,BM0A2Z1,"SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6204-2Z",SKF,Other Bearings,,,160.38,8482,18%,,Each,,6204-2Z
70,SKF-Bearing-6313 2Z,SKF,BM9F8M9,"SKF Deep Groove Ball Bearing, Inside Dia 65 mm - 6313-2Z",SKF,Other Bearings,,,1688.28,8482,18%,,Each,,6313-2Z
71,SKF-Bearing-6313/C3,SKF,BM9X0P3,"SKF Deep Groove Ball Bearing, Inner Dia 65 mm, Outer Dia 140 mm - 6313/C3",SKF,Other Bearings,,,1618.32,8482,18%,,Each,,6313/C3
72,SKF-Bearing-32214 J2/Q,SKF,BM9F3L0,"SKF Tapered Roller Bearing, Inside Dia 70 mm, Outside Dia 125 mm, Width 3.25 mm - 32214 J2/Q",SKF,Other Bearings,,,1158.96,8482,18%,,Each,,32214 J2/Q
73,SKF-Bearing-32217 J2/Q,SKF,BM9R8Y7,"SKF Tapered Roller Bearing, Inside Dia 85 mm, Outside Dia 150 mm, Width 38.5 mm - 32217 J2/Q",SKF,Other Bearings,,,2115.96,8482,18%,,Each,,32217 J2/Q
74,SKF-Bearing-566/563/Q,SKF,BM9H6Y1,"SKF Imperial Taper Roller Bearing, Inside Dia 76.2 mm, Outside Dia 127 mm, Width 36.512 mm - 566/563/Q",SKF,Other Bearings,,,1007.16,8482,18%,,Each,,566/563/Q
75,539/532 X-Bearing-539/532 X,SKF,BM9D0T8,"SKF Single Row Tapered Roller Bearing, Inside Dia 53.98 mm, Outside Dia 107.95 mm - 539/532 X",SKF,Other Bearings,,,795.96,8482,18%,,Each,,539/532 X
76,32212 J2/Q-Bearing-32212 J2/Q,SKF,BM9R0X7,"SKF Tapered Roller Bearing, Inside Dia 60 mm, Outside Dia 110 mm, Width 29.75 mm - 32212 J2/Q",SKF,Other Bearings,,,989.34,8482,18%,,Each,,32212 J2/Q
77,ZKL-Bearing-51106A,ZKL,BM9N1W0,"ZKL Single Direction Thurst Ball Bearing, Inner Dia 30 Mm, Outer Dia 47 Mm - 51106A",ZKL,Other Bearings,,,238.37,8482,18%,,Each,,51106A
78,ZKL-Bearing-30230,ZKL,BM9Y5G5,ZKL Taper Roller Bearing - 30230,ZKL,Other Bearings,,,8463.95,8482,18%,,Each,,30230
79,ZKL-Bearing-30228,ZKL,BM9I1Q9,"ZKL Single Row Tapered Roller Bearing, Inner Dia 140 Mm, Outer Dia 250 Mm - 30228",ZKL,Other Bearings,,,7858.95,8482,18%,,Each,,30228
80,ZKL-Bearing-22212EW33J C3 NF,ZKL,BM9F2G0,"ZKL Double Row Spherical Roller Bearing, Inner Dia 60 Mm, Outer Dia 110 Mm - 22212EW33J C3 NF",ZKL,Spherical Bearings,,,2728.55,8482,18%,,Each,,22212EW33J C3 NF
81,ZKL-Bearing-22213EW33J C3 NF,ZKL,BM9O0R6,"ZKL Double Row Spherical Roller Bearing, Inner Dia 65 Mm, Outer Dia 120 Mm - 22213EW33J C3 NF",ZKL,Spherical Bearings,,,2879.8,8482,18%,,Each,,22213EW33J C3 NF
82,ZKL-Bearing-31308,ZKL,BM9S7M3,"ZKL Single Row Tapered Roller Bearing, Inner Dia 40 Mm, Outer Dia 90 Mm - 31308",ZKL,Other Bearings,,,701.8,8482,18%,,Each,,31308
83,ZKL-Bearing-6326,ZKL,BM9S1D0,ZKL Single Row Deep Groove Ball Bearing - 6326,ZKL,Other Bearings,,,19958.95,8482,18%,,Each,,6326
84,ZKL-Bearing-32217,ZKL,BM9I3L5,"ZKL Single Row Tapered Roller Bearing, Outer Dia 150 mm - 32217",ZKL,Other Bearings,,,1718.2,8482,18%,,Each,,32217
85,ZKL-Bearing-NJ310 C3,ZKL,BM9W1C8,"ZKl Single Row Cylindrical Roller Bearing, Inner Dia 50 Mm, Outer Dia 110 Mm - NJ310 C3",ZKL,Cylindrical Roller Bearings,,,1747.845,8482,18%,,Each,,NJ310 C3
86,ZKL-Bearing-NJ-311,ZKL,BM9W8N8,ZKL Single Row Cylindrical Roller Bearing - NJ 311,ZKL,Cylindrical Roller Bearings,,,2094.51,8482,18%,,Each,,NJ 311
87,ZKL-Bearing-NJ-309,ZKL,BM9U4N1,ZKL Single Row Cylindrical Roller Bearing - NJ 309,ZKL,Cylindrical Roller Bearings,,,1439.9,8482,18%,,Each,,NJ 309
88,ZKL-Bearing-1209K,ZKL,BM9W4P3,"ZKL Double Row Self-Aligning Ball Bearing, Inside Dia 45 mm, Outside Dia 85 mm - 1209K",ZKL,Other Bearings,,,486.42,8482,18%,,Each,,1209K
89,ZKL-Bearing-51109,ZKL,BM9V6E3,"ZKL Single Direction Thrust Ball Bearing, Inner Dia 45 Mm, Outer Dia 65 Mm - 51109",ZKL,Other Bearings,,,338.8,8482,18%,,Each,,51109
90,ZKL-Bearing-32218,ZKL,BM9A5A9U,"ZKL Single Row Tapered Roller Bearing, Outer Dia 160 mm - 32218",ZKL,Other Bearings,,,2104.19,8482,18%,,Each,,32218
91,ZKL-Bearing-22312EW33J NF,ZKL,BM9F9O4,"ZKL Double Row Spherical Roller Bearing, Inner Dia 60 Mm, Outer Dia 130 Mm - 22312EW33J NF",ZKL,Spherical Bearings,,,3448.5,8482,18%,,Each,,22312EW33J NF
92,ZKL-Bearing-22224 EW33J,ZKL,BM9O6N2,ZKL Spherical Roller Bearing - 22224 EW33J,ZKL,Spherical Bearings,,,9450.1,8482,18%,,Each,,22224 EW33J
93,ZKL-Bearing-51210,ZKL,BM9O2Z4,"ZKL Single Direction Thrust Ball Bearing, Inner Dia 50 Mm, Outer Dia 78 Mm - 51210",ZKL,Other Bearings,,,497.31,8482,18%,,Each,,51210
94,ZKL-Bearing-51330,ZKL,BM9H0D5,"ZKL Single Direction Thurst Ball Bearing, Outer Dia 250 mm - 51330",ZKL,Other Bearings,,,36505.7,8482,18%,,Each,,51330
95,ZKL-Bearing-32215,ZKL,BM9N0L7,"ZKL Tapered Roller Bearing, Outer Dia 130 mm - 32215",ZKL,Other Bearings,,,1392.71,8482,18%,,Each,,32215
96,ZKL-Bearing-32224,ZKL,BM9S3H4,"ZKL Tapered Roller Bearing, Inside Dia -120 mm, Outside Dia 135 mm - 32224",ZKL,Other Bearings,,,8530.5,8482,18%,,Each,,32224
97,ZKL-Bearing-32226,ZKL,BM9P8E4,"ZKL Single Row Tapered Roller Bearing, Inner Dia 130, Outer Dia 230 Mm - 32226",ZKL,Other Bearings,,,11011,8482,18%,,Each,,32226
98,ZKL-Bearing-32236,ZKL,BM9R3O4,"ZKL Single Row Tapered Roller Bearing, Inner Dia 180, Outer Dia 320 Mm - 32236",ZKL,Other Bearings,,,27430.7,8482,18%,,Each,,32236
99,ZKL-Bearing-32040AX,ZKL,BM9N4R6X,ZKL Taper Roller Bearing - 32040 AX,ZKL,Other Bearings,,,19904.5,8482,18%,,Each,,32040 AX
100,ZKL-Bearing-6230,ZKL,BM9J0G6,"ZKL Single Row Deep Groove Ball Bearing, Inner Dia 150 Mm, Outer Dia 270 Mm - 6230",ZKL,Other Bearings,,,9438,8482,18%,,Each,,6230
101,ZKL-Bearing-3212 NF,ZKL,BM9A6C9,ZKL Double Row Angular Contact Ball Bearing - 3212 NF,ZKL,Angular Contact Bearings,,,1755.71,8482,18%,,Each,,3212 NF
102,"ZKL-Bearing-22210EKW33J C3, 22210EKW33J",ZKL,BM9I8J0,ZKL Self Aligning Ball Bearing - 22210EKW33J C3,ZKL,Other Bearings,,,2170.74,8482,18%,,Each,,22210EKW33J C3
103,ZKL-Bearing-6308-2Z,ZKL,BM9E2R2,"ZKL Deep Groove Ball Bearing, Bore Dia 40 mm - 6308-2Z",ZKL,Other Bearings,,,435.6,8482,18%,,Each,,6308-2Z
104,ZKL-Bearing-6212-2Z,ZKL,BM9Y2Q9,"ZKL Deep Groove Ball Bearing, Bore Dia 60 mm - 6212-2Z",ZKL,Other Bearings,,,681.23,8482,18%,,Each,,6212-2Z
105,ZKL-Bearing-6010-2Z,ZKL,BM9N5W4,"ZKL Deep Groove Ball Bearing, Bore Dia 50 mm - 6010-2Z",ZKL,Other Bearings,,,278.3,8482,18%,,Each,,6010-2Z
106,ZKL-Bearing-51216,ZKL,BM9Y6Y0,"ZKL Single Direction Thurst Ball Bearing, Outer Dia 115 mm - 51216",ZKL,Other Bearings,,,1131.35,8482,18%,,Each,,51216
107,ZKL-Bearing-23238CW33J,ZKL,BM9Y0G2,"ZKL Double Row Spherical Roller Bearing, Inner Dia 190 Mm, Outer Dia 340 Mm - 23238CW33J",ZKL,Spherical Bearings,,,44367.07,8482,18%,,Each,,23238CW33J
108,ZKL-Bearing-32304A,ZKL,BM9Q2N6,"ZKL Single Row Tapered Roller Bearing, Inner Dia 20 Mm, Outer Dia 52 Mm - 32304A",ZKL,Other Bearings,,,338.8,8482,18%,,Each,,32304A
109,ZKL-Bearing-16022,ZKL,BM9W3B4,"ZKL Single Row Deep Groove Ball Bearing, Inner Dia 110 Mm, Outer Dia 170 Mm - 16022",ZKL,Other Bearings,,,2559.15,8482,18%,,Each,,16022
110,ZKL-Bearing-7210AA,ZKL,BM9R7G0,ZKL Single Row Angular Contact Ball Bearing - 7210 AA,ZKL,Angular Contact Bearings,,,738.1,8482,18%,,Each,,7210 AA
111,ZKL-Bearing-23220CW33J,ZKL,BM9P3V8D,"ZKL Double Row Spherical Roller Bearing, Inner Dia 100 Mm, Outer Dia 180 Mm - 23220CW33J",ZKL,Spherical Bearings,,,7770.62,8482,18%,,Each,,23220CW33J
112,ZKL-Bearing-NJ2212,ZKL,BM9T4D4,"ZKL Single Row Cylindrical Roller Bearing, Inner Dia 60 Mm, Outer Dia 100 Mm - NJ2212",ZKL,Cylindrical Roller Bearings,,,1923.9,8482,18%,,Each,,NJ2212
113,ZKL-Bearing- 32220A,ZKL,BM9F0V0,"ZKL Single Row Tapered Roller Bearing, Inner Dia 100 Mm, Outer Dia 180 Mm - 32220A",ZKL,Other Bearings,,,3859.9,8482,18%,,Each,, 32220A
114,ZKL-Bearing-1213K C3 NF,ZKL,BM9W6R4,ZKL Self Aligning Ball Bearing - 1213 K C3 NF,ZKL,Other Bearings,,,1040.6,8482,18%,,Each,,1213 K C3 NF
115,NTN-Bearing-NN3022KC1NAP4,NTN,BM9J7C6,"NTN Double Row Cylindrical Roller Bearing, Bore 110 mm - NN3022KC1NAP4",NTN,Cylindrical Roller Bearings,,,22975.788,8482,18%,,Each,,NN3022KC1NAP4
116,NTN-Bearing-NN3020HSKC1NAP4,NTN,BM9V2H7,NTN Precision Cylindrical Roller Bearing - NN3020HSKC1NAP4,NTN,Cylindrical Roller Bearings,,,18450.102,8482,18%,,Each,,NN3020HSKC1NAP4
117,NTN-Bearing-NU 2222,NTN,BM9F9N8,"NTN Cylindrical Roller Bearing, Outer Dia 200 mm - NU2222",NTN,Cylindrical Roller Bearings,,,17125.878,8482,18%,,Each,,NU2222
118,NTN-Bearing-NJ 2222,NTN,BM9I9B4,"NTN Cylindrical Roller Bearing, Inside Dia 110 mm, Outside Dia 200 mm - NJ2222",NTN,Cylindrical Roller Bearings,,,17002.359,8482,18%,,Each,,NJ2222
119,NTN-Bearing-NU 2218,NTN,BM9S4V0,"NTN Cylindrical Roller Bearing, Outer Dia 160 mm - NU2218",NTN,Cylindrical Roller Bearings,,,6117.639,8482,18%,,Each,,NU2218
120,NTN-Bearing-NU 2220,NTN,BM9O2S3,"NTN Cylindrical Roller Bearing, Outer Dia 180 mm - NU2220",NTN,Cylindrical Roller Bearings,,,12816.507,8482,18%,,Each,,NU2220
121,NTN-Bearing-NU 2234,NTN,BM9W9O3,"NTN Cylindrical Roller Bearing, Outer Dia 310 mm - NU2234",NTN,Cylindrical Roller Bearings,,,60274.137,8482,18%,,Each,,NU2234
122,NTN-Bearing-33112,NTN,BM9H6Z6,"NTN Tapered Roller Bearing, Bore 60 mm, Outer Dia 100 mm - 33112",NTN,Other Bearings,,,1475.958,8482,18%,,Each,,33112
123,V BELT B-74,Fenner,BM9I8N1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1920 mm - B74",Fenner,V-Belts,,,281.622,4010,18%,,NOS,,B74
124,V BELT B-72,Fenner,BM9U9Y6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1870 mm - B72",Fenner,V-Belts,,,273.207,4010,18%,,NOS,,B72
125,V BELT C-72,Fenner,BM9S3N6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1880 mm - C72",Fenner,V-Belts,,,410.091,4010,18%,,NOS,,C72
126,V BELT C-116,Fenner,BM9Y7W4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3000 mm - C116",Fenner,V-Belts,,,780.912,4010,18%,,NOS,,C116
127,V BELT C-114,Fenner,BM9O3O7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2950 mm - C114",Fenner,V-Belts,,,773.619,4010,18%,,NOS,,C114
128,V BELT B-75,Fenner,BM9D0T2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1950 mm - B75",Fenner,V-Belts,,,283.305,4010,18%,,NOS,,B75
129,V BELT C-175,Fenner,BM9Y8B2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4500 mm - C175",Fenner,V-Belts,,,1031.679,4010,18%,,NOS,,C175
130,V BELT B-87,Fenner,BM9I0V8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2250 mm - B87",Fenner,V-Belts,,,356.235,4010,18%,,NOS,,B87
131,V BELT B-44,Fenner,BM9P7Z8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1160 mm - B44",Fenner,V-Belts,,,165.495,4010,18%,,NOS,,B44
132,V BELT B-54,Fenner,BM9X1R0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1410 mm - B54",Fenner,V-Belts,,,196.35,4010,18%,,NOS,,B54
