id,option_id,value,group_code,credit_limit,general_discount,load_limit
83,"60 days from date of Invoice","60 days from date of Invoice",89,NULL,NULL,NULL
84,"50 % Advanced Along with Purchase Order , 50% After dispatch within 10 Days","50 % Advanced Along with Purchase Order , 50% After dispatch within 10 Days",90,NULL,NULL,NULL
85,"15% on advance 75% on material ready status and 10% on delivery","15% on advance 75% on material ready status and 10% on delivery",91,NULL,NULL,NULL
86,"50% advance and balance 50% PDC of 30 days from the date of PO","50% advance and balance 50% PDC of 30 days from the date of PO",92,NULL,NULL,NULL
87,"50% advance and balance 50% PDC of 30 days from the date of invoice","50% advance and balance 50% PDC of 30 days from the date of invoice",93,NULL,NULL,NULL
88,"100% advance","100% advance",94,NULL,NULL,NULL
89,"30% upon order and balance, 70% upon good readiness prior to delivery","30% upon order and balance, 70% upon good readiness prior to delivery",95,NULL,NULL,NULL
90,"Rs 10000/- and balance payment against Supply","Rs 10000/- and balance payment against Supply",96,NULL,NULL,NULL
91,"30% Advance rest against PI","30% Advance rest against PI",97,NULL,NULL,NULL
92,"50 % Advance along with Confirm Purchase Order, balance against Performa Invoice before dispatch","50 % Advance along with Confirm Purchase Order, balance against Performa Invoice before dispatch",98,NULL,NULL,NULL
93,"45 days credit from the receipt of full lot of 175MT at Kalamboli","45 days credit from the receipt of full lot of 175MT at Kalamboli",99,NULL,NULL,NULL
95,"60 days credit from the receipt of full lot of 175MT at Kalamboli","60 days credit from the receipt of full lot of 175MT at Kalamboli",100,NULL,NULL,NULL
96,"Net 30 days from invoice subject to credit","Net 30 days from invoice subject to credit",101,NULL,NULL,NULL
97,"50% Advance","50% Advance",102,NULL,NULL,NULL
98,"Within 30 Days","Within 30 Days",103,NULL,NULL,NULL
99,"100% Against PI at the time of delivery","100% Against PI at the time of delivery",104,NULL,NULL,NULL
100,"100% After Delivery","100% After Delivery",105,NULL,NULL,NULL
101,"PDC OF 30 DAYS AGAINST PROFORMA INVOICE","PDC OF 30 DAYS AGAINST PROFORMA INVOICE",106,NULL,NULL,NULL
102,"Payment Due on 06-Apr-2018 via PDC.","Payment Due on 06-Apr-2018 via PDC.",107,NULL,NULL,NULL
103,"100% advance against MATERIAL READINESS","100% advance against MATERIAL READINESS",108,NULL,NULL,NULL
104,"100% advance before delivery","100% advance before delivery",109,NULL,NULL,NULL
105,"40% Advanced,Balance Against Proforma Invoice","40% Advanced,Balance Against Proforma Invoice",110,NULL,NULL,NULL
106,"25% Against P.O. & 75% Against Proforma Invoice Prior to Dispatch","25% Against P.O. & 75% Against Proforma Invoice Prior to Dispatch",111,NULL,NULL,NULL
107,"15% Advance  against PI","15% Advance  against PI",112,NULL,NULL,NULL
108,"50% advance & 50% one week","50% advance & 50% one week",113,NULL,NULL,NULL
109,"50% along with the order 50% against delivery before installation","50% along with the order 50% against delivery before installation",114,NULL,NULL,NULL
110,"90 Days PDC -Chq Dt. 02 May 2018","90 Days PDC -Chq Dt. 02 May 2018",115,NULL,NULL,NULL
111,"60% advance and 40% after delivery","60% advance and 40% after delivery",NULL,NULL,NULL,NULL
112,Cheque,Cheque,117,NULL,NULL,NULL
113,"100 %Payment in advance before dispatch","100 %Payment in advance before dispatch",118,NULL,NULL,NULL
115,"40 Days Credit","40 Days Credit",119,0.00,0.00,0.00
116," 50% ADVANCE ALONG WITH ORDER 40% AGAINST PI AND 10% IMMEDIATE AFTER INSTALLATION"," 50% ADVANCE ALONG WITH ORDER 40% AGAINST PI AND 10% IMMEDIATE AFTER INSTALLATION",120,0.00,0.00,0.00
117,"50% along with Po and 50% after 6 month","50% along with Po and 50% after 6 month",121,0.00,0.00,0.00
118,"15 Days of Receipt from Purchase Order","15 Days of Receipt from Purchase Order",122,0.00,0.00,0.00
119,"80% on acceptance & inspection of material by GAIL, Balance 20% after demonstration by GAIL","80% on acceptance & inspection of material by GAIL, Balance 20% after demonstration by GAIL",123,0.00,0.00,0.00
120,"70% against Pi and 10% after delivery","70% against Pi and 10% after delivery",124,0.00,0.00,0.00
121," 70% against Pi and 10% after delivery - pls add payment trm"," 70% against Pi and 10% after delivery - pls add payment trm",125,0.00,0.00,0.00
122," 90% advance and 10% against bank guarantee"," 90% advance and 10% against bank guarantee",126,0.00,0.00,0.00
123,NULL,NULL,NULL,80.00,0.00,0.00
124,"80% against supply, 20% against installation/commisssioning","80% against supply, 20% against installation/commisssioning",127,0.00,0.00,0.00
125,"90 Days PDC","90 Days PDC",NULL,90.00,0.00,0.00
126,"21 Working Days from the Date of Submission of Invoice","21 Working Days from the Date of Submission of Invoice",128,0.00,0.00,0.00
127,"14 Days Net","14 Days Net",129,0.00,0.00,14.00
128,"25% Advance and 75% before Delivery","25% Advance and 75% before Delivery",0,0.00,0.00,0.00
129,"100% after inspection and testing of the entire lot at your site","100% after inspection and testing of the entire lot at your site",0,0.00,0.00,0.00
130,"10 days 3 % cash discount, 30 days Due net ","10 days 3 % cash discount, 30 days Due net ",131,0.00,0.00,0.00
137,"50% advance along with PO,40% against PI prior to dispatch of material and 10% on commissioning","50% advance along with PO,40% against PI prior to dispatch of material and 10% on commissioning",135,0.00,0.00,0.00
138,"21 days PDC","21 days PDC",136,0.00,0.00,0.00
141,"25% advance against PO 65% before dlvy(Acceptance Testing at Qualitas)10% against Instl & COMSN","25% advance against PO 65% before dlvy(Acceptance Testing at Qualitas)10% against Instl & COMSN",138,0.00,0.00,0.00
142,"10 days PDC","10 days PDC",139,0.00,0.00,0.00
143,"50% against PI and 50% after dispatch","50% against PI and 50% after dispatch",140,0.00,0.00,0.00
144,"25% Advance Against Proforma Invoice and 75% on 7 day(s) After Delivery","25% Advance Against Proforma Invoice and 75% on 7 day(s) After Delivery",142,0.00,0.00,0.00
145,"60% Advance and 40% Before Delivery","60% Advance and 40% Before Delivery",143,0.00,0.00,0.00
