Document Number,Canceled,Payment Date,BP Code,BP Name,Reference Number,Remarks,Document Currency,AR Invoice No,Invoice Date,Invoice Due Date,Amount To be Receive,Paid Amt
70200708,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822942,INR,20210694,07/08/18,07/08/18,7536.28,7393.62
70200709,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822937,INR,20210783,22/08/18,22/08/18,50421.4,49466.55
70200710,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822962,INR,20210713,09/08/18,09/08/18,21140.44,20740.26
70200711,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822960,INR,20210786,22/08/18,22/08/18,15091.72,14806.04
70200712,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822916,INR,20210784,22/08/18,22/08/18,44305.46,43466.78
70200715,N,15/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through UTR NO 796GFC1822930,INR,20210764,18/08/18,18/08/18,133401.36,130876.13
70200716,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823173,INR,20210558,17/07/18,17/07/18,61659.72,61427.54
70200717,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823204,INR,20210850,31/08/18,31/08/18,198.24,194.65
70200718,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823225,INR,20210857,01/09/18,01/09/18,509.6,496.65
70200719,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO 796GFC1823215,INR,20210601,24/07/18,24/07/18,4956,4901.18
70200720,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823201,INR,20210856,01/09/18,01/09/18,1323.84,1290
70200721,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823217,INR,20210624,27/07/18,27/07/18,11551.57,11230.17
70200722,N,20/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823229,INR,20210882,05/09/18,05/09/18,366421.05,357107.73
70200723,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO  796GFC1823208,INR,20210849,31/08/18,31/08/18,14573,14308.92
70200724,N,19/09/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,Being amount received from HENKEL Through FRN NO   796GFC1823210,INR,20210749,16/08/18,16/08/18,111510,110276.58
70200726,N,01/08/18,15,Jindal Drilling and Industries Ltd.,,ch no 802763 Being amount received towards Pending Bill No 20210094,INR,20210094,21/04/18,21/04/18,18101.46,18101
70200729,N,01/08/18,102,DHL Supply Chain India Pvt. Ltd.,,NEFT 180731BKUGN00005 DHL SUPPLY CHAIN INDIA☻,INR,20210259,25/05/18,25/05/18,242005.9,242005.9
70200735,N,29/09/18,659,Demosha Chemicals Pvt. Ltd.,,ch no 955931,INR,20210540,12/07/18,12/07/18,8623.44,8623.44
70200744,N,01/10/18,228,Mahanagar Gas Ltd.,,RTGS HSBCR22018100105569101 MAHANAGAR GAS LIMIT,INR,20210564,17/07/18,17/07/18,689740.68,655253
70200764,N,29/09/18,64,Bharat Oman Refineries Ltd.,,NEFT SBIN418272438381 BHARAT OMAN REFINERIES LTD,INR,20210451,27/06/18,27/06/18,340122.02,334327.5
70200765,N,01/10/18,1706,IEC-TSL Ingenious Energy LLP,,RTGS HDFCR52018100196357027 IEC TSL INGENIOUS,INR,20610062,25/05/18,25/05/18,994730.63,994730.63
70200771,N,01/10/18,1485,GHCL Ltd.,,NEFT SBIN518274383487 GHCL LTD,INR,20610371,22/08/18,22/08/18,1938.74,1938.74
70200781,N,28/09/18,580,GE T and D India Ltd.,,NEFT CITIN18924882501 GE T D INDIA LIMITED FSSC☻,INR,20610350,16/08/18,16/08/18,8531.4,8531.4
70200782,N,28/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N271180641700850 CUMMINS GENERATOR TECHN IND☻,INR,20210591,23/07/18,23/07/18,28320,28320
70200783,N,28/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018092805543902 GE INDIA INDUSTRIAL,INR,20210349,12/06/18,12/06/18,460557.12,460557.12
70200785,N,27/09/18,773,Piramal Enterprises Ltd.,,NEFT N270180641108394 PIRAMAL ENTERPRISES LIMITED,INR,20210604,24/07/18,24/07/18,196328.05,196328.05
70200785,N,27/09/18,773,Piramal Enterprises Ltd.,,NEFT N270180641108394 PIRAMAL ENTERPRISES LIMITED,INR,20210602,24/07/18,24/07/18,35334.86,35334.86
70200785,N,27/09/18,773,Piramal Enterprises Ltd.,,NEFT N270180641108394 PIRAMAL ENTERPRISES LIMITED,INR,20210613,26/07/18,26/07/18,143665,143665
70200786,N,27/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18270437611 GE DIESEL LOCOMOTIVE PRIVAT,INR,20210722,13/08/18,13/08/18,75520,75520
70200787,N,28/09/18,4,Applied Materials India Pvt. Ltd.,,Blank,INR,20210652,31/07/18,31/07/18,24593.56,24593.56
70200788,N,27/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175971 M S CUMMINS TECHNOLO☻,INR,20210515,09/07/18,09/07/18,63700,63700
70200789,N,27/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N270180640822223 CUMMINS GENERATOR TECHN IND,INR,20210627,27/07/18,27/07/18,24941.04,24940.48
70200790,N,26/09/18,198,J S Equipments,,RTGS UBINR52018092600330747 J S EQUIPMENTS♦,INR,20210106,23/04/18,23/04/18,491785.54,423957
70200791,N,26/09/18,773,Piramal Enterprises Ltd.,,NEFT N269180639616207 PIRAMAL ENTERPRISES LTD 560☻,INR,20210557,17/07/18,17/07/18,39900,39900
70200792,N,26/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175720 M S CUMMINS TECHNOLO,INR,20210453,28/06/18,28/06/18,40925,40925
70200793,N,25/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180925908GN00001 COVESTRO INDIA PRIVATELIM,INR,20210815,28/08/18,28/08/18,3584,3584
70200794,N,25/09/18,198,J S Equipments,,Blank,INR,20210106,23/04/18,23/04/18,491785.54,50000
70200795,N,25/09/18,198,J S Equipments,,Blank,INR,20210106,23/04/18,23/04/18,491785.54,17828.11
70200795,N,25/09/18,198,J S Equipments,,Blank,INR,20210103,23/04/18,23/04/18,1486431.81,132171.89
70200796,N,24/09/18,198,J S Equipments,,NEFT SAA390904342 J S EQUIPMENTS,INR,20210103,23/04/18,23/04/18,1486431.81,600000
70200797,N,27/09/18,773,Piramal Enterprises Ltd.,,Blank,INR,20210629,27/07/18,27/07/18,3823.2,3823
70200798,N,27/09/18,198,J S Equipments,,RTGS UBINR52018092700382942 J S EQUIPMENTS,INR,20210106,23/04/18,23/04/18,491785.54,0.43
70200798,N,27/09/18,198,J S Equipments,,RTGS UBINR52018092700382942 J S EQUIPMENTS,INR,20210107,23/04/18,23/04/18,666090.11,666090.11
70200799,N,24/09/18,1675,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,,NEFT 001ONCF182672503 NSIGT OPERATING EXPENSES ES,INR,20210757,17/08/18,17/08/18,11488.9,11488.48
70200800,N,24/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18267081233 GE DIESEL LOCOMOTIVE PRIVAT,INR,20210632,27/07/18,27/07/18,10021.76,10021.76
70200801,N,24/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N267180637699189 CUMMINS GENERATOR TECHN IND,INR,20210607,25/07/18,25/07/18,30708.48,30708.48
70200802,N,24/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175621 M S CUMMINS TECHNOLO◘,INR,20210514,09/07/18,09/07/18,28910,28910
70200803,N,23/09/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18921488642 BECKMAN COULTER INDIA PVT L,INR,20210603,24/07/18,24/07/18,30992.57,30992.57
70200804,N,21/09/18,264,Oerlikon Balzers Coating India Pvt. Ltd.,,NEFT 000021822180 OERLIKON BALZERS COATING INDIA,INR,20210683,06/08/18,06/08/18,9476.96,9476.96
70200805,N,21/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18920537230 APPLIED MATERIALS INDIA PVT inv no 20210614=2021014,INR,20210609,26/07/18,26/07/18,8850,8850
70200805,N,21/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18920537230 APPLIED MATERIALS INDIA PVT inv no 20210614=2021014,INR,20210614,26/07/18,26/07/18,42609.8,42609.8
70200805,N,21/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18920537230 APPLIED MATERIALS INDIA PVT inv no 20210614=2021014,INR,20210626,27/07/18,27/07/18,2407.2,2407.2
70200805,N,21/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18920537230 APPLIED MATERIALS INDIA PVT inv no 20210614=2021014,INR,20210637,27/07/18,27/07/18,37709.33,37709.33
70200806,N,20/09/18,3,Cummins India Ltd.,,NEFT N263180636444660 CUMMINS INDIA LTD,INR,20210521,11/07/18,11/07/18,177000,177000
70200807,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636262428 PIRAMAL ENTERPRISES LIMITED,INR,20210576,19/07/18,19/07/18,4566.6,4566.6
70200807,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636262428 PIRAMAL ENTERPRISES LIMITED,INR,20210578,19/07/18,19/07/18,2832,2832
70200808,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636256768 PIRAMAL ENTERPRISES LIMITED,INR,20210555,17/07/18,17/07/18,131256.12,131256.12
70200808,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636256768 PIRAMAL ENTERPRISES LIMITED,INR,20210560,17/07/18,17/07/18,141007.05,141007.05
70200808,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636256768 PIRAMAL ENTERPRISES LIMITED,INR,20210582,20/07/18,20/07/18,11851.92,11851.83
70200809,N,19/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174849 M S CUMMINS TECHNOLO☻,INR,20210535,12/07/18,12/07/18,7729,7729
70200810,N,17/09/18,488,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),,NEFT HSBCN18260683082 GE INDIA INDUSTRIAL PRIVATE,INR,20210750,16/08/18,16/08/18,8830.8,8830.8
70200811,N,14/09/18,318,GE Power Conversion India Pvt. Ltd.,,NEFT HSBCN18257562550 GE POWER CONVERSION INDIA P,INR,20210333,08/06/18,08/06/18,95297.34,95297.34
70200812,N,14/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174510 M S CUMMINS TECHNOLO☻,INR,20210508,07/07/18,07/07/18,9558,9558
70200812,N,14/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174510 M S CUMMINS TECHNOLO☻,INR,20210525,11/07/18,11/07/18,33040,33040
70200813,N,14/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174356 M S CUMMINS TECHNOLO☻,INR,20210507,07/07/18,07/07/18,147500,147500
70200814,N,14/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N257180632658308 CUMMINS GENERATOR TECHN IND◘,INR,20210463,29/06/18,29/06/18,51077.9,51077.9
70200815,N,14/09/18,453,Johnson Matthey Chemicals India Pvt. Ltd.,,NEFT HSBCN18257486678 JOHNSON MATTHEY CHEMICALS I,INR,20210746,16/08/18,16/08/18,41300,41300
70200816,N,14/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18917707856 APPLIED MATERIALS INDIA PVT,INR,20210584,20/07/18,20/07/18,15376.09,9764.09
70200816,N,14/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18917707856 APPLIED MATERIALS INDIA PVT,INR,20210585,20/07/18,20/07/18,15520,15520
70200817,N,13/09/18,232,Maschio Gaspardo India Pvt. Ltd.,,NEFT N256180632018930 MASCHIO GASPARDO INDIA PVT,INR,20210714,09/08/18,09/08/18,574.9,574.9
70200817,N,13/09/18,232,Maschio Gaspardo India Pvt. Ltd.,,NEFT N256180632018930 MASCHIO GASPARDO INDIA PVT,INR,20210725,14/08/18,14/08/18,156294.54,156294.54
70200818,N,12/09/18,1530,Stanley Engineered Fastening India Pvt. Ltd.,,NEFT HSBCN18255365815 STANLEY ENGINEERED FASTENIN,INR,20210474,02/07/18,02/07/18,27570.7,27570
70200819,N,12/09/18,1708,ZF India Pvt. Ltd.,,NEFT 180912616GN00049 ZF INDIA PVT LTD,INR,20210605,25/07/18,25/07/18,12477.32,12477.32
70200819,N,12/09/18,1708,ZF India Pvt. Ltd.,,NEFT 180912616GN00049 ZF INDIA PVT LTD,INR,20210638,28/07/18,28/07/18,88343.86,88343.86
70200820,N,12/09/18,773,Piramal Enterprises Ltd.,,NEFT N255180631341230 PIRAMAL ENTERPRISES LIMITED☻,INR,20210524,11/07/18,11/07/18,74724.07,74724
70200821,N,12/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018091205429657 GE INDIA INDUSTRIAL,INR,20210195,16/05/18,16/05/18,246520.32,246520.32
70200825,N,21/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18920645807 INGERSOLL RAND INDIA LIMITE,INR,20610201,02/07/18,02/07/18,22420,22420
70200826,N,17/09/18,1485,GHCL Ltd.,,NEFT SBIN418260134790 GHCL LTD,INR,20610345,16/08/18,16/08/18,17372.56,17372.56
70200826,N,17/09/18,1485,GHCL Ltd.,,NEFT SBIN418260134790 GHCL LTD,INR,20610346,16/08/18,16/08/18,13898.04,13898.04
70200826,N,17/09/18,1485,GHCL Ltd.,,NEFT SBIN418260134790 GHCL LTD,INR,20610349,16/08/18,16/08/18,82600,82600
70200827,N,14/09/18,1485,GHCL Ltd.,,NEFT SBIN218257413078 GHCL LTD,INR,20610314,31/07/18,31/07/18,47995.32,47994.52
70200827,N,14/09/18,1485,GHCL Ltd.,,NEFT SBIN218257413078 GHCL LTD,INR,20610341,14/08/18,14/08/18,610.06,610.06
70200827,N,14/09/18,1485,GHCL Ltd.,,NEFT SBIN218257413078 GHCL LTD,INR,20610342,14/08/18,14/08/18,966.42,966.42
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610159,22/06/18,22/06/18,23594.1,23594.1
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610161,22/06/18,22/06/18,18432,18432
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610162,22/06/18,22/06/18,9145,9145
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610165,25/06/18,25/06/18,1747.2,1747.2
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610166,25/06/18,25/06/18,6033.94,6033.94
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610183,27/06/18,27/06/18,64272.72,64272.72
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610184,27/06/18,27/06/18,26762.4,26762.4
70200828,N,12/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18917137687 INGERSOLL RAND INDIA LIMITE,INR,20610192,29/06/18,29/06/18,3304,3304
70200831,N,12/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18916914890 APPLIED MATERIALS INDIA PVT,INR,20210177,29/05/18,29/05/18,11200,11200
70200831,N,12/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18916914890 APPLIED MATERIALS INDIA PVT,INR,20210303,04/06/18,04/06/18,31382.97,31382.97
70200832,N,11/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018091105421511 GE INDIA INDUSTRIAL,INR,20210546,13/07/18,13/07/18,279757.81,279757.81
70200833,N,11/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N254180630284377 CUMMINS GENERATOR TECHN,INR,20210512,09/07/18,09/07/18,8260,8260
70200833,N,11/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N254180630284377 CUMMINS GENERATOR TECHN,INR,20210513,09/07/18,09/07/18,12980,12980
70200833,N,11/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N254180630284377 CUMMINS GENERATOR TECHN,INR,20210520,10/07/18,10/07/18,270087.59,270087.59
70200836,N,04/09/18,3,Cummins India Ltd.,,"NEFT N247180624244681 CUMMINS INDIA LTD Rs.2,183 received against invoice 20210485 but this invoice is cancelled in SAP and Tally, So new invoice raised again this Invoice is Invoice_ 20210877.",INR,20210487,05/07/18,05/07/18,72688,72688
70200843,N,03/09/18,473,Asahi India Glass Ltd.,,BY CLG INST 848432:HDFC AT AHMEDABAD Asahi India Glass,INR,20610244,12/07/18,12/07/18,1183.54,1183.54
70200845,N,12/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210024,10/07/18,10/07/18,55633.16,55633.16
70200845,N,12/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210025,10/07/18,10/07/18,11237.5,11237.5
70200845,N,12/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626751024 PIRAMAL ENTERPRISES LIMITED◘,INR,21210026,11/07/18,11/07/18,140.8,140.8
70200846,N,24/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180924767GN00001 COVESTRO INDIA PRIVATE,INR,20910044,14/08/18,14/08/18,3938,3938
70200847,N,25/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180925906GN00001 COVESTRO INDIA PRIVATELIM,INR,20910056,24/08/18,24/08/18,8850,8850
70200848,N,02/08/18,773,Piramal Enterprises Ltd.,,Being amount received from PIRAMAL towards,INR,20210196,29/05/18,29/05/18,1858.5,1858.5
70200849,N,02/08/18,3,Cummins India Ltd.,,NEFT N214180600074896 CUMMINS INDIA LTD,INR,20210277,30/05/18,30/05/18,8850,8850
70200850,N,02/08/18,930,VVF India Ltd.,,FUND TRANSFER-CMS-FROM CSMMUMBAI,INR,20210316,06/06/18,06/06/18,36170.81,36170.81
70200851,N,02/08/18,1675,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,,NEFT 001ONCF182142051 NSIGT OPERATING EXPENSES ES,INR,20210505,06/07/18,06/07/18,857.36,857
70200852,N,02/08/18,1675,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,,NEFT 001ONCF182142044 NSIGT OPERATING EXPENSES ES,INR,20210504,06/07/18,06/07/18,2588.92,2588.92
70200853,N,03/08/18,3,Cummins India Ltd.,,NEFT CITIN18898113689 CUMMINS INDIA LIMITED PGB◘,INR,20210242,21/05/18,21/05/18,34196.4,34196.4
70200854,N,03/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18898116265 APPLIED MATERIALS INDIA PVT,INR,20210081,20/04/18,20/04/18,27508.44,27508.44
70200854,N,03/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18898116265 APPLIED MATERIALS INDIA PVT,INR,20210147,03/05/18,03/05/18,31382.97,31382.97
70200854,N,03/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18898116265 APPLIED MATERIALS INDIA PVT,INR,20210225,18/05/18,18/05/18,90382.97,90382.97
70200854,N,03/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18898116265 APPLIED MATERIALS INDIA PVT,INR,20210326,07/06/18,07/06/18,8570.53,8570.53
70200855,N,03/08/18,3,Cummins India Ltd.,,NEFT N215180600871113 CUMMINS INDIA LTD,INR,20210199,16/05/18,16/05/18,10602.3,10602.3
70200856,N,06/08/18,659,Demosha Chemicals Pvt. Ltd.,,CH NO 955707 Being amount received from DEMOSHA,INR,20210307,05/06/18,05/06/18,5758.4,5758.4
70200858,N,06/08/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,NEFT 180806743GN00079 HENKEL ADHESIVES TECHNO,INR,20210113,24/04/18,24/04/18,59248.4,54227.4
70200858,N,06/08/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,NEFT 180806743GN00079 HENKEL ADHESIVES TECHNO,INR,20210213,18/05/18,18/05/18,43349.66,39672.96
70200858,N,06/08/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,NEFT 180806743GN00079 HENKEL ADHESIVES TECHNO,INR,20210262,25/05/18,25/05/18,39815.96,39815.96
70200858,N,06/08/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,NEFT 180806743GN00079 HENKEL ADHESIVES TECHNO,INR,20210263,25/05/18,25/05/18,13607.49,13607.49
70200859,N,07/08/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N219180603902999 CUMMINS GENERATOR TECHN IND,INR,20210289,31/05/18,31/05/18,44827.82,44827.82
70200860,N,07/08/18,1530,Stanley Engineered Fastening India Pvt. Ltd.,,NEFT HSBCN18219431343 STANLEY ENGINEERED FASTENIN,INR,20210205,17/05/18,17/05/18,58811.2,58811.2
70200860,N,07/08/18,1530,Stanley Engineered Fastening India Pvt. Ltd.,,NEFT HSBCN18219431343 STANLEY ENGINEERED FASTENIN,INR,20210413,21/06/18,21/06/18,2401.3,2401.3
70200861,N,08/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18900520607 APPLIED MATERIALS INDIA PVT,INR,20210146,03/05/18,03/05/18,16147.38,16147.38
70200862,N,08/08/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18900904092 BECKMAN COULTER INDIA PVT L,INR,20210434,26/06/18,26/06/18,36580,36580
70200864,N,09/08/18,773,Piramal Enterprises Ltd.,,NEFT N221180606156006 PIRAMAL ENTERPRISES LIMITED,INR,20210327,07/06/18,07/06/18,37442.53,37442.53
