SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
BM9L1J8,814 Taparia - BM9L1J8,"TAPARIA Line Tester, Length 125 mm - 814",TAPARIA,814,TRUE
BM0J3S2,"TAPARIA Screwdriver Special with Neon Bulb Green Handle, 180 mm - 815","TAPARIA Screwdriver Special with Neon Bulb Green Handle, 180 mm - 815",TAPARIA,815,
BM0J3S3,"TAPARIA Screwdriver Special with Neon Bulb Yellow Handle, 170 mm - 816","TAPARIA Screwdriver Special with Neon Bulb Yellow Handle, 170 mm - 816",TAPARIA,816,
BM9V6J2,line tester ( screw driver) 818,"TAPARIA Line Tester, Length 125 mm - 818",TAPARIA,818,
BM9V4G8,Taparia Screw Driver 818,"TAPARIA Line Tester, Length 125 mm - 818",TAPARIA,818,TRUE
BM1B0H3,"TAPARIA Screw Driver, 200 mm 818","TAPARIA Line Tester, Length 125 mm - 818",TAPARIA,818,TRUE
BM9R8S2,line tester ( screw driver),TAPARIA Line Tester,TAPARIA,,
BM9X3X4,"Screw Driver Set Phillips 00 , 0 , 1 , 2, 3, 6 X .6","TAPARIA Screwdriver Set, 6 Piece - 821",TAPARIA,821,
BM0C4I9,"TAPARIA Flat Screwdriver, Length 286 mm - 825","TAPARIA Flat Screwdriver, Length 286 mm - 825",TAPARIA,825,
BM0C4J0,"TAPARIA Flat Screwdriver, Length 336 mm - 826","TAPARIA Flat Screwdriver, Length 336 mm - 826",TAPARIA,826,
BM0C4J4,"TAPARIA Flat Screwdriver, Length 305 mm - 827","TAPARIA Flat Screwdriver, Length 305 mm - 827",TAPARIA,827,
BM0C4J6,"TAPARIA Flat Screwdriver, Length 405 mm - 829","TAPARIA Flat Screwdriver, Length 405 mm - 829",TAPARIA,829,
BM0C4G9,"TAPARIA Screwdriver Set, 8 Piece - 831","TAPARIA Screwdriver Set, 8 Piece - 831",TAPARIA,831,
BM0C4H0,"TAPARIA Screwdriver Set, 6 Piece - 840","TAPARIA Screwdriver Set, 6 Piece - 840",TAPARIA,840,
BM9K9R9,871-Taparia - BM9K9R9,"TAPARIA Poker Screwdriver, Length 95 mm - 871",TAPARIA,871,
BM9K9W7,871-Taparia - BM9K9W7,"TAPARIA Poker Screwdriver, Length 95 mm - 871",TAPARIA,871,TRUE
BM9L1B6,871-Taparia - BM9L1B6,"TAPARIA Poker Screwdriver, Length 95 mm - 871",TAPARIA,871,TRUE
BM9L1H8,871-Taparia - BM9L1H8,"TAPARIA Poker Screwdriver, Length 95 mm - 871",TAPARIA,871,TRUE
BM9P9T9,Scotch Brand Tape - Bundling Tape,3M Scotch Filament Tape - 897,3M,897,
BM9P9G2,two in one screw driver,"TAPARIA Two In One Screw Driver, Length 232 mm, Weight 70 gms - 905",TAPARIA,905,
BM0C4P1,"TAPARIA Two In One Screwdriver, Length 292 mm - 907","TAPARIA Two In One Screwdriver, Length 292 mm - 907",TAPARIA,907,
BM0C4H8,"TAPARIA Flat Screwdriver, Length 140 mm - 912","TAPARIA Flat Screwdriver, Length 140 mm - 912",TAPARIA,912,
BM9X1Y5,TAPARIA MAKE SCREW DRIVER NO-927,"TAPARIA Flat Screwdriver, Length 327 mm - 927",TAPARIA,927,
BM0C4J9,"TAPARIA Flat Screwdriver, Length 377 mm - 928","TAPARIA Flat Screwdriver, Length 377 mm - 928",TAPARIA,928,
BM0C4K1,"TAPARIA Flat Screwdriver, Length 527 mm - 930","TAPARIA Flat Screwdriver, Length 527 mm - 930",TAPARIA,930,
BM0C4K2,"TAPARIA Flat Screwdriver, Length 577 mm - 931","TAPARIA Flat Screwdriver, Length 577 mm - 931",TAPARIA,931,
BM0C4H4,"TAPARIA Flat Screwdriver, Length 135 mm - 933","TAPARIA Flat Screwdriver, Length 135 mm - 933",TAPARIA,933,
BM9P7K1,"INSULATED SCREW DRIVER 938 , L :- 250 mm","TAPARIA Insulated Screwdriver, Length 250 mm - 938",TAPARIA,938,
BM0C1K6,"TAPARIA Universal Set, 3 Piece - 1005","TAPARIA Universal Set, 3 Piece - 1005",TAPARIA,1005,
BM9X6V2,Screw driver set small,"TAPARIA Screwdriver Kit Hanging Pouch, 8 Piece - 1013",TAPARIA,1013,
BM0C4H1,"TAPARIA Screwdriver Kits Hanging Pouch, 8 Piece - 1013","TAPARIA Screwdriver Kits Hanging Pouch, 8 Piece - 1013",TAPARIA,1013,TRUE
BM0C4H2,"TAPARIA Screwdriver Kits Blister Packing, 7 Piece - 1014","TAPARIA Screwdriver Kits Blister Packing, 7 Piece - 1014",TAPARIA,1014,
BM9V9C3,screw driver kit,"TAPARIA Screwdriver Kits Blister Packing, 5 Piece - 1017",TAPARIA,1017,
BM0J3R9,"TAPARIA Screwdriver Kits Blister Packing, 5 Piece - 1017","TAPARIA Screwdriver Kits Blister Packing, 5 Piece - 1017",TAPARIA,1017,TRUE
BM0O3I8,CONA Old 2 Pin Socket 6A - 1046,"CONA Old 2 Pin Socket, Current 6A - 1046",CONA,1046,
BM9T7T6,FLAT CHISEL-NO:1046 SIZE:20MMx150MM LONG -Taparia,"TAPARIA Flat Chisel, Cutting Edge 20 mm, Length 150 mm - 1046",TAPARIA,1046,
BM9T5R1,flat chiesel,"TAPARIA Flat Chisel, Cutting Edge 20 mm, Length 150 mm - 1046",TAPARIA,1046,TRUE
BM9R8F6,FLAT CHISEL-NO:1048 SIZE:20MMx200MM LONG -Taparia Make,"TAPARIA Flat Chisel, Cutting Edge 25 mm - 1048",TAPARIA,1048,
BM9R8D1,flat chiesel,"TAPARIA Flat Chisel, Cutting Edge 25 mm, Length 235 mm - 1059",TAPARIA,1059,
BM9R7Y3,3M MAKE Ear Plug Model number-1110,"3M Ear Plug, Noise Reduction Rating 29 dB - 1110",3M,1110,
BM9T7L9,3M MAKE Ear Plug Model number-1110,"3M Ear Plug, Noise Reduction Rating 29 dB - 1110",3M,1110,TRUE
BM9Q1Q1,3M MAKE Ear Plug Model number-1110,"3M Ear Plug, Noise Reduction Rating 29 dB - 1110",3M,1110,TRUE
BM0C6H3,"TAPARIA Pipe Wrench, Stillson Type, Length 250 mm - 1272","TAPARIA Stillson Type Pipe Wrench, Length 250 mm - 1272",TAPARIA,1272,
BM0C6H4,"TAPARIA Pipe Wrench, Stillson Type, Length 300 mm - 1273","TAPARIA Stillson Type Pipe Wrench, Length 300 mm - 1273",TAPARIA,1273,
BM9K9R7,1274-350 mm-Taparia - BM9K9R7,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,
BM9K9W2,1274-350 mm-Taparia - BM9K9W2,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM9K9W5,1274-350 mm-Taparia - BM9K9W5,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM9L1B4,1274-350 mm-Taparia - BM9L1B4,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM9L1H4,1274-350 mm-Taparia - BM9L1H4,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM9L1H6,1274-350 mm-Taparia - BM9L1H6,"TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM0C6H5,"TAPARIA Pipe Wrench, Stillson Type, Length 350 mm - 1274","TAPARIA Stillson Type Pipe Wrench, Length 350 mm - 1274",TAPARIA,1274,TRUE
BM9K9R8,1275-450 mm-Taparia - BM9K9R8,"TAPARIA Stillson Type Pipe Wrench, Length 450 mm - 1275",TAPARIA,1275,
BM9K9W6,1275-450 mm-Taparia - BM9K9W6,"TAPARIA Stillson Type Pipe Wrench, Length 450 mm - 1275",TAPARIA,1275,TRUE
BM9L1B5,1275-450 mm-Taparia - BM9L1B5,"TAPARIA Stillson Type Pipe Wrench, Length 450 mm - 1275",TAPARIA,1275,TRUE
BM9L1H7,1275-450 mm-Taparia - BM9L1H7,"TAPARIA Stillson Type Pipe Wrench, Length 450 mm - 1275",TAPARIA,1275,TRUE
BM0C6H6,"TAPARIA Pipe Wrench, Stillson Type, Length 450 mm - 1275","TAPARIA Stillson Type Pipe Wrench, Length 450 mm - 1275",TAPARIA,1275,TRUE
BM0C6H7,"TAPARIA Pipe Wrench, Stillson Type, Length 600 mm - 1276","TAPARIA Stillson Type Pipe Wrench, Length 600 mm - 1276",TAPARIA,1276,
BM0C6H8,"TAPARIA Pipe Wrench, Stillson Type, Length 900 mm - 1277","TAPARIA Stillson Type Pipe Wrench, Length 900 mm - 1277",TAPARIA,1277,
BM9T1S6,EARÂ muffÂ 1426 3M MAKE,"3M Multi Position Earmuff, Colour Red, Weight 190.0 gms - 1426",3M,1426,
BM9Q6K1,Pipe Wrench Taparia-product-1510-1777691,"TAPARIA Univesal Pipe Wrench, Length 275 mm - 1510",TAPARIA,1510,
BM0O3I3,CONA 2 Pin Socket 6A - 1551,"CONA 2 Pin Socket, Current 6A - 1551",CONA,1551,
BM0O2E8,"CONA 2 Pin Yahoo Flex Box, 9 m - 1601","CONA 2 Pin Yahoo Flex Box, Wire Length 9 Mtr - 1601",CONA,1601,
BM0O2E9,"CONA 3 Pin Yahoo Flex Box, 7 m - 1606","CONA 3 Pin Yahoo Flex Box, Wire Length 7 Mtr - 1606",CONA,1606,
BM9C5L7,3M Clear Lens Safety Goggles - 1611,"3M Clear Lens Safety Goggles, Rim Dia 10 cm - 1611",3M,1611,
BM0O3I4,CONA 2 In 1 Socket 6A - 1621,"CONA 2 In 1 Socket, Current 6A - 1621",CONA,1621,
BM9R8S4,"T - Handle 1/2 "" suqare drive","TAPARIA 1/2"" Sq. Drive T-Handle - 1633",TAPARIA,1633,
BM0O3I9,CONA Old 2 In 1 Socket 6A - 1646,"CONA Old 2 In 1 Socket, Current 6A - 1646",CONA,1646,
BM0O3I5,CONA Multi 2 In 1 Socket 6A - 1656,"CONA Multi 2 In 1 Socket, Current 6A - 1656",CONA,1656,
BM1G1Q2,"TAPARIA Ring Spanner Set, 6 Piece - 1806","TAPARIA Ring Spanner Set, 6 Piece - 1806",TAPARIA,1806,
BM9Q2Z6,"All sizes of spanners (DE, Ring, Tubular and Box type)","TAPARIA Ring Spanner Set, Size 6 to 32 mm, 12 Piece - 1812",TAPARIA,1812,
BM1G1Q6,"TAPARIA Ring Spanner Set, 12 Piece - 1812","TAPARIA Ring Spanner Set, Size 6 to 32 mm, 12 Piece - 1812",TAPARIA,1812,TRUE
BM9X2D7,RING SPANNER SET- 6MM TO 32MM,"TAPARIA Ring Spanner Set, Size 6 to 32 mm, 12 Piece - 1812",TAPARIA,1812,TRUE
BM9W9P6,Ring spanner set 6-32mm,"TAPARIA Ring Spanner Set, Size 6 to 32 mm, 12 Piece - 1812",TAPARIA,1812,TRUE
BM9R4U8,Centre Punch,"TAPARIA Centre Punch and Drift Punch, Overall Length 100 mm, Weight 35 gms - 1884",TAPARIA,1884,
BM9P3X1,Eagle 1955 Drum Safety Cabinet 110 Gal. Yellow Two Door Manual CloseInside Dimensions: 55 in W x 26 1/2 in D x 62 in H,"EAGLE Two Door Manual Close Drum Safety Cabinet, Capacity 110 Gal, Color Yellow - 1955",EAGLE,1955,
BM9Y1U9,center punch,TAPARIA Center Punch - 1985,TAPARIA,1985,
BM9Z3A5,Pipe Wrench Taparia-product-2014-1777691,"TAPARIA TAPARIA Univesal Pipe Wrench, Length 360 mm - 2014",TAPARIA,2014,
BM0O3N5,CONA Soft Ceiling Rose - 2086,CONA Soft Ceiling Rose - 2086,CONA,2086,
BM9W5W7,3M MAKE P100 Cartridge Model number- 2091,3M P100 Particulate Filter - 2091,3M,2091,
BM9T6J8,3M MAKE P100 Cartridge Model number- 2091,3M P100 Particulate Filter - 2091,3M,2091,TRUE
BM9R6B9,3M MAKE P100 Cartridge Model number- 2091,3M P100 Particulate Filter - 2091,3M,2091,TRUE
BM0O3N9,CONA Deluxe Ceiling Rose - 2111,CONA Deluxe Ceiling Rose - 2111,CONA,2111,
BM0O3N8,CONA Deluxe Ceiling Rose - 2116,CONA Deluxe Ceiling Rose - 2116,CONA,2116,
BM0O3N4,CONA Fashion Ceiling Rose - 2186,CONA Fashion Ceiling Rose with Colour Ring- 2186,CONA,2186,
BM0O2D4,"CONA 2 Pin Amro Flex Box, 4 m - 2226","CONA 2 Pin Amro Flex Box, Wire Length 4 Mtr - 2226",CONA,2226,
BM0O2D9,"CONA 2 Pin Elite Flex Box, 4 m - 2676","CONA 2 Pin Elite Flex Box, Wire Length 4 Mtr - 2676",CONA,2676,
BM0O2E0,"CONA 2 Pin Square Flex Box, 4 m - 2686","CONA 2 Pin Square Flex Box, Wire Length 4 Mtr - 2686",CONA,2686,
BM0C4U9,"TAPARIA 3/4"" Square Drive Extension Bar, Length 255 mm - 2753","TAPARIA 3/4"" Square Drive Extension Bar, Length 255 mm - 2753",TAPARIA,2753,
BM0C4V0,"TAPARIA 3/4"" Square Drive Extension Bar, Length 385 mm - 2763","TAPARIA 3/4"" Square Drive Extension Bar, Length 385 mm - 2763",TAPARIA,2763,
BM0O2E5,"CONA 2 Pin King Flex Box, 4 m - 2766","CONA 2 Pin King Flex Box, Wire Length 4 Mtr - 2766",CONA,2766,
BM0O2E6,"CONA 2 Pin King Flex Box, 7 m - 2771","CONA 2 Pin King Flex Box, Wire Length 7 Mtr - 2771",CONA,2771,
BM0O2E7,"CONA 3 Pin King Flex Box, 4 m - 2776","CONA 3 Pin King Flex Box, Wire Length 4 Mtr - 2776",CONA,2776,
BM9P9R8,Conveyor Chain suitable for PBMF 100 LPM Sl no: 2779 With side mesh both sides,BULK MRO APPROVED Conveyor Chain Suitable for PBMF 100 lpm with Side Mesh Both Side - 2779,BULK MRO APPROVED,2779,
BM0O2E2,"CONA 2 Pin Hero Flex Box, 4 m - 2781","CONA 2 Pin Hero Flex Box, Wire Length 4 Mtr - 2781",CONA,2781,
BM0O2E3,"CONA 2 Pin Deluxe Flex Box, 4 m - 2786","CONA 2 Pin Deluxe Flex Box, Wire Length 4 Mtr - 2786",CONA,2786,
BM0O2E4,"CONA 2 Pin Handy Flex Box, 2.7 m - 2791","CONA 2 Pin Handy Flex Box, Wire Length 2.7 Mtr - 2791",CONA,2791,
BM0O2F0,"CONA 3 Pin 6/16A Jumbo Flex Box, 4 m - 2796","CONA 3 Pin 6/16A Jumbo Flex Box, Wire Length 4 Mtr - 2796",CONA,2796,
BM0O2D5,"CONA 2 Pin Shell Flex Box, 4 m - 3026","CONA 2 Pin Shell Flex Box, Wire Length 4 Mtr - 3026",CONA,3026,
BM0O3N3,CONA Dome Ceiling Rose - 3266,CONA Dome Ceiling Rose - 3266,CONA,3266,
BM9E7R9,"KRISTEEL Goniometer/Protactor, 360 Deg.","KRISTEEL Goniometer/Protector, Angle 360 Deg. - 3278",KRISTEEL,3278,
BM9S3W1,"T - Handle 1"" suqare drive - Heavy Duty(3+3)","TAPARIA 1"" Sq. Drive Heavy Duty  T-Handle, Length 630 mm - 3733",TAPARIA,3733,
BM9Z1D7,"T - Handle 1"" suqare drive - Heavy Duty(3+3)","TAPARIA 1"" Sq. Drive Heavy Duty  T-Handle, Length 630 mm - 3733",TAPARIA,3733,TRUE
BM9Q4P8,"EXTENTION BAR for 3/4"" square drive","TAPARIA Extension Bar for 3/4"" Sq. Drive - 3753",TAPARIA,3753,
BM9R9D8,Samson make POSITIONER,"SAMSON Positoner, Size 15 mm - 3763",SAMSON,3763,
BM0O2C9,"CONA 2 Pin Multi Flex Box, 4 m - 4166","CONA 2 Pin Multi Flex Box, Wire Length 4 Mtr - 4166",CONA,4166,
BM0O2D0,"CONA 2 Pin Multi Flex Box, 7 m - 4171","CONA 2 Pin Multi Flex Box, Wire Length 7 Mtr - 4171",CONA,4171,
BM0O2D1,"CONA 2 Pin Multi Flex Box, 9 m - 4176","CONA 2 Pin Multi Flex Box, Wire Length 9 Mtr - 4176",CONA,4176,
BM0O2D2,"CONA 2 Pin Multi Flex Box, 4 m - 4181","CONA 2 Pin Multi Flex Box, Wire Length 4 Mtr - 4181",CONA,4181,
BM0O2D3,"CONA 3 Pin Multi Flex Box, 7 m - 4186","CONA 3 Pin Multi Flex Box, Wire Length 7 Mtr - 4186",CONA,4186,
BM0O2D7,"CONA 2 Pin Bingo Flex Box, 4 m - 4221","CONA 2 Pin Bingo Flex Box, Wire Length 4 Mtr - 4221",CONA,4221,
BM0O2D8,"CONA 3 Pin Bingo Flex Box, 4 m - 4226","CONA 3 Pin Bingo Flex Box, Wire Length 4 Mtr - 4226",CONA,4226,
BM9R9M9,"ABRO Paper Masking Tape, Colour White, Width 48 mm, Length 25 Mtr, PK9 - 5123","ABRO Paper Masking Tape, Colour White, Width 48 mm, Length 25 Mtr, PK9 - 5123",ABRO,5123,
BM0O2D6,"CONA 2 Pin Nine Flex Box, 4 m - 5686","CONA 2 Pin Nine Flex Box, Wire Length 4 Mtr - 5686",CONA,5686,
BM0A3I3,"SKF Deep Groove Ball Bearing, Bore Diameter 10 mm - 6000","SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6000",SKF,6000,
BM0A3J2,"SKF Deep Groove Ball Bearing, Bore Diameter 12 mm - 6001","SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6001",SKF,6001,
BM0A3K1,"SKF Deep Groove Ball Bearing, Bore Diameter 15 mm - 6002","SKF Deep Groove Ball Bearing, Bore Dia 15 mm - 6002",SKF,6002,
BM9P7M6,3M Cartridge for respirators,3M Organic Vapor/Acid Gas Cartridge - 6003,3M,6003,
BM3B8G1,3M Cartridge - 6003,3M Organic Vapor/Acid Gas Cartridge - 6003,3M,6003,TRUE
BM9G8H5,"3M Organic Vapor Cartridge, Colour Yellow - 6003 - BM9G8H5","3M Organic Vapor Cartridge, Colour Yellow - 6003",3M,6003,
BM0K9Q2,3M Organic Vapor/Acid Gas Cartridge - 6003,3M Organic Vapor/Acid Gas Cartridge - 6003,3M,6003,TRUE
BM9C6R1,"3M Organic Vapor/Acid Gas Cartridge, PK2 - 6003",3M Organic Vapor/Acid Gas Cartridge - 6003,3M,6003,TRUE
BM0K8I4,Cartridge - 3M6003,3M Organic Vapor/Acid Gas Cartridge - 6003,3M,6003,TRUE
BM0A3K9,"SKF Deep Groove Ball Bearing, Bore Diameter 17 mm - 6003","SKF Deep Groove Ball Bearing, Bore Dia 17 mm - 6003",SKF,6003,
BM0A3L8,"SKF Deep Groove Ball Bearing, Bore Diameter 20 mm - 6004","SKF Deep Groove Ball Bearing, Bore Dia 20 mm - 6004",SKF,6004,
BM0A3T5,"SKF Deep Groove Ball Bearing, Bore Diameter 25 mm - 6005","SKF Deep Groove Ball Bearing, Bore Dia 25 mm - 6005",SKF,6005,
BM0A3U5,"SKF Deep Groove Ball Bearing, Bore Diameter 30 mm - 6006 - BM0A3U5","SKF Deep Groove Ball Bearing, Bore Dia 30 mm - 6006",SKF,6006,
BM0A3V2,"SKF Deep Groove Ball Bearing, Bore Diameter 35 mm - 6007","SKF Deep Groove Ball Bearing, Bore Dia 35 mm - 6007",SKF,6007,
BM0A3V9,"SKF Deep Groove Ball Bearing, Bore Diameter 50 mm - 6010","SKF Deep Groove Ball Bearing, Bore Dia 50 mm - 6010",SKF,6010,
BM9W9T4,3M MAKE Half Face Respirator Model number - 6200,"3M Half Facepiece Reusable Respirator, Height 4 mm, Length 11.8 mm - 6200",3M,6200,
BM9W7U3,3M MAKE Half Face Respirator Model number - 6200,"3M Half Facepiece Reusable Respirator, Height 4 mm, Length 11.8 mm - 6200",3M,6200,TRUE
BM9Q9D9,3M MAKE Half Face Respirator Model number - 6200,"3M Half Facepiece Reusable Respirator, Height 4 mm, Length 11.8 mm - 6200",3M,6200,TRUE
BM9Y7C6,3M 6200 HALF FACE MASK 22 3M 1118 24596,"3M Half Facepiece Reusable Respirator, Height 4 mm, Length 11.8 mm - 6200",3M,6200,TRUE
BM9S8G8,3M 6200 Mask + 3M 2091 P100 Cartridge,3M Mask and Cartridge - 6200,3M,6200,TRUE
BM9K8P8,3M Half face Mask 6200,"3M Half Facepiece Reusable Respirator, Height 4 mm, Length 11.8 mm - 6200",3M,6200,TRUE
BM0A3X0,"SKF Deep Groove Ball Bearing, Bore Diameter 10 mm - 6200","SKF Deep Groove Ball Bearing, Bore Dia 10 mm - 6200",SKF,6200,
BM0A4E0,"SKF Deep Groove Ball Bearing, Bore Diameter 12 mm - 6201","SKF Deep Groove Ball Bearing, Bore Dia 12 mm - 6201",SKF,6201,
