Document Number,Canceled,Payment Date,BP Code,BP Name,Reference Number,Remarks,Document Currency,Non-Calculated Payment,Non-Calculated Amount
70200744,N,01/10/18,228,Mahanagar Gas Ltd.,,RTGS HSBCR22018100105569101 MAHANAGAR GAS LIMIT,INR,N,0
70200764,N,29/09/18,64,Bharat Oman Refineries Ltd.,,NEFT SBIN418272438381 BHARAT OMAN REFINERIES LTD,INR,N,0
70201240,N,16/08/18,1590,Graziano Trasmissioni India Pvt. Ltd.,,being amount received from GRAZIANO Throgh UTR NO 180816A13GN00092,INR,Y,0.22
70201433,N,15/10/18,1590,Graziano Trasmissioni India Pvt. Ltd.,,NEFT 181015184GN00279 GRAZIANO TRASMISSIONIINDIA,INR,Y,0.31
70200781,N,28/09/18,580,GE T and D India Ltd.,,NEFT CITIN18924882501 GE T D INDIA LIMITED FSSC☻,INR,N,0
70200782,N,28/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N271180641700850 CUMMINS GENERATOR TECHN IND☻,INR,N,0
70200783,N,28/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018092805543902 GE INDIA INDUSTRIAL,INR,N,0
70200786,N,27/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18270437611 GE DIESEL LOCOMOTIVE PRIVAT,INR,N,0
70200787,N,28/09/18,4,Applied Materials India Pvt. Ltd.,,Blank,INR,N,0
70200788,N,27/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175971 M S CUMMINS TECHNOLO☻,INR,N,0
70200789,N,27/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N270180640822223 CUMMINS GENERATOR TECHN IND,INR,N,0
70200790,N,26/09/18,198,J S Equipments,,RTGS UBINR52018092600330747 J S EQUIPMENTS♦,INR,N,0
70200791,N,26/09/18,773,Piramal Enterprises Ltd.,,NEFT N269180639616207 PIRAMAL ENTERPRISES LTD 560☻,INR,N,0
70200792,N,26/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175720 M S CUMMINS TECHNOLO,INR,N,0
70200793,N,25/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180925908GN00001 COVESTRO INDIA PRIVATELIM,INR,N,0
70200794,N,25/09/18,198,J S Equipments,,Blank,INR,N,0
70200795,N,25/09/18,198,J S Equipments,,Blank,INR,N,0
70200796,N,24/09/18,198,J S Equipments,,NEFT SAA390904342 J S EQUIPMENTS,INR,N,0
70200797,N,27/09/18,773,Piramal Enterprises Ltd.,,Blank,INR,N,0
70200799,N,24/09/18,1675,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,,NEFT 001ONCF182672503 NSIGT OPERATING EXPENSES ES,INR,N,0
70200800,N,24/09/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18267081233 GE DIESEL LOCOMOTIVE PRIVAT,INR,N,0
70200801,N,24/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N267180637699189 CUMMINS GENERATOR TECHN IND,INR,N,0
70200802,N,24/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0175621 M S CUMMINS TECHNOLO◘,INR,N,0
70200804,N,21/09/18,264,Oerlikon Balzers Coating India Pvt. Ltd.,,NEFT 000021822180 OERLIKON BALZERS COATING INDIA,INR,N,0
70200805,N,21/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18920537230 APPLIED MATERIALS INDIA PVT inv no 20210614=2021014,INR,N,0
70200806,N,20/09/18,3,Cummins India Ltd.,,NEFT N263180636444660 CUMMINS INDIA LTD,INR,N,0
70200808,N,20/09/18,773,Piramal Enterprises Ltd.,,NEFT N263180636256768 PIRAMAL ENTERPRISES LIMITED,INR,N,0
70200809,N,19/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174849 M S CUMMINS TECHNOLO☻,INR,N,0
70200810,N,17/09/18,488,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),,NEFT HSBCN18260683082 GE INDIA INDUSTRIAL PRIVATE,INR,N,0
70200811,N,14/09/18,318,GE Power Conversion India Pvt. Ltd.,,NEFT HSBCN18257562550 GE POWER CONVERSION INDIA P,INR,N,0
70200812,N,14/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174510 M S CUMMINS TECHNOLO☻,INR,N,0
70200813,N,14/09/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0174356 M S CUMMINS TECHNOLO☻,INR,N,0
70200814,N,14/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N257180632658308 CUMMINS GENERATOR TECHN IND◘,INR,N,0
70200815,N,14/09/18,453,Johnson Matthey Chemicals India Pvt. Ltd.,,NEFT HSBCN18257486678 JOHNSON MATTHEY CHEMICALS I,INR,N,0
70200816,N,14/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18917707856 APPLIED MATERIALS INDIA PVT,INR,N,0
70200817,N,13/09/18,232,Maschio Gaspardo India Pvt. Ltd.,,NEFT N256180632018930 MASCHIO GASPARDO INDIA PVT,INR,N,0
70200818,N,12/09/18,1530,Stanley Engineered Fastening India Pvt. Ltd.,,NEFT HSBCN18255365815 STANLEY ENGINEERED FASTENIN,INR,N,0
70200819,N,12/09/18,1708,ZF India Pvt. Ltd.,,NEFT 180912616GN00049 ZF INDIA PVT LTD,INR,N,0
70200820,N,12/09/18,773,Piramal Enterprises Ltd.,,NEFT N255180631341230 PIRAMAL ENTERPRISES LIMITED☻,INR,N,0
70200821,N,12/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018091205429657 GE INDIA INDUSTRIAL,INR,N,0
70200825,N,21/09/18,180,Ingersoll Rand (India) Ltd.,,NEFT CITIN18920645807 INGERSOLL RAND INDIA LIMITE,INR,N,0
70200827,N,14/09/18,1485,GHCL Ltd.,,NEFT SBIN218257413078 GHCL LTD,INR,N,0
70202179,N,06/09/18,773,Piramal Enterprises Ltd.,,NEFT N249180626750401 PIRAMAL ENTERPRISES LIMITED,INR,N,0
70200831,N,12/09/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18916914890 APPLIED MATERIALS INDIA PVT,INR,N,0
70200832,N,11/09/18,1,GE India Industrial Pvt. Ltd.,,RTGS HSBCR22018091105421511 GE INDIA INDUSTRIAL,INR,N,0
70200833,N,11/09/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N254180630284377 CUMMINS GENERATOR TECHN,INR,N,0
70202180,N,29/09/18,1590,Graziano Trasmissioni India Pvt. Ltd.,,NEFT 180929065GN00023 GRAZIANO TRASMISSIONIINDIA♠,INR,N,0
70202181,N,29/09/18,1590,Graziano Trasmissioni India Pvt. Ltd.,,NEFT 180929066GN00197 GRAZIANO TRASMISSIONIINDIA,INR,N,0
70202182,N,12/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180912999GN00001 COVESTRO INDIA PRIVATE,INR,N,0
70202183,N,11/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180911AEIGN00001 COVESTRO INDIA PRIVATE,INR,N,0
70200843,N,03/09/18,473,Asahi India Glass Ltd.,,BY CLG INST 848432:HDFC AT AHMEDABAD Asahi India Glass,INR,N,0
70200846,N,24/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180924767GN00001 COVESTRO INDIA PRIVATE,INR,N,0
70200847,N,25/09/18,1512,Covestro India Pvt. Ltd.,,NEFT 180925906GN00001 COVESTRO INDIA PRIVATELIM,INR,N,0
70200848,N,02/08/18,773,Piramal Enterprises Ltd.,,Being amount received from PIRAMAL towards,INR,N,0
70200849,N,02/08/18,3,Cummins India Ltd.,,NEFT N214180600074896 CUMMINS INDIA LTD,INR,N,0
70200850,N,02/08/18,930,VVF India Ltd.,,FUND TRANSFER-CMS-FROM CSMMUMBAI,INR,N,0
70200851,N,02/08/18,1675,Nhava Sheva (India) Gateway Terminal Pvt. Ltd.,,NEFT 001ONCF182142051 NSIGT OPERATING EXPENSES ES,INR,N,0
70200853,N,03/08/18,3,Cummins India Ltd.,,NEFT CITIN18898113689 CUMMINS INDIA LIMITED PGB◘,INR,N,0
70200854,N,03/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18898116265 APPLIED MATERIALS INDIA PVT,INR,N,0
70200856,N,06/08/18,659,Demosha Chemicals Pvt. Ltd.,,CH NO 955707 Being amount received from DEMOSHA,INR,N,0
70200859,N,07/08/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N219180603902999 CUMMINS GENERATOR TECHN IND,INR,N,0
70200861,N,08/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18900520607 APPLIED MATERIALS INDIA PVT,INR,N,0
70200862,N,08/08/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18900904092 BECKMAN COULTER INDIA PVT L,INR,N,0
70200866,N,09/08/18,97,Deep Industries Ltd.,,NEFT SBIN318221480933 DEEP INDUSTRIES LIMITED♦,INR,N,0
70200867,N,09/08/18,97,Deep Industries Ltd.,,NEFT SBIN318221480824 DEEP INDUSTRIES LIMITED,INR,N,0
70200868,N,10/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18901444303 APPLIED MATERIALS INDIA PVT,INR,N,0
70200869,N,10/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0170762 M S CUMMINS TECHNOLO☻,INR,N,0
70200870,N,10/08/18,1008,Reliance Industries Ltd.,,NEFT N222180606756592 RELIANCE INDUSTRIES LTD 416,INR,N,0
70200871,N,10/08/18,1702,Reliance Corporate IT Park Ltd.,,NEFT N222180606885862 RELIANCE CORPORATE IT PARK,INR,N,0
70200872,N,13/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0170919 M S CUMMINS TECHNOLO,INR,N,0
70200873,N,16/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18903740520 APPLIED MATERIALS INDIA PVT,INR,N,0
70200874,N,16/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0171013 M S CUMMINS TECHNOLO,INR,N,0
70200875,N,16/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,RTGS HSBCR22018081605239318 GE DIESEL LOCOMOTIV,INR,N,0
70200876,N,16/08/18,1655,Jindal Pipes Ltd.,,CH NO 694987 Being amount received from JINDAL DRUGS,INR,N,0
70200877,N,16/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18228999597 GE DIESEL LOCOMOTIVE PRIVAT,INR,N,0
70200878,N,16/08/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18903927998 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200879,N,16/08/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18903927998 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200880,N,16/08/18,361,Voltas Ltd.,,NEFT CITIN18904040080 VOLTAS LTD WATER MANAGEMENT,INR,N,0
70200882,N,16/08/18,773,Piramal Enterprises Ltd.,,NEFT N228180610715007 PIRAMAL ENTERPRISES LIMITED,INR,N,0
70200883,N,16/08/18,1708,ZF India Pvt. Ltd.,,NEFT 180816633GN00050 ZF INDIA PVT LTD,INR,N,0
70200884,N,16/08/18,318,GE Power Conversion India Pvt. Ltd.,,RTGS HSBCR22018081605242193 GE POWER CONVERSION,INR,N,0
70200885,N,16/08/18,1,GE India Industrial Pvt. Ltd.,,NEFT HSBCN18228070173 GE INDIA INDUSTRIAL PRIVATE,INR,N,0
70200886,N,16/08/18,1,GE India Industrial Pvt. Ltd.,,NEFT HSBCN18228070191 GE INDIA INDUSTRIAL PRIVATE,INR,N,0
70200887,N,31/08/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,Being amount received from GODREJ & BOYCE Through UTR NO CITIN18911355718,INR,N,0
70200888,N,31/08/18,1742,Cummins Technologies India Pvt. Ltd. - Recon India,,NEFT SIN05451Q0173236 M S CUMMINS TECHNOLO,INR,N,0
70200890,N,31/08/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N243180620621557 CUMMINS GENERATOR TECHN IND,INR,N,0
70200891,N,31/08/18,3,Cummins India Ltd.,,Being amount received from CUMMINS Through UTR No N243180620625219,INR,N,0
70200893,N,31/08/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18910470045 APPLIED MATERIALS INDIA PVT,INR,N,0
70200899,N,04/07/18,87,Cummins Technologies India Pvt. Ltd.,,Being Amount received form CUMMINS Through UTR NO SIN05451Q0166499,INR,N,0
70200900,N,04/07/18,966,Beckman Coulter India Pvt. Ltd.,,Being Amount received from BECKMAN Through UTR NO  CITIN18885202964,INR,N,0
70200901,N,05/07/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N186180578938612 CUMMINS GENERATOR TECHN IND,INR,N,0
70200902,N,05/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0166834 M S CUMMINS TECHNOLO,INR,N,0
70200904,N,06/07/18,318,GE Power Conversion India Pvt. Ltd.,,being amount received from GE POWER Through UTR NO HSBCN18187792969,INR,N,0
70200907,N,07/07/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18886047814 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200908,N,07/07/18,610,Jindal Drugs Pvt. Ltd.,,CH NO  010572 AMOUNT REVEVIED FROM JINDAL PVT LTD.,INR,N,0
70200909,N,09/07/18,166,Hyosung T and D India Pvt. Ltd.,,NEFT 20180709283830 HYOSUNG T AND D INDIA PVT LTD,INR,N,0
70200910,N,09/07/18,166,Hyosung T and D India Pvt. Ltd.,,NEFT 20180709283831 HYOSUNG T AND D INDIA PVT LTD,INR,N,0
70200911,N,09/07/18,1684,Husco Hydraulics Pvt. Ltd.,,NEFT CHASL18190259415 HUSCO HYDRAULICS PRIVATE LI♠,INR,N,0
70200912,N,09/07/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18886825497 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200914,N,10/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0167154 M S CUMMINS TECHNOLO,INR,N,0
70200915,N,10/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0167107 M S CUMMINS TECHNOLO,INR,N,0
70200918,N,11/07/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18887624669 APPLIED MATERIALS INDIA PVT,INR,N,0
70200924,N,13/07/18,87,Cummins Technologies India Pvt. Ltd.,,Being amount received from CUMMINS through UTR NO SIN05451Q0167496,INR,N,0
70200925,N,13/07/18,930,VVF India Ltd.,,FUND TRANSFER-CMS-FROM CSMMUMBAI,INR,N,0
70200926,N,16/07/18,1096,Bharat Mumbai Container Terminals Pvt. Ltd.,,being amount received from BMCTPL through UTR NO 000020441686,INR,N,0
70200927,N,17/07/18,265,Oil and Natural Gas Corporation Ltd.,,NEFT SBIN418198306688 OIL AND NATURAL GAS CORPORA,INR,N,0
70200929,N,18/07/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18890211128 APPLIED MATERIALS INDIA PVT,INR,N,0
70200930,N,18/07/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18890379370 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200932,N,19/07/18,1795,Panexcell Clinical Lab Pvt. Ltd.,,ch no 087579 Being Amount received towards Inq no 25339  Inv no 20210568,INR,N,0
70200933,N,19/07/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18891075398 BECKMAN COULTER INDIA PVT L◘,INR,N,0
70200934,N,19/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0168166 M S CUMMINS TECHNOL,INR,N,0
70200935,N,19/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0168198 M S CUMMINS TECHNOLO,INR,N,0
70200936,N,20/07/18,4,Applied Materials India Pvt. Ltd.,,NEFT CITIN18891034232 APPLIED MATERIALS INDIA PVT,INR,N,0
70200937,N,20/07/18,1691,Compass India Support Services Pvt. Ltd.,,Being amount received from COMPASS Through UTR NO HSBCN18201698043,INR,N,0
70200938,N,20/07/18,87,Cummins Technologies India Pvt. Ltd.,,Being amount received from CUMMINS through UTR NO SIN05451Q0168786,INR,N,0
70200939,N,23/07/18,238,McNally Bharat Engineering Co. Ltd.,,ch no 016797,INR,N,0
70200941,N,23/07/18,966,Beckman Coulter India Pvt. Ltd.,,NEFT CITIN18891955644 BECKMAN COULTER INDIA PVT L,INR,N,0
70200942,N,23/07/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18891847337 G B M C L PAYMENT TO SUPPLI,INR,N,0
70200943,N,23/07/18,1201,Duroshox Pvt. Ltd.,,NEFT CITIN18891848164 DURO SHOX PRIVATE LIMITED,INR,N,0
70200944,N,23/07/18,3,Cummins India Ltd.,,NEFT CITIN18891848164 DURO SHOX PRIVATE LIMITED,INR,N,0
70200945,N,24/07/18,85,Cummins Generator Technologies India Pvt. Ltd.,,NEFT N205180592315035 CUMMINS INDIA LTD,INR,N,0
70200946,N,24/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0168984 M S CUMMINS TECHNOLO,INR,N,0
70200947,N,24/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0168916 M S CUMMINS TECHNOLO,INR,N,0
70200950,N,26/07/18,453,Johnson Matthey Chemicals India Pvt. Ltd.,,NEFT HSBCN18207121884 JOHNSON MATTHEY CHEMICALS I NEFTINW-,INR,N,0
70200963,N,26/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0169327 M S CUMMINS TECHNOLO inv no 768-18-19/G/197-338884,INR,N,0
70200967,N,27/07/18,938,Vako Seals Pvt. Ltd.,,ch no 036475,INR,N,0
70200970,N,27/07/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0169488 M S CUMMINS TECHNOLO,INR,N,0
70200971,N,27/07/18,87,Cummins Technologies India Pvt. Ltd.,,27-7-1,INR,N,0
70200974,N,30/07/18,166,Hyosung T and D India Pvt. Ltd.,,NEFT 20180730425723 HYOSUNG T AND D INDIA PVT LTD,INR,N,0
70200975,N,30/07/18,166,Hyosung T and D India Pvt. Ltd.,,NEFT 20180730425724 HYOSUNG T AND D INDIA PVT LTD,INR,N,0
70200976,N,30/07/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18894935708 G B M C L PAYMENT TO SUPPLI,INR,N,0
70202141,N,13/12/18,1702,Reliance Corporate IT Park Ltd.,,NEFT N347180702328668 RELIANCE CORPORATE IT PARK☻,INR,N,0
70200987,N,17/08/18,155,Henkel Adhesive Technologies India Pvt. Ltd.,,NEFT 180817863GN00078 HENKEL ADHESIVES TECHNO,INR,N,0
70200988,N,18/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0171465 M S CUMMINS TECHNOLO◘,INR,N,0
70200989,N,18/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0171543 M S CUMMINS TECHNOLO◘,INR,N,0
70200990,N,18/08/18,134,GE Oil and Gas (Measurement and Control Advanced Systek),,RTGS HSBCR22018081705255116 GE OIL GAS INDIA,INR,N,0
70201001,N,18/08/18,998,Godrej and Boyce Manufacturing Co. Ltd.,,NEFT CITIN18904848179 G B M C L PAYMENT TO SUPPLI,INR,N,0
70201004,N,18/08/18,198,J S Equipments,,RTGS UBINR52018081800520582 J S EQUIPMENTS,INR,N,0
70201007,N,18/08/18,97,Deep Industries Ltd.,,NEFT SBIN918230443900 DEEP INDUSTRIES LIMITED◘,INR,N,0
70201011,N,20/08/18,87,Cummins Technologies India Pvt. Ltd.,,NEFT SIN05451Q0171372 M S CUMMINS TECHNOLO,INR,N,0
70201009,N,20/08/18,1512,Covestro India Pvt. Ltd.,,NEFT 180816A93GN00001 COVESTRO INDIA PRIVATE,INR,N,0
70201017,N,20/08/18,198,J S Equipments,,RTGS UBINR52018082100094368 J S EQUIPMENTS,INR,N,0
70201021,N,21/08/18,238,McNally Bharat Engineering Co. Ltd.,,ch no 135418,INR,N,0
70201023,N,21/08/18,930,VVF India Ltd.,,FUND TRANSFER-CMS-FROM CSMMUMBAI,INR,N,0
70201038,N,23/08/18,129,GE Diesel Locomotive Pvt. Ltd.,,NEFT HSBCN18235418007 GE DIESEL LOCOMOTIVE PRIVAT,INR,N,0
70201040,N,23/08/18,238,McNally Bharat Engineering Co. Ltd.,,CH NO 135417,INR,N,0
70201042,N,23/08/18,238,McNally Bharat Engineering Co. Ltd.,,ch no 135416,INR,N,0
70201043,N,12/07/18,1087,GAIL Gas Ltd.,,RTGS ICICR22018071200655688 GAIL GAS LIMITED☺,INR,N,0
70201079,N,02/10/18,1932,Bituflex Shipping And Trading LLP,,IMPS from BITUFLEX SH Ref 827514634019,INR,N,0
70201080,N,02/10/18,1932,Bituflex Shipping And Trading LLP,,,INR,N,0
70201082,N,02/10/18,1932,Bituflex Shipping And Trading LLP,,IMPS from BITUFLEX SH Ref 827514634924,INR,N,0
70201083,N,02/10/18,1932,Bituflex Shipping And Trading LLP,,IMPS from BITUFLEX SH Ref 827514634521,INR,N,0
70201084,N,02/07/18,97,Deep Industries Ltd.,,being amount received from DEEP INDUSTRIES Through UTR NO NEFT SBIN118183004454,INR,N,0
70201085,N,02/07/18,97,Deep Industries Ltd.,,being amount received from DEEP INDUSTRIES Through UTR NO NEFT SBIN118183004463,INR,N,0
