product_id,bm_number,product_name,category_name,brand_name
47414,BM9U6F8,3M make S-433L HOOD WITH INTEGRATED HEAD SUSPENSION AND FACE SEAL,Fall Protection,3M
31210,BM9H9P5,"3M Orbital pad disc: Dia 6""",Accessories,3M
3568,BM0Z1E8,"3M Scotch 610 Tape Size:1"" width, length 60 ft., Color Transparent",Packaging Tapes,3M
2833,BM0Z1E6,3M Super 88 - Size: 2 x 108ft,Masking Tapes,3M
2582,BM0L8K0,"3M"" Armorcast Structural Material 4560 - 4  X 10 Ft Rolls",Accessories,3M
37615,BM9M8V1,"Barriade Tape Size: 3""  Colour: Red and White  (1 Roll = 250 Mtrs.)",Barrier and Flagging Tapes,3M
43246,BM9V5H9,Blue Doted Hand Gloves,Office Supplies,3M
44105,BM9T4K9,Chemical splash Goggle 3M,Office Supplies,3M
44297,BM9W8B1,"Ear Plug, SN03PP (3M)",Office Supplies,3M
44104,BM9T1S6,EAR muff 1426 3M MAKE,Office Supplies,3M
28610,BM9G1W7,FFP1 Fine Dust Oil & Water Based Mist EN149:2001+A1:2009 FFP1 NR D,Half Mask Respirators,3M
40791,BM9P3R4,"Flap Disc 3m make 4"",8465,277.78,250.00,0,0,-
757876,BM9R4X7,""Bare pump with in C.I construction, with Built in relief valve and shaft sealing as OIL SEAL.",Office Supplies,3M
43733,BM9P7C2,Primer 94,Office Supplies,3M
36978,BM9M5U7,Reflective jacket with 3M,Rain Jackets,3M
47072,BM9X7W7,SCOTCH TAPE 18mmx3m,Office Supplies,3M
43881,BM9R8L8,Supply Of MS Channel Size100mmx5 mm thk. (A-one /equivalant make),Office Supplies,A ONE
31936,BM9J4M4,"Chemical storage cabinet
Make :Aakar
Chemical Storage L=900mm x D=450mm x H=1800mm with Four shelves, openable doors, luvours at bottom doors with exhaust provision at top, collection tray at bottom without ducting and blower.",Accessories,AAKAR
31908,BM9J4H2,"Double analytcal Table 
Make: Aakar  
Double Analytical Table having L=2460mm, W=1200mm, H=850mm each consisting of following  
Laboratory Furniture components  Nos 6
Storage Cabinet of L=600mm of 1 drawer 2 shutters with Pedestal  (for standing posture)",Accessories,AAKAR
31909,BM9J4H9,"Fume Hood
Make: Aakar
Fume Hood (with base) Extra Heavy Structure made of 14 Gauge frame & 18 Gauge CRCA body  Over all Size L=1500mm, D=940mm, H=2350 mm consisting of following:
American Design Standard : ASHRAE 110:1995 AM 
Fume Hood Upper Unit  Epoxy P",Accessories,AAKAR
31906,BM9J4G8,"Instrument Table (Wall Table)
Make: Aakar
Wall Table having cabinet with metal shutters, shelf, pedestal & laminated top L=2400, W=750, H=800 mm",Accessories,AAKAR
31937,BM9J4M5,"Slotted Angle Rack
Make :Aakar
Slotted Angle (40mm X 40mm) Rack L=36"", W=18"", H=78"" with 5 shelves",Accessories,AAKAR
31938,BM9J4M6,"Wall Cabinet glass shutter (shelves)
Make :Aakar
Wall Storage 900 x 350 x 630mm with one shelf (Sliding Glass)",Accessories,AAKAR
31939,BM9J4M7,"Working Table
Make :Aakar
 L=1500mm, W=750mm, H=750mm each consisting of following
Laboratory Furniture components (9403.20.90)
Storage Cabinet of L=450mm of 1 drawer 1 shutter with Pedestal  (for Sitting posture) -2 No's
Cross brace (Foot Support) 
Back",Accessories,AAKAR
41370,BM9Y7T9,"""AC Drive Rating: 75HP(ACS580-01-106A-4",Electronics,ABB
39400,BM9N8H2,"ABB 2 Module Intel Socket, Current Rating 13A - CPWS213U",Switches,ABB
45905,BM9P9X8,ABB make 800A 50KA 3 pole 1SDA060216R1,AC Motors,ABB
43518,BM9P6X2,Abrigo Full Body Harness Make – Abrigo Model – AB-22 Class A Attachment Elements : A dorsal attachment D-ring for fall arrestor Adjustable Chest Straps and Thigh Straps Ideally Positioned sit straps for extended comfort Conforms to IS 3521:1999 12mm Polyp,Office Supplies,ABRIGO
41614,BM9P4Q9,Action Micro make Gumboot,Footwear,ACTION MICRO
34580,BM9L1M2,"Grinding Wheel 4"" - BM9L1M2",Grinding Wheels,ADDISON
35424,BM9L6F6,"ADDMAS Make Flow Indicator
Controller For Flow Meter
Input: PULSE
Output: 4-20ma
Display: Flow Rate / Totalizer
Controller : 02 Relay",Other Testing Equipment,ADDMAS
44560,BM9P8H9,"Electromagnetic Flow Meter , Digital Display separate with 10 meter wire",Appliances and Equipment,ADEPT
42273,BM9P9S3,Loadcell Cap. 20 Kg. ADI-60510,Office Supplies,ADI ARTECH
43156,BM9P6J8,AeroShell Fluid 41-MIL-PRF-5606-(pack size203L Drum),Office Supplies,AEROSHELL
43342,BM9P6S2,"Rough Terrain Pallet Truck , Model: AFZA-15AT",Office Supplies,AFZA
41799,BM9X8T9,Ahuja AM-20H PA Megaphone,Traffic Safety,AHUJA
42835,BM9U3A4,AIM Steering Angle Sensor - 1 928 404 025,PLC,AIM
47331,BM9Q2K9,"TFS 50C-9, 5 HP COMPRESSOR WITH 220LTRS   TANK  -22 CFM @ 121 PSI",AC Motors,AIM
36985,BM9M5V5,"Aira make double acting pneumatic rotary actuator ARA49D , Butterfly Type , SS 304 , Size- 1""",Butterfly Valves,AIRA
39441,BM9N9K4,"Airmax make Air filer 3/4"",9987,2600.00,2200.00,0,0,AF-S-20
756106,BM9N9A8,""Janatics make Air filer 3/4"",9987,2800.00,2280.00,0,0,No
757430,BM9T1D2,""3.1 Certificate for Each Order",Office Supplies,AIRMAX
2893,BM1A8Y2,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 32",Shirts and T-Shirts,AIRTEX
2894,BM1A8Y1,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 36",Shirts and T-Shirts,AIRTEX
2895,BM1A8Y0,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 38",Shirts and T-Shirts,AIRTEX
2896,BM1A8X9,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 40",Shirts and T-Shirts,AIRTEX
2897,BM1A8X8,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 42",Shirts and T-Shirts,AIRTEX
2898,BM1A8X7,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 44",Shirts and T-Shirts,AIRTEX
2899,BM1A8X6,"240 Gsm White Airtex Collar T-Shirt With Survival Logo Embroidery, Size 46",Shirts and T-Shirts,AIRTEX
47136,BM9Q2J4,A J S FOLDER A4,Office Supplies,AJS
37777,BM9M9T8,"ALFA AESAR Graphite Rod, Dia 5.125"", Length 12"", Material Metal - 43647",Lab Chemicals,ALFA AESAR
37778,BM9M9V4,"ALFA AESAR Graphite Rod, Dia 5.125"", Length 12"", Material Metal - 43649",Lab Chemicals,ALFA AESAR
42686,BM9U9G5,Notice Board Size Alkosign Size 3 x 4,Office Supplies,ALKOSIGN
42687,BM9S7D4,White Board Alkosign ATRW Size 6 x 4,Office Supplies,ALKOSIGN
42685,BM9Z4D9,White Board Alkosign ATRW Size 6 x 4 Magnetic,Office Supplies,ALKOSIGN
42863,BM9P5Z4,Oven Batch 600 X 600 X 900,Office Supplies,ALL CUT
42867,BM9P5Z7,"2 Ton Lifting Belt with Hook 50 MM WIDTH, 1 MTR LONG",Office Supplies,ALLEN COOPER
43665,BM9P7A3,Allen Cooper make High Ankle safety shoes,Office Supplies,ALLEN COOPER
43901,BM9U8M6,Allen Cooper make High Ankle safety shoes Size 10,Office Supplies,ALLEN COOPER
43904,BM9Q1J6,Allen Cooper make High Ankle safety shoes Size 9,Office Supplies,ALLEN COOPER
42865,BM9X3G2,CLAMP ON METERMODEL: CNX I3000,Office Supplies,ALLEN COOPER
42866,BM9Q7E3,MULTIMETERMODEL: DMM CNX3000,Office Supplies,ALLEN COOPER
43438,BM9W4E6,safety shoes -size-4,Office Supplies,ALLEN COOPER
43439,BM9Z9U3,safety shoes -size-5,Office Supplies,ALLEN COOPER
35704,BM9L8D6,Allen copper make ac 2001 nitrile sole isi mark steel toe,Steel Toe Boots and Shoes,ALLEN COOPER
44066,BM9P7M5,"Almonard Make Exhaust FAN, 24"" H/D, 900 RPM, I/P - 500 watt, 3 phase",Office Supplies,ALMONARD
43778,BM9P7E8,"Dry battery, 12V DC, 18 AH",Office Supplies,AMARON
45813,BM9Y6C5,"AMCO SAFT MAKE NI-CD SPARE BATTERY CELL TYPE-1.2 KPL 155P WITH ELECTROLYTE IN DRY AND DISCHARGE CONDITION CELL DIMENTION IN MM L=103, W=165,H=401",Batteries,AMCO SAFT
45818,BM9Y8N1,"AMCO SAFT MAKE NI-CD SPARE BATTERY CELL TYPE-1.2 KPL 256P WITH ELECTROLYTE IN DRY AND DISCHARGE CONDITION CELL DIMENTION IN MM L=128, W=165,H=401",Batteries,AMCO SAFT
45878,BM9P9W1,AMFAH – Olimpia Splendid DehumidifierModel No.: Aquaria16 (16ltr),Air Treatment,AMFAH
2019,BMJ7O8J,"AMPROBE LCD Tachometer, 1 to 99,999, 1 to 19,999 TACH20",Office Supplies,AMPROBE
47476,BM9Y2X8,"Amprobe MAKE     Digital LUX Meter,       Model:- LM-100",Testing,AMPROBE
4559,BM0P0U7,Amprobe Moisture Meter,Moisture Meters,AMPROBE
32409,BM9J7G2,"ANABOND CONSTANCE Temperature Indicating Crayon, Thermopen 300 Deg.",Crayons,ANABOND
32410,BM9J7G3,"ANABOND CONSTANCE Temperature Indicating Crayon, Thermopen 350 Deg.",Crayons,ANABOND
39515,BM9N9U3,ANCHOR FASTNER 1/2 X 4,Anchor Accessories,ANCHOR
34414,BM9K9S7,Anchor Spike Guard 4 way with Individual Switch 4 Socket Surge Protector  (White) - BM9K9S7,Sockets,ANCHOR
34501,BM9L1C4,Anchor Spike Guard 4 way with Individual Switch 4 Socket Surge Protector  (White) - BM9L1C4,Sockets,ANCHOR
34415,BM9K9S8,Anchor Uno 16A FP C Type MCB - BM9K9S8,Accessories,ANCHOR
34502,BM9L1C5,Anchor Uno 16A FP C Type MCB - BM9L1C5,Accessories,ANCHOR
36859,BM9M5F2,FASTENER ANCHOR 10X75MM BOLT TYPE,Toggle and Anchor Bolts,ANCHOR
36860,BM9M5F3,Fasteners bolt type M12X75mm Anchor,Toggle and Anchor Bolts,ANCHOR
29608,BM9G7F7,Hilti type anchor fastener bolts M 12 x 100 - BM9G7F7,Miscellaneous Bolts,ANCHOR
29652,BM9G7L6,Hilti type anchor fastener bolts M 12 x 100 - BM9G7L6,Miscellaneous Bolts,ANCHOR
29609,BM9G7F8,Hilti type anchor fastener bolts M 12 x 150,Miscellaneous Bolts,ANCHOR
2942,BM1A8S9,M.S Grade 4.6 Anchor Fastner 10 mm X 100 mm,Anchor Accessories,ANCHOR
2943,BM1A8S8,M.S Grade 4.6 Anchor Fastner 12 mm X 100 mm,Anchor Accessories,ANCHOR
2944,BM1A8S7,M.S Grade 4.6 Anchor Fastner 16 mm X 150 mm,Anchor Accessories,ANCHOR
2844,BM1A8U8,"Anchor Roma 1-Way Switch Dura With Neon 21984, White, 32 Amp 240V",Specialty Switches,ANCHOR ROMA
27202,BM9F1W4,6 Mopdular Plate Roma,Wall Plates,ANCHOR ROMA
27201,BM9F1W3,6Amp Socket Roma,Straight Blade Plugs and Receptacles,ANCHOR ROMA
27200,BM9F1W2,6Amp Switch  Roma,Wall Switches,ANCHOR ROMA
43965,BM9Y8D6,"Roma,Plastic Surface Box 10 Model/230v-6A With top Plate/button",Office Supplies,ANCHOR ROMA
43961,BM9U8D8,"Roma,Plastic Surface Box 18 Model/230v-6A With top Plate/button",Office Supplies,ANCHOR ROMA
43966,BM9T2Q5,"Roma,Plastic Surface Box 6 Model/230v-6A,With top Plate/button",Office Supplies,ANCHOR ROMA
43960,BM9W2Y3,"Roma,Plastic Surface Box 8 Model/230v-6A With top Plate/button",Office Supplies,ANCHOR ROMA
41020,BM9P3Y9,Anest Iwata HVLP Spray Gun LPH50,Spray Guns,ANEST IWATA
28826,BM3X4Z6,"Ansell Hand Gloves, Cut Level 5",Cut-Resistant Gloves,ANSELL
32668,BM9J8P5,"ANSELL Hand Goves, Solvex 3767",Cut-Resistant Gloves,ANSELL
28825,BM3X4Z5,"Ansell Hand Safety Gloves Both Side Insulated, Cut Level 3",Cut-Resistant Gloves,ANSELL
28824,BM3X4Z4,"Ansell Hand Safety Gloves, Cut level 3",Cut-Resistant Gloves,ANSELL
696,BMB9C3R,ANSELL Nitrile Coated Gloves Hyflex 11-801,Office Supplies,ANSELL
3821,BM1A7M0,D1811 Disposable Gloves Nitrile L Teal Pk100,Disposable Gloves,ANSELL
43317,BM9P6Q5,Mechanical Gloves Ansell Edge (48-126),Office Supplies,ANSELL
33498,BM9K4U9,PUMP MAKE ANTICO MODEL HE100 MOTOR HP 1 RPM 2900,Other Pumps,ANTICO
44145,BM9P7P4,1 KVA UPS,Office Supplies,APC
43589,BM9P6Y9,APC Make 3 KVA Online UPS Complete With Amaron Make Quanta 12V 42 AH 6 No of Batteries Warrenty One Year,Office Supplies,APC
18319,BM0O0R2,"APEX Drill Machine Vice, 200 mm - 713",Office Supplies,APEX
42868,BM9Q1Q4,FACOM COMBINATION PLIERS INSULATED 187.16VE,Office Supplies,APEX
44271,BM9Y2J2,Aplab L3210 Regulated DC Power Supply 0-32V DC/0 -10A(Single output),Office Supplies,APLAB
44270,BM9Q7S3,Aplab LD3210 Regulated DC Power Supply 0-32V DC/ 0-10A(Single output),Office Supplies,APLAB
43886,BM9V3H9,Supply Of MS Channel Size100mmx5 mm thk. (Apolo/equivalant make),Office Supplies,APOLO
44212,BM9P7Q5,"Gear Operated S.G. Iron Body CF8 Disc (FEP Moulded) FEP Sleeve Butterfly Valve Size 6"" Make - Aquaflow",Office Supplies,AQUAFLOW
39002,BM9N7B7,"AQUAGUARD Dr.Aquaguard Classic + Water Purifier with E- Boiling Effect, Flow Rate 2 Ltr/Minute",Water Purification Systems and Accessories,AQUAGUARD
46079,BM9U2U6,ARDROX 9D1B (YOUR P/NO: ZP 9F) (PACK SIZE 400 ML,Lab Chemicals,ARDROX
43590,BM9P6Z1,MP55AK Air Nipper NILE,Office Supplies,ARGOFILE
44288,BM9U8S1,Blue bell white Oil paint 0532 (Asian make),Office Supplies,ASIAN PAINT
46729,BM9T5H4,TAPE MASKING 2,Paint Spraying Equipment,ASIAN PAINT
21704,BM0L0Q2,"ASSURE Palm Crom Leather On Jeans Cotton Fabric, Length 12"" - HG129",Leather Palm Gloves,ASSURE
43770,BM9Y3E9,"1""UPVC COUPLING SCH-40 (ASTRAL)",Office Supplies,ASTRAL
43771,BM9S3Y8,"1""UPVC ELBOW 90* SCH-40 (ASTRAL",Office Supplies,ASTRAL
43768,BM9Q3Z1,"1""UPVC TEE SCH-40 (ASTRAL)",Office Supplies,ASTRAL
43766,BM9S1D1,"1""X1/2""UPVC R.BUSH SCH-40 (ASTRAL)",Office Supplies,ASTRAL
43769,BM9S1B9,"1/2""UPVC COUPLING SCH-40 (ASTRAL)",Office Supplies,ASTRAL
43767,BM9S1S6,"1/2""UPVC MABT SCH-80 (ASTRAL)",Office Supplies,ASTRAL
43765,BM9S3R6,"3/4""UPVC COUPLING SCH-40 (ASTRAL)",Office Supplies,ASTRAL
35353,BM9L5W7,PC-Asus-CPU: Intel Core i7 - 7700;GPU: GeForce GTX 1070 8GB DDR 5;RAM: 32 GB/2TB HDD/256GB SSD/DVD-RW/KB Mouse;OS: Windows 10 (64-bit versions),Accessories,ASUS
35354,BM9L5W8,PC-Asus-CPU: Intel Core i7 - 7700;GPU: GeForce GTX 1080 8GB DDR 5;RAM: 32 GB/2TB HDD/256GB SSD/DVD-RW/KB Mouse;OS: Windows 10 (64-bit versions),Accessories,ASUS
44295,BM9V2F2,PU Coted hand gloves M Size,Office Supplies,ATLAS
46328,BM9Y2S8,Air Blow Gun-Atlas Copco make-BG 2603‐HF,Hand Tool Kits,ATLAS COPCO
46341,BM9W6C2,Air Blow Gun-Atlas Copco make-BG 2603‐HF,Hand Tool Kits,ATLAS COPCO
32182,BM9J5V7,ATLAS COPCO Separator Kit - 2901162600 - BM9J5V7,Compressor Separator Kits,ATLAS COPCO
39839,BM9P2M8,ATTRICO 8 Pcs. Spanner Set 300 gm AST-8,Combination Wrench Sets,ATTRICO
43515,BM9P6X1,"Autocomp make ADAPTOR,1/2 SQ DR X 1/4,BH200",Office Supplies,AUTOCOMP
2041,BMG8F7S,"AUTONICS 5 digit LCD Panel Mount Tachometers, 72 x 36 mm, 100 to 240VAC 50/60hz MP5Y-4N",Office Supplies,AUTONICS
43502,BM9V9Y6,Autonics Photo sensor BX700-DFR,Office Supplies,AUTONICS
44068,BM9S4D5,Digital Time Switch,Office Supplies,AUTONICS
43233,BM9T2A3,Metal Adjustable Length Wiper Arm,Office Supplies,AUTOTEX
43232,BM9Y6M5,Motor Wiper,Office Supplies,AUTOTEX
43937,BM9P7H5,FL7M-7J6HD-CN03 DC2-Wire Regular Cylindrical Proximity Sensors,Office Supplies,AZBIL
43827,BM9T3E4,TruPointe 1100 Ultrasonic Detector w/SB,Office Supplies,BACHARACH
34417,BM9K9T1,Bajaj-Smart Glow-3 - BM9K9T1,Accessories,BAJAJ
34504,BM9L1C7,Bajaj-Smart Glow-3 - BM9L1C7,Accessories,BAJAJ
34558,BM9L1J7,Bajaj-Smart Glow-3 - BM9L1J7,Accessories,BAJAJ
42949,BM9U3F2,Balluff BCC M415-0000-1A-003-PX0434-020 2mtr Cables,Office Supplies,BALLUFF
42950,BM9R6A2,Balluff make inductive sensor,Office Supplies,BALLUFF
44055,BM9P7L5,BCH make NLLA limit switch,Office Supplies,BCH
43390,BM9P6T6,"Mini limit switch DLSMRP IS 13947-5-1,IP64 IEC/EN 6094-5-1, AC15 2A/250V",Office Supplies,BCH
41322,BM9P4H9,BECHEM Beruclean 113 EMF,Lubricants,BECHEM
43645,BM9X7S9,DIGITAL CLAMP METER,Office Supplies,BEETECH
44159,BM9T2X4,Belkin 150MBPS3G Router,Office Supplies,BELKIN
44158,BM9V7A7,Belkin Leather Sleeve,Office Supplies,BELKIN
4613,BM1B2K5,"Piusi Make Bi-Pump (85 L/Min) 24V, High Flow 24V 85 Litre/Min Portable Diesel Pump BT526405012",Other Pumps,BELL
37582,BM9M8R4,BELZONA 7 Ceramic Ht Metal - 1391,Adhesives and Glue,BELZONA
37581,BM9M8R3,BELZONA 7 Supermetalglide - 1813,Adhesives and Glue,BELZONA
37580,BM9M8R2,BELZONA Ceramic Carbide - 71811,Adhesives and Glue,BELZONA
41258,BM9R3P1,32A SP Industrial Top and Socket AC Box make Bentec,Boxes,BENTEC
41266,BM9V2X3,32A SP MCB make Bentec,IEC Circuit Breakers,BENTEC
41264,BM9R4V5,32A TP Industrial Top and Socket AC Box make Bentec,Boxes,BENTEC
41262,BM9P4T4,32A TP MCB make Bentec,IEC Circuit Breakers,BENTEC
44491,BM9P7W6,Bentone  BG400-2  burner servomotor type SQN 75.294A21B  2 STA,Office Supplies,BENTONE
40881,BM9P3U1,"Bentone Make Monobloc Burner Model : BG400-2 Multibloc -MBZRDLE407 B01S50 Rating : 60 - 318 KW Regulation : Two Stage Controller:- LME22 Valve size : 1"" Ordering No. : 740000174601",Office Supplies,BENTONE
44456,BM9Q1X6,A.C. Squirrel Cage Induction Motor 3 Phase Type With Brake,Office Supplies,BHARAT BIJLEE
44457,BM9V3J4,A.C. Squirrel Cage Induction Motor 3 Phase Type With Brake mounting arrangement,Office Supplies,BHARAT BIJLEE
32672,BM9J8Q2,"MAK 150 Compressor Oil, Capacity 210 Ltr/Barrel",Compressor Oil,BHARAT PETROLEUM
32463,BM9J7P5,MAK HYDROL AW68 20ltr GP BPCL,Lubricants,BHARAT PETROLEUM
46224,BM9T3W9,bushing insulator(BHEL DRG No.39820509200),Conduit and Conduit Fittings,BHEL
46221,BM9S2D8,Conical Support insulator (BHEL DRG No. 39820515505),Conduit and Conduit Fittings,BHEL
46222,BM9Y2V4,Shaft Insulator(BHEL DRG No. 39830503400),Conduit and Conduit Fittings,BHEL
46226,BM9X9W1,Supprt insulator(BHEL DRG No. 39820631205),Conduit and Conduit Fittings,BHEL
46223,BM9Q5U1,Supprt insulator(BHEL DRG No. 49820629505),Conduit and Conduit Fittings,BHEL
46225,BM9X8A9,Supprt insulator(BHEL DRG No. 49820709005),Conduit and Conduit Fittings,BHEL
3728,BM1A6F8,Siphon Spray Gun 0.128In/3.3mm,Accessories,BINKS
41045,BM9P3Z7,BTI-59 Water Still (Manesty Type) Capacity 10 Ltr/hr 8000W,Water Purification Systems and Accessories,BIO TECHNICS
3159,BM1A7Z2,13mm Hammer Drill 550W Impact Drill KR554RE,Specialty Punches,BLACK & DECKER
44175,BM9W2F7,B and D Electric ScrewDriver Set 19PC S/DRIVING BLISTER + KC9006,Office Supplies,BLACK & DECKER
42153,BM9X6J6,Black and Decker HD555 550 Watt 13 mm,Office Supplies,BLACK & DECKER
2856,BM1A8K9,Part # Ka400-1N - Electric Pad Sander,Accessories,BLACK & DECKER
44508,BM9P7Z2,Pressure Washer (Black & Orange),Office Supplies,BLACK & DECKER
3316,BM1A8B1,Wet & Dry Vacuum Cleaner 1800W Power Input WV1400,Accessories,BLACK & DECKER
44458,BM9P7V1,"(Snapon Bluepoint Impact Wrench AT321A ,IMAGE ATTACH  ) Snapon Bluepoint Impact Wrench 3/8"" Sq. Drive , Steel Nose Case With Light Weight Aluminium Housing , Max Torque 237 Nm , Working Torque 27 - 170 Nm , Free Speed 11000 RPM , Wt. 1.36 Kgs , Air Inlet",Office Supplies,BLUE POINT
46747,BM9Q9Z4,"Blue Star Deep Freezer , Model CHF - 300",Refrigeration,BLUE STAR
31488,BM9J2C4,BLUE STAR Hot and Cold Water Dispensers - BWD3FMRGA - BM9J2C4,Office Supplies,BLUE STAR
46748,BM9R8V9,"Blue Star Split AC 3 Star 1.5 TON , Model : 3HW18YATU",Air Conditioners,BLUE STAR
34830,BM9L2Y6,BLUESTAR AC 2 TON 3 STAR,Accessories,BLUESTAR
46504,BM9Y1P9,Bearing 51104--BMT Make,Bearings,BMT
43263,BM9P6M3,"GEAR BOX Make : BONFIGLIOLI , Model : AS 80 F,  Ratio : 25.35 , Output rpm : 56 , Motor Mtg : P160 B5 ,Gear Box Mtg. : B3",Office Supplies,BONFIGLIOLI
42385,BM9R3M4,"CYLD: GRAD, WITH POUR OUT ASTM ""A""250 ML",Office Supplies,BOROSIL
43752,BM9P7D5,GLASS BEAKER 100ML ( Make - Borosilicate),Office Supplies,BOROSIL
37123,BM9M6M2,Glass Tumbler Borosil,Glasswares,BOROSIL
34109,BM9K8C7,Bearing- 9A2,Miscellaneous Finshing Tools,BOSCH
5086,BM0W7K8,BOSCH Batteries - 18.0 V Li Battery 4.0 Ah,Office Supplies,BOSCH
35980,BM9L9Q7,"BOSCh Battery Operated Drill, Voltage 36V - 38636-01",Cordless Drills,BOSCH
44087,BM9P7N8,"Bosch Bench Grinder 8"" Model: GBG 60-20",Office Supplies,BOSCH
4563,BM0P0X8,Bosch GBL 800 E 800W Blower (1.80 Kg),Accessories,BOSCH
47378,BM9W5K5,"Bosch GIM 60 Digital Inclinometer 60 cm,,  PART NO- 601076700",Testing,BOSCH
29101,BM9G4Z3,"BOSCH Impact Cordless Driver, 170 Nm Torque - GDR 18V-EC",Office Supplies,BOSCH
5049,BM0W7S4,"BOSCH Jigsaws, 780 W - GST 150 BCE",Office Supplies,BOSCH
47379,BM9V4V6,Bosch make GLM 40   PART NO- 06010729F0,Testing,BOSCH
47377,BM9Y8J1,Bosch make GLM 50 C (with Bluetooth)  PART NO- 0601072CF0,Testing,BOSCH
5065,BM0W7T1,Bosch Random Orbit Sander 0 601 387 5F2 – GEX 125-1 AE,Office Supplies,BOSCH
43801,BM9P7F5,"BOSCH Rotary Hammer Professional Drill, Weight 2.3 Kg - GBH 200",Rotary Hammers,BOSCH
5080,BM0W7E9,"BOSCH Rotary Hammer, 2 Kg, 22 mm - GBH 2-22 RE",Office Supplies,BOSCH
44280,BM9Y9R5,BT Chop / Multicutsaw GCO 220 New,Office Supplies,BOSCH
44092,BM9S1A9,Cordless Impact Wrench/Wrench 06019A1SF2,Office Supplies,BOSCH
