idcompany_gstinfo,cmp_id,cmp_name,gst_num,gst_file,address,city,state_code,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,shippingfirstname,shippinglastname,sap_row_num,gst_type,tan_num,sap_row_num
1196,371,"Amazon Online Sales","No GST Number",NULL,"House no.375
Aenon apartments 2nd Floor (A)Aspen Boys Hostel",Dimapur,509,Nagaland,IN,797112,8787780012,NULL,NULL,NULL,NULL,NULL,NULL,Arenla,.,,NULL,NULL,
1235,371,"Amazon Online Sales","No GST Number",NULL,"# 24, 2 Cross, 4 Block, 16 Main, Koramangala",Bangalore,501,Karnataka,IN,560034,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1236,371,"Amazon Online Sales","No GST Number",NULL,"# 77/A, 1St Floor, Cygnus Chamber, Jyothinivas College Road, Industrial Layout, Koramangala",Bangalore,501,Karnataka,IN,560034,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1237,371,"Amazon Online Sales","No GST Number",NULL,"# C1, Nitesh Camp David, Netaji Road, Pulkeshi Nagar",Bangalore,501,Karnataka,IN,560005,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1238,371,"Amazon Online Sales","No GST Number",NULL,"#1439 Near Muthyamma Temple, Hebbagodi",Bangalore,501,Karnataka,IN,560099,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1239,371,"Amazon Online Sales","No GST Number",NULL,"#331 , Ground Floor ,4Th Cross, 6Th Main, Arekere Micolayout First Stage",Bangalore,501,Karnataka,IN,560076,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1240,371,"Amazon Online Sales","No GST Number",NULL,"101 Pragathi Mansion, 43 Margosa Road, Malleshwaram",Bangalore,501,Karnataka,IN,560003,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1241,371,"Amazon Online Sales","No GST Number",NULL,"1St Floor, Block 5B, Pritech Park, SEZ(Inside Ecospace)",Bangalore,501,Karnataka,IN,560103,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1242,371,"Amazon Online Sales","No GST Number",NULL,"453, 7th Main, 2nd Cross, Hal 2Nd Stage, Indiranagar",Bangalore,501,Karnataka,IN,560008,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1243,371,"Amazon Online Sales","No GST Number",NULL,"A-303,Gopalan Grandeur,Hoody Circle, ITPL Road, Mahadevapura",Bangalore,501,Karnataka,IN,560048,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1244,371,"Amazon Online Sales","No GST Number",NULL,"B 1207 ,Komarla Brigade Residency, Uttrahalli Main Road Chikkalasandra",Bangalore,501,Karnataka,IN,560061,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1245,371,"Amazon Online Sales","No GST Number",NULL,"Bridge Road 5th Avenue Mall, Ground Floor, Lanthai Restaurant",Bangalore,501,Karnataka,IN,560001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1246,371,"Amazon Online Sales","No GST Number",NULL,"H301, Golden Star Apartment, Hoodi Circle, Mahadevapura Post, Next To Tyco Electronics",Bangalore,501,Karnataka,IN,560048,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1247,371,"Amazon Online Sales","No GST Number",NULL,"Jayadeva Institute Of Cardiovascular, Sciences And Research",Bangalore,501,Karnataka,IN,560069,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1248,371,"Amazon Online Sales","No GST Number",NULL,"No.666, 12Th Main Road, Rajajinagar 3rd Block",Bangalore,501,Karnataka,IN,560010,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1249,371,"Amazon Online Sales","No GST Number",NULL,"Phase 2, Flat No 31, Manipal County Road, Singasandra",Bangalore,501,Karnataka,IN,560068,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1250,371,"Amazon Online Sales","No GST Number",NULL,"X9 - Kristal Campus 10, Yamare Village, Dommasandra Post",Bangalore,501,Karnataka,IN,562125,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1251,371,"Amazon Online Sales","No GST Number",NULL,"C/O Dr. Bijaya Kumar Sadangi, Bhaba Nagar Square, New Bus Stand Road","Berhampur Ganjam",510,Odisha,IN,760004,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1252,371,"Amazon Online Sales","No GST Number",NULL,"Johari Memorial Hospital And Orthopaedics Centre Circular RO",Bharatpur,513,Rajasthan,IN,321001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1253,371,"Amazon Online Sales","No GST Number",NULL,"122 (Oldno.811) Anna Salai Vummidiars Shopping Centre",Chennai,515,"Tamil Nadu",IN,400096,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1254,371,"Amazon Online Sales","No GST Number",NULL,"46/61 Main Street, Ekangipuram Ayanavaram",Chennai,515,"Tamil Nadu",IN,600023,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1255,371,"Amazon Online Sales","No GST Number",NULL,"G7 2D, Behind Vanavani School, Indian Institute Of Technology - Madras",Chennai,515,"Tamil Nadu",IN,600036,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1256,371,"Amazon Online Sales","No GST Number",NULL,"No 1, Thamirabarani Street, Thiruttani Nagar, Nearby Dhaya Jyothi Matriculation School, Behind Shell Bunk, Old Pallavaram",Chennai,515,"Tamil Nadu",IN,600117,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1257,371,"Amazon Online Sales","No GST Number",NULL,"No.4, Chetty Street, Saidapet.",Chennai,515,"Tamil Nadu",IN,600015,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1258,371,"Amazon Online Sales","No GST Number",NULL,"No:36, Orandi Amman Koil Lane, Velachery",Chennai,515,"Tamil Nadu",IN,600042,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1259,371,"Amazon Online Sales","No GST Number",NULL,"Sp 61, Third Street, First Sector K.K. Nagar - Behind KK Nagar Saravana Bhavan",Chennai,515,"Tamil Nadu",IN,600078,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1260,371,"Amazon Online Sales","No GST Number",NULL,"Thavalakuzhi Vilai, Pacode Post",Chennai,515,"Tamil Nadu",IN,629165,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1261,371,"Amazon Online Sales","No GST Number",NULL,"House No 12 Nehru Vihar, Saharanpur Road Niranjanpur",Dehradun,517,"Uttar Pradesh",IN,248001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1262,371,"Amazon Online Sales","No GST Number",NULL,"254 Dhakka Near Parmanand Coloney, North West Delhi",Delhi,494,Delhi,IN,110009,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1263,371,"Amazon Online Sales","No GST Number",NULL,"No 4 Sundaram Street",Dharapuram,515,"Tamil Nadu",IN,638656,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1264,371,"Amazon Online Sales","No GST Number",NULL,"C/O SBI Tikrikilla Branch, PO Tikrikilla","Dist West Garo Hills",507,Meghalaya,IN,794109,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1265,371,"Amazon Online Sales","No GST Number",NULL,"Domjur, Fokordokan, Ghoshpara, Howrah",Domjur,519,"West Bengal",IN,711405,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1266,371,"Amazon Online Sales","No GST Number",NULL,"14A/2/8 Sepco Township, B-Zone Durgapur-5",Durgapur,519,"West Bengal",IN,713205,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1267,371,"Amazon Online Sales","No GST Number",NULL,"39/998, 2Nd Floor, Poovathinkavil Gardens, S C Bose Road",Ernakulam,502,Kerala,IN,682019,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1268,371,"Amazon Online Sales","No GST Number",NULL,"House No 422, Sector 21C",Faridabad,497,Haryana,IN,121001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1269,371,"Amazon Online Sales","No GST Number",NULL,"C-I28, Chander Nagar",Ghaziabad,517,"Uttar Pradesh",IN,201011,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1270,371,"Amazon Online Sales","No GST Number",NULL,"H.No. 760/48, Sbi Colony, Near Porvorim Medical Store, North Goa",GOA,495,Goa,IN,403521,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1271,371,"Amazon Online Sales","No GST Number",NULL,"Door No : 4-22-2, Kothapeta Street, J Thimmapuram, Peddapuram Mandal",Godavari,486,"Andhra Pradesh",IN,533437,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1272,371,"Amazon Online Sales","No GST Number",NULL,"V-37/26, DLF City, Phase 3",Gurugram,497,Haryana,IN,122002,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1273,371,"Amazon Online Sales","No GST Number",NULL,"Govt.Sen.Sec.School, Baghpur -JSataur",Hoshiarpur,512,Punjab,IN,146001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1274,371,"Amazon Online Sales","No GST Number",NULL,"#22, Opp Jupally Swimming Pool, Shaili Gardenia East, Yapral",Hyderabad,486,"Andhra Pradesh",IN,500087,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1275,371,"Amazon Online Sales","No GST Number",NULL,"204, Navjeevan Chambers, Vinoba Marg, C-J Scheme",Jaipur,513,Rajasthan,IN,302001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1276,371,"Amazon Online Sales","No GST Number",NULL,"D-I12 Meera Marg, Bani Park",Jaipur,513,Rajasthan,IN,302016,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1277,371,"Amazon Online Sales","No GST Number",NULL,"KF4, 47 , B H Area, Kadma",Jamshedpur,500,Jharkhand,IN,831014,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1278,371,"Amazon Online Sales","No GST Number",NULL,"2-I 61/4, Padmanagar",Karimnagar,486,"Andhra Pradesh",IN,505001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1279,371,"Amazon Online Sales","No GST Number",NULL,"Sterling'S Holiday, Valley View",Kodaikanal,515,"Tamil Nadu",IN,624101,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1280,371,"Amazon Online Sales","No GST Number",NULL,"Chief Secretary Office, Nagaland Civil Secretariat",Kohima,509,Nagaland,IN,797001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1281,371,"Amazon Online Sales","No GST Number",NULL,"358, Jodhpur Park , Flat 2B, Opposite Vijay Bank Jodhpur Park Branch",Kolkata,519,"West Bengal",IN,700068,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1282,371,"Amazon Online Sales","No GST Number",NULL,"49/5, Pgm Shah Road, 2nd Floor, (Golf Garden)",Kolkata,519,"West Bengal",IN,700033,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1283,371,"Amazon Online Sales","No GST Number",NULL,"Binodinee Neer, R.N.C. Road, Vill and P.O. Subhasgram, South 24 Parganas",Kolkata,519,"West Bengal",IN,700147,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1284,371,"Amazon Online Sales","No GST Number",NULL,"Flat No:C-2, Smrity Appartment (1St Floor), H1 Sreenagar Main Road",Kolkata,519,"West Bengal",IN,700094,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1285,371,"Amazon Online Sales","No GST Number",NULL,"Bahadur Ke Road,G.T.Road(West), Near Pooja International",LUDHIANA,512,Punjab,IN,141008,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1286,371,"Amazon Online Sales","No GST Number",NULL,"9,Manthai Amman Kovil Street, Chokkanathapuram",Madurai,515,"Tamil Nadu",IN,625014,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1287,371,"Amazon Online Sales","No GST Number",NULL,"Braganza Chambers, Flatno.B-4, 1St Floor, Opp. Cardozo Clinic, Dovernem",Merces,495,Goa,IN,403005,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1288,371,"Amazon Online Sales","No GST Number",NULL,"A/14, Om Shanti Apt CHS, Gavanpada Road, Mulund (East)",Mumbai,505,Maharashtra,IN,400081,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1289,371,"Amazon Online Sales","No GST Number",NULL,"A-J301 Indu Sagar Building, Plot No 5 Sector 7, Charkop Kandivali West",Mumbai,505,Maharashtra,IN,400067,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1290,371,"Amazon Online Sales","No GST Number",NULL,"Bulding No 8, At Ground, Shah Arcede II, Wadarpad,Ranisati, Marg, Malad East",Mumbai,505,Maharashtra,IN,400097,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1291,371,"Amazon Online Sales","No GST Number",NULL,"J 10/, Godrej Hillside Colony, LBS Marg, Pirojshanagar, Vikhroli West",Mumbai,505,Maharashtra,IN,400079,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1292,371,"Amazon Online Sales","No GST Number",NULL,"15/17 Ladwadi Building, R.No.26, Old Hanuman Lane, Kalbadevi Road",Mumbai,505,Maharashtra,IN,400002,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1293,371,"Amazon Online Sales","No GST Number",NULL,"Suren Road, Near Residency Hotel, Chakala, Andheri East.",Mumbai,505,Maharashtra,IN,400093,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1294,371,"Amazon Online Sales","No GST Number",NULL,"140, Amrit Villa, New Colony, Byramji Town",Nagpur,505,Maharashtra,IN,440001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1295,371,"Amazon Online Sales","No GST Number",NULL,"RandD Centre Unit 2, E-136, TTC Industrial Estate","Navi Mumbai",505,Maharashtra,IN,400710,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1296,371,"Amazon Online Sales","No GST Number",NULL,"A-50,3Rd Floor, C.R Park","New Delhi",494,Delhi,IN,110019,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1297,371,"Amazon Online Sales","No GST Number",NULL,"Aggarwal Computer Systems, G-I10, A-IC-ID, Indraprastha Tower Community","New Delhi",494,Delhi,IN,110052,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1298,371,"Amazon Online Sales","No GST Number",NULL,"Icar-Indian Agricultural Research Institute, Pusa","New Delhi",494,Delhi,IN,110012,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1299,371,"Amazon Online Sales","No GST Number",NULL,"RZF-I372, Flat No 103, Raj Nagar 2, Palam Colony. Guru Nanak Marg, Near Rkb Janta Mart Super Market","New Delhi",494,Delhi,IN,110045,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1300,371,"Amazon Online Sales","No GST Number",NULL,"Krushnapuri, Opp Bharat Dairy",Pachora,505,Maharashtra,IN,424201,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1301,371,"Amazon Online Sales","No GST Number",NULL,"Flat-103 , GH-J34 , Sector-20 , Panchkula",Panchkula,497,Haryana,IN,134109,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1302,371,"Amazon Online Sales","No GST Number",NULL,"Flat No-J38, 4th Floor, Aster Building, Godrej Sky Garden, Takka Panvel",Panvel,505,Maharashtra,IN,410206,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1303,371,"Amazon Online Sales","No GST Number",NULL,"3/12-I3-I9, 10, Vembar Nader Street.",Pattiveeranpatti-,515,"Tamil Nadu",IN,624211,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1304,371,"Amazon Online Sales","No GST Number",NULL,"C Wing -J S/2, Nisarg City -J 1, Kaspate Wasti, Near Kalewadi Fata",Pune,505,Maharashtra,IN,411057,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1305,371,"Amazon Online Sales","No GST Number",NULL,"D 101, LA Chapelle SOC, Opp Hotel Mahabaleshwar, Baner Road",Pune,505,Maharashtra,IN,411045,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1306,371,"Amazon Online Sales","No GST Number",NULL,"Room No. 322, Academic Block, Smmee Rupnagar",PUNJAB,512,Punjab,IN,140001,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1307,371,"Amazon Online Sales","No GST Number",NULL,"Dewangan Niwas, In Front Of Adwani School, Birgoan",Raipur,490,Chandigarh,IN,493221,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
1308,371,"Amazon Online Sales","No GST Number",NULL,"No.1/1, Vvd Main Road Tooveypuram, Opp. Annanagar 6th Street",Tuticorin,515,"Tamil Nadu",IN,628003,NULL,,NULL,,NULL,,NULL,NULL,NULL,,NULL,NULL,
2064,371,"Amazon Online Sales","No GST Number",NULL,"Ben'S Two Wheeler Spare Parts
Tuichhunchhuah Bazar Bul Mai",AIZAWL,508,Mizoram,IN,796001,8415882196,NULL,NULL,NULL,NULL,NULL,NULL,IMMANUEL,.,,NULL,NULL,
2070,371,"Amazon Online Sales","No GST Number",NULL,"107 samachar apartments mayur vihar phase I","NEW DELHI",494,Delhi,IN,110091,8750900065,NULL,NULL,NULL,NULL,NULL,NULL,Sujay,.,,NULL,NULL,
2073,371,"Amazon Online Sales","No GST Number",NULL,"Bens Two Wheeler Spare Parts
Tuichhunchhuah Bazar Bul Mai",Aizawl,508,Mizoram,IN,796001,8415882196,NULL,NULL,NULL,NULL,NULL,NULL,IMMANUEL,.,,NULL,NULL,
2074,371,"Amazon Online Sales","No GST Number",NULL,"Flat No 302, Meera Kishan appartment, Dattatray Nagar
Near Mahakalkar hall, Beside Shaila hardware",Nagpur,505,Maharashtra,IN,440024,9823010411,NULL,NULL,NULL,NULL,NULL,NULL,"Pravin S ",Jibhakate,,NULL,NULL,
2075,371,"Amazon Online Sales","No GST Number",NULL,"264 nehru nagar 2nd main road
off OMR, Near Kandhanchavadi",Chennai,515,"Tamil Nadu",IN,600096,8838048956,NULL,NULL,NULL,NULL,NULL,NULL,"Chennai Civil Tech Research ","foundation Pvt. Ltd.",,NULL,NULL,
2076,371,"Amazon Online Sales","No GST Number",NULL,"Chandrasekar foundations,No 28 Flat number 3, Murugesan street,Rangarajapuram Kodambakkam",Chennai,515,"Tamil Nadu",IN,600024,9445109472,NULL,NULL,NULL,NULL,NULL,NULL,Chandrasekar,G,,NULL,NULL,
2077,371,"Amazon Online Sales","No GST Number",NULL,"No. 37, Block-4, Madhuvana Layout,Srirampura 2nd Stage",Mysore,501,Karnataka,IN,570023,9440368172,NULL,NULL,NULL,NULL,NULL,NULL,K.S.,Sheshadri,,NULL,NULL,
2102,371,"Amazon Online Sales","No GST Number",NULL,"House No. B-26 Girnar Valley, Ayodhya Bypass Road",BHOPAL,504,"Madhya Pradesh",IN,462023,7771000017,NULL,NULL,NULL,NULL,NULL,NULL,"Prateek ",Khare,,NULL,NULL,
2104,371,"Amazon Online Sales","No GST Number",NULL,"301-g, royal legacy apartments, plot -c3, sector 18, vasundhara",GHAZIABAD,517,"Uttar Pradesh",IN,201012,7534984549,NULL,NULL,NULL,NULL,NULL,NULL,"Shilpi ",Rustogi,,NULL,NULL,
2118,371,"Amazon Online Sales","No GST Number",NULL,"Survey no- 289 Bharadi Road",SILLOD,505,Maharashtra,IN,431112,9823296968,NULL,NULL,NULL,NULL,NULL,NULL,"Jay Laxmi",Industries,,NULL,NULL,
2130,371,"Amazon Online Sales","No GST Number",NULL,"HNO. 783, Sec - 7 Urban Estate",Ambala,497,Haryana,IN,134003,9802222212,NULL,NULL,NULL,NULL,NULL,NULL,"Siddharth ",Nagi,,NULL,NULL,
2132,371,"Amazon Online Sales","No GST Number",NULL,"6-4-363-1 Maruthi Nagar",ANANTAPUR,486,"Andhra Pradesh",IN,515001,9160346713,NULL,NULL,NULL,NULL,NULL,NULL,"SHAIK MOHAMMAD ",NAFIS,,NULL,NULL,
2136,371,"Amazon Online Sales","No GST Number",NULL,"E-202, Innovation Center IIIT-B
26/C, Electronics City Phase 1",BENGALURU,501,Karnataka,IN,560100,9740189826,NULL,NULL,NULL,NULL,NULL,NULL,"Greendzine Technologies ","Pvt Ltd",,NULL,NULL,
2156,371,"Amazon Online Sales","No GST Number",NULL,"5/99,Porter line",GUNTAKAL,486,"Andhra Pradesh",IN,515801,8328330405,NULL,NULL,NULL,NULL,NULL,NULL,"Shaik shasha ",Vali,,NULL,NULL,
2158,371,"Amazon Online Sales","No GST Number",NULL,"E-202, Innovation Center IIIT-B 26/C, Electronics City Phase 1",BENGALURU,501,Karnataka,IN,560100,9740189826,NULL,NULL,NULL,NULL,NULL,NULL,"Greendzine Technologies ","Pvt Ltd",,NULL,NULL,
2164,371,"Amazon Online Sales","No GST Number",NULL,"plot no48,7 th cross road,mahendra hills East maredpally",SECUNDERABAD,870,Telangana,IN,500026,9000018900,NULL,NULL,NULL,NULL,NULL,NULL,"Sri Venkateswara ","Constructions Pvt Ltd",,NULL,NULL,
2166,371,"Amazon Online Sales","No GST Number",NULL,"C-2, GANESH KUTIR,OPP. SHIV TEMPLE, DEVJEET SOCIETY, NEAR CHANDLODIA TALAV",AHMEDABAD,496,Gujarat,IN,382481,9725204677,NULL,NULL,NULL,NULL,NULL,NULL,Amit,Chauhan,,NULL,NULL,
2169,371,"Amazon Online Sales","No GST Number",NULL,"H/41/432, GREEN PARK APPARTMENT, NR. SURYA APARTMENT, SOLA ROAD, NARANPURA",AHMEDABAD,496,Gujarat,IN,380013,9825032900,NULL,NULL,NULL,NULL,NULL,NULL,"HARSHANG ",SHAH,,NULL,NULL,
2170,371,"Amazon Online Sales","No GST Number",NULL,"Near Bhagat Singh circle",Sumerpur,513,Rajasthan,IN,306902,8079068106,NULL,NULL,NULL,NULL,NULL,NULL,Tarun,.,,NULL,NULL,
2172,371,"Amazon Online Sales","No GST Number",NULL,"AZAVEDO'S, F-1/S-1, Arpora Main Junction,
Above Cafe Naik",BARDEZ,495,Goa,IN,403516,9890223448,NULL,NULL,NULL,NULL,NULL,NULL,Enrico ,Azavedo,,NULL,NULL,
2173,371,"Amazon Online Sales","No GST Number",NULL,"AZAVEDOs, F-1/S-1, Arpora Main Junction,
Above Cafe Naik",BARDEZ,495,Goa,IN,403516,9890223448,NULL,NULL,NULL,NULL,NULL,NULL,Enrico ,Azavedo,,NULL,NULL,
2174,371,"Amazon Online Sales","No GST Number",NULL,"C-14,Indraprastha apartment I.P.extension",Patparganj,494,Delhi,IN,110092,9818190673,NULL,NULL,NULL,NULL,NULL,NULL,"Dr.Hemant Jain ",Shah,,NULL,NULL,
2175,371,"Amazon Online Sales","No GST Number",NULL,"B 107 dabua colony
NIT
Above Cafe Naik",FARIDABAD,497,Haryana,IN,121001,9810310411,NULL,NULL,NULL,NULL,NULL,NULL,"Inderpreet singh",Jhelumi,,NULL,NULL,
2177,371,"Amazon Online Sales","No GST Number",NULL,"plot no48,7 th cross road,mahendra hills East maredpally",SECUNDERABAD,870,Telangana,IN,500026,9000018900,NULL,NULL,NULL,NULL,NULL,NULL,"sri venkateswara constructions ","pvt ltd",,NULL,NULL,
