Inside Sales Name,Client Order Date,Price Currency,Document Rate,Magento Company Name,Company Alias,Inquiry Number,So #,Order Date,Bm #,Description,Order Qty,Unit Selling Price,Freight,Tax Type,Tax Rate,Tax Amount,Total Selling Price,Total Landed Cost,Unit cost price,Margin,Margin (In %),Kit,AE,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,Abs. Mismatch,Mismatch
Others,1-Apr-18,INR,1,Trident Computer Resources Inc.,Trident Computer,19769,10210150,2-May-18,BM9Z6T2,Break Fix: Canara Bank Workstation-BM9Z6T2,4,4001.4,0,CGST + SGST 18%,18.00%,2881.008,16005.6,0,0,16005.6,100.00%,No,No,16185.6,19099.01,16005.6,18886.61,212.399999999998,212.399999999998
Others,9-Apr-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,19236,10210161,5-May-18,BM9N9T3,Liquid Source container 1 pipe,1,250674.36,0,IGST 18%,18.00%,45121.3848,250674.36,153600,153600,97074.36,38.73%,No,No,212436,250674.48,250674.36,295795.74,45121.26,-45121.26
Others,9-Apr-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,19236,10210161,5-May-18,BM9N9X2,"Hot source bubbler HS 300,OM374A",2,714921.15,0,IGST 18%,18.00%,257371.614,1429842.3,887200,443600,542642.3,37.95%,No,No,1211730,1429841.4,1429842.3,1687213.91,257372.51,-257372.51
Dipali Vasant Ghanvat,20-Dec-17,INR,1,JSC OGCC KazstroyService,KazStroy,19616,10210198,15-May-18,BM9P2Y7,Air Export Freight Charges-BM9P2Y7,1,1414950.6,0,No Tax 0%,0.00%,0,1414950.6,1131960.48,1131960.48,282990.12,20.00%,No,No,1412584,1412584,1414950.6,1414950.6,2366.60000000009,-2366.60000000009
Supriya Suresh Govalkar,15-May-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,19980,10210216,1-June-18,BM9X5Y5,"Safety Shoe in brown color, Size - 7-BM9X5Y5",15,366.666666666667,0,CGST + SGST 18%,18.00%,990,5500,4914.56,327.637333333333,585.44,10.64%,No,No,11000,12980,5500,6490,6490,6490
Rajani Ganesh Kyatham,15-May-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,19980,10210216,1-June-18,BM9Z3S4,"Safety Shoe in brown color, Size - 8-BM9Z3S4",23,334.782608695652,0,CGST + SGST 18%,18.00%,1386,7700,6813.27,296.229130434783,886.73,11.52%,No,No,16500,19470,7700,9086,10384,10384
Others,12-February-18,INR,1,JSC OGCC KazstroyService,KazStroy,20132,10210294,31-May-18,BM9P3Y4,Man/day of technical service at atyrau refinery activities include: Supervision of ereection and In,18,120270.61,0,No Tax 0%,0.00%,0,2164870.98,1731896.78,96216.4877777778,432974.2,20.00%,No,No,27000,31860,2164870.98,2164870.98,2133010.98,-2133010.98
Others,12-February-18,INR,1,JSC OGCC KazstroyService,KazStroy,20126,10210295,31-May-18,BM9P3Y4,Man/day of technical service at atyrau refinery activities include: Supervision of ereection and In,15,120270.6,0,No Tax 0%,0.00%,0,1804059,1443247.2,96216.48,360811.8,20.00%,No,No,1803600,1803600,1804059,1804059,459,-459
Others,20-Dec-17,INR,1,JSC OGCC KazstroyService,KazStroy,20844,10210296,1-June-18,BM9P2Y7,Air Export Freight Charges-BM9P2Y7,1,1586259.36,0,No Tax 0%,0.00%,0,1586259.36,1269007.49,1269007.49,317251.87,20.00%,No,No,1589994,1589994,1586259.36,1586259.36,3734.6399999999,3734.6399999999
Supriya Govalkar,30-May-18,INR,1,GE Diesel Locomotive Pvt. Ltd.,GE,20627,10210301,1-June-18,BM9Q8W4,"Single phase Extension board, 16amps, 3pin, IP44 Socket, 4 sockets With box and 5 mtr wire and plu",6,1563,0,IGST 18%,18.00%,1688.04,9378,5610,935,3768,40.18%,No,No,9375,11062.5,9378,11066.04,3.54000000000087,-3.54000000000087
Rajani Ganesh Kyatham,29-May-18,INR,1,Cummins Technologies India Pvt. Ltd.,Cummins,19636,10210316,4-Jun-18,BM9P3K4,Aluminum Oxide - 220 grit (25 Kg Each Bag),25,160,0,CGST + SGST 18%,18.00%,720,4000,1412.6,56.504,2587.4,64.69%,No,No,3200,3776,4000,4720,944,-944
Supriya Suresh Govalkar,8-June-18,INR,1,GE Diesel Locomotive Pvt. Ltd.,GE,20029,10210399,15-Jun-18,BM9S5Q9,Torch,10,594,0,IG@18,18.00%,1069.2,5940,8876.13,887.613,-2936.13,-49.43%,No,No,5940,6652.8,5940,7009.2,356.4,-356.4
Supriya Suresh Govalkar,8-June-18,INR,1,GE Diesel Locomotive Pvt. Ltd.,GE,20029,10210399,15-Jun-18,BM9U7C3,Carson MM-450 PocketMicro 20x-60x Pocket Microscope (Blue),1,2800,0,IG@18,18.00%,504,2800,3558.62,3558.62,-758.62,-27.09%,No,No,2800,3584,2800,3304,280,280
Nisha Patil,14-Jun-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,21150,10210403,16-Jun-18,BM9Q5T5,"Battery, Pulse lite 12V 65AH",3,6724.68666666667,0,CSG@28,28.00%,5648.7368,20174.06,19363.25,6454.41666666667,810.810000000001,4.02%,No,No,21530,27558.4,20174.06,25822.8,1735.6,1735.6
Jigar Patel,28-Jun-18,INR,1,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),GE,20973,10210462,28-Jun-18,BM9P4U7,"LIGHTWEIGHT PITCHLOCK TOOL Lightweight Pitch Lock Tool - Complete assembly. Manufacture, test, and",5,199319,0,IG@18,18.00%,179387.1,996595,715266,143053.2,281329,28.23%,No,No,996595,996595,996595,1175982.1,179387.1,-179387.1
Jigar Patel,29-Jun-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,21455,10210469,2-Jul-18,BM9P5T8,OSCAR make Ultrasonic Cleaner Type OU-35,2,88036,0,CSG@18,18.00%,31692.96,176072,166470,83235,9602,5.45%,No,No,176071.06,225370.96,176072,207764.96,17606,17606
Avni Yogeshkumar Shah,13-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25371,10210544,13-Jul-18,BM9P6M1,Plastics o ring kit box for Loctite (Chest Multipurpose),2000,171.37,0,CSG@18,18.00%,61693.2,342740,244166.66,122.08333,98573.34,28.76%,No,No,341340,402781.2,342740,404433.2,1652,-1652
Prit Patel,22-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25329,10210559,16-Jul-18,BM00008,Freight.,1,690,0,CSG@18,18.00%,124.2,690,3900,3900,-3210,-465.22%,No,No,3980,4696.4,690,814.2,3882.2,3882.2
Ghousuddin Shaikh,16-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25329,10210559,16-Jul-18,BM9P8D8,Crate CC-32100 Blue with SS locking clip Dimensions OD.300X200X100 ID.265X165X95MM,1500,124.3202,0,CSG@18,18.00%,33566.454,186480.3,159000,106,27480.3,14.74%,No,No,185970,219444.6,186480.3,220046.75,602.149999999994,-602.149999999994
Ghousuddin Shaikh,16-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25329,10210559,16-Jul-18,BM9Y8U9,Crate LID -32000 Grey suitable for 300X200 series,1500,70.3698,0,CSG@18,18.00%,18999.846,105554.7,90000,60,15554.7,14.74%,No,No,105255,124200.9,105554.7,124554.55,353.650000000009,-353.650000000009
Nisha Patil,17-Jul-18,INR,1,Mahanagar Gas Ltd.,MGL,7407,10210566,17-Jul-18,BM9E4Z8,Repair kit for AV - MP,3,24655.6666666667,0,CSG@18,18.00%,13314.06,73967,68454.56,22818.1866666667,5512.44,7.45%,No,No,103194,121768.92,73967,87281.06,34487.86,34487.86
Komal Nagar,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210580,19-Jul-18,BM9Q5P6,ML4 3pole contactor 415V 50/60Hz,5,3574,0,CSG@18,18.00%,3216.6,17870,30500,6100,-12630,-70.68%,No,No,35921.6,42387.49,17870,21086.6,21300.89,21300.89
Komal Nagar,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210580,19-Jul-18,BM9S5M2,3UA52.00-1C Coil voltage &ndash 230V RANGE 1.6-2.5A,10,381.61,0,CSG@18,18.00%,686.898,3816.1,6500,650,-2683.9,-70.33%,No,No,3835.3,4525.65,3816.1,4503,22.6499999999996,22.6499999999996
Ghousuddin Shaikh,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210580,19-Jul-18,BM9T4N8,Spare contact Kit ML4 Cat No &ndash SS95311,10,1912,0,CSG@18,18.00%,3441.6,19120,32650,3265,-13530,-70.76%,No,No,26904.71,31747.56,19120,22561.6,9185.96,9185.96
Jigar Patel,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210580,19-Jul-18,BM9V3M1,Separate coil with 230V Fit with 3TF34 contactor,20,176.17,0,CSG@18,18.00%,634.212,3523.4,6000,300,-2476.6,-70.29%,No,No,3541.2,4178.62,3523.4,4157.61,21.0100000000002,21.0100000000002
Jigar Patel,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210580,19-Jul-18,BM9X7E1,MCB 80A 3 Pole,10,2151,0,CSG@18,18.00%,3871.8,21510,36730,3673,-15220,-70.76%,No,No,43235.3,51017.65,21510,25381.8,25635.85,25635.85
Sandeep Kumar Pal,23-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25090,10210603,23-Jul-18,BM9P6K4,"3/4""ID x 2 mtr. Long (Overall Length), Flexible Teflon Lined Hose with outer Double Steel Wire Brai",5,4656.67,0,CSG@18,18.00%,4191.003,23283.35,20953.41,4190.682,2329.94,10.01%,No,No,23285,27476.3,23283.35,27474.35,1.95000000000073,1.95000000000073
Jigar Patel,23-Jul-18,INR,1,Covestro India Pvt. Ltd.,Covestro,21473,10210604,23-Jul-18,BM0K8J5,Safety Goggle - Over -1079IN - 3M - BM0K8J5,5,35,0,CSG@18,18.00%,31.5,175,225,45,-50,-28.57%,No,No,175,224,175,206.5,17.5,17.5
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9Q4U1,Extension Cable(50cm) B- 567- 05,1,13502.7310366,0,IG@18,18.00%,2430.491586588,13502.7310366,11772.5,11772.5,1730.2310366,12.81%,No,No,13010.75,15352.69,13502.73,15933.22,580.529999999999,-580.529999999999
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9R6B6,"K- type, 12""- 33points T/ C Wafer AST DWG No.: AW- AMAT- 333K- 01",1,392806.79843,0,IG@18,18.00%,70705.2237174,392806.79843,318173.51,318173.51,74633.28843,19.00%,No,No,378494.62,446623.65,392806.8,463512.02,16888.37,-16888.37
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9T3G3,Data Logger GL840- M,1,282887.85833,0,IG@18,18.00%,50919.8144994,282887.85833,249300,249300,33587.85833,11.87%,No,No,272580.65,321645.17,282887.86,333807.67,12162.5,-12162.5
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9T3V6,Carry Case B- 536,1,19751.9349614,0,IG@18,18.00%,3555.348293052,19751.9349614,17312.5,17312.5,2439.4349614,12.35%,No,No,19032.26,22458.07,19751.93,23307.28,849.209999999999,-849.209999999999
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9W4E7,"K- type, Teflon, 28AWG, 33points Extension Cable AST DWG No. : AEX- KD372- 01",1,25443.1688756,0,IG@18,18.00%,4579.770397608,25443.1688756,22160,22160,3283.1688756,12.90%,No,No,24516.13,28929.03,25443.17,30022.94,1093.91,-1093.91
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9X2P9,Extension terminal base B- 566,2,25527.444254,0,IG@18,18.00%,9189.87993144,51054.888508,45705,22852.5,5349.888508,10.48%,No,No,50107.52,59126.87,51054.89,60244.77,1117.89999999999,-1117.89999999999
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9Y7C7,Input terminal(Multi- input type) B- 564,1,51555.893461,0,IG@18,18.00%,9280.06082298,51555.893461,45012.5,45012.5,6543.393461,12.69%,No,No,49677.42,58619.36,51555.89,60835.95,2216.59,-2216.59
Dipali Vasant Ghanvat,23-Jul-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,25560,10210605,23-Jul-18,BM9Z1P8,Battery Pack B- 569,1,15846.1864002,0,IG@18,18.00%,2852.313552036,15846.1864002,13850,13850,1996.1864002,12.60%,No,No,15268.82,18017.21,15846.19,18698.5,681.290000000001,-681.290000000001
Swati Bhosale,23-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25654,10210608,23-Jul-18,BM9S1G7,PLASTIC ACTIVATOR BRUSH,12000,5.72666666666667,0,CSG@18,18.00%,12369.6,68720,55437.61,4.61980083333333,13282.39,19.33%,No,No,63120,74481.6,68720,81089.6,6608,-6608
Swati Bhosale,30-Jul-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25711,10210645,1-Aug-18,BM00008,Freight.,1,12000,0,CSG@18,18.00%,2160,12000,9001.96,9001.96,2998.04,24.98%,No,No,7000,8260,12000,14160,5900,-5900
Swati Bhosale,6-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25815,10210690,6-Aug-18,BM9P7N1,30 Ltr. Plastic Round Jar with Plug,450,329.803333333333,0,CSG@18,18.00%,26714.07,148411.5,160950.34,357.667422222222,-12538.84,-8.45%,No,No,144211.5,170169.57,148411.5,175125.57,4956,-4956
Neha Mundhe,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210696,7-Aug-18,BM9Q5P6,ML4 3pole contactor 415V 50/60Hz,5,7185,0,CSG@18,18.00%,6466.5,35925,32448.76,6489.752,3476.24,9.68%,No,No,35921.6,42387.49,35925,42391.5,4.01000000000204,-4.01000000000204
Komal Nagar,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210696,7-Aug-18,BM9T4N8,Spare contact Kit ML4 Cat No &ndash SS95311,7,3843,0,CSG@18,18.00%,4842.18,26901,24315.28,3473.61142857143,2585.72,9.61%,No,No,26904.71,31747.56,26901,31743.18,4.38000000000102,4.38000000000102
Swati Bhosale,19-Jul-18,INR,1,Cummins Generator Technologies India Pvt. Ltd.,Cummins,20975,10210696,7-Aug-18,BM9X7E1,MCB 80A 3 Pole,10,4323,0,CSG@18,18.00%,7781.4,43230,39076.84,3907.684,4153.16,9.61%,No,No,43235.3,51017.65,43230,51011.4,6.25,6.25
Dipali Vasant Ghanvat,8-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25797,10210707,8-Aug-18,BM9W3S5,20 L BUCKET WTH SPOUT FOR NATURAL BLUE,260,210.591538461538,0,CSG@18,18.00%,9855.684,54753.8,40879.8,157.23,13874,25.34%,No,No,52553.8,62013.48,54753.8,64609.48,2596,-2596
Sandeep Kumar Pal,8-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26117,10210709,8-Aug-18,BM00008,Freight.,4,12500,0,CSG@18,18.00%,9000,50000,54629.28,13657.32,-4629.28,-9.26%,No,No,39666.68,46806.68,50000,59000,12193.32,-12193.32
Aditya Andankar,14-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26252,10210736,14-Aug-18,BM9P7B6,PLASTIC PAIL 30 LTR CONTAINER,730,152.414383561644,0,CSG@18,18.00%,20027.25,111262.5,101040.88,138.412164383562,10221.62,9.19%,No,No,164209.5,193767.21,111262.5,131289.75,62477.46,62477.46
Neha Mundhe,18-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,25698,10210765,18-Aug-18,BM9V5V1,"1""ID x 2 mtr. Long (Overall Length),Teflon Lined Hose with outer Double Steel Wire Braiding and out",4,8965,0,CSG@18,18.00%,6454.8,35860,31416,7854,4444,12.39%,No,No,35861.44,42316.5,35860,42314.8,1.69999999999709,1.69999999999709
David K,18-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26430,10210766,18-Aug-18,BM9Y1Q7,"1""ID x 1 mtr. Long (Overall Length),Teflon Lined Hose with outer Double Steel Wire Braiding and out",2,5883,0,CSG@18,18.00%,2117.88,11766,10189.8,5094.9,1576.2,13.40%,No,No,11765.14,13882.87,11766,13883.88,1.0099999999984,-1.0099999999984
Piyush Yadav,29-Jun-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,21455,10210771,20-Aug-18,BM9P5T8,OSCAR make Ultrasonic Cleaner Type OU-35,2,88036,0,CSG@18,18.00%,31692.96,176072,177106.49,88553.245,-1034.48999999999,-0.59%,No,No,176071.06,225370.96,176072,207764.96,17606,17606
Sandeep Kumar Pal,24-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26610,10210799,24-Aug-18,BM9Z6F3,10 LTR WHITE CONTAINER < BUCKET> 516,250,116.12,0,CSG@18,18.00%,5225.4,29030,21021.17,84.08468,8008.83,27.59%,No,No,25730,30361.4,29030,34255.4,3894,-3894
Prit Sudhirbhai Patel,24-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26612,10210803,24-Aug-18,BM9S4G5,20 LTR WHITE CONTAINER <BUCKET> DRI LOC,400,187.83,0,CSG@18,18.00%,13523.76,75132,66885.28,167.2132,8246.72,10.98%,No,No,71432,84289.76,75132,88655.76,4366,-4366
Avni Shah,28-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26684,10210821,28-Aug-18,BM00008,Freight.,1,3000,0,CSG@18,18.00%,540,3000,3000,3000,0,0.00%,No,No,4500,5310,3000,3540,1770,1770
Suhas Chandran Nair,28-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26684,10210821,28-Aug-18,BM9S1G7,PLASTIC ACTIVATOR BRUSH,10000,5.41,0,CSG@18,18.00%,9738,54100,45197.83,4.519783,8902.17,16.46%,No,No,52600,62068,54100,63838,1770,-1770
Supriya Suresh Govalkar,29-Aug-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,26734,10210826,29-Aug-18,BM9P7M9,20 Ltrs. Blue Square Jerrycan,400,291.71,0,CSG@18,18.00%,21003.12,116684,98925,247.3125,17759,15.22%,No,No,113684,134147.12,116684,137687.12,3540,-3540
Swati Bhosale,30-Aug-18,INR,1,Duroshox Pvt. Ltd.,Duroshox,26121,10210831,30-Aug-18,BM9M9Q3,"LOCTITE Thread Locking, Capacity 50 ml - Loctite 270",20,482,0,CSG@18,18.00%,1735.2,9640,9362.24,468.112,277.76,2.88%,No,No,7230,8531.4,9640,11375.2,2843.8,-2843.8
Swati Bhosale,31-Aug-18,INR,1,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),GE,20973,10210846,31-Aug-18,BM9P4U7,"LIGHTWEIGHT PITCHLOCK TOOL Lightweight Pitch Lock Tool - Complete assembly. Manufacture, test, and",5,199319,0,IG@12,18.00%,179387.1,996595,921880.39,184376.078,74714.61,7.50%,No,No,996595,996595,996595,1175982.1,179387.1,-179387.1
Mithun Trisule,6-Sep-18,INR,1,Indraprashta Gas Ltd.,Indraprashta Gas,27035,10210875,6-Sep-18,BM9P9Y2,MR Audit through OCR Technology,44073,12.523368048465,0,IG@18,18.00%,99349.632,551942.4,44073,1,507869.4,92.01%,No,No,1440000,1699200,551942.4,651292.03,1047907.97,1047907.97
Sajida Sayyed,11-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27060,10210891,11-Sep-18,BM00008,Freight.,1,7916.34,0,CSG@18,18.00%,1424.9412,7916.34,7916.34,7916.34,0,0.00%,No,No,12500,14750,7916.34,9341.28,5408.72,5408.72
Prit Sudhirbhai Patel,11-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27060,10210891,11-Sep-18,BM9R1F9,5.5 LTR WHITE CONTAINERS < BUCKET>,300,66.3733333333333,0,CSG@18,18.00%,3584.16,19912,14181,47.27,5731,28.78%,No,No,17412,20546.16,19912,23496.16,2950,-2950
Rahul Raju Sonwane,11-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27060,10210891,11-Sep-18,BM9Z6F3,10 LTR WHITE CONTAINER < BUCKET> 516,250,117.58932,0,CSG@18,18.00%,5291.5194,29397.33,22393.3,89.5732,7004.03,23.83%,No,No,25730,30361.4,29397.33,34688.85,4327.45,-4327.45
Avni Shah,12-Sep-18,INR,1,Reliance Corporate IT Park Ltd.,Reliance,25581,10210915,10-Jan-18,BM9W9B9,MS ERW PIPE 50 MM dia and 2mm thk. Each 6 mtr,10,272.83,0,CSG@18,18.00%,491.094,2728.3,580,58,2148.3,78.74%,No,No,5456.6,6438.79,2728.3,3219.39,3219.4,3219.4
Prit Patel,12-Sep-18,INR,1,Reliance Corporate IT Park Ltd.,Reliance,25581,10210915,10-Jan-18,BM9Y5M1,"MS CHEQURED PLATE, 5MM THIK",150,76.3,0,CSG@18,18.00%,2060.1,11445,9900,66,1545,13.50%,No,No,22890,27010.2,11445,13505.1,13505.1,13505.1
Dipali Ghanvat,21-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27461,10210957,21-Sep-18,BM00008,Freight.,1,5250,0,CSG@18,18.00%,945,5250,3100,3100,2150,40.95%,No,No,13000,15340,5250,6195,9145,9145
Yash Gajjar,21-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27461,10210957,21-Sep-18,BM9W3S5,20 L BUCKET WTH SPOUT FOR NATURAL BLUE,500,231.93,0,CSG@18,18.00%,20873.7,115965,82041.17,164.08234,33923.83,29.25%,No,No,101065,119256.7,115965,136838.7,17582,-17582
Aditya Andankar,19-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27357,10210958,21-Sep-18,BM9R1F9,5.5 LTR WHITE CONTAINERS < BUCKET>,300,62.04,0,CSG@18,18.00%,3350.16,18612,14181,47.27,4431,23.81%,No,No,17412,20546.16,18612,21962.16,1416,-1416
Poonam Ramchandra Mohite,19-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27357,10210958,21-Sep-18,BM9S4G5,20 LTR WHITE CONTAINER <BUCKET> DRI LOC,500,185.99428,0,CSG@18,18.00%,16739.4852,92997.14,78822.36,157.64472,14174.78,15.24%,No,No,89290,105362.2,92997.14,109736.63,4374.43000000001,-4374.43000000001
Avni Yogeshkumar Shah,25-Sep-18,INR,1,Bituflex Shipping And Trading LLP,Bituflex,27528,10210975,25-Sep-18,BM9Q1T8,Bitumen-VG 10 Packed,63.127,29000,0,IG@18,18.00%,329522.94,1830683,1798829.12,28495.4000665325,31853.8799999999,1.74%,No,No,1830770,2160308.6,1830683,2160205.94,102.660000000149,102.660000000149
Patel Jigar Jaymeshbhai,25-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27512,10210979,25-Sep-18,BM9Q1Z7,*CAN-M_TIN-PLT *1L DOUBLE TIGHT TINS W/L,5000,36.89,0,CSG@18,18.00%,33201,184450,158452.95,31.69059,25997.05,14.09%,No,No,183350,216353,184450,217651,1298,-1298
Sarika Tanawade,25-Sep-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27526,10210981,25-Sep-18,BM9Q2B8,*CAN-M_TIN-PLT *4 KGS TINS WITH LIDS,360,1074.62175,0,CSG@18,18.00%,69635.4894,386863.83,29034,80.65,357829.83,92.50%,No,No,377320,445237.6,386863.83,456499.32,11261.72,-11261.72
Avni Yogeshkumar Shah,26-Sep-18,INR,1,GE Diesel Locomotive Pvt. Ltd.,GE,27580,10210992,26-Sep-18,BM9Q7U5,"Aluminised hand gloves 5 fingure gloves, palm and thumb in heat proof split leather",75,2303.84,0,IG@18,18.00%,31101.84,172788,147655.2,1968.736,25132.8,14.55%,No,No,172794,203896.92,172788,203889.84,7.0800000000163,7.0800000000163
Avni Yogeshkumar Shah,28-Sep-18,INR,1,Bituflex Shipping And Trading LLP,Bituflex,27658,10211002,28-Sep-18,BM9Q1T8,Bitumen-VG 10 Packed,47.741,29500,0,IG@18,18.00%,253504.71,1408359.5,1383854.04,28986.6999015521,24505.46,1.74%,No,No,1298000,1531640,1408359.5,1661864.21,130224.21,-130224.21
Avni Yogeshkumar Shah,29-Sep-18,INR,1,Bituflex Shipping And Trading LLP,Bituflex,27692,10211012,29-Sep-18,BM9Q1T8,Bitumen-VG 10 Packed,145.6,32700,0,IG@18,18.00%,857001.6,4761120,4678276.51,32131.0199862637,82843.4900000002,1.74%,No,No,5183360,6116364.8,4761120,5618121.6,498243.2,498243.2
Avni Yogeshkumar Shah,29-Sep-18,INR,1,Bituflex Shipping And Trading LLP,Bituflex,27694,10211013,29-Sep-18,BM9Q1T8,Bitumen-VG 10 Packed,185.129,30749.8891016534,0,IG@18,18.00%,1024685.31951,5692696.2195,5559140.53,30028.4694996462,133555.6895,2.35%,No,No,5692734.54,6717426.76,5692696.22,6717381.54,45.2199999997392,45.2199999997392
Rajani Ganesh Kyatham,1-Oct-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,27705,10211021,1-Oct-18,BM9Z6S4,"DRUM PALLETIZER, 640 MM(D) X 1120 MM(W) X 1080MM(H)",8,48041.25,0,CSG@18,18.00%,69179.4,384330,158032,19754,226298,58.88%,No,No,192165,226754.7,384330,453509.4,226754.7,-226754.7
Sandeep Pal,3-Oct-18,INR,1,Beckman Coulter India Pvt. Ltd.,Beckman Coulter,27427,10211024,3-Oct-18,BM9Z9T9,"Incubator - IGS 60 , THERMO SCIENTIFIC",1,175208.32,0,IG@18,18.00%,31537.4976,175208.32,125166.66,125166.66,50041.66,28.56%,No,No,150000,177000,175208.32,206745.82,29745.82,-29745.82
Dipali Ghanvat,4-Oct-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,27592,10211043,4-Oct-18,BM9S1T6,Calibration for Digital Multimeter Fluke 15B,1,813.61,0,IG@18,18.00%,146.4498,813.61,706.15,706.15,107.46,13.21%,No,No,1627.22,1920.12,813.61,960.06,960.06,960.06
Sajida Sayyed,4-Oct-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,27592,10211043,4-Oct-18,BM9X1S1,Calibration for Sound Level Meter,1,1859.69,0,IG@18,18.00%,334.7442,1859.69,1614.07,1614.07,245.62,13.21%,No,No,3719.38,4388.87,1859.69,2194.43,2194.44,2194.44
Husna Khan,4-Oct-18,INR,1,Applied Materials India Pvt. Ltd.,AMAT,27592,10211043,4-Oct-18,BM9Z6D6,Calibration for Power Supply Aplab L3210,1,1162.3,0,IG@18,18.00%,209.214,1162.3,1008.79,1008.79,153.51,13.21%,No,No,2324.6,2743.03,1162.3,1371.51,1371.52,1371.52
