ItemNo,ItemDescription,Service_or_Material,TCS
BM9G2Z7Y,1.6 P.C.C. M15 (7050),Service,No
BM9G0W7A,1.6 SS Hand Rail (6788),Service,No
BM9W4P1Z,1.7 Concrete M30 (7050),Service,No
BM9T3W1,"1.7 Fab & Erect of 6""NB CS Pipe (20 Joints)",Service,No
BM9Q6T7,1.8 Fabrication of SS Tank,Service,No
BM9U4B9,1.8 Reinforcement - Steel (7050),Service,No
BM9J5G4,1.9 Fab & Erect Structural Steel,Service,No
BM9A7T6,1.9 Pocket (7050),Service,No
BM9S2P4B,"10"" Stainless Steel Pipe Fabrication, Length 1.2 Mtr",Service,No
BM9T1P0,"10"" Stainless Steel Welding Joints, 20 Nos",Service,No
BM9N5S2,10% Radiography Test for Pipeline (6595),Service,No
BM9N0Q2,"1�"" Stainless Steel Pipe Fabrication, Length 1 Mtr",Service,No
BM9T8G5,"1�"" Stainless Steel Welding Joints, 12 Nos",Service,No
BM9S2N4,"1�"" Stainless Steel Welding Joints, 2 Nos",Service,No
BM9S9Y1,"1�"" Stainless Steel Welding Joints, 8 Nos",Service,No
BM9C5O5,"14"" Stainless Steel Welding Joints, 2 Nos",Service,No
BM9T8U4,18 Mtr Tower Dismantle Work,Service,No
BM9W8Y8,2 Days Training On PFMEA As per 1st Edition Released on June 2019,Service,No
BM9Y9Q8,2 nd Year Extended Warranty AMC,Service,No
BM9S8C1,"2"" BRASS VALVE FIXING JOINT",Service,No
BM9Y7H7,"2"" ELBOW FIXING JOINT",Service,No
BM9Z2R8,"2"" HDPE ELBOW FIXING JOINT",Service,No
BM9S7Y7,"2"" PPRC MTA FIXING",Service,No
BM9R9S4,"2"" PPRC PIPE FEB",Service,No
BM9V3R6,"2"" PPRC SOCKET FIXING",Service,No
BM9Z2C8,"2"" PPRC STUB END FLANGE FIXING",Service,No
BM9R1F5,"2"" PPRC TEE FIXING JOINT",Service,No
BM9J4E8,"2"" Stainless Steel line Fabrication, Length 4 Mtr",Service,No
BM9W3Q4S,"2"" Stainless Steel Steel Welding Joints, 4 Nos",Service,No
BM9X7W2,"2"" Stainless Steel Welding Joints, 6 Nos",Service,No
BM9O3P1,2.1 Supply of GI Pre Colour Coated,Service,No
BM9O2V2,2.3 Supply & Fixing of GI Precolour Coated 0.5 mm,Service,No
BM9Q2F7,20KVA UPS on rental basis - 3PH/3PH,Service,No
BM9R6K6,"2�"" Stainless Steel Welding Joints, 1 Nos",Service,No
BM9E1V1,2nd Time MS Structure Fixing Work,Service,No
BM9E5I2U,2nd Time Old MS Structure Dismental Work,Service,No
BM9J9J4,2nd Time Screw Conveyor Erection Work,Service,No
BM9W6A7,2nd Time Screw Conveyor Shifting Work,Service,No
BM9Y8M3,2nd Time Screw Conveyor Unloading Work,Service,No
BM9Z6B1,"3"" HDPE ELBOW FIXING JOINT",Service,No
BM9X6P6,"3"" HDPE PIPE FEB",Service,No
BM9S2Q2,"3"" HDPE STUB END FLANGE FIXING",Service,No
BM9N6D0,"3"" Stainless Steel Welding Joints, 10 Nos",Service,No
BM9J1A5,"3"" Valve Fixing, 1 Nos",Service,No
BM9Q3I7J,3.1 Concrete M30 (6788),Service,No
BM9F4Q4,3.2 Shuttering (6788),Service,No
BM9Y3W3,3.3 Labour Supply (6788),Service,No
BM9F2A0,3.4 Reinforcement (6788),Service,No
BM9Q9J6,3.5 Chippling (6788),Service,No
BM9U7X7,3.6 Fixing of Insert Plates (6788),Service,No
BM9Y2K4,"3/4"" Mild Steel Air Line Fabrication",Service,No
BM9Y0J6,"3/4"" Mild Steel Welding Joints, 3 Nos",Service,No
BM9K4G0A,4 Ton Hydra with Bucket,Service,No
BM9T3R6,"4"" SS Strainer Mesh Repairing",Service,No
BM9I3O5,4.2 Dressing of Soil (6788),Service,No
BM9Y4C0,4.3 Rubble Soling (6788),Service,No
BM9V1N4,4.4 WBM Layer (6788),Service,No
BM9U4L9,"500 KVA DG Set & D-Check One Back Up DG Set with Same Cpacity, Contract Time 08 Day",Service,No
BM9Q9E6,6 - 10 readings dual vectors (Electric andMagnetic field) 140 dB 6 minsDevice: Narda EHP 50FRange -,Service,No
BM9X7W1,"6"" HDPE PIPE FEB JOINT",Service,No
BM9X5N9,9 Meter Old Tower Dismantling,Service,No
BM9O2H7,9 Meter Tower Painting (Red & White),Service,No
BM9H4U8V,A+ Cataloging 63 Proucts,Service,No
BM9U4P3M,A+ Pages,Service,No
BM9K4H6E,AC Dismantle Outdoor,Service,No
BM9V0V9,AC Dismentle,Service,No
BM9T8C0,AC Dry Service Charges,Service,No
BM9U4B0,AC Installation,Service,No
BM9H8Q0,AC Outdoor Fitting,Service,No
BM9L4D1,AC Proof Voltage Test 3 Minutes,Service,No
BM9W9D8,AC Voltage Detector Calibration charges,Service,No
BM9I8K4,Accommodation & Food Charges,Service,No
BM9W4C3,Accomudator Cut & Reebing Charge,Service,No
BM9Q0J4,Acetaminophen Coated Trial 1 Additional Testing Charges,Service,No
BM9S6U1,Acetaminophen Coated Trial 1 Process and product Development Charges,Service,No
BM9O1X8,Acetaminophen Process And Product Development Charges,Service,No
BM9L8N5,Acetaminophen Trial III Process And Product Development Charges,Service,No
BM9P4Q6,ACP Sheet with Printing,Service,No
BM9M4K6U,ACP Sheet with Vinyal Printing,Service,No
BM9P4W4,Acrylic A4 Size Sop Stand,Service,No
BM9W2S9,"Acrylic boards for Rack no 18"" X 24""",Service,No
BM9P2J1,Additional Cost of Transportation of spares from Oriental Motor India -BM9P2J1,Service,No
BM9W0L5,Adhesion Strength As Per ASTM D 3359,Service,No
BM9H0S2,Adhesion Test,Service,No
BM9O5A5,Adhesive Evaluation Work,Service,No
BM9J1U0,Adhesive Testing as per EN 204 & 205,Service,No
BM9O3F9,Admin Back Side Railing Painting-Railing - One Coat Primer & One Coat Yellow,Service,No
BM9C3F9Q,Admission Fee,Service,No
BM9R0N4,Advanced Program on Coating Technology & Quality Control,Service,No
BM9Q5K5,Adverting/Marketing Spend for the Month of Sept to Dec 2020,Service,No
BM9R4E0,Advertising Charges for the Month of Feb to June 2020,Service,No
BM9C0A3,Advertising Services for The Month of April 2020,Service,No
BM9N5E5M,Advertising Services for the Month of August 2020,Service,No
BM9C8K8,Advertising Services for the Month of July 2020,Service,No
BM9R0G8,Advertising Services for the Month of September 2020,Service,No
BM9R8D6,Advertising Spend,Service,No
BM9G1H0,Advertising/Marketing Spend for the Month of July and August 2020,Service,No
BM9N5Y8,Agency Fees,Service,No
BM9Q3N6,AGGREGATOR SERVICE,Service,No
BM9Z6K0,"Aggregator Service - B&S Engineering, WBSEA0-004579-112, Project- Bilt Balarpur ESP #4 Refurbishment",Service,No
BM9K6R8,"Aggregator Service - The Metropole Hotel Bill, WBSEA0-004408-1114, Project- Torrent Power, PM- Ajay",Service,No
BM9E7T9,"Aggregator Service - Winder Payment for the Month of March WBSEA0-004839-112, Project - Torrent Powe",Service,No
BM9B3F6,"Aggregator Service - Winder Payment for the Month of March WBSEE0-005137-114, Project - Generator Ov",Service,No
BM9J5I0,"Aggregator Service - Winder Payment for the Month of March WBSEE0-005320-111, Project - Lanco Anapar",Service,No
BM9X3M4J,"Aggregator Service - Winder Payment for the Month of March WBSES0-005176-114, Project - Kolaghat Cap",Service,No
BM9Y6O1,Aggregator Service- A Rajendra WBSESO-010785-115 Project- NLC India PM- A Kannan,Service,No
BM9W6H1,Aggregator Service- Aaradhya Tours & Travels WBSEA0-004839-112 Project- Torrent Power PM- Mujeeb Moh,Service,No
BM9M3I7,"Aggregator Service- Aaradhya Travels , WBSEA0-004408-1114, Project- Torrent Power, PM- Ajay Rane",Service,No
BM9D9L7,Aggregator Service- Aaradhya Travels WBSEA0-004407-1114 Project- Torrent Power PM- Ajay Rane,Service,No
BM9I4T9,Aggregator Service- Aaradhya Travels WBSEB0-15421-114 Project- Torrent Power PM- Ajay Rane,Service,No
BM9W5I1,"Aggregator Service- Aarti Car Rentals, WBSEE0-005076-114, Project- NTPC Sipat Stator Bar Replacement",Service,No
BM9O4G5,Aggregator Service- Accomodation Site Vehicle. Site Purchase WBS: EE0-005253-1142 Project: NTPC Vind,Service,No
BM9N3B0,"Aggregator Service- Accomodation, Site Vehicle WBS: EB0-016286-1121 Project: NTPC Vindhyachal PM: De",Service,No
BM9O0A8,"Aggregator Service- Accomodation, Site Vehicle. Site Purchase WBS: EE0-005253-1142 Project: NTPC Vin",Service,No
BM9R0V4,Aggregator Service- ACD Dynamic BalancingServices PMEA0-004738-112 Invoice Status- IGL Kashipur Desc,Service,No
BM9S8T8,Aggregator Service- Aditya Power System WBS: ES0-009627-115 Project: RPD Unit-4 PM: Neeraj Pal,Service,No
BM9Z2Z4,Aggregator Service- AG Associates WBS: EB0-15417-1122 Project: RIL Vadodara PM:,Service,No
BM9R8F2,Aggregator Service- AG Associates WBSEB0-15417-1122 Project- RIL Vadodara PM,Service,No
BM9Q5F8,"Aggregator Service- Aglow Quality Control Lab, WBSEB0-008995-0Z400025, Project- IOCL Barauni, PM- Ra",Service,No
BM9Q9P4,Aggregator Service- Air Ticket_Josyula Viswanathan WBS: EE0-005120-114 Project: PTPP Paricha PM: Deb,Service,No
BM9J2H6P,Aggregator Service- Air Tickets_Winders WBS: Project: Derang PM: Ajay Dhar,Service,No
BM9J7K6T,Aggregator Service- AJ Mills Stores WBS: EE0-005253-1142 Project: NTPC Vindhyachal PM: Vara Prasad,Service,No
BM9O2X4,"Aggregator Service- Align Engineering Services Pvt. Ltd. , WBSES0-009581-114, Project- UPRVUNL Paric",Service,No
BM9T0K2,Aggregator Service- Ameer Travels WBS: EB0-015856-114 Project: RLNG Fuel Conversion for CPCL - 3 Boi,Service,No
BM9M0F7,"Aggregator Service- Ameer Travels_Taxi, WBSES0-009581-114, Project- COH of Unit #1 TG Set at TANGEDC",Service,No
BM9N9R0,Aggregator Service- Anil Furniture WBS: EB0-016173-1121 Project: NTPC Sipat PM: Pawan Kumar,Service,No
BM9T9O5,Aggregator Service- Anu Travels WBSEB0-016308-1121 Project- NTPC Simhadri PM- Pawan Kumar..,Service,No
BM9U1S3,Aggregator Service- Arrow Engineering WBS: EB0-015856-114 Project: RLNG Fuel Conversion for CPCL - 3,Service,No
BM9R8J1,Aggregator Service- Arrow Engineering WBSEB0-015856-114 Project- RLNG Fuel Conversion for CPCL - 3 B,Service,No
BM9T0G3,Aggregator Service- Arrow EngineeringWBSEB0-015856-114 Project- RLNG Fuel Conversion for CPCL - 3 Bo,Service,No
BM9M0D5,Aggregator Service- Arya Electrical Enterprise WBS: EA0-004839-112 Project: Torrent Power PM: Ajay D,Service,No
BM9A7N0,Aggregator Service- Aryan Computer WBSEE0-005253-1142 Project- NTPC Vindhyachal PM- Vara Prasad,Service,No
BM9H4U5B,"Aggregator Service- Ashish Mondal, Mahabir Stores, Site Expenses WBS: EA0-004957-111 Project: DPL Du",Service,No
BM9W3U3,"Aggregator Service- Ashtha Tours & Travels, Hotel Emerald WBSEB0-016173-1121 Project- NTPC Sipat PM-",Service,No
BM9F9Q4,Aggregator Service- Astha Tours & Travels WBS: EB0-016173-1121 Project: NTPC Sipat PM: Pawan Kumar,Service,No
BM9G5A0,"Aggregator Service- Astha Tours & Travels, Hotel Emerald WBSEB0-016173-1121 Project- NTPC Sipat PM-",Service,No
BM9O6P2,Aggregator Service- Baba Travels WBSEE0-005205-114 project- RRVUNL Kalisindh PM- Neeraj Pal,Service,No
BM9U9S3,Aggregator Service- Baba TravelsWBSEE0-005205-114 Project- RRVUNL Kalisindh PM- Neeraj Pal,Service,No
BM9O0X2,Aggregator Service- Balaji Enterprises & Jasbir Singh WBS: EA0-003799-0Z400009 Project: HPGCL-ESP Re,Service,No
BM9A1J3,Aggregator Service- Balaji Enterprises WBSEA0-003799-0Z400009 Project- HPGCL-ESP Restoration Yamunag,Service,No
BM9G1R2,Aggregator Service- Banjara Resort WBS: EE0-005320-111 Project: Lanco Anapara PM: Ajay Dhar,Service,No
BM9C3P6C,Aggregator Service- Bapi Halder WBS: ES0-005176-114 Project: Kolaghat Capital PM: Ramkumar Singh,Service,No
BM9S0M6,"Aggregator Service- BBC Tech Associates, WBSES0-007636-0Z400023, Project- RPD Site Unit- 7, PM- Neer",Service,No
BM9U2K4,Aggregator Service- Bill of Supply WBSEBO-008995-0Z400027 Project- IOCL Baruni PM- Ramkumar Singh,Service,No
BM9O7R9,Aggregator Service- BR Engineering and Gupta Traders WBS: EB0-016286-1121 Project: NTPC Vindhyachal,Service,No
BM9P2D0,Aggregator Service- BR Engineering WBS: EB0-016286-1121 Project: NTPC Vindhyachal PM: Debaditya,Service,No
BM9I5L9L,Aggregator Service- BR Engineering WBS: EB0-016286-1121 Project: NTPC Vindhyachal PM: Pawan Kumar,Service,No
BM9P0T9,"Aggregator Service- Car Bill Aaradhya Travels, WBSEA0-004407-1114, Project- Torrent Power, PM- Ajay",Service,No
BM9H7O3,"Aggregator Service- Car Bill Aaradhya Travels, WBSEB0-015421-114, Project- Torrent Power, PM- Ajay R",Service,No
BM9W5M8,"Aggregator Service- Car Bill Ameer Travels, WBSES0-009581-11B, Project- COH of Unit #1 TG Set at TAN",Service,No
BM9P7O1,Aggregator Service- Contract Copies Printing_ RS Printers WBSEB0-016173-1161 Project- Combustion Mod,Service,No
BM9R4D5,"Aggregator Service- Contract Labour Payments for April , WBSEE0-004877-114, Project- A Kannan, PM- C",Service,No
BM9P1V0,"Aggregator Service- Contract Labour Payments for April , WBSES0-009328-114, Project- NSPCL Durgapur,",Service,No
BM9X4N4,"Aggregator Service- Contract Labour Payments for April , WBSIE0-004902-114, Project- NEEPCO Agartala",Service,No
BM9C7I3,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSEE0-004730-114, Project- Torrent Po",Service,No
BM9N1Q1,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSEE0-004795-11B, Project- Sembcorp E",Service,No
BM9W2Y8,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSEE0-00485-112, Project- MCCPL Bandh",Service,No
BM9L5J0,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSEEO-004494-113, Project- NTPC Rihan",Service,No
BM9O5H8,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSEEO-004820-114, Project- WBPDCL Ban",Service,No
BM9R4Y8,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSES0-007636-0Z400019, Project- RPD R",Service,No
BM9M4Z2,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSES0-009581-114, Project- NCTPS U#1",Service,No
BM9Y2F2,"Aggregator Service- Contract Labour Payments for Jan and Feb, WBSIS0-003699-111, Project- NEEPCO Aga",Service,No
BM9I1S1,"Aggregator Service- Contract labour payments for March, WBSISO-003699, Project- NEEPCO Agartala, PM-",Service,No
BM9Y8U3,"Aggregator Service- Contract labours for Dec 18 , WBSEE0-004748-114, Project- Talwandi Sabo Power Lt",Service,No
BM9F9S2U,"Aggregator Service- Contract labours for Dec 18, WBSEE0-004046-0Z400007, Project- CSPGCL Korba_Dec 2",Service,No
BM9P6R3,"Aggregator Service- Contract labours for Dec 18, WBSEE0-004494-113, Project- NTPC Rihand, PM- Ramuku",Service,No
BM9J0B9,"Aggregator Service- Contract labours for Dec 18, WBSEE0-004796-113, Project- Sembcorp Nellore, PM- P",Service,No
BM9L0D7,"Aggregator Service- Contract labours for Dec 18, WBSEE0-004820-114, Project- WBPDCL Bandel, PM- Pras",Service,No
BM9I9U0,"Aggregator Service- Contract labours for Nov 18 , WBSEE0-004748-114, Project- Talwandi Sabo Power Lt",Service,No
BM9K5V0,"Aggregator Service- Contract labours for Nov 18, WBSEE0-004046-0Z400007, Project- CSPGCL Korba_Nov 2",Service,No
BM9H6G9,"Aggregator Service- Contract labours for Nov 18, WBSEE0-004748-114, Project- Vedanta Jharsuguda, PM-",Service,No
BM9I5W7,"Aggregator Service- Contract labours for Nov 18, WBSES0-007636-0Z400019, Project- RPD Renusagar, PM-",Service,No
BM9T0Q9,"Aggregator Service- Contract labours for Nov 18, WBSES0-009381-114, Project- Talwandi Sabo Power Ltd",Service,No
BM9K5P0,"Aggregator Service- Contract labours for Oct 18 , WBSEE0-004748-114, Project- Talwandi Sabo Power Lt",Service,No
BM9V9G0,"Aggregator Service- Contract labours for Oct 18, WBSES0-007636-0Z400019, Project- RPD Renusagar, PM-",Service,No
BM9Z9I8,"Aggregator Service- Crane Hiring Charges, WBSEA0-004641-114, Project- Overhauling & Repair IGL Kashi",Service,No
BM9Q4Z6,Aggregator Service- Dhruv Pathalogy WBS: Project: Khaperkheda PM: Prashant,Service,No
BM9X9J9,Aggregator Service- Dinesh Narayan _Rent WBS: EB0-016286-1121 Project: NTPC Vindhyachal PM: Debadity,Service,No
BM9X4I3,Aggregator Service- Dinesh Narayan _Rent WBS: EB0-016286-1121 Project: NTPC Vindhyachal PM: Pawan Ku,Service,No
BM9H7K8,Aggregator Service- Dinesh Narayan _Rent WBSEE0-005253-1142 Project- NTPC Vindhyachal PM- Vara Prasa,Service,No
BM9P6Z0J,Aggregator Service- Disha Travels WBS: ES0-011409-112 Project: Sagardighi PM: Ramukumar,Service,No
BM9S9P2,Aggregator Service- Durga Constructions WBS: EB0-016712-112 Project: Star Paper Mills PM: Gautam Dey,Service,No
BM9Q6W1,"Aggregator Service- Electrical Micanite Corporation, WBSES0-009581-114, Project- UPRVUNL Paricha, PM",Service,No
BM9U5O2,Aggregator Service- Excel Electrostat WBS: ESO-010790-1142 Project: Talwandi Sabo Mansa PM: Pradeep,Service,No
BM9S5A9,"Aggregator Service- Expert Deputation Charges_ MR. V.B. Vijayan's, WBSES0-009581-114, Project- COH o",Service,No
BM9G2N9,"Aggregator Service- Flight Bill , WBSEB0-015421-114, Project- Torrent Power, PM- Ajay Rane",Service,No
BM9U6I4,"Aggregator Service- Flight Bill, WBSES0-009581-114, Project- COH of Unit #1 TG Set at TANGEDCO/NCTPS",Service,No
BM9R0H0,"Aggregator Service- Flight Bills , WBSEE0-004494-113, Project- NTPC Rihand - stator bar voltage valu",Service,No
BM9T5L5,"Aggregator Service- Flight Bills , WBSEE0-004768, Project- Generator COH at WBPDCL Bandel , PM- RamK",Service,No
BM9R2Y0,"Aggregator Service- Flight Bills , WBSEE0-004770-114, Project- SEMBCROP Nellore - Refixing of connec",Service,No
BM9K0V9,"Aggregator Service- Flight Bills , WBSES0-009581-114, Project- COH of Unit #1 TG Set at NCTPS, PM- A",Service,No
BM9I7E1,"Aggregator Service- Flight Bills, WBSEE0-004748-114, Project- Vedanta Jharsuguda generator #3 COH, P",Service,No
BM9X3E4,"Aggregator Service- Flight Bills, WBSISO-003699, Project- NEEPCO Agartala, PM- Ajay Rane",Service,No
BM9Z5J8,"Aggregator Service- Flight Bills, WBSISO-003699, Project- NEEPCO Stator Rewind, PM- Ajay Rane",Service,No
BM9D3C1N,"Aggregator Service- Flight Bills_Revised, WBSEE0-004768, Project- Generator COH at WBPDCL Bandel , P",Service,No
BM9T0Y3,"Aggregator Service- Flight Ticket - Alpesh Jadav, Project - Adani Mundra, PM- Ajay Dhar - WBSEE0-005",Service,No
BM9P0E2,"Aggregator Service- Flight Ticket - Hardik & Alpesh, PMEE0-005085-114, Invoice Status- NTPC Kahalgao",Service,No
BM9U5E4,Aggregator Service- Flight Ticket - Mitesh and Sanjay PMEE0-005085-114 Invoice Status- NTPC Kahalgao,Service,No
BM9V4L0,Aggregator Service- Flight Ticket - Mitesh Patel WBSEE0-005137-114 Project- Generator Overhauls Korb,Service,No
BM9H4T0,Aggregator Service- Flight ticket - Subodh & Bharat WBSES0-010330-1143 Project- Vendata Jharsugeda P,Service,No
BM9O6U1,"Aggregator Service- Flight Ticket - Veeru Kumar, Nishan Singh PMEE0-005116-111 Invoice Status- Adani",Service,No
BM9L5O0,"Aggregator Service- Flight Ticket - Winders, PMEE0-005116-111, Invoice Status- Adani Udipi, Descript",Service,No
BM9L4V4Q,Aggregator Service- Flight Ticket _ Vipul Panchal WBSES0-010330-1143 Project- Vendata Jharsugeda PM-,Service,No
BM9R6R5,Aggregator Service- Flight ticket _ VISWANATHAN WBSEE0-005205-114 Project- RRVUNL Kalisindh PM- Neer,Service,No
BM9H7Q8,Aggregator Service- Flight Ticket- Ashwin Suthar WBSES0-010562-114 Project- HP Turbine OH-NTPC Rihan,Service,No
BM9R6H3,Aggregator Service- Flight Ticket for Karan Singh WBSEE0-005137-114 Project- Generator Overhauls Kor,Service,No
BM9Z9O6,Aggregator Service- Flight Ticket M Aravindan WBS: ESO-010790-1142 Project: Talwandi Sabo Mansa PM:,Service,No
BM9X6N7,"Aggregator Service- Flight Ticket- Rajat Sharma , PMEE0-005093-111, Invoice Status- Adani Mundra, De",Service,No
BM9H3H1C,"Aggregator Service- Flight Ticket, PMEE0-005085-114, Invoice Status- NTPC Kahalgaon, Description- Ra",Service,No
BM9Q8E2,Aggregator Service- Flight Ticket_Ashwin Suthar WBSEA0-004579-112 Project- Bilt Balarpur ESP #4 Refu,Service,No
BM9C5T5,Aggregator Service- Flight Ticket_Ashwin Suthar WBSEE0-005137-114 Project- Generator Overhauls Korba,Service,No
BM9V3G9,Aggregator Service- Flight Ticket_Ashwin Vipul Samir WBS: EE0-005320-111 Project: Lanco Anapara PM:,Service,No
BM9O0J6,Aggregator Service- Flight Ticket_Karan WBS: EE0-005135-112 Project: NTPC Talcher PM: Ramukumar,Service,No
BM9X7S6,Aggregator Service- Flight Ticket_Manbar Singh WBSEB0-015856-114 Project- RLNG Fuel Conversion for C,Service,No
BM9I0A4,Aggregator Service- Flight Ticket_Mitesh and Ronak WBS: EE0-005135-112 Project: NTPC Talcher PM: Ram,Service,No
BM9Y5Y0,Aggregator Service- Flight Ticket_Nilay WBS: EE0-005135-112 Project: NTPC Talcher PM: Ramukumar,Service,No
BM9G0U1N,Aggregator Service- Flight Ticket_Pradeep and Satvinder WBS: EE0-005135-112 Project: NTPC Talcher PM,Service,No
BM9K0W8,Aggregator Service- Flight Ticket_S Murugaiah WBS: ES0-009627-115 Project: RPD Unit-4 PM: Neeraj Pal,Service,No
BM9U0O2,Aggregator Service- Flight Ticket_Sagar Tate WBS: ES0-011327-112 Project: DURGAPUR PM: Ramukumar,Service,No
BM9I9Y8,Aggregator Service- Flight Ticket_Sanjay and Vinit WBS: EE0-005135-112 Project: NTPC Talcher PM: Ram,Service,No
BM9M0V8,Aggregator Service- Flight Ticket_Sanjay Kumar WBSEE0-005137-114 Project- Generator Overhauls Korba,Service,No
BM9H3Z6,Aggregator Service- Flight ticket_Sanjay Panchal WBS: ES0-005176-114 Project: Kolaghat Capital PM: R,Service,No
BM9X6P1M,Aggregator Service- Flight Ticket_Sanjay Ronak Vineet WBS: EE0-005320-111 Project: Lanco Anapara PM:,Service,No
BM9G2I9,Aggregator Service- Flight ticket_Vinit Mitesh & Ronak WBS: ES0-005176-114 Project: Kolaghat Capital,Service,No
BM9I9A8,Aggregator Service- Flight Ticket_Vishwanathan Josyula WBSEE0-005205-114 Project- RRVUNL Kalisindh P,Service,No
BM9U7Y3,"Aggregator Service- Flight Tickets , PMEE0-005085-114, Invoice Status- NTPC Kahalgaon, Description-",Service,No
BM9S3H2,Aggregator Service- Flight Tickets WBSEE0-005085-114 Project- NTPC Kahalgaon PM- RamKumar Singh,Service,No
BM9U4H4,Aggregator Service- Flight Tickets WBSES0-010330-1143 Project- Vendata Jharsugeda PM- Pradeep,Service,No
BM9R6E3,"Aggregator Service- Flight Tickets, WBS, Project- NTPC SIPAT Stator Winding repair, PM- Prashant Met",Service,No
BM9R0B0,"Aggregator Service- Flight Tickets, WBSEE0-003201-0Z3000001, Project- RPD Unit#5 Brush Issue, PM- Pr",Service,No
BM9K3H3,"Aggregator Service- Flight Tickets, WBSEE0-004975-11B, Project- Sembcorp Nellore, PM- A Kannan",Service,No
