#,Date,Customer,Due Date,Document Status,Branch,Document Total,Canceled,Document Type,Inside Sales Owner,Order Number,Project,Document Total (FC),Document Total (SC),Tax Amount (SC)
9990096,18-Oct-2016,GE India Industrial Pvt. Ltd.,18-Oct-2016,Open,Maharashtra,477462.72,No,S,,,,0,477462.72,0
9990097,18-Oct-2016,GE India Industrial Pvt. Ltd.,18-Oct-2016,Closed,Maharashtra,203952.53,No,S,,,,0,203952.53,0
9990098,18-Oct-2016,GE India Industrial Pvt. Ltd.,18-Oct-2016,Closed,Maharashtra,224936.69,No,S,,,,0,224936.69,0
9990099,18-Oct-2016,GE India Industrial Pvt. Ltd.,18-Oct-2016,Closed,Maharashtra,453885.84,No,S,,,,0,453885.84,0
9990100,19-Oct-2016,Ingersoll Rand (India) Ltd.,18-Nov-2016,Open,Maharashtra,8820,No,S,,,,0,8820,0
9990101,25-Oct-2016,Applied Materials India Pvt. Ltd.,25-Oct-2016,Closed,Maharashtra,735.08,No,S,,,,0,735.08,0
9990102,27-Oct-2016,GE India Industrial Pvt. Ltd.,27-Oct-2016,Closed,Maharashtra,101766.42,No,S,,,,0,101766.42,0
9990103,03-Nov-2016,Cummins Technologies India Pvt. Ltd.,03-Nov-2016,Open,Maharashtra,3020.11,No,S,,,,0,3020.11,0
9990104,04-Nov-2016,Applied Materials India Pvt. Ltd.,04-Nov-2016,Closed,Maharashtra,75.79,No,S,,,,0,75.79,0
9990105,04-Nov-2016,Reliance Gas Pipelines Ltd.,04-Dec-2016,Open,Maharashtra,359,No,S,,,,0,359,0
9990106,07-Nov-2016,Cummins Technologies India Pvt. Ltd.,07-Nov-2016,Closed,Maharashtra,97269.5,No,S,,,,0,97269.5,0
9990107,07-Nov-2016,Cummins Technologies India Pvt. Ltd.,07-Nov-2016,Open,Maharashtra,473.16,No,S,,,,0,473.16,0
9990108,10-Nov-2016,Cairn India Ltd.,10-Dec-2016,Open,Maharashtra,358.58,No,S,,,,0,358.58,0
9990109,10-Nov-2016,GE India Industrial Pvt. Ltd.,10-Nov-2016,Open,Maharashtra,322.22,No,S,,,,0,322.22,0
9990110,10-Nov-2016,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),10-Nov-2016,Closed,Maharashtra,533450,No,S,,,,0,533450,0
9990111,15-Nov-2016,GE India Industrial Pvt. Ltd.,15-Nov-2016,Closed,Maharashtra,29496.83,No,S,,,,0,29496.83,0
9990112,16-Nov-2016,Applied Materials India Pvt. Ltd.,16-Nov-2016,Closed,Maharashtra,89.82,No,S,,,,0,89.82,0
9990113,18-Nov-2016,Applied Materials India Pvt. Ltd.,18-Nov-2016,Closed,Maharashtra,75.84,No,S,,,,0,75.84,0
9990114,22-Nov-2016,Applied Materials India Pvt. Ltd.,22-Nov-2016,Closed,Maharashtra,82.11,No,S,,,,0,82.11,0
9990115,23-Nov-2016,GE India Industrial Pvt. Ltd.,23-Nov-2016,Open,Maharashtra,6787.3,No,S,,,,0,6787.3,0
9990116,24-Nov-2016,"INS Garuda, Indian Navy",24-Dec-2016,Open,Maharashtra,460.03,No,S,,,,0,460.03,0
9990117,25-Nov-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,25-Dec-2016,Open,Maharashtra,5771.48,No,S,,,,0,5771.48,0
9990118,25-Nov-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,25-Dec-2016,Open,Maharashtra,2726.27,No,S,,,,0,2726.27,0
9990119,29-Nov-2016,Applied Materials India Pvt. Ltd.,29-Nov-2016,Closed,Maharashtra,13.24,No,S,,,,0,13.24,0
9990120,29-Nov-2016,Applied Materials India Pvt. Ltd.,29-Nov-2016,Closed,Maharashtra,554.39,No,S,,,,0,554.39,0
9990121,29-Nov-2016,Cummins Technologies India Pvt. Ltd.,29-Nov-2016,Open,Maharashtra,62027.76,No,S,,,,0,62027.76,0
9990122,05-Dec-2016,Alstom Bharat Forge Power Pvt. Ltd.,04-Jan-2017,Open,Maharashtra,97.71,No,S,,,,0,97.71,0
9990123,06-Dec-2016,GAIL India Ltd.,06-Dec-2016,Open,Maharashtra,13674.87,No,S,,,,0,13674.87,0
9990124,08-Dec-2016,Applied Materials India Pvt. Ltd.,08-Dec-2016,Closed,Maharashtra,48.29,No,S,,,,0,48.29,0
9990125,09-Dec-2016,Reliance Gas Pipelines Ltd.,08-Jan-2017,Open,Maharashtra,7217,No,S,,,,0,7217,0
9990126,13-Dec-2016,Bhushan Power and Steel Ltd.,12-Jan-2017,Closed,Maharashtra,348315.49,No,S,,,,0,348315.49,0
9990127,14-Dec-2016,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),14-Dec-2016,Closed,Maharashtra,34089.31,No,S,,,,0,34089.31,0
9990128,15-Dec-2016,"INS Garuda, Indian Navy",14-Jan-2017,Open,Maharashtra,396.22,No,S,,,,0,396.22,0
9990129,16-Dec-2016,Applied Materials India Pvt. Ltd.,16-Dec-2016,Closed,Maharashtra,84.52,No,S,,,,0,84.52,0
9990130,29-Dec-2016,Alstom Bharat Forge Power Pvt. Ltd.,28-Jan-2017,Open,Maharashtra,3489.76,No,S,,,,0,3489.76,0
9990131,29-Dec-2016,GE India Industrial Pvt. Ltd.,29-Dec-2016,Closed,Maharashtra,92530.4,No,S,,,,0,92530.4,0
9990132,30-Dec-2016,GE India Industrial Pvt. Ltd.,30-Dec-2016,Closed,Maharashtra,55414.56,No,S,,,,0,55414.56,0
9990133,30-Dec-2016,GE India Industrial Pvt. Ltd.,30-Dec-2016,Closed,Maharashtra,212621.82,No,S,,,,0,212621.82,0
9990134,03-Jan-2017,Cummins Technologies India Pvt. Ltd.,03-Jan-2017,Open,Maharashtra,2712.44,No,S,,,,0,2712.44,0
9990135,03-Jan-2017,Taikisha Engineering India Pvt. Ltd.,02-Feb-2017,Open,Maharashtra,22790,No,S,,,,0,22790,0
9990136,06-Jan-2017,GE India Industrial Pvt. Ltd.,06-Jan-2017,Closed,Maharashtra,11350,No,S,,,,0,11350,0
9990137,08-Jan-2017,Dr B.R. Ambedkar National Institute of Technology,07-Feb-2017,Open,Maharashtra,1174.61,No,S,,,,0,1174.61,0
9990138,08-Jan-2017,Ingersoll Rand Technologies and Services Pvt. Ltd.,07-Feb-2017,Open,Maharashtra,6766.76,No,S,,,,0,6766.76,0
9990139,09-Jan-2017,Ingersoll Rand Technologies and Services Pvt. Ltd.,08-Feb-2017,Open,Maharashtra,4402.77,No,S,,,,0,4402.77,0
9990140,09-Jan-2017,Ingersoll Rand Technologies and Services Pvt. Ltd.,08-Feb-2017,Open,Maharashtra,2374.58,No,S,,,,0,2374.58,0
9990141,13-Jan-2017,Applied Materials India Pvt. Ltd.,13-Jan-2017,Closed,Maharashtra,59,No,S,,,,0,59,0
9990142,13-Jan-2017,Henkel Adhesive Technologies India Pvt. Ltd.,12-Feb-2017,Closed,Maharashtra,22455.02,No,S,,,,0,22455.02,0
9990143,14-Jan-2017,Cummins Technologies India Pvt. Ltd.,14-Jan-2017,Open,Maharashtra,36531.88,No,S,,,,0,36531.88,0
9990144,16-Jan-2017,Applied Materials India Pvt. Ltd.,16-Jan-2017,Closed,Maharashtra,37551.6,No,S,,,,0,37551.6,0
9990145,17-Jan-2017,Cummins Generator Technologies India Pvt. Ltd.,17-Jan-2017,Open,Maharashtra,56375.45,No,S,,,,0,56375.45,0
9990146,18-Jan-2017,Cummins Technologies India Pvt. Ltd.,18-Jan-2017,Open,Maharashtra,16781.25,No,S,,,,0,16781.25,0
9990147,18-Jan-2017,Alstom Bharat Forge Power Pvt. Ltd.,17-Feb-2017,Open,Maharashtra,8089.2,No,S,,,,0,8089.2,0
9990148,19-Jan-2017,GE India Industrial Pvt. Ltd.,19-Jan-2017,Open,Maharashtra,352265.7,No,S,,,,0,352265.7,0
9990149,23-Jan-2017,GE Power India Ltd.,22-Feb-2017,Open,Maharashtra,29674.87,No,S,,,,0,29674.87,0
9990150,25-Jan-2017,"INS Garuda, Indian Navy",24-Feb-2017,Open,Maharashtra,2128.5,No,S,,,,0,2128.5,0
9990151,25-Jan-2017,Henkel Adhesive Technologies India Pvt. Ltd.,24-Feb-2017,Open,Maharashtra,507.12,No,S,,,,0,507.12,0
9990152,28-Jan-2017,Cummins Generator Technologies India Pvt. Ltd.,28-Jan-2017,Open,Maharashtra,24270.52,No,S,,,,0,24270.52,0
9990153,28-Jan-2017,Cummins Technologies India Pvt. Ltd.,28-Jan-2017,Open,Maharashtra,25653.27,No,S,,,,0,25653.27,0
9990154,17-Feb-2017,Dresser-Rand India Pvt. Ltd.,19-Mar-2017,Open,Maharashtra,736.12,No,S,,,,0,736.12,0
9990155,17-Feb-2017,McNally Bharat Engineering Co. Ltd.,19-Mar-2017,Open,Maharashtra,218990.7,No,S,,,,0,218990.7,0
9990156,21-Feb-2017,"INS Garuda, Indian Navy",23-Mar-2017,Open,Maharashtra,149.13,No,S,,,,0,149.13,0
9990157,21-Feb-2017,GE India Industrial Pvt. Ltd.,21-Feb-2017,Closed,Maharashtra,31789.08,No,S,,,,0,31789.08,0
9990158,23-Feb-2017,Applied Materials India Pvt. Ltd.,23-Feb-2017,Closed,Maharashtra,520.01,No,S,,,,0,520.01,0
9990159,25-Feb-2017,Supermarket Grocery Supplies Pvt. Ltd.,27-Mar-2017,Open,Maharashtra,201,No,S,,,,0,201,0
9990160,27-Feb-2017,Henkel Anand India Pvt. Ltd.,29-Mar-2017,Open,Maharashtra,14919.91,No,S,,,,0,14919.91,0
9990161,28-Feb-2017,Dr B.R. Ambedkar National Institute of Technology,30-Mar-2017,Open,Maharashtra,1089.45,No,S,,,,0,1089.45,0
9990162,01-Mar-2017,Henkel Adhesive Technologies India Pvt. Ltd.,31-Mar-2017,Open,Maharashtra,777.12,No,S,,,,0,777.12,0
9990163,03-Mar-2017,Supermarket Grocery Supplies Pvt. Ltd.,02-Apr-2017,Open,Maharashtra,34050,No,S,,,,0,34050,0
9990164,04-Mar-2017,GE India Industrial Pvt. Ltd.,04-Mar-2017,Closed,Maharashtra,20157.6,No,S,,,,0,20157.6,0
9990165,07-Mar-2017,GE Power Conversion India Pvt. Ltd.,06-Apr-2017,Closed,Maharashtra,154168.47,No,S,,,,0,154168.47,0
9990166,11-Mar-2017,Henkel Adhesive Technologies India Pvt. Ltd.,10-Apr-2017,Open,Maharashtra,1884.09,No,S,,,,0,1884.09,0
9990167,30-Mar-2017,Applied Materials India Pvt. Ltd.,30-Mar-2017,Closed,Maharashtra,49445.22,No,S,,,,0,49445.22,0
9991001,06-Apr-2017,Alstom Bharat Forge Power Pvt. Ltd.,06-May-2017,Open,Maharashtra,5675,No,S,,,,0,5675,0
9991002,19-Apr-2017,Indian Navy,19-May-2017,Closed,Maharashtra,402546.76,No,S,,,,0,402546.76,0
9991003,20-Apr-2017,"INS Garuda, Indian Navy",20-May-2017,Open,Maharashtra,438.75,No,S,,,,0,438.75,0
9991004,21-Apr-2017,Cummins Generator Technologies India Pvt. Ltd.,21-Apr-2017,Open,Maharashtra,2681.94,No,S,,,,0,2681.94,0
9991005,24-Apr-2017,Henkel Adhesive Technologies India Pvt. Ltd.,24-May-2017,Open,Maharashtra,10000.49,No,S,,,,0,10000.49,0
9991006,27-Apr-2017,Voltas Ltd.,27-May-2017,Open,Maharashtra,691.76,No,S,,,,0,691.76,0
9991007,02-May-2017,Dr B.R. Ambedkar National Institute of Technology,01-Jun-2017,Open,Maharashtra,1699.98,No,S,,,,0,1699.98,0
9991008,03-May-2017,Henkel Anand India Pvt. Ltd.,02-Jun-2017,Open,Maharashtra,15827.34,No,S,,,,0,15827.34,0
9991009,03-May-2017,Survival Systems India,02-Jun-2017,Closed,Maharashtra,786.84,No,S,,,,0,786.84,0
9991010,04-May-2017,Survival Systems India,03-Jun-2017,Open,Maharashtra,6179.62,No,S,,,,0,6179.62,0
9991011,08-May-2017,Dr B.R. Ambedkar National Institute of Technology,07-Jun-2017,Open,Maharashtra,128564.12,No,S,,,,0,128564.12,0
9991012,11-May-2017,Applied Materials India Pvt. Ltd.,11-May-2017,Closed,Maharashtra,5175.6,No,S,,,,0,5175.6,0
9991013,19-May-2017,Cummins Technologies India Pvt. Ltd.,19-May-2017,Open,Maharashtra,100426.55,No,S,,,,0,100426.55,0
9991014,20-May-2017,Applied Materials India Pvt. Ltd.,20-May-2017,Closed,Maharashtra,27478.95,No,S,,,,0,27478.95,0
9991015,26-May-2017,Alstom Bharat Forge Power Pvt. Ltd.,25-Jun-2017,Open,Maharashtra,105738.15,No,S,,,,0,105738.15,0
9991016,29-May-2017,Oil and Natural Gas Corporation Ltd.,28-Jun-2017,Open,Maharashtra,33009.58,No,S,,,,0,33009.58,0
9991017,29-May-2017,Supermarket Grocery Supplies Pvt. Ltd.,28-Jun-2017,Open,Maharashtra,11167.75,No,S,,,,0,11167.75,0
9991018,31-May-2017,Supermarket Grocery Supplies Pvt. Ltd.,30-Jun-2017,Open,Maharashtra,1844.5,No,S,,,,0,1844.5,0
9991019,02-Jun-2017,Telangana State Power Generation Corporation Ltd.,02-Jul-2017,Open,Maharashtra,107543.48,No,S,,,,0,107543.48,0
9991020,07-Jun-2017,Dresser-Rand India Pvt. Ltd.,07-Jul-2017,Open,Maharashtra,2310.4,No,S,,,,0,2310.4,0
9991021,09-Jun-2017,Alstom Bharat Forge Power Pvt. Ltd.,09-Jul-2017,Open,Maharashtra,27241.2,No,S,,,,0,27241.2,0
9991022,14-Jun-2017,GE India Industrial Pvt. Ltd.,14-Jun-2017,Closed,Maharashtra,29202.7,No,S,,,,0,29202.7,0
9991023,16-Jun-2017,Indian Navy,16-Jul-2017,Open,Maharashtra,1207640.28,No,S,,,,0,1207640.28,0
9991024,19-Jun-2017,Henkel Adhesive Technologies India Pvt. Ltd.,19-Jul-2017,Open,Maharashtra,38304,No,S,,,,0,38304,0
9991025,19-Jun-2017,Indian Institute of Technology Bombay,19-Jul-2017,Closed,Maharashtra,20024.81,No,S,,,,0,20024.81,0
9991026,20-Jun-2017,Applied Materials India Pvt. Ltd.,20-Jun-2017,Closed,Maharashtra,6869.71,No,S,,,,0,6869.71,0
9991027,21-Jun-2017,Galiakotwala Engineering Co. Pvt. Ltd.,21-Jul-2017,Open,Maharashtra,0.07,No,S,,,,0,0.07,0
