#,Date,Vendor,Remarks,Due Date,Document Total in SC,Purchase Order Status,Document Status,Document Total,Canceled,Branch,Project,Project Code,BPL Name,Tax Amount (SC)
3300479,05-Oct-2017,Pooja Scientific Instruments,,06-Oct-2017,270652.48,Supplier PI delayed,Closed,270652.48,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,41285.97
3300509,10-Oct-2017,Scientific Engineering Corporation,,11-Oct-2017,65549,Supplier PI / Invoice Awaited,Open,65549,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,9999
3300536,12-Oct-2017,Honeywell Automation India Ltd,Based On Sales Orders 2001333.,11-Sep-2018,213267.34,Supplier PI delayed,Closed,213267.34,No,Maharashtra,,11938-Gorter Cocon 26 Spares,0,32532.3
3300570,23-Oct-2017,Shefa Industries,,23-Oct-2017,733960,Supplier PI delayed,Closed,733960,No,Maharashtra,,10309-Fwd: Quote request for Lab Scale Attritor,0,111960
3300630,03-Nov-2017,Nagman Instruments and Electronics Pvt. Ltd.,,22-Dec-2017,390627.2,Supplier PI Pending Finance Approval,Open,390627.2,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,59587.2
3300635,01-Jun-2018,Bosch Ltd.,,01-Jun-2018,11210,Supplier PI / Invoice Awaited,Open,11210,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,1710
3300636,01-Jun-2018,INDOMAX,,01-Jun-2018,106200,Supplier PI / Invoice Awaited,Open,106200,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,16200
3300637,01-Jun-2018,Measurements International LLP,,01-Jun-2018,754020,Supplier PI / Invoice Awaited,Open,754020,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,115020
3300643,01-Jun-2018,Rajdeep Industrial Products Pvt. Ltd.,,01-Jun-2018,65764.12,Supplier PI / Invoice Awaited,Open,65764.12,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,10031.82
3300644,01-Jun-2018,Apurv Enterprises,,01-Jun-2018,821280,Supplier PI / Invoice Awaited,Open,821280,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,125280
3300654,07-Nov-2017,Amazon.in,,08-Nov-2017,22394.88,Supplier PO Created,Open,22394.88,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,4898.88
3300655,01-Jun-2018,Automatic Electric Ltd.,,01-Jun-2018,40025.6,Supplier PO Created,Open,40025.6,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,6105.6
3300656,01-Jun-2018,Skyking Instruments,,01-Jun-2018,69716.06,Supplier PO Created,Open,69716.06,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,10634.66
3300657,11-Jan-2018,Valisons and Co.,,18-Jan-2018,9232.8,Supplier PI delayed,Open,9232.8,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,1408.4
3300660,01-Jun-2018,M. J. Traders (Dowell's),,01-Jun-2018,25375.92,Supplier PI / Invoice Awaited,Open,25375.92,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,3870.92
3300661,01-Jun-2018,Cordial,,01-Jun-2018,16239.16,Supplier PI / Invoice Awaited,Open,16239.16,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,2477.16
3300662,01-Jun-2018,Design Elegance,,01-Jun-2018,111457.96,Supplier PO Created,Open,111457.96,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,17002.06
3300667,01-Jun-2018,Alpha Engineering,,01-Jun-2018,221910.33,Supplier PO Created,Closed,221910.33,Yes,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,33850.73
3300677,01-Jun-2018,Alpha Engineering,,01-Jun-2018,221910.33,Supplier PO Created,Open,221910.33,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,33850.73
3300680,01-Jun-2018,Jost'S Engineering Co. Ltd.,,01-Jun-2018,437760,Supplier PI / Invoice Awaited,Open,437760,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,95760
3300696,01-Jun-2018,Renuka Enterprises,,01-Jun-2018,98967.04,Supplier PI / Invoice Awaited,Open,98967.04,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,15239.04
3300707,01-Jun-2018,Metravi Instruments Pvt. Ltd.,,01-Jun-2018,7864.7,Supplier PI delayed,Open,7864.7,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,1199.7
3300730,01-Jun-2018,Deluxe Electrical Corporation,,01-Jun-2018,68204,Supplier PO Created,Open,68204,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,10404
3300733,01-Jun-2018,Patani Brothers,,01-Jun-2018,9881.03,Supplier PI / Invoice Awaited,Open,9881.03,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,1507.28
3300734,01-Jun-2018,Videology,,01-Jun-2018,27352.4,Supplier PI / Invoice Awaited,Open,27352.4,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,4172.4
3300747,01-Jun-2018,G.V. Electronics,,01-Jun-2018,4885.2,Supplier PI / Invoice Awaited,Open,4885.2,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,745.2
3300755,21-Nov-2017,Analytica Equipments (India) Pvt. Ltd,,09-Jan-2018,1343598.74,Supplier PI delayed,Open,1343598.74,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,204955.74
3300756,01-Jun-2018,Mekaster Tools Ltd.,,01-Jun-2018,11391.02,Supplier PI / Invoice Awaited,Open,11391.02,No,Maharashtra,,8681-Fwd: FW: Scan of Dwg,0,1737.62
3300767,23-Nov-2017,B.a.g.g.i. (S.r.l.),,12-Jun-2018,59880710.03,Supplier PI delayed,Open,59880710.03,No,Maharashtra,,15005-Process Analyzers,0,0
3300884,15-Dec-2017,Industeel France,Based On Sales Orders 10210128.,13-Apr-2018,5073396.44,Supplier PI delayed,Closed,5073396.44,No,Maharashtra,,15029-10 nos. 32615 from Industeel,0,0
3300918,21-Dec-2017,Industeel France,,21-Dec-2017,10005766.79,Supplier PI delayed,Open,10005766.79,No,Maharashtra,,15029-10 nos. 32615 from Industeel,0,0
3300947,27-Dec-2017,Prismtech Packaging Solutions Pvt. Ltd.,,28-Dec-2017,106200,Supplier PI / Invoice Awaited,Closed,106200,No,Maharashtra,,16309-RFQ: Packaging Machine Spares_Jejuri,0,16200
3300964,02-Jan-2018,HM Digital India Pvt. Ltd.,,03-Jan-2018,28320,Supplier PI / Invoice Awaited,Closed,28320,No,Maharashtra,,13562-Quotation for TDS meter | Conductivity tester,0,4320
3300990,05-Jan-2018,Neelam Enterprises,,05-Jan-2018,130921,Supplier PI delayed,Closed,130921,No,Maharashtra,,16092-Offer for Emerson Semi sealed compressor,0,19971
3301020,10-Jan-2018,New Era Engineering,,10-Jan-2018,20178,Supplier PI delayed,Open,20178,No,Maharashtra,,10831-Quote for VSR Filter on urgent basis for CTIPL Dewas Plant.,0,3078
3301022,10-Jan-2018,Stanley Black and Decker India Pvt. Ltd.,,10-Jan-2018,8723.74,Supplier PI delayed,Open,8723.74,No,Maharashtra,,16033-Fwd: Quotation for Hardware and tools,0,1330.74
3301038,11-Jan-2018,Huntsman International India Pvt. Ltd.,,11-Jan-2018,63242335.99,Supplier PI delayed,Open,63242335.99,No,Maharashtra,,10872-Accelerated Amines,0,9647136
3301047,12-Jan-2018,Shriram Institute For Industrial Research,,12-Jan-2018,26078,Supplier PI delayed,Open,26078,No,Maharashtra,,16885-RE: Action Required: New Request 2315 submitted -- Third Party Buy,0,3978
3301075,15-Jan-2018,Krishan Brothers,,15-Jan-2018,52769.6,Supplier PI delayed,Open,52769.6,No,Maharashtra,,15529-Fwd: Additional Tools list,0,8049.6
3301143,01-May-2018,Sf Marine Offshore and Industrial Supply Co.,,01-May-2018,1209.5,Supplier PO Created,Closed,1209.5,No,Maharashtra,,,0,184.5
3301150,23-Jan-2018,Bostan Engineering.,,23-Jan-2018,5376,Supplier PI delayed,Closed,5376,No,Maharashtra,,17291-FW: Purch.O. n° 2100008676-77003276-BULK MRO INDUSTRIA,0,576
3301196,02-Feb-2018,Starlite Engineering Co.,,02-Feb-2018,154733.4,Supplier PI delayed,Open,154733.4,No,Maharashtra,,17619-Fwd: PO 4700899972_Loctite 401_Bulk MRO,0,23603.4
3301202,03-Feb-2018,Jyoti Architectural Products Pvt. Ltd.,,03-Feb-2018,4566.6,Supplier PI delayed,Open,4566.6,No,Maharashtra,,17034-RFQ: Wheels for gas welding trolley,0,696.6
3301213,07-Feb-2018,Reflectosafe,,07-Feb-2018,79800,Supplier PI delayed,Closed,79800,No,Maharashtra,,17321-Esd certified shoes and reflectice jackets : Generated from opportunity,0,3800
3301240,31-May-2018,Ravi Transmission Products,,31-May-2018,81420,Supplier PI / Invoice Awaited,Open,81420,No,Maharashtra,,16997-Fwd: Quote for INA Make Roller for CTIPL Dewas Plant. 94248.,0,12420
3301242,05-Jul-2018,Beneq Oy,,05-Jul-2018,1041710.7,Material Readiness: Delayed,Closed,1041710.7,No,Maharashtra,,19236-Beneq,0,0
3301243,05-Jul-2018,Innovative Design and Manufacturing Solutions,,05-Jul-2018,34047.72,Material Readiness: Delayed,Closed,34047.72,Yes,Maharashtra,,19720-Air velocity and temperature transmitter,0,5193.72
3301244,05-Jul-2018,Ellsworth Adhesives India Pvt. Ltd.,,05-Jul-2018,16520,Material Readiness: Delayed,Closed,16520,No,Maharashtra,,19784-Requirement - URGENT DOW CORNING,0,2520
3301246,07-May-2018,Hardcastle Petrofer Pvt. Ltd.,,07-May-2018,72854.48,Material Readiness: Delayed,Closed,72854.48,No,Maharashtra,,19277-New Quote: Hiclean,0,11113.48
3301247,07-May-2018,Sumit B Mhatre,,07-May-2018,90000,Material Readiness: Delayed,Closed,90000,No,Maharashtra,,19358-Fwd: FW: [EXT] Re: Need estimate - creative designing,0,0
3301248,05-Jul-2018,Vijay Sales,,05-Jul-2018,7200,Material Readiness: Delayed,Closed,7200,No,Maharashtra,,19618-FW: 65 ltrs Refrigerator for Bipin's cabin,0,1575
3301249,07-May-2018,Reflectosafe,,07-May-2018,59850,Material Readiness: Delayed,Closed,59850,No,Maharashtra,,19841 - Open PO,0,2850
3301250,07-May-2018,Huntsman International India Pvt. Ltd.,,07-May-2018,179360,Material Readiness: Delayed,Open,179360,No,Maharashtra,,19880-Accelerated Amines Replacement,0,27360
3301251,07-May-2018,Khas Enterprises,,07-May-2018,501.5,Material Readiness: Delayed,Closed,501.5,No,Maharashtra,,19831-PPE requirement,0,76.5
3301252,05-Jul-2018,Hindustan Hardware,,05-Jul-2018,3882.2,Material Readiness: Delayed,Closed,3882.2,No,TamilNadu,,19843-Fwd: PO_4500343169,0,592.2
3301253,05-Jul-2018,Hindustan Hardware,,05-Jul-2018,76311.2,Material Readiness: Delayed,Closed,76311.2,No,TamilNadu,,19756-Fwd: PO_4300029020,0,11640.7
3301254,08-May-2018,Bullows Paint Equipment Pvt. Ltd.,,08-May-2018,743400,Supplier PI / Invoice Awaited,Closed,743400,No,Maharashtra,,19691 - Open PO,0,113400
3301255,08-May-2018,TUV Rheinland (India) Pvt. Ltd.,,08-May-2018,29500,Material Readiness: Delayed,Closed,29500,No,Maharashtra,,19635-slot for ESD testing,0,4500
3301256,20-Apr-2018,Shree Laxmi Enterprises,,20-Apr-2018,7096.91,Supplier PO Created,Closed,7096.91,No,Maharashtra,,19766-Fwd: FW: Message from,0,1082.58
3301257,09-May-2018,Seed Enterprises,,09-May-2018,83780,Supplier PI / Invoice Awaited,Closed,83780,No,Maharashtra,,19707-2764- STANDARD CONTROL PANEL,0,12780
3301258,09-May-2018,HRS Process Systems Ltd.,,20-Jun-2018,65536.02,Supplier PI Pending Finance Approval,Closed,65536.02,No,Maharashtra,,18468-Fwd: Request for quotation 67031 Funke HEAT EXCHANGER,0,9997.02
3301259,09-May-2018,Shefa Industries,,16-May-2018,88500,Supplier PI / Invoice Awaited,Closed,88500,No,Maharashtra,,19803-Meet : Generated from opportunity - Haste alloy C 276 Bowl,0,13500
3301260,09-May-2018,J.K.Knitwear,,30-May-2018,84525,Supplier PO Created,Closed,84525,No,Maharashtra,,19626-Imp: RFQ for Black T-Shirts with company Logo  Imp: RFQ for Black T-Shirts with company Logo,0,4025
3301261,09-May-2018,Cadetronics,,09-May-2018,4130,Supplier PO Created,Closed,4130,No,Maharashtra,,19209-Service Engineer Visit_Henkel-Turbhe,0,630
3301262,09-May-2018,Khas Enterprises,,12-May-2018,13335,Supplier PI delayed,Closed,13335,No,Maharashtra,,19451-Inquiry for heat resistant gloves : Generated from opportunity,0,635
3301264,09-May-2018,Golden Dyechem,,20-May-2018,5791074.2,Supplier PI / Invoice Awaited,Closed,5791074.2,No,Maharashtra,,19922-Fwd: Sample - MEG / TEG.,0,883384.2
3301265,09-May-2018,Worldd AV Solution,,09-May-2018,58995,Supplier PO Created,Closed,58995,No,Maharashtra,,19836-RFQ for Casio Projector,0,12905.16
3301266,09-May-2018,Techniq Precision Tooling System,,11-May-2018,6018,Supplier PI / Invoice Awaited,Closed,6018,No,Maharashtra,,18594-Fwd: Quote for below Collet for CTIPL Pithampur Plant.,0,918
4400076,30-Aug-2018,Shree Parshwa Enterprise,,30-Aug-2018,562432,Supplier PI / Invoice Awaited,Open,562432,No,Gujarat,,10491-WD40 - Bundling,0,123032
4400142,04-Sep-2017,Kohinoor Paints Mart,,04-Sep-2017,3840,Supplier PI delayed,Open,3840,No,Gujarat,,11032-PO_4101354076_Yellow Paint_BulkMRO,0,840
4400191,22-Sep-2017,Avin Enterprise,,22-Sep-2017,82190.3,Supplier PI delayed,Closed,82190.3,No,Gujarat,,10491-WD40 - Bundling,0,12537.5
4400255,23-Oct-2017,Umiya Gas Co.,,24-Oct-2017,149080,Supplier PO Created,Open,149080,No,Gujarat,,13035-gas cylinder,0,22741.02
4400332,24-Nov-2017,Shraddha Tooling Systems,,24-Nov-2017,533832,Payment to Supplier Delayed,Open,533832,No,Gujarat,,14815-STS Quotation No-0330 for Conical Cutter,0,81432
4400377,12-Dec-2017,Innovative Engineering Products Pvt. Ltd.,,12-Dec-2017,2902.8,Supplier PI delayed,Open,2902.8,No,Gujarat,,15693-Hand Tools & Consumables - Plant Integration,0,442.8
4400408,02-Jan-2018,Evergreen Sales,,02-Jan-2018,36580,Supplier PO Created,Closed,36580,Yes,Gujarat,,16447-PO_4101444057_PPE Online_BulkMRO,0,5580
4400425,10-Jan-2018,Rituraj Tapes Pvt. Ltd.,,10-Jan-2018,90496.87,Supplier PI Pending Finance Approval,Open,90496.87,No,Gujarat,,15515-Hand Tools & Consumables,0,13804.62
4400437,17-Jan-2018,Sat Color Care,,17-Jan-2018,544570,Supplier PI delayed,Open,544570,No,Gujarat,,12624-Acetone,0,83070
4400466,31-Jan-2018,Manilal Pack Plast Pvt. Ltd.,,31-Jan-2018,47200,Supplier PI delayed,Open,47200,No,Gujarat,,17455-pvc blister roll,0,7200
4400470,02-Feb-2018,Kiran Diamond Tools,,02-Feb-2018,29481.12,Supplier PI delayed,Open,29481.12,No,Gujarat,,16942-Qualfast Socket Head screw required,0,4497.12
4400488,09-Feb-2018,Shree Jala Enterprise,,09-Feb-2018,472,Supplier PI delayed,Open,472,No,Gujarat,,16186-RFQ/ABFPPL/Sanand/Misc bought out - Telangana and Ghatampur,0,72
4400491,05-Aug-2018,Vector Corporation,,05-Aug-2018,21051.2,Material Readiness: Delayed,Closed,21051.2,No,Gujarat,,19202- water gun,0,3211.2
4400492,09-May-2018,Neel Ceramics,,09-May-2018,74340,Supplier PO Created,Closed,74340,No,Gujarat,,18703-Hindware make Waterless Urinal cartridge,0,11340
4400493,09-May-2018,S R Info Solution Pvt. Ltd.,,11-May-2018,65957.28,Supplier PI / Invoice Awaited,Closed,65957.28,No,Gujarat,,18363-Required Quotation Of Chain Tong(Indent-260),0,10061.28
4400494,09-May-2018,Dhiren Traders,,23-May-2018,584.1,Material Readiness: Delayed,Closed,584.1,No,Gujarat,,19815-MISC Item,0,89.1
4400495,09-May-2018,Kohinoor Paints Mart,,23-May-2018,2549.96,Supplier PI / Invoice Awaited,Closed,2549.96,No,Gujarat,,19815-MISC Item,0,388.98
4400496,09-May-2018,P. M. Bhimani Orgochem Pvt. Ltd.,,23-May-2018,3068,Supplier PI / Invoice Awaited,Closed,3068,No,Gujarat,,19815-MISC Item,0,468
4400497,09-May-2018,Shreenathji Welding And Safety Pvt. Ltd.,,23-May-2018,1852.6,Material Readiness: Delayed,Closed,1852.6,No,Gujarat,,19815-MISC Item,0,282.6
6600050,01-Jun-2018,Advance Tech Services Pvt. Ltd.,,01-Jun-2018,19175,Supplier PI / Invoice Awaited,Open,19175,No,Delhi,,8681-Fwd: FW: Scan of Dwg,0,2925
29690001,10-Dec-2018,Industeel France,Based On Sales Orders 10211481.,10-Dec-2018,2338853,Supplier PI delayed,Open,2338853,No,Maharashtra,29690,29690 - UNS 32615 Plates,0,0
30157001,26-Dec-2018,Industeel France,,23-Apr-2019,24131520,Supplier PI delayed,Open,24131520,No,Maharashtra,30157,30157 - UNS 32615 Plate,0,0
33001196,02-Feb-2018,Starlite Engineering Co.,,03-Feb-2018,154733.4,Supplier PI / Invoice Awaited,Open,154733.4,No,Maharashtra,,17619-Fwd: PO 4700899972_Loctite 401_Bulk MRO,0,23603.4
40200008,16-Feb-2018,As-Schneider Middle East FZE,,16-Feb-2018,51775.78,Supplier PI / Invoice Awaited,Open,51775.78,No,Gujarat,,16186-RFQ/ABFPPL/Sanand/Misc bought out - Telangana and Ghatampur,0,0
40200011,16-Feb-2018,Raad Systems Inc.,,16-Feb-2018,20613044.04,Supplier PI delayed,Closed,20613044.04,Yes,Maharashtra,,17145-RE: Action Required: New Request 2342 submitted - Third Party Buy,0,3144362.65
40200020,19-Feb-2018,Dyna Filters Pvt. Ltd.,,19-Feb-2018,1103595,Supplier PO Created,Open,1103595,No,Maharashtra,,17808-Powder Dispensing Booth_Ganesha- For Routing,0,168345
40200021,19-Feb-2018,Jagrati Enterprises,,05-Mar-2018,134520,Supplier PI / Invoice Awaited,Closed,134520,No,Maharashtra,,17738-Fwd: Request for quotation Honeywell scanner,0,20520
40200027,19-Feb-2018,Marubeni Corporation,,19-Feb-2018,102799,Supplier PO Created,Open,102799,No,Maharashtra,,17898-N2 Purge capable FOUP - 3-in and 1-out,0,0
40200037,21-Feb-2018,InDeutsch Systems Pvt. Ltd.,,21-Feb-2018,5274.6,Supplier PI / Invoice Awaited,Closed,5274.6,No,Maharashtra,,17457-Fwd: Required quotation spring for Gripper screw (Loccioni : EOL),0,804.6
40200039,21-Feb-2018,Alba Sales Corporation,,21-Feb-2018,16708.8,Supplier PI delayed,Open,16708.8,No,Maharashtra,,16837-Re: FW: Request for Quote for Supply of Emery Papers (03 Types).,0,2548.8
40200041,21-Feb-2018,Neo Systek,,21-Feb-2018,6144,Supplier PI delayed,Open,6144,No,Maharashtra,,17881-Fwd: offer reqd for Neo Systek Aerator,0,1344
40200052,22-Feb-2018,ABS Instruments Pvt. Ltd.,,01-Mar-2018,41182,Supplier PO Created,Open,41182,No,Maharashtra,,17623-Fwd: RFQ: Calibration of Shore A & shore D hardness tester,0,6282
40200085,27-Feb-2018,Central Wood Testing Laboratory The Rubber Board,,13-Mar-2018,9145,Supplier PO Created,Closed,9145,No,Maharashtra,,17979-Fwd: RFQ:Tensile shear test,0,1395
40200086,27-Feb-2018,Hazari Trading Co.,,27-Feb-2018,29063.4,Supplier PI delayed,Closed,29063.4,No,Maharashtra,,17000-Fwd: Required quotation for vibration meter & cord,0,4433.4
40200090,28-Feb-2018,Lift Arts,,28-Feb-2018,23955.8,Supplier PI delayed,Open,23955.8,No,Maharashtra,,17305-Fwd: Lifting tool and tackels,0,3295.8
40200111,06-Mar-2018,Taj Enterprises,,06-Mar-2018,29500,Supplier PI delayed,Open,29500,No,Maharashtra,,16261-Fwd: FW: please provide me a quotation for below items.,0,4500
40200117,07-Mar-2018,Flowers Love And Cakes,,07-Mar-2018,22340.64,Supplier PO Created,Open,22340.64,No,Maharashtra,,18356-Women's day bouquet,0,0
40200120,07-Mar-2018,Krishan Brothers,,07-Mar-2018,6195,Supplier PO Created,Closed,6195,No,Maharashtra,,16665-Fwd: Tools additional requirements,0,945
40200123,08-Mar-2018,B. J. PRODUCTS,,08-Mar-2018,64664,Supplier PI delayed,Open,64664,No,Maharashtra,,18193-Fwd: Requirement of MISC items for start-up,0,9864
40200124,07-Mar-2018,bhaigora enterprises,,07-Mar-2018,2438.09,Supplier PI delayed,Closed,2438.09,No,Maharashtra,,16665-Fwd: Tools additional requirements,0,371.92
40200127,08-Mar-2018,Advancetech Controls Pvt. Ltd.,,08-Mar-2018,346877.52,Supplier PO Created,Open,346877.52,No,Maharashtra,,18370-Requirement of SIS3153 USB,0,52913.52
40200131,08-Mar-2018,Shore Auto Rubber Exports Pvt. Ltd.,,08-Mar-2018,26266.8,Supplier PI delayed,Open,26266.8,No,Maharashtra,,16273-High Temp Hump hose,0,4006.8
40200142,08-Mar-2018,Inder Industries,,08-Mar-2018,12728.66,Supplier PI delayed,Open,12728.66,No,Maharashtra,,"18086-RFQ-#131,132,133",0,1941.66
40200151,09-Mar-2018,hardcastle Petrofer,,09-Mar-2018,41631.58,Supplier PI delayed,Open,41631.58,No,Maharashtra,,18389-P9374871-1:DRUCK: NB 4591062901 => Bulk Mro Indust,0,6350.58
40200154,13-Mar-2018,Ferreterro India Pvt. Ltd.,,13-Mar-2018,4736.52,Supplier PO Created,Open,4736.52,No,Maharashtra,,"18086-RFQ-#131,132,133",0,722.52
40200156,09-Mar-2018,Filpro Sensors  Pvt. Ltd.,,09-Mar-2018,3757.12,Supplier PI delayed,Open,3757.12,No,Maharashtra,,"18086-RFQ-#131,132,133",0,573.12
40200157,09-Mar-2018,Kiran Diamond Tools,,09-Mar-2018,50598.08,Supplier PI delayed,Open,50598.08,No,Maharashtra,,15637-FW: RFQ for Fab shop equipments,0,7718.36
40200158,09-Mar-2018,Bosch Ltd.,,09-Mar-2018,24326.88,Supplier PI delayed,Open,24326.88,No,Maharashtra,,15637-FW: RFQ for Fab shop equipments,0,3710.88
40200159,09-Mar-2018,Bombay Tools Supplying Agency,,09-Mar-2018,6549,Supplier PI delayed,Open,6549,No,Maharashtra,,"18086-RFQ-#131,132,133",0,999
40200161,09-Mar-2018,3D Marketing and Services,,09-Mar-2018,27612,Supplier PI delayed,Open,27612,No,Maharashtra,,16375-Enquiry for Pneumatic Ratchet,0,4212
40200162,09-Mar-2018,Navkar Enterprise,,09-Mar-2018,2135.33,Supplier PO Created,Closed,2135.33,No,Maharashtra,,18193-Fwd: Requirement of MISC items for start-up,0,325.73
40200165,10-Mar-2018,Lift Arts,,10-Mar-2018,16770.88,Supplier PI delayed,Open,16770.88,No,Maharashtra,,18443-PO NO 55011444,0,1796.88
40200171,10-Mar-2018,Union Enterprises Pvt. Ltd.,,10-Mar-2018,60272.28,Supplier PO Created,Closed,60272.28,No,Maharashtra,,17058-Fwd: Quotation required for Graco make feed pump spare.,0,9194.08
40200185,13-Mar-2018,E-Square Alliance Pvt. Ltd.,,13-Mar-2018,2156.46,Supplier PI delayed,Open,2156.46,No,Maharashtra,,17768-Required Quote for barricading system,0,328.95
40200186,13-Mar-2018,Kartik Cloth Centre and Tailors,,13-Mar-2018,3360,Supplier PI delayed,Closed,3360,No,Maharashtra,,18167-Henkel Enquiry for Apron,0,160
40200187,13-Mar-2018,Mehta Sanghvi and Co,,13-Mar-2018,7174.4,Supplier PI delayed,Closed,7174.4,No,Maharashtra,,18188-Quote for ARGON GAS CYLINDER REGULATOR for CTIPL Dewas Plant.,0,1094.4
40200188,31-May-2018,Mehta Tools and Machinery,,31-May-2018,123811.5,Supplier PI / Invoice Awaited,Closed,123811.5,No,Maharashtra,,15637-FW: RFQ for Fab shop equipments,0,18886.5
40200189,14-Mar-2018,Flameproof Instrumentation,,14-Mar-2018,8850,Supplier PI delayed,Closed,8850,No,Maharashtra,,18026-Fwd: FW: Offer required for Flame proof Clock,0,1350
40200194,15-Mar-2018,Valisons and Co.,,15-Mar-2018,25240.25,Supplier PI delayed,Closed,25240.25,No,Maharashtra,,"18086-RFQ-#131,132,133",0,3850.2
