HSN Desc,HSN Description
10063020,"RICE SEMI-MILLED OR WHOLLY-MILLED RICE, WHETHER OR NOT POLISHED OR GLAZED : BASMATI RICE"
10063090,"RICE SEMI-MILLED OR WHOLLY-MILLED RICE, WHETHER OR NOT POLISHED OR GLAZED : OTHER"
10064000,RICE BROKEN RICE
1007,GRAIN SORGHUM
100700,GRAIN SORGHUM
10070010,GRAIN SORGHUM GRAIN SORGHUM : OF SEED QUALITY
10070090,GRAIN SORGHUM GRAIN SORGHUM : OTHER
100710,SEED
10071000,SEED
100790,OTHER
10079000,OTHER
1008,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS"
100810,BUCKWHEAT
10081010,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS BUCKWHEAT : OF SEED QUALITY"
10081090,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS BUCKWHEAT : OTHER"
100820,MILLET
10082011,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : JAWAR : OF SEED QUALITY"
10082019,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : JAWAR : OTHER"
10082021,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : BAJRA : OF SEED QUALITY"
10082029,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : BAJRA : OTHER"
10082031,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : RAGI (FINGER MILLET) : OF SEED QUALITY"
10082039,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS MILLET : RAGI (FINGER MILLET) : OTHER"
100821,MILLET SEED
10082110,JAWAR
10082120,BAJRA
10082130,RAGI
100829,OTHER
10082910,JAWAR
10082920,BAJRA
10082930,RAGI
100830,CANARY SEED
10083010,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS CANARY SEED : OF SEED QUALITY"
10083090,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS CANARY SEED : OTHER"
100840,FONIO
10084000,FONIO
100850,QUINOA
10085000,QUINOA (CHENOPODIUM QUINOA)
100860,TRITICALE
10086000,TRITICALE
100890,OTHER CEREALS
10089010,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS OTHER CEREALS : OF SEED QUALITY"
10089090,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER CEREALS OTHER CEREALS : OTHER"
1009,OTHER
10091090,OTHER
101,"LIVE HORSES, ASSES, MULES AND HINNIES - HORSES:"
1011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES"
1011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES"
1011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER"
1019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO"
1019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK"
1019090,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER"
102,LIVE BOVINE ANIMALS - CATTLE:
1021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT
1021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT"
1021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES"
1021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER
1029010,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT
1029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES"
1029090,LIVE BOVINE ANIMALS - OTHER - OTHER
103,LIVE SWINE
1031000,LIVE SWINE PURE-BRED BREEDING ANIMALS
1039100,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.
1039200,LIVE SWINE- OTHER WEIGHING 50KG. OR MORE
104,LIVE SHEEP AND GOATS
1041010,LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE
1041090,LIVE SHEEP A ND GOATS SHEEP OTHER
1042000,LIVE SHEEP AND GOATS GOATS
105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - WEIGHING NOT MORE THAN 185 G:"
1051100,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS"
1051200,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS"
1051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER"
1059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G"
1059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,"
1059400,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS"
1059900,"SPECIES GALLUSDOMESTICUS, DUCKS, GEESE,TURKEYS AND GUINEA FOWLS - OTHER - OTHER"
106,OTHER LIVE ANIMALS - MAMMALS:
1061100,OTHER LIVE ANIMALS MAMMALS : PRIMATES
1061200,"OTHER LIVE ANIMALS MAMMALS WHALES,DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA); MANATEES AND DUGONGS(MAMMALS OF THE ORDER SIRENIA)"
1061900,OTHER LIVE ANIMALS MAMMALS OTHER
1062000,OTHER LIVE ANIMALS REPTILES (INCLUDING SNAKES AND TURTLES)
1063100,OTHER LIVE ANIMALS BIRDS : BIRDS OF PREY
1063200,"OTHER LIVE ANIMALS BIRDS PSITTACIFORMES(INCLUDING PARROTS, PARAKEETS,MACAWS AND COCKATOOS)"
1063900,OTHER LIVE ANIMALS BIRDS OTHER
1069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED"
1069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK
1069090,OTHER LIVE ANIMALS - OTHER - OTHER
1101,WHEAT OR MESLIN FLOUR
11010000,WHEAT OR MESLIN FLOUR
1102,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN
11021000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RYE FLOUR
11022000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN MAIZE (CORN) FLOUR
11023000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RICE FLOUR
110290,OTHER
11029000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN OTHER
11029021,BROWN RICE FLOUR
11029022,WHITE RICE FLOUR
11029029,OTHER
11029090,OTHER
1103,"CEREAL GROATS, MEAL AND PELLETS - GROATS AND MEAL :"
110311,OF WHEAT
11031110,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF WHEAT : GROAT"
11031120,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF WHEAT : MEAL"
11031300,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF MAIZE (CORN)"
11031900,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF OTHER CEREALS"
11032000,"CEREAL GROATS, MEAL AND PELLETS PELLETS"
1104,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND - ROLLED OR FLAKED GRAINS :"
11041200,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND ROLLED OR FLAKED GRAINS : OF OATS"
11041900,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND ROLLED OR FLAKED GRAINS : OF OTHER CEREALS"
11042200,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF OA"
11042300,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF MAI"
11042900,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF OTH"
11043000,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND"
1105,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES"
11051000,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES FLOUR, MEAL AND POWDER"
11052000,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES FLAKES, GRANULES AND PELLETS"
1106,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8"
110610,OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713
11061000,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713"
11061010,GUAR MEAL
11061090,OTHERS
110620,OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714
11062010,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF SAGO"
11062020,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF MANIOC (CASSAVA)"
11062090,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF OTHER ROOTS AND TUBERS"
110630,OF THE PRODUCTS OF CHAPTER 8
11063010,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OF TAMARIND"
11063020,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OF SINGODA"
11063030,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : MANGO FLOUR"
11063090,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OTHER"
1107,"MALT, WHETHER OR NOT ROASTED"
11071000,"MALT, WHETHER OR NOT ROASTED NOT ROASTED"
11072000,"MALT, WHETHER OR NOT ROASTED ROASTED"
1108,STARCHES; INULIN - STARCHES :
11081100,STARCHES; INULIN STARCHES : WHEAT STARCH
11081200,STARCHES; INULIN STARCHES : MAIZE (CORN) STARCH
11081300,STARCHES; INULIN STARCHES : POTATO STARCH
11081400,STARCHES; INULIN STARCHES : MANIOC (CASSAVA) STARCH
110819,OTHER
11081910,STARCHES; INULIN STARCHES : OTHER : SAGO
11081990,STARCHES; INULIN STARCHES : OTHER : OTHER
11082000,STARCHES; INULIN INSULIN
1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED"
11090000,"WHEAT GLUTEN, WHETHER OR NOT DRIED"
1201,"SOYA BEANS, WHETHER OR NOT BROKEN"
120100,"SOYA BEANS, WHETHER OR NOT BROKEN"
12010010,"SOYA BEANS, WHETHER OR NOT BROKEN SOYA BEANS, WHETHER OR NOT BROKEN : OF SEED QUALITY"
12010090,"SOYA BEANS, WHETHER OR NOT BROKEN SOYA BEANS, WHETHER OR NOT BROKEN : OTHER"
120110,SEED
12011000,SEED
120190,OTHER
12019000,OTHER
1202,"GROUND-NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN"
120210,IN SHELL
12021011,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : H.P.S : OF SEED QUALITY"
12021019,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : H.P.S : OTHER"
12021091,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : OTHER : OF SEED QUALITY"
12021099,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : OTHER : OTHER"
120220,"SHELLED, WHETHER OR NOT BROKEN"
12022010,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN SHELLED, WHETHER OR NOT BROKEN : KERNELS, H.P.S."
12022090,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN SHELLED, WHETHER OR NOT BROKEN : OTHER"
120230,SEED
12023010,H.P.S.
12023090,OTHER
120241,IN SHELL
12024110,H.P.S.
12024190,OTHER
120242,"SHELLED, WHETHER OR NOT BROKEN"
12024210,"KERNELS, H.P.S"
12024220,"KERNELGS, OTHER"
12024290,OTHER
1203,COPRA
12030000,COPRA
1204,"LINSEED, WHETHER OR NOT BROKEN"
120400,"LINSEED, WHETHER OR NOT BROKEN"
12040010,"LINSEED, WHETHER OR NOT BROKEN LINSEED, WHETHER OR NOT BROKEN : OF SEED QUALITY"
12040090,"LINSEED, WHETHER OR NOT BROKEN LINSEED, WHETHER OR NOT BROKEN : OTHER"
1205,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN"
12051000,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN LOW ERUCIC ACID RAPE OR COLZA SEEDS"
12059000,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN OTHER"
1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN"
120600,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN"
12060010,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN SUNFLOWER SEEDS, WHETHER OR NOT BROKEN : OF SEED QUALITY"
12060090,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN SUNFLOWER SEEDS, WHETHER OR NOT BROKEN : OTHER"
1207,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN"
120710,PALM NUTS AND KERNELS
12071010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN PALM NUTS AND KERNELS : OF SEED QUALITY"
12071090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN PALM NUTS AND KERNELS : OTHER"
120720,COTTON SEEDS
12072010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN COTTON SEEDS : OF SEED QUALITY"
12072090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN COTTON SEEDS : OTHER"
120721,COTTON SEEDS
12072100,SEED
120729,OTHER
12072900,OTHER
120730,CASTOR OIL SEEDS
12073010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN CASTOR OIL SEEDS : OF SEED QUALITY"
12073090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN CASTOR OIL SEEDS : OTHER"
120740,SESAMUM SEEDS
12074010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN SESAMUM SEEDS : OF SEED QUALITY"
12074090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN SESAMUM SEEDS : OTHER"
120750,MUSTARD SEEDS
12075010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN MUSTARD SEEDS : OF SEED QUALITY"
12075090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN MUSTARD SEEDS : OTHER"
120760,SAFFLOWER (CARTHAMUS TINCTORIUS) SEEDS
12076010,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN SAFFLOWER SEEDS : OF SEED QUALITY"
12076090,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN SAFFLOWER SEEDS : OTHER"
120770,MELON SEEDS
12077010,OF SEED QUALITY
12077090,OTHER
12079100,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN OTHER : POPPY SEEDS"
120799,OTHER
12079910,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN OTHER : OTHER : AJAMS"
12079920,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN OTHER : OTHER : MANGO KERNEL"
12079930,"OTHER OIL SEEDS AND OLEAGINO FRUITS, WHETHER OR NOT BROKEN OTHER : OTHER : NIGER SEED"
12079940,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN OTHER : OTHER : KOKAM"
12079990,"OTHER OIL SEEDS AND OLEAGINOUS FRUITS, WHETHER OR NOT BROKEN OTHER : OTHER : OTHER"
1208,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD"
12081000,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD OF SOYA BEANS"
12089000,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD OTHER"
1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING"
12091000,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SUGAR BEET SEED"
12092100,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : LUCERNE (ALFALFA) SEED"
12092200,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : CLOVER (TRIFOLIUM SPP.) SEED"
12092300,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : FESCUE SEED"
12092400,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : KENTUCKY BLUE GRASS (POA PRATENSIS L.) SEED"
12092500,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : RYE GRASS (LOLIUM MULTIFLORUM LAM., LOLIUM PERENNE L.) SEED"
12092600,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : TIMOTHY GRASS SEED"
120929,OTHER
12092910,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : OTHER : AUSTRALIAN LUPIN SEEDS"
12092990,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF FORAGE PLANTS : OTHER : OTHER"
12093000,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING SEEDS OF HERBACEOUS PLANTS CULTIVATED PRINCIPALLY FOR THEIR FLOWERS"
12099,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING"
120991,VEGETABLE SEEDS
12099110,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OF CABBAGE"
12099120,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS OF CAULIFLOWER"
12099130,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OF ONION"
12099140,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OF PEA"
12099150,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OF RADISH"
12099160,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OF TOMATO"
12099170,OF CHILLY OF GENUS CAPSICUM
12099190,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : VEGETABLE SEEDS : OTHER"
120999,OTHER
12099910,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : OTHER : FRUIT SEEDS FOR PLANTING OR SOWING"
12099990,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING OTHER : OTHER : OTHER"
1210,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN"
12101000,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN HOP CONES, NEITHER GROUND NOR POWDERED NOR IN THE FORM OF PELLETS"
12102000,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN HOP CONES, GROUND, POWDERED OR IN THE FORM OF PELLETS; LUPULIN"
1211,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), OF A KIND USED PRIMARILY IN PERFUMERY, IN PHARMACY OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSE, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED"
12111000,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), OF A KIND USED PRIMARILY IN PERFUMERY, IN PHARMACY OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSE, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED LIQUORICE ROOTS"
12112000,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), OF A KIND USED PRIMARILY IN PERFUMERY, IN PHARMACY OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSE, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED GINSENG ROOTS"
12113000,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), OF A KIND USED PRIMARILY IN PERFUMERY, IN PHARMACY OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR PURPOSE, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED COCA LEAF"
