Chapter,Heading,Subheading,Description,,Internal Key,Code,,,,,,,,,,,,,,
2903,23,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - UNSATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : TETRACHLOROETHY,2903.23.00,25155,29032300,,,,,,,,,,,,,,
2903,29,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - UNSATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : OTHER,2903.29.00,25156,29032900,,,,,,,,,,,,,,
2903,31,0,"HALOGENATED DERIVATIVES OF HYDROCARBONS - FLUORINATED, BROMINATED OR IODINATED DERIVATIVES OF ACYCLIC HYDROCARBONS -- E",2903.31.00,25157,29033100,,,,,,,,,,,,,,
2903,71,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT ,2903.71.00,25158,29037100,,,,,,,,,,,,,,
2903,72,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT ,2903.72.00,25159,29037200,,,,,,,,,,,,,,
2903,73,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT ,2903.73.00,25160,29037300,,,,,,,,,,,,,,
2903,74,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT ,2903.74.00,25161,29037400,,,,,,,,,,,,,,
2903,75,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT ,2903.75.00,25162,29037500,,,,,,,,,,,,,,
2903,78,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATIVES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFEREN,2903.78.00,25163,29037800,,,,,,,,,,,,,,
2903,79,0,HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATIVES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFEREN,2903.79.00,25164,29037900,,,,,,,,,,,,,,
2903,81,0,"HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATIVES OF CYCLANIC, CYCLENIC OR CYCLOTERPENIC HYDROCARBONS--1,",2903.81.00,25165,29038100,,,,,,,,,,,,,,
2903,82,0,"HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATIVES OF CYCLANIC, CYCLENIC OR CYCLOTERPENIC HYDROCARBONS--AL",2903.82.00,25166,29038200,,,,,,,,,,,,,,
2903,83,0,MIREX (ISO),2903.83.00,25167,29038300,,,,,,,,,,,,,,
2903,89,0,"HALOGENATED DERVIATIVES OF HYDROCARBONS-HALOGENATED DERIVATIVES OF CYCLANIC, CYCLENIC OR CYCLOTERPENIC HYDROCARBONS--OT",2903.89.00,25168,29038900,,,,,,,,,,,,,,
2903,93,0,PENTACHLOROBENZENE (ISO),2903.93.00,25169,29039300,,,,,,,,,,,,,,
2903,94,0,HEXABROMOBIPHENYLS,2903.94.00,25170,29039400,,,,,,,,,,,,,,
2904,31,0,PERFLUOROOCTANE SULPHONIC ACID,2904.31.00,25171,29043100,,,,,,,,,,,,,,
2904,32,0,AMMONIUM PERFLUOROOCTANE SULPHONATE,2904.32.00,25172,29043200,,,,,,,,,,,,,,
2904,33,0,LITHIUM PERFLUOROOCTANE SULPHONATE,2904.33.00,25173,29043300,,,,,,,,,,,,,,
2904,34,0,LITHIUM PERFLUOROOCTANE SULPHONATE,2904.34.00,25174,29043400,,,,,,,,,,,,,,
2904,35,0,OTHER SALTS OF PERFLUOROOCTANE SULPHONIC ACID,2904.35.00,25175,29043500,,,,,,,,,,,,,,
2904,36,0,PERFLUOROOCTANE SULPHONYL FLUORIDE,2904.36.00,25176,29043600,,,,,,,,,,,,,,
2904,91,0,TRICHLORONITROMETHANE (CHLOROPICRIN),2904.91.00,25177,29049100,,,,,,,,,,,,,,
2905,11,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - SATURATED MONOHYDRIC ALCOHOLS",2905.11.00,25178,29051100,,,,,,,,,,,,,,
2905,13,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - SATURATED MONOHYDRIC ALCOHOLS",2905.13.00,25179,29051300,,,,,,,,,,,,,,
2905,15,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - SATURATED MONOHYDRIC ALCOHOLS",2905.15.00,25180,29051500,,,,,,,,,,,,,,
2905,17,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - SATURATED MONOHYDRIC ALCOHOLS",2905.17.00,25181,29051700,,,,,,,,,,,,,,
2905,19,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - SATURATED MONOHYDRIC ALCOHOLS",2905.19.00,25182,29051900,,,,,,,,,,,,,,
2905,29,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - UNSATURATED MONOHYDRIC ALCOHO",2905.29.00,25183,29052900,,,,,,,,,,,,,,
2905,31,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - DIOLS : ETHYLENE GLYCOL (ETHA",2905.31.00,25184,29053100,,,,,,,,,,,,,,
2905,32,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - DIOLS : PROPYLENE GLYCOL (PRO",2905.32.00,25185,29053200,,,,,,,,,,,,,,
2905,41,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - OTHER POLYHYDRIC ALCOHOLS : 2",2905.41.00,25186,29054100,,,,,,,,,,,,,,
2905,43,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - OTHER POLYHYDRIC ALCOHOLS : M",2905.43.00,25187,29054300,,,,,,,,,,,,,,
2905,44,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - OTHER POLYHYDRIC ALCOHOLS : D",2905.44.00,25188,29054400,,,,,,,,,,,,,,
2905,45,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - OTHER POLYHYDRIC ALCOHOLS : G",2905.45.00,25189,29054500,,,,,,,,,,,,,,
2905,49,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - OTHER POLYHYDRIC ALCOHOLS : O",2905.49.00,25190,29054900,,,,,,,,,,,,,,
2905,51,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - HALOGENATED, SULPHONATED, NIT",2905.51.00,25191,29055100,,,,,,,,,,,,,,
2905,59,0,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - HALOGENATED, SULPHONATED, NIT",2905.59.00,25192,29055900,,,,,,,,,,,,,,
2906,11,0,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - CYCLANIC, CYCLENIC OR CYCLOTER",2906.11.00,25193,29061100,,,,,,,,,,,,,,
2906,12,0,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - CYCLANIC, CYCLENIC OR CYCLOTER",2906.12.00,25194,29061200,,,,,,,,,,,,,,
2906,14,0,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - CYCLANIC, CYCLENIC OR CYCLOTER",2906.14.00,25195,29061400,,,,,,,,,,,,,,
2906,21,0,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - AROMATIC : BENZYL ALCOHOL",2906.21.00,25196,29062100,,,,,,,,,,,,,,
2907,13,0,"PHENOLS  PHENOL-ALCOHOLS - MONOPHENOLS : OCTYLPHENOL, NONYLPHENOL AND THEIR ISOMERS  SALTS THEREOF",2907.13.00,25197,29071300,,,,,,,,,,,,,,
2907,14,0,PHENOLS  PHENOL-ALCOHOLS - MONOPHENOLS : XYLENOLS AND THEIR SALTS,2907.14.00,25198,29071400,,,,,,,,,,,,,,
2907,21,0,PHENOLS  PHENOL-ALCOHOLS - POLYPHENOLS   PHENOL-ALCOHOLS : RESORCINOL AND ITS SALTS,2907.21.00,25199,29072100,,,,,,,,,,,,,,
2907,22,0,PHENOLS  PHENOL-ALCOHOLS - POLYPHENOLS   PHENOL-ALCOHOLS : HYDROQUINONE (QUINOL) AND ITS SALTS,2907.22.00,25200,29072200,,,,,,,,,,,,,,
2907,23,0,"PHENOLS  PHENOL-ALCOHOLS - POLYPHENOLS   PHENOL-ALCOHOLS : 4,4 -ISOPROPYLIDENEDIPHENOL (BIS-PHENOL A, DIPHENYLOLPROPANE",2907.23.00,25201,29072300,,,,,,,,,,,,,,
2908,10,0,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS - DERIVATIVES CONTAINING ONL",2908.10.00,25202,29081000,,,,,,,,,,,,,,
2908,11,0,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS - DERIVATIVES CONTAINING ONL",2908.11.00,25203,29081100,,,,,,,,,,,,,,
2908,19,0,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS - DERIVATIVES CONTAINING ONL",2908.19.00,25204,29081900,,,,,,,,,,,,,,
2908,91,0,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS - OTHER -- DINOSEB (ISO) AND",2908.91.00,25205,29089100,,,,,,,,,,,,,,
2908,92,0,"HALOGENATED,SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS-DERIVATIVES CONTAINING ONLY H",2908.92.00,25206,29089200,,,,,,,,,,,,,,
2909,11,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.11.00,25207,29091100,,,,,,,,,,,,,,
2909,19,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.19.00,25208,29091900,,,,,,,,,10885,,,,,
2909,20,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.20.00,25209,29092000,,,,,,,,,,,,,,
2909,41,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.41.00,25210,29094100,,,,,,,,,,,,,,
2909,42,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.42.00,25211,29094200,,,,,,,,,,,,,,
2909,43,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.43.00,25212,29094300,,,,,,,,,,,,,,
2909,44,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.44.00,25213,29094400,,,,,,,,,,,,,,
2909,49,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.49.00,25214,29094900,,,,,,,,,,,,,,
2909,60,0,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ETHERALCOHOL- PHENOLS, ALCOHOL PEROXIDES, ETHER PEROXIDES, KETONE PEROXIDES (WHE",2909.60.00,25215,29096000,,,,,,,,,,,,,,
2910,10,0,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE-MEMBERED RING, AND THEIR HALOGENATED, SULPHONATED,",2910.10.00,25216,29101000,,,,,,,,,,,,,,
2910,20,0,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE-MEMBERED RING, AND THEIR HALOGENATED, SULPHONATED,",2910.20.00,25217,29102000,,,,,,,,,,,,,,
2910,30,0,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE-MEMBERED RING, AND THEIR HALOGENATED, SULPHONATED,",2910.30.00,25218,29103000,,,,,,,,,,,,,,
2910,40,0,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE-MEMBERED RING, AND THEIR HALOGENATED, SULPHONATED,",2910.40.00,25219,29104000,,,,,,,,,,,,,,
2910,50,0,ENDRIN (ISO),2910.50.00,25220,29105000,,,,,,,,,,,,,,
2910,90,0,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE-MEMBERED RING, AND THEIR HALOGENATED, SULPHONATED,",2910.90.00,25221,29109000,,,,,,,,,,,,,,
2911,0,10,"ACETALS AND HEMIACETALS, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NIT",2911.00.10,25222,29110010,,,,,,,,,,,,,,
2911,0,90,"ACETALS AND HEMIACETALS, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NIT",2911.00.90,25223,29110090,,,,,,,,,,,,,,
2912,11,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - ACYCLIC ALDEHYDE",2912.11.00,25224,29121100,,,,,,,,,,,,,,
2912,12,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - ACYCLIC ALDEHYDE",2912.12.00,25225,29121200,,,,,,,,,,,,,,
2912,13,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - ACYCLIC ALDEHYDE",2912.13.00,25226,29121300,,,,,,,,,,,,,,
2912,21,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - CYCLIC ALDEHYDES",2912.21.00,25227,29122100,,,,,,,,,,,,,,
2912,41,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - ALDEHYDE ETHERS,",2912.41.00,25228,29124100,,,,,,,,,,,,,,
2912,42,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE - ALDEHYDE ETHERS,",2912.42.00,25229,29124200,,,,,,,,,,,,,,
2912,50,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE -CYCLIC POLYMERS O",2912.50.00,25230,29125000,,,,,,,,,,,,,,
2912,60,0,"ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION  CYCLIC POLYMERS OF ALDEHYDES  PARAFORMALDEHYDE -PARAFORMALDEHYDE",2912.60.00,25231,29126000,,,,,,,,,,,,,,
2913,0,,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PRODUCTS OF HEADING 2912",2913.00.,25232,291300,,,,,,,,,,,,,,
2913,0,10,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PRODUCTS OF HEADING 2912 2913 00 - HALOGENATED, SULPHON",2913.00.10,25233,29130010,,,,,,,,,,,,,,
2913,0,90,"HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES OF PRODUCTS OF HEADING 2912 2913 00 - HALOGENATED, SULPHON",2913.00.90,25234,29130090,,,,,,,,,,,,,,
2914,12,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.12.00,25235,29141200,,,,,,,,,,,,,,
2914,13,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.13.00,25236,29141300,,,,,,,,,,,,,,
2914,22,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.22.00,25237,29142200,,,,,,,,,,,,,,
2914,31,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.31.00,25238,29143100,,,,,,,,,,,,,,
2914,40,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.40.00,25239,29144000,,,,,,,,,,,,,,
2914,50,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.50.00,25240,29145000,,,,,,,,,,,,,,
2914,61,0,"KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROS",2914.61.00,25241,29146100,,,,,,,,,,,,,,
2914,62,0,COENZYME Q10 (UBIDECARENONE (INN)),2914.62.00,25242,29146200,,,,,,,,,,,,,,
2914,71,0,CHLORDECONE (ISO),2914.71.00,25243,29147100,,,,,,,,,,,,,,
2915,11,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.11.00,25244,29151100,,,,,,,,,,,,,,
2915,13,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.13.00,25245,29151300,,,,,,,,,,,,,,
2915,21,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.21.00,25246,29152100,,,,,,,,,,,,,,
2915,22,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.22.00,25247,29152200,,,,,,,,,,,,,,
2915,23,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.23.00,25248,29152300,,,,,,,,,,,,,,
2915,24,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.24.00,25249,29152400,,,,,,,,,,,,,,
2915,31,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.31.00,25250,29153100,,,,,,,,,,,,,,
2915,32,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.32.00,25251,29153200,,,,,,,,,,,,,,
2915,33,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.33.00,25252,29153300,,,,,,,,,,,,,,
2915,34,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.34.00,25253,29153400,,,,,,,,,,,,,,
2915,35,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.35.00,25254,29153500,,,,,,,,,,,,,,
2915,36,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.36.00,25255,29153600,,,,,,,,,,,,,,
2915,50,0,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SUL",2915.50.00,25256,29155000,,,,,,,,,,,,,,
2916,11,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYA",2916.11.00,25257,29161100,,,,,,,,,,,,,,
2916,14,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYA",2916.14.00,25258,29161400,,,,,,,,,,,,,,
2916,16,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS,CYCLIC MONCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACI",2916.16.00,25259,29161600,,,,,,,,,,,,,,
2916,20,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYA",2916.20.00,25260,29162000,,,,,,,,,,,,,,
2916,32,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYA",2916.32.00,25261,29163200,,,,,,,,,,,,,,
2916,34,0,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYA",2916.34.00,25262,29163400,,,,,,,,,,,,,,
2917,12,0,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SULPHONATED, NITRATED OR",2917.12.00,25263,29171200,,,,,,,,,,,,,,
2917,13,0,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS  THEIR HALOGENATED, SULPHONATED, NITRATED OR",2917.13.00,25264,29171300,,,,,,,,,,,,,,
