#,Date,Customer,Remarks,Due Date,Branch,Document Total (FC),Document Total (SC),Document Status,Canceled,Document Total,Project,Inside Sales Owner,Cancelation Date,Original Ref. No.,Tax Amount (SC)
108000005,05-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10149.,09-Apr-2019,TamilNadu,0,2961.8,Closed,No,2961.8,33110,Mrunal Malkar,09-May-2019,,451.8
108000004,04-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10143.,05-Apr-2019,TamilNadu,0,2443.49,Closed,No,2443.49,32499,Mrunal Malkar,05-May-2019,,372.74
108000003,04-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10065.,19-Apr-2019,TamilNadu,0,25908.08,Closed,No,25908.08,33107,Mrunal Malkar,19-May-2019,,3952.08
108000002,03-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10101.,10-Apr-2019,TamilNadu,0,109154.87,Open,No,109154.87,33182,Mrunal Malkar,10-May-2019,,3940.92
108000001,01-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10025.,15-Apr-2019,TamilNadu,0,62725.26,Closed,No,62725.26,32975,Mrunal Malkar,15-May-2019,,9568.26
107000007,27-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10692.,03-May-2019,Telangana,0,15651.12,Open,No,15651.12,34043,Dipali Ghanvat,02-Jun-2019,,1917.12
107000006,26-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10649.,30-Apr-2019,Telangana,0,128415.95,Open,No,128415.95,33802,Dipali Ghanvat,30-May-2019,,18461.7
107000005,19-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10503.,19-Apr-2019,Telangana,0,20720,Open,No,20720,33802,Dipali Ghanvat,19-May-2019,,2220
107000004,08-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10202.,09-Apr-2019,Telangana,0,96049.04,Closed,No,96049.04,33406,Dipali Ghanvat,09-May-2019,,12917.32
107000003,08-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10184.,08-Apr-2019,Telangana,0,19868.71,Closed,No,19868.71,33402,Dipali Ghanvat,08-May-2019,,2379.86
107000002,05-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10180.,08-Apr-2019,Telangana,0,37388.09,Open,No,37388.09,33138,Dipali Ghanvat,08-May-2019,,5486.34
107000001,03-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10106.,04-Apr-2019,Telangana,0,292408.43,Open,No,292408.43,33279,Dipali Ghanvat,04-May-2019,,44604.68
105000036,26-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10679.,07-May-2019,Delhi,0,5664,Open,No,5664,34032,Sandeep Pal,06-Jun-2019,,864
105000035,26-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10675.,30-Apr-2019,Delhi,0,2832,Open,No,2832,34027,Sandeep Pal,30-May-2019,,432
105000034,26-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10665.,03-May-2019,Delhi,0,2832,Open,No,2832,34025,Sandeep Pal,02-Jun-2019,,432
105000033,26-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10661.,03-May-2019,Delhi,0,2832,Open,No,2832,33992,Sandeep Pal,02-Jun-2019,,432
105000032,26-Apr-2019,Graziano Trasmissioni India Pvt. Ltd.,Based On Sales Quotations 10656.,02-May-2019,Delhi,0,2070.9,Open,No,2070.9,31020,Prashant Kumar,01-Jun-2019,,315.9
105000031,26-Apr-2019,Olx India Pvt Ltd,Based On Sales Quotations 10642.,03-May-2019,Delhi,0,81762.2,Open,No,81762.2,33913,Prashant Kumar,02-Jun-2019,,12472.2
105000030,25-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10632.,03-May-2019,Delhi,0,2832,Open,No,2832,33979,Sandeep Pal,02-Jun-2019,,432
105000029,24-Apr-2019,Bennett Coleman and Co. Ltd.,Based On Sales Quotations 10584.,30-Apr-2019,Delhi,0,153607.68,Closed,No,153607.68,33547,Prashant Kumar,30-May-2019,,23431.68
105000028,24-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10492.,30-Apr-2019,Delhi,0,2832,Open,No,2832,33793,Sandeep Pal,30-May-2019,,432
105000027,23-Apr-2019,Henkel Anand India Pvt. Ltd.,Based On Sales Quotations 10527.,30-Apr-2019,Delhi,0,48919.02,Open,No,48919.02,33830,Anand Negi,30-May-2019,,7462.22
105000026,23-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10568.,20-May-2019,Delhi,0,68556.74,Open,No,68556.74,33735,Prashant Kumar,19-Jun-2019,,10335.24
105000025,22-Apr-2019,Tata Steel BSL Ltd.,Based On Sales Quotations 10534.,30-Apr-2019,Delhi,0,22372,Open,No,22372,33426,Prashant Kumar,30-May-2019,,2397
105000024,20-Apr-2019,Henkel Anand India Pvt. Ltd.,Based On Sales Quotations 10516.,30-Apr-2019,Delhi,0,23600,Open,No,23600,33787,Prashant Kumar,30-May-2019,,3600
105000023,19-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10480.,30-Apr-2019,Delhi,0,2832,Closed,No,2832,33784,Sandeep Pal,30-May-2019,,432
105000022,19-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10483.,30-Apr-2019,Delhi,0,2832,Closed,No,2832,33785,Sandeep Pal,30-May-2019,,432
105000021,19-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10491.,30-Apr-2019,Delhi,0,2832,Closed,No,2832,33791,Sandeep Pal,30-May-2019,,432
105000020,19-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10455.,30-Apr-2019,Delhi,0,2832,Closed,No,2832,33746,Sandeep Pal,30-May-2019,,432
105000019,16-Apr-2019,Reckitt Benckiser (India) Pvt. Ltd.,Based On Sales Quotations 10403.,30-Apr-2019,Delhi,0,28438,Closed,No,28438,33631,Anand Negi,30-May-2019,,4338
105000018,15-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10373.,25-Apr-2019,Delhi,0,14018.4,Open,No,14018.4,33632,Dipen Trivedi,25-May-2019,,2138.4
105000017,15-Apr-2019,Delhivery Pvt. Ltd.,Based On Sales Quotations 10350.,18-Apr-2019,Delhi,0,564480,Closed,No,564480,33602,Anand Negi,18-May-2019,,60480
105000016,15-Apr-2019,Henkel Adhesive Technologies India Pvt. Ltd.,Based On Sales Quotations 10359.,20-May-2019,Delhi,0,206618,Open,No,206618,33616,Husna Khan,19-Jun-2019,,31518
105000015,09-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10242.,10-Apr-2019,Delhi,0,2832,Closed,No,2832,33475,Komal Nagar,10-May-2019,,432
105000014,08-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10210.,13-Apr-2019,Delhi,0,2832,Closed,No,2832,33439,Komal Nagar,13-May-2019,,432
105000013,08-Apr-2019,Reckitt Benckiser (India) Pvt. Ltd.,Based On Sales Quotations 10209.,15-Apr-2019,Delhi,0,37800,Closed,No,37800,32950,Anand Negi,15-May-2019,,1800
105000012,08-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10206.,19-Apr-2019,Delhi,0,25635,Closed,No,25635,33247,Dipen Trivedi,19-May-2019,,3375
105000011,05-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10165.,06-Apr-2019,Delhi,0,2832,Closed,No,2832,33385,Komal Nagar,06-May-2019,,432
105000010,05-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 6898.,26-Mar-2019,Delhi,0,2832,Closed,No,2832,32893,Komal Nagar,25-Apr-2019,,432
105000009,04-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10125.,07-May-2019,Delhi,0,84121.16,Open,No,84121.16,32802,Prashant Kumar,06-Jun-2019,,12832.04
105000008,03-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10105.,10-Apr-2019,Delhi,0,4200,Closed,No,4200,33323,Komal Nagar,10-May-2019,,450
105000007,03-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10084.,09-Apr-2019,Delhi,0,26208,Closed,No,26208,32987,Dipen Trivedi,09-May-2019,,2808
105000006,03-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10072.,29-Apr-2019,Delhi,0,15990.4,Closed,No,15990.4,33283,Dipen Trivedi,29-May-2019,,2210.4
105000005,01-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10007.,06-Apr-2019,Delhi,0,13356.15,Closed,No,13356.15,33096,Komal Nagar,06-May-2019,,1543.65
105000004,01-Apr-2019,Covestro India Pvt. Ltd.,Based On Sales Quotations 10015.,15-Apr-2019,Delhi,0,20475,Closed,No,20475,33248,Dipen Trivedi,15-May-2019,,975
105000003,01-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10012.,06-Apr-2019,Delhi,0,2832,Closed,No,2832,33262,Komal Nagar,06-May-2019,,432
105000002,01-Apr-2019,Bharti Airtel Ltd.,Based On Sales Quotations 10001.,06-Apr-2019,Delhi,0,2832,Closed,No,2832,33260,Komal Nagar,06-May-2019,,432
105000001,01-Apr-2019,Henkel Anand India Pvt. Ltd.,Based On Sales Quotations 7220.,30-Apr-2019,Delhi,0,727100.66,Open,No,727100.66,32432,Komal Nagar,30-May-2019,,110913.66
104000084,27-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10330.,17-May-2019,Gujarat,0,115817,Open,No,115817,33532,Jigar Patel,16-Jun-2019,,17667
104000083,27-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10690.,03-May-2019,Gujarat,0,3540,Open,No,3540,32220,Jigar Patel,02-Jun-2019,,540
104000082,27-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10687.,23-May-2019,Gujarat,0,18246.52,Open,No,18246.52,34040,Prathamesh Saigaonkar,22-Jun-2019,,2783.37
104000081,26-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10667.,31-May-2019,Gujarat,0,83352.84,Open,No,83352.84,33249,Kaushal Patel,30-Jun-2019,,12714.84
104000080,26-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10638.,10-May-2019,Gujarat,0,60445.5,Open,No,60445.5,33990,Kaushal Patel,09-Jun-2019,,9220.5
104000079,26-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10664.,13-May-2019,Gujarat,0,169920,Open,No,169920,34012,Mayur Salunke,12-Jun-2019,,25920
104000078,26-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10617.,05-May-2019,Gujarat,0,6313,Open,No,6313,32677,Kaushal Patel,04-Jun-2019,,963
104000077,25-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10627.,13-May-2019,Gujarat,0,9219.63,Closed,No,9219.63,31939,Avni Shah,12-Jun-2019,,1406.38
104000076,25-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10609.,09-May-2019,Gujarat,0,630.48,Open,No,630.48,33933,Suhas Nair,08-Jun-2019,,96.18
104000075,25-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10605.,31-May-2019,Gujarat,0,66824.8,Open,No,66824.8,33947,Avni Shah,30-Jun-2019,,7534.8
104000074,25-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10551.,29-Apr-2019,Gujarat,0,1650.53,Open,No,1650.53,33854,Suhas Nair,29-May-2019,,251.77
104000073,24-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10603.,16-May-2019,Gujarat,0,127179.22,Open,No,127179.22,33885,Mayur Salunke,15-Jun-2019,,19400.22
104000072,24-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10401.,08-May-2019,Gujarat,0,13335.84,Open,No,13335.84,33682,Suhas Nair,07-Jun-2019,,2034.28
104000071,24-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10514.,30-Apr-2019,Gujarat,0,39170.53,Open,No,39170.53,33792,Avni Shah,30-May-2019,,5293.28
104000070,23-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10565.,11-May-2019,Gujarat,0,17737.76,Open,No,17737.76,33796,Mayur Salunke,10-Jun-2019,,2705.76
104000069,23-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10562.,22-Apr-2019,Gujarat,0,2183,Closed,No,2183,33703,Mayur Salunke,22-May-2019,,333
104000068,22-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10407.,30-Apr-2019,Gujarat,0,6065.2,Closed,No,6065.2,31578,Dipen Trivedi,30-May-2019,,925.2
104000067,22-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10472.,23-Apr-2019,Gujarat,0,2242,Closed,No,2242,33101,Suhas Nair,23-May-2019,,342
104000066,19-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10509.,30-May-2019,Gujarat,0,23969.8,Open,No,23969.8,33708,Dipen Trivedi,29-Jun-2019,,3656.4
104000065,18-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10478.,01-May-2019,Gujarat,0,20030.5,Open,No,20030.5,33775,Suhas Nair,31-May-2019,,3055.5
104000064,19-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10484.,05-May-2019,Gujarat,0,64782,Open,No,64782,32919,Kaushal Patel,04-Jun-2019,,9882
104000063,18-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10456.,29-Apr-2019,Gujarat,0,96049.22,Open,No,96049.22,32686,Suhas Nair,29-May-2019,,14651.58
104000062,18-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10457.,17-May-2019,Gujarat,0,483210,Open,No,483210,33641,Avni Shah,16-Jun-2019,,73710
104000061,17-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10441.,30-Apr-2019,Gujarat,0,98176,Open,No,98176,33738,Dipen Trivedi,30-May-2019,,14976
104000060,17-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10437.,29-Apr-2019,Gujarat,0,98176,Open,No,98176,33588,Dipen Trivedi,29-May-2019,,14976
104000059,09-Apr-2019,GE Power India Ltd.,Based On Sales Quotations 10453.,09-Apr-2019,Gujarat,0,106550.22,Closed,No,106550.22,33743,Vijay Manjrekar,09-May-2019,,16253.42
104000058,01-Apr-2019,GE Power India Ltd.,Based On Sales Quotations 10449.,17-Apr-2019,Gujarat,0,1957825.44,Closed,No,1957825.44,33743,Vijay Manjrekar,17-May-2019,,298651.34
104000057,17-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10432.,30-Apr-2019,Gujarat,0,1031.97,Open,No,1031.97,33397,Suhas Nair,30-May-2019,,157.42
104000056,17-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10422.,30-May-2019,Gujarat,0,184167.32,Open,No,184167.32,33367,Kaushal Patel,29-Jun-2019,,28093.32
104000055,17-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10418.,18-Apr-2019,Gujarat,0,67661.2,Closed,No,67661.2,33705,Kaushal Patel,18-May-2019,,10321.2
104000054,16-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10410.,01-Jun-2019,Gujarat,0,3245,Open,No,3245,33635,Kaushal Patel,01-Jul-2019,,495
104000053,16-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10412.,11-May-2019,Gujarat,0,2587.74,Open,No,2587.74,33595,Kaushal Patel,10-Jun-2019,,394.74
104000052,16-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10387.,15-May-2019,Gujarat,0,153927.94,Open,No,153927.94,33020,Kaushal Patel,14-Jun-2019,,7329.94
104000051,16-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10381.,10-May-2019,Gujarat,0,75520,Open,No,75520,30003,Dipen Trivedi,09-Jun-2019,,11520
104000050,12-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10344.,30-Apr-2019,Gujarat,0,46197,Closed,No,46197,33596,Avni Shah,30-May-2019,,7047
104000049,12-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10344.,30-Apr-2019,Gujarat,0,12921,Closed,No,12921,33596,Avni Shah,30-May-2019,,1971
104000048,12-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10329.,08-May-2019,Gujarat,0,81774,Open,No,81774,33579,Avni Shah,07-Jun-2019,,12474
104000047,12-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10328.,06-May-2019,Gujarat,0,9204,Open,No,9204,33559,Kaushal Patel,05-Jun-2019,,1404
104000046,11-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10293.,24-Apr-2019,Gujarat,0,9136.74,Closed,No,9136.74,30633,Suhas Nair,24-May-2019,,1393.74
104000045,11-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10295.,09-May-2019,Gujarat,0,24532.2,Open,No,24532.2,33516,Avni Shah,08-Jun-2019,,3742.2
104000044,11-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10290.,06-May-2019,Gujarat,0,12508,Open,No,12508,29635,Dipen Trivedi,05-Jun-2019,,1908
104000043,11-Apr-2019,Plasser India Pvt. Ltd.,Based On Sales Quotations 10294.,30-Apr-2019,Gujarat,0,124605.57,Open,No,124605.57,31801,Piyush Yadav,30-May-2019,,19007.58
104000042,11-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10269.,23-Apr-2019,Gujarat,0,7965,Closed,No,7965,33489,Kaushal Patel,23-May-2019,,1215
104000041,10-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10271.,17-Apr-2019,Gujarat,0,1274.4,Closed,No,1274.4,33311,Suhas Nair,17-May-2019,,194.4
104000040,10-Apr-2019,SABIC Innovative plastics India Pvt. Ltd.,Based On Sales Quotations 10263.,24-Apr-2019,Gujarat,0,5900,Closed,No,5900,32730,Jigar Patel,24-May-2019,,900
104000039,10-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10266.,08-May-2019,Gujarat,0,98510,Closed,No,98510,32237,Avni Shah,07-Jun-2019,,10554.64
104000038,10-Apr-2019,Plasser India Pvt. Ltd.,Based On Sales Quotations 10188.,30-Apr-2019,Gujarat,0,361447.92,Open,No,361447.92,31801,Piyush Yadav,30-May-2019,,54379.92
104000037,10-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10265.,29-Apr-2019,Gujarat,0,6140.48,Closed,No,6140.48,33480,Suhas Nair,29-May-2019,,936.68
104000036,10-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10252.,25-Apr-2019,Gujarat,0,21681.78,Closed,No,21681.78,33396,Suhas Nair,25-May-2019,,3307.38
104000035,10-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10270.,15-Apr-2019,Gujarat,0,10991.58,Closed,No,10991.58,33415,Kaushal Patel,15-May-2019,,1676.68
104000034,09-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10254.,18-Apr-2019,Gujarat,0,10991.58,Closed,No,10991.58,33487,Kaushal Patel,18-May-2019,,1676.68
104000033,09-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10212.,13-Apr-2019,Gujarat,0,132544.03,Closed,No,132544.03,32623,Suhas Nair,13-May-2019,,15498.98
104000032,09-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10234.,08-Apr-2019,Gujarat,0,10520.88,Closed,No,10520.88,33285,Kaushal Patel,08-May-2019,,1604.88
104000031,08-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10191.,18-Apr-2019,Gujarat,0,10991.58,Closed,No,10991.58,33386,Yash Gajjar,18-May-2019,,1676.68
104000030,08-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10161.,15-Apr-2019,Gujarat,0,71675.28,Closed,No,71675.28,32405,Suhas Nair,15-May-2019,,8243.28
104000029,08-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10219.,29-Apr-2019,Gujarat,0,21985.76,Open,No,21985.76,33294,Kaushal Patel,29-May-2019,,3353.76
104000028,08-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10215.,30-Apr-2019,Gujarat,0,341586.4,Open,No,341586.4,33067,Avni Shah,30-May-2019,,52106.4
104000027,08-Apr-2019,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 10130.,05-Jun-2018,Gujarat,0,10581.38,Closed,No,10581.38,18502,Avni Shah,05-Jul-2018,,643.88
104000026,08-Apr-2019,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 10127.,18-Apr-2019,Gujarat,0,9492.76,Closed,No,9492.76,32883,Jigar Patel,18-May-2019,,930.26
104000025,08-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10192.,29-Apr-2019,Gujarat,0,56398.1,Closed,No,56398.1,32938,Jigar Patel,29-May-2019,,8603.1
104000024,08-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10189.,18-Apr-2019,Gujarat,0,446077.5,Open,No,446077.5,32594,Avni Shah,18-May-2019,,41057.5
104000023,08-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10187.,31-May-2019,Gujarat,0,220896,Open,No,220896,33293,Kaushal Patel,30-Jun-2019,,33696
104000022,05-Apr-2019,GE Power India Ltd.,Based On Sales Quotations 10174.,12-Apr-2019,Gujarat,0,42960.26,Closed,No,42960.26,33351,Dipen Trivedi,12-May-2019,,6553.26
104000021,05-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10169.,11-Apr-2019,Gujarat,0,322759.5,Open,No,322759.5,32574,Avni Shah,11-May-2019,,49234.5
104000020,05-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10167.,12-Apr-2019,Gujarat,0,1783.13,Closed,No,1783.13,33329,Suhas Nair,12-May-2019,,272
104000019,05-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10160.,19-Apr-2019,Gujarat,0,8007.82,Open,No,8007.82,33202,Suhas Nair,19-May-2019,,1088.24
104000018,04-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10137.,17-Apr-2019,Gujarat,0,4150.06,Closed,No,4150.06,32912,Kaushal Patel,17-May-2019,,633.06
104000017,04-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10126.,15-Apr-2019,Gujarat,0,20815.2,Closed,No,20815.2,32972,Suhas Nair,15-May-2019,,3175.2
104000016,05-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10129.,11-Apr-2019,Gujarat,0,3422,Closed,No,3422,32985,Jigar Patel,11-May-2019,,522
104000015,04-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10116.,09-May-2019,Gujarat,0,7664.1,Open,No,7664.1,32857,Kaushal Patel,08-Jun-2019,,1169.1
104000014,04-Apr-2019,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 10119.,11-Apr-2019,Gujarat,0,58622.4,Closed,No,58622.4,33337,Dipen Trivedi,11-May-2019,,8942.4
104000013,04-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10098.,05-May-2019,Gujarat,0,5240.38,Open,No,5240.38,32394,Yash Gajjar,04-Jun-2019,,799.38
104000012,03-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10091.,02-May-2019,Gujarat,0,17027.4,Closed,No,17027.4,33187,Kaushal Patel,01-Jun-2019,,2597.4
104000011,03-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10099.,26-Apr-2019,Gujarat,0,9280.7,Closed,No,9280.7,33289,Avni Shah,26-May-2019,,1415.7
104000010,03-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10094.,17-Apr-2019,Gujarat,0,8661.2,Closed,No,8661.2,32373,Suhas Nair,17-May-2019,,1321.2
104000009,03-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10077.,08-Apr-2019,Gujarat,0,10384,Closed,Yes,10384,33285,Kaushal Patel,08-May-2019,,1584
104000008,03-Apr-2019,GHCL Ltd.,Based On Sales Quotations 10073.,05-Apr-2019,Gujarat,0,21432.32,Closed,No,21432.32,33300,Kaushal Patel,05-May-2019,,2296.32
104000007,02-Apr-2019,Cargill India Pvt. Ltd.,Based On Sales Quotations 10070.,18-Apr-2019,Gujarat,0,80920,Closed,No,80920,33104,Deepa Gade,18-May-2019,,8670
104000006,02-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10014.,08-May-2019,Gujarat,0,67971.54,Open,No,67971.54,32237,Avni Shah,07-Jun-2019,,10368.54
104000005,02-Apr-2019,ABB India Ltd.,Based On Sales Quotations 10011.,10-Apr-2019,Gujarat,0,15576,Closed,No,15576,32892,Suhas Nair,10-May-2019,,2376
104000004,02-Apr-2019,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 10034.,09-Apr-2019,Gujarat,0,44876.6,Closed,No,44876.6,32797,Avni Shah,09-May-2019,,6845.6
104000003,01-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10021.,05-Apr-2019,Gujarat,0,61618.78,Closed,No,61618.78,27319,Jigar Patel,05-May-2019,,9399.48
104000002,01-Apr-2019,GE T and D India Ltd.,Based On Sales Quotations 10008.,06-May-2019,Gujarat,0,45170.4,Open,No,45170.4,29635,Dipen Trivedi,05-Jun-2019,,6890.4
