SPRINT Code,Description,Tax Percentage,Govt Match
998718,Maintenance and repair services of elevators and escalators,18,998718
998719,Maintenance and repair services of other machinery and equipments,18,998719
998721,Repair services of footwear and leather goods,18,998721
998722,"Repair services of watches, clocks and jewellery",18,998722
2852,,18,2852
998723,Repair services of garments and household textiles,18,998723
998724,Repair services of furniture,18,998724
998725,Repair services of bicycles,18,998725
998727,Repair services for photographic equipment and cameras,18,998727
998729,Maintenance and repair services of other goods n.e.c.,18,998729
998731,"Installation services of fabricated metal products, except machinery and equipment.",18,998731
998732,"Installation services of industrial, manufacturing and service industry machinery and equipment.",18,998732
998733,Installation services of office and accounting machinery and computers,18,998733
998734,"Installation services of radio, television and communications equipment and apparatus.",18,998734
998735,"Installation services of professional medical machinery and equipment, and precision and optical instruments.",18,998735
998736,Installation services of electrical machinery and apparatus n.e.c.,18,998736
998739,Installation services of other goods n.e.c.,18,998739
999111,Overall Government public services,18,999111
999112,"Public administrative services related to the provision of educational, health care, cultural and other social services, excluding social security service.",18,999112
999113,Public administrative services related to the more efficient operation of business.,18,999113
999119,Other administrative services of the government n.e.c.,18,999119
999121,"Public administrative services related to external affairs, diplomatic and consular services abroad.",18,999121
999122,Services related to foreign economic aid,18,999122
999123,Services related to foreign military aid,18,999123
999124,Military defence services,18,999124
999125,Civil defence services,18,999125
999126,Police and fire protection services,18,999126
999127,Public administrative services related to law courts,18,999127
999128,Administrative services related to the detention or rehabilitation of criminals.,18,999128
999129,Public administrative services related to other public order and safety affairs n.e.c.,18,999129
999131,"Administrative services related to sickness, maternity or temporary disablement benefit schemes.",18,999131
999132,"Administrative services related to government employee pension schemes; old-age disability or survivors' benefit schemes, other than for government employees",18,999132
999133,Administrative services related to unemployment compensation benefit schemes,18,999133
999134,Administrative services related to family and child allowance programmes,18,999134
999210,Pre-primary education services,18,999210
999220,Primary education services,18,999220
999231,"Secondary education services, general",18,999231
999232,"Secondary education services, technical and vocational.",18,999232
999241,"Higher education services, general",18,999241
999242,"Higher education services, technical",18,999242
999243,"Higher education services, vocational",18,999243
999249,Other higher education services,18,999249
999259,Specialised education services,18,999259
999291,Cultural education services,18,999291
999292,Sports and recreation education services,18,999292
999293,Commercial training and coaching services,18,999293
999294,Other education and training services n.e.c.,18,999294
999295,services involving conduct of examination for admission to educational institutions,18,999295
999299,Other Educational support services,18,999299
8504,Programming Charge for Emerson CT make 10nos. Logicstick,28,8504
1904,Monthly Lunch + Dinner (For 3 Months),18,1904
9026,Annual Maintenance Contract for your Model S450xp Salt SprayTest Chamber from Ascott Analytical Equipment Ltd. U.K. (Striking and Slugging Wrenches 1235),5,9026
9988,Manufacturing services on physical inputs (goods) owned by others,18,9988
999900,"Community, Social, Personal Services And Other Miscellaneous Services",0,999900
16055100,"Crustaceans, molluscs and other aquatic invertebrates prepared or preserved",12,16055100
16055300,"Crustaceans, molluscs and other aquatic invertebrates prepared or preserved",12,16055300
16055400,"Crustaceans, molluscs and other aquatic invertebrates prepared or preserved",12,16055400
2804,,18,2804
2818,,18,2818
20055100,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of hea",18,20055100
2809,,18,2809
2902,,18,2902
2914,,18,2914
12122910,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh or chilled.",5,12122910
2840,,18,2840
6307,,12,6307
26011111,"Iron ores and concentrates, including roasted iron pyrites",5,26011111
26011112,"Iron ores and concentrates, including roasted iron pyrites",5,26011112
26011119,"Iron ores and concentrates, including roasted iron pyrites",5,26011119
26011121,"Iron ores and concentrates, including roasted iron pyrites",5,26011121
26011129,"Iron ores and concentrates, including roasted iron pyrites",5,26011129
30033100,"Medicaments (excluding goods of head- ing 30.02, 30.05 or 30.06) consisting of two or more constituents which have been",12,30033100
31022100,"Mineral or chemical fertilisers, nitrogenous, other than those which are clearly not to be used as fertilizers",0,31022100
31055100,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium;",0,31055100
38200000,Anti-freezing preparations and prepared de-icing fluids,28,38200000
38111900,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and oth",28,38111900
2842,,18,2842
2915,,18,2915
42022910,School satchels and bags other than of leather or composition leather,28,42022910
42022990,School satchels and bags other than of leather or composition leather,28,42022990
2834,,18,2834
44122940,"Plywood, veneered panels and similar laminated wood",28,44122940
2927,,18,2927
2825,,18,2825
2807,,18,2807
52111190,Woven fabrics of cotton,0,52111190
2843,,18,2843
56022100,"Felt, whether or not impregnated, coated, covered or laminated",0,56022100
2843,,18,2843
70133100,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of",18,70133100
2841,,18,2841
72044100,Ferrous waste and scrap; remelting scrap ingots of iron or steel,18,72044100
2832,,18,2832
2814,,18,2814
2909,,18,2909
72166100,"Angles, shapes and sections of iron or non-alloy steel",18,72166100
73044900,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",18,73044900
84122100,"Other engines and motors (Reaction engines other than turbo jets, Hydraulic power engines and motors, Pneumatic power e",18,84122100
84211910,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases",18,84211910
84399100,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard,18,84399100
84099911,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,28,84099911
84099912,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,28,84099912
84244100,Nozzles for drip irrigation equipments or nozzles for sprinkles,18,84244100
84433910,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442; (Inse",28,84433910
90200000,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable fi",12,90200000
6204,,0,6204
85322100,"Electrical capacitors, fixed, variable or adjustable (pre-set)",18,85322100
85322300,"Electrical capacitors, fixed, variable or adjustable (pre-set)",18,85322300
2901,n-Hexane AR Quantity:500 ml,18,2901
2806,,18,2806
2836,,18,2836
9802,,18,9802
8213,,18,8213
9027,,18,9027
96040000,,18,96040000
85199300,Sound recording or reproducing apparatus,28,85199300
85444119,Winding Wires; Coaxial cables; Optical Fiber,28,85444119
87100000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles",28,87100000
90066100,Photographic (other than cinematographic) cameras; photographic flashlight apparatus and flashbulbs other than discharg,28,90066100
92099300,"Parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical i",28,92099300
95066210,Sports goods other than articles and equipments for general physical exercise,28,95066210
95066290,Sports goods other than articles and equipments for general physical exercise,28,95066290
84244900,Nozzles for drip irrigation equipments or nozzles for sprinkles,18,84244900
85444111,Winding Wires; Coaxial cables; Optical Fiber,18,85444111
85311090,"AUTONICS 5 digit LCD Panel Mount Tachometers, 72 x 36 mm, 100 to 240VAC 50/60hz MP5Y-4N",18,85311090
6116,,5,6116
29181610,CARBOXYLIC ACIDS WITH ADDITIONAL OXYGEN FUNCTION AND THEIR ANHYDRIDES,18,29181610
29420090,"Diloxanide furoate, Cimetidine, Oxyclozanide, Famotidine: Other HS Code and Indian Harmonised System Code.",18,29420090
85199200,Sound recording or reproducing apparatus,18,85199200
92060000,"Percussion musical instruments (for example, drums, xylophones, cymbols, castanets, maracas)",18,92060000
85340000,HS Classifcations of PRINTED CIRCUITS,18,85340000
6201,,5,6201
96100000,"HS Classifcations of SLATES AND BOARDS, WITH WRITING OR DRAWING SURFACES, WHETHER OR NOT FRAMED",18,96100000
90318000,Structure- Modifications,18,90318000
40094200,With fittings,10,40094200
48070090,Stickies Yellow Notes 1x3,12,48070090
61121100,"Track Suit, SKI Suit, & Swimwear Knitted",5,61121100
998711,"Maintenance and repair services of fabricated metal products, except machinery and equipment.",18,998711
22021090,PVC WATER TANK 1000LTR WITH DRAIN.,12,22021090
63061990,Grorich Manual Retractable Awning Using Ferrari 502 fabric,12,63061990
85437099,"Electrical machines and apparatus having individual functions, not specified or including elsewhere in this chapter",18,85437099
85366990,Connectors,18,85366990
25232910,"Other: Ordinary portland cement, dry HS Code and Indian Harmonised System Code.",28,25232910
84819090,"One-way flow control valve GRLZ-1/4-B, Mounting type Threaded",18,84819090
8021100,"Other nuts, Other nuts, fresh such as Almonds",18,8021100
8011100,"Cashewnuts, whether or not shelled or peeled",18,8011100
63041910,Bedsheet & Bedcovers of cotton,12,63041910
62132000,Handkerchiefs of cotton,12,62132000
61161000,"GLOVES, MITTENS AND MITTS, KNITTED OR CROCHETED  ",5,61161000
61151000,"SOCKS HENGJI WHITE, Material Polyester cotton with Lycra",5,61151000
28051200,"ISOPROPYL ALCOHOL LR Grade, Make Rankem",5,28051200
73151210,"LIFT-ALL Triangle and Triangle - Type 2 Wire Mesh Sling, Length 6 Ft,Width 2"" -2T210X6",18,73151210
29291010,Compounds With Other Nitrogen Function Isocyanates : Phenyl Isocyanate,18,29291010
84718000,Apalis iMX6 Quad 2GB IT V1.1C,18,84718000
84715000,Apalis Evaluation Board V1.1A,18,84715000
84733099,Apalis Heatsink Type 1 | V1.0B,18,84733099
96063090,"Buttons, of plastics not covered with the textile material, of base metals, buttons of coconut shell, button blanks",18,96063090
62141020,Hair Scarves,12,62141020
61051010,"Classifcations of Shirts, hand crocheted.",5,61051010
63059000,other article of appreance,5,63059000
29221290,"GLINT Sodium Hypoclorite Solution, 5 Liter Can",18,29221290
90271000,Instruments and apparatus for physical or chemical analysis,18,90271000
63079090,"textile articles, sets, worn clothing ",12,63079090
63079090,"textile articles, sets, worn clothing ",12,63079090
999599,Membership fees,18,999599
8129090,"DRY FRUIT BOX OF 750 GM QTY 174 BOXES - ITEMS INCLUDED - BADAM, KAJU, KISMIS 250 GM EACH BOX.",5,8129090
