document_type,Branch,series_name,first_number,last_number,period_indicator,length
A/P Invoice GST Debit Memo,Maharashtra,LWP 2020,635010001,635109999,FY2020-21,9
A/P Invoice GST Debit Memo,Gujarat,MAN 2020,636010001,636109999,FY2020-21,9
A/P Invoice GST Debit Memo,Delhi,DL 2020,637010001,637109999,FY2020-21,9
A/P Invoice GST Debit Memo,Tamilnadu,CHE 2020,638010001,638109999,FY2020-21,9
A/P Invoice GST Debit Memo,Telangana,HYD 2020,639010001,639109999,FY2020-21,9
Incoming Payments,All State,LWP 2020,702100001,702199999,FY2020-21,9
Outgoing Payments,All State,LWP 2020,802100001,802199999,FY2020-21,9
Journal Vouchers,All State,JV 2020,100200001,100299999,FY2020-21,
Inventory Transfer Request,All State,MUM- TRF,535001001,535100999,FY2020-21,
Goods Issue,All State,FY20-21,20202022,20302020,FY2020-21,
Inventory Transfer,All State,INVTRF20,534001001,534100999,FY2020-21,
