document_type,Branch,series_name,first_number,last_number,period_indicator,length
A/P Invoice Credit Memo,Maharashtra,LWP 2021,622100001,622199999,FY2021-22,9
A/P Invoice Credit Memo,Maharashtra,PUN 2021,622200001,622299999,FY2021-22,9
A/P Invoice Credit Memo,Gujarat,AMD 2021,622300001,622399999,FY2021-22,9
A/P Invoice Credit Memo,Gujarat,MAN 2021,622400001,622499999,FY2021-22,9
A/P Invoice Credit Memo,Karnataka,BAN-2021,622500001,622599999,FY2021-22,9
A/P Invoice Credit Memo,Tamil Nadu,CHE 2021,622600001,622699999,FY2021-22,9
A/P Invoice Credit Memo,Himachal Pradesh,HP 2021,622700001,622799999,FY2021-22,9
A/P Invoice Credit Memo,Delhi,LPN 2021,622800001,622899999,FY2021-22,9
A/P Invoice Credit Memo,Haryana,HR 2021,622900001,622999999,FY2021-22,9
A/P Invoice Credit Memo,Telangana,SHT 2021,623000001,623099999,FY2021-22,9
A/P Invoice GST Debit Memo,Maharashtra,LWP 2021,632100001,632199999,FY2021-22,9
A/P Invoice GST Debit Memo,Maharashtra,PUN 2021,632200001,632299999,FY2021-22,9
A/P Invoice GST Debit Memo,Gujarat,AMD 2021,632300001,632399999,FY2021-22,9
A/P Invoice GST Debit Memo,Gujarat,MAN 2021,632400001,632499999,FY2021-22,9
A/P Invoice GST Debit Memo,Karnataka,BAN-2021,632500001,632599999,FY2021-22,9
A/P Invoice GST Debit Memo,Tamil Nadu,CHE 2021,632600001,632699999,FY2021-22,9
A/P Invoice GST Debit Memo,Himachal Pradesh,HP 2021,632700001,632799999,FY2021-22,9
A/P Invoice GST Debit Memo,Delhi,LPN 2021,632800001,632899999,FY2021-22,9
A/P Invoice GST Debit Memo,Haryana,HR 2021,632900001,632999999,FY2021-22,9
A/P Invoice GST Debit Memo,Telangana,SHT 2021,633000001,633099999,FY2021-22,9
A/P Invoice Cancel,Maharashtra,LWP 2021,642100001,642199999,FY2021-22,9
A/P Invoice Cancel,Maharashtra,PUN 2021,642200001,642299999,FY2021-22,9
A/P Invoice Cancel,Gujarat,AMD 2021,642300001,642399999,FY2021-22,9
A/P Invoice Cancel,Gujarat,MAN 2021,642400001,642499999,FY2021-22,9
A/P Invoice Cancel,Karnataka,BAN-2021,642500001,642599999,FY2021-22,9
A/P Invoice Cancel,Tamil Nadu,CHE 2021,642600001,642699999,FY2021-22,9
A/P Invoice Cancel,Himachal Pradesh,HP 2021,642700001,642799999,FY2021-22,9
A/P Invoice Cancel,Delhi,LPN 2021,642800001,642899999,FY2021-22,9
A/P Invoice Cancel,Haryana,HR 2021,642900001,642999999,FY2021-22,9
A/P Invoice Cancel,Telangana,SHT 2021,643000001,643099999,FY2021-22,9
Incoming Payments,Maharashtra,LWP 2021,702100001,702199999,FY2021-22,9
Incoming Payments,Maharashtra,PUN 2021,702200001,702299999,FY2021-22,9
Incoming Payments,Gujarat,AMD 2021,702300001,702399999,FY2021-22,9
Incoming Payments,Gujarat,MAN 2021,702400001,702499999,FY2021-22,9
Incoming Payments,Karnataka,BAN-2021,702500001,702599999,FY2021-22,9
Incoming Payments,Tamil Nadu,CHE 2021,702600001,702699999,FY2021-22,9
Incoming Payments,Himachal Pradesh,HP 2021,702700001,702799999,FY2021-22,9
Incoming Payments,Delhi,LPN 2021,702800001,702899999,FY2021-22,9
Incoming Payments,Haryana,HR 2021,702900001,702999999,FY2021-22,9
Incoming Payments,Telangana,SHT 2021,703000001,703099999,FY2021-22,9
Outgoing Payments,Maharashtra,LWP 2021,802100001,802199999,FY2021-22,9
Outgoing Payments,Maharashtra,PUN 2021,802200001,802299999,FY2021-22,9
Outgoing Payments,Gujarat,AMD 2021,802300001,802399999,FY2021-22,9
Outgoing Payments,Gujarat,MAN 2021,802400001,802499999,FY2021-22,9
Outgoing Payments,Karnataka,BAN-2021,802500001,802599999,FY2021-22,9
Outgoing Payments,Tamil Nadu,CHE 2021,802600001,802699999,FY2021-22,9
Outgoing Payments,Himachal Pradesh,HP 2021,802700001,802799999,FY2021-22,9
Outgoing Payments,Delhi,LPN 2021,802800001,802899999,FY2021-22,9
Outgoing Payments,Haryana,HR 2021,802900001,802999999,FY2021-22,9
Outgoing Payments,Telangana,SHT 2021,803000001,803099999,FY2021-22,9
Journal Vouchers,Maharashtra,LWP 2021,902100001,902199999,FY2021-22,9
Journal Vouchers,Maharashtra,PUN 2021,902200001,902299999,FY2021-22,9
Journal Vouchers,Gujarat,AMD 2021,902300001,902399999,FY2021-22,9
Journal Vouchers,Gujarat,MAN 2021,902400001,902499999,FY2021-22,9
Journal Vouchers,Karnataka,BAN-2021,902500001,902599999,FY2021-22,9
Journal Vouchers,Tamil Nadu,CHE 2021,902600001,902699999,FY2021-22,9
Journal Vouchers,Himachal Pradesh,HP 2021,902700001,902799999,FY2021-22,9
Journal Vouchers,Delhi,LPN 2021,902800001,902899999,FY2021-22,9
Journal Vouchers,Haryana,HR 2021,902900001,902999999,FY2021-22,9
Journal Vouchers,Telangana,SHT 2021,903000001,903099999,FY2021-22,9
Goods Receipt,Maharashtra,LWP 2021,952100001,952199999,FY2021-22,9
Goods Receipt,Maharashtra,PUN 2021,952200001,952299999,FY2021-22,9
Goods Receipt,Gujarat,AMD 2021,952300001,952399999,FY2021-22,9
Goods Receipt,Gujarat,MAN 2021,952400001,952499999,FY2021-22,9
Goods Receipt,Karnataka,BAN-2021,952500001,952599999,FY2021-22,9
Goods Receipt,Tamil Nadu,CHE 2021,952600001,952699999,FY2021-22,9
Goods Receipt,Himachal Pradesh,HP 2021,952700001,952799999,FY2021-22,9
Goods Receipt,Delhi,LPN 2021,952800001,952899999,FY2021-22,9
Goods Receipt,Haryana,HR 2021,952900001,952999999,FY2021-22,9
Goods Receipt,Telangana,SHT 2021,953000001,953099999,FY2021-22,9
Goods Issue,Maharashtra,LWP 2021,962100001,962199999,FY2021-22,9
Goods Issue,Maharashtra,PUN 2021,962200001,962299999,FY2021-22,9
Goods Issue,Gujarat,AMD 2021,962300001,962399999,FY2021-22,9
Goods Issue,Gujarat,MAN 2021,962400001,962499999,FY2021-22,9
Goods Issue,Karnataka,BAN-2021,962500001,962599999,FY2021-22,9
Goods Issue,Tamil Nadu,CHE 2021,962600001,962699999,FY2021-22,9
Goods Issue,Himachal Pradesh,HP 2021,962700001,962799999,FY2021-22,9
Goods Issue,Delhi,LPN 2021,962800001,962899999,FY2021-22,9
Goods Issue,Haryana,HR 2021,962900001,962999999,FY2021-22,9
Goods Issue,Telangana,SHT 2021,963000001,963099999,FY2021-22,9
Inventory Transfer ,Maharashtra,LWP 2021,972100001,972199999,FY2021-22,9
Inventory Transfer ,Maharashtra,PUN 2021,972200001,972299999,FY2021-22,9
Inventory Transfer ,Gujarat,AMD 2021,972300001,972399999,FY2021-22,9
Inventory Transfer ,Gujarat,MAN 2021,972400001,972499999,FY2021-22,9
Inventory Transfer ,Karnataka,BAN-2021,972500001,972599999,FY2021-22,9
Inventory Transfer ,Tamil Nadu,CHE 2021,972600001,972699999,FY2021-22,9
Inventory Transfer ,Himachal Pradesh,HP 2021,972700001,972799999,FY2021-22,9
Inventory Transfer ,Delhi,LPN 2021,972800001,972899999,FY2021-22,9
Inventory Transfer ,Haryana,HR 2021,972900001,972999999,FY2021-22,9
Inventory Transfer ,Telangana,SHT 2021,973000001,973099999,FY2021-22,9
